"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Mikal Bridges","NYK",82,3036,6090,1444,428,720,0.5944444444444444,164,463,0.3542116630669546,0.36363636363636365,96,584,272,471,21,0.6822429906542056,0.7209876543209877,0.9573170731707317,0.39137785291631444,0.5381367532467533,0.569737954353339,0.5851581508515815,46,24,0.03333333333333333,0,0,19.71403812824957
"Josh Hart","NYK",77,2897,5795,1049,319,517,0.6170212765957447,84,252,0.3333333333333333,0.336,159,392,246,219,33,0.6144200626959248,0.6829268292682927,0.8690476190476191,0.32769830949284784,0.5846714097496706,0.5786736020806242,0.6120186697782963,64,55,0.10638297872340426,4,0.015873015873015872,15.420844728046188
"Anthony Edwards","MIN",79,2871,5803,2177,401,801,0.5006242197253433,320,811,0.39457459926017263,0.3995006242197253,415,308,494,456,504,0.38403990024937656,0.3938618925831202,0.475,0.5031017369727047,0.5365980612883052,0.5465260545905707,0.5945574491478834,20,50,0.062421972534332085,5,0.006165228113440197,31.355289118227347
"Devin Booker","PHX",75,2795,5661,1923,471,869,0.5420023014959724,183,551,0.33212341197822143,0.33212341197822143,432,406,536,393,156,0.4309978768577495,0.4422657952069717,0.7158469945355191,0.3880281690140845,0.5077161028893588,0.525,0.5869833436150524,24,60,0.06904487917146145,2,0.003629764065335753,29.05469490989567
"James Harden","LAC",79,2789,5671,1802,296,627,0.47208931419457734,235,668,0.35179640718562877,0.3523238380809595,505,104,488,261,444,0.17567567567567569,0.18181818181818182,0.3702127659574468,0.5158301158301158,0.5061250775193799,0.5007722007722007,0.5838794233289646,20,61,0.09728867623604466,4,0.005988023952095809,29.179046129788897
"DeMar DeRozan","SAC",77,2768,5647,1710,540,1052,0.5133079847908745,84,256,0.328125,0.336,378,392,688,222,30,0.362962962962963,0.3712121212121212,0.8809523809523809,0.19571865443425077,0.46278203732503886,0.5091743119266054,0.5676312247644684,24,56,0.053231939163498096,1,0.00390625,24.949003608975367
"Trae Young","ATL",76,2739,5898,1841,348,734,0.47411444141689374,218,642,0.3395638629283489,0.34335443037974683,491,200,496,192,462,0.28735632183908044,0.2898550724637681,0.29357798165137616,0.46656976744186046,0.5132298876404494,0.49055232558139533,0.5614197530864198,6,59,0.08038147138964577,7,0.010903426791277258,29.22048997772829
"Tyler Herro","MIA",77,2725,5477,1840,400,707,0.5657708628005658,251,670,0.3746268656716418,0.37574850299401197,287,302,498,567,186,0.3775,0.3871794871794872,0.7529880478087649,0.4865649963689179,0.5200104105571848,0.5639070442992011,0.6055962691538974,20,62,0.0876944837340877,13,0.019402985074626865,27.668241811960243
"OG Anunoby","NYK",74,2706,5419,1324,314,563,0.5577264653641207,171,460,0.3717391304347826,0.37254901960784315,183,450,178,477,36,0.7165605095541401,0.7679180887372014,0.9298245614035088,0.4496578690127077,0.5938665169660678,0.5576735092864125,0.589572192513369,42,85,0.15097690941385436,4,0.008695652173913044,19.86690472325921
"Jalen Green","HOU",82,2697,5515,1723,374,776,0.48195876288659795,234,661,0.3540090771558245,0.35454545454545455,273,196,552,378,324,0.2620320855614973,0.2648648648648649,0.5384615384615384,0.45998608211551845,0.5327952448545067,0.5045233124565066,0.5433818872704244,8,94,0.1211340206185567,12,0.018154311649016642,27.316023966815177
