"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Mikal Bridges","BKN",83,2963,5992,1671,424,825,0.5139393939393939,169,442,0.38235294117647056,0.3840909090909091,316,456,392,468,39,0.5377358490566038,0.5601965601965602,0.9230769230769231,0.34885556432517756,0.5157952098178938,0.5347277032359905,0.5874026893135174,34,50,0.06060606060606061,4,0.00904977375565611,22.729961549837324
"Anthony Edwards","MIN",79,2842,5939,1946,494,963,0.5129802699896158,213,578,0.3685121107266436,0.37043478260869567,319,344,644,330,309,0.3481781376518219,0.3524590163934426,0.5164319248826291,0.3750811161583387,0.5363336475942783,0.5279039584685269,0.5653192735793791,12,58,0.060228452751817235,1,0.0017301038062283738,29.769836462749847
"Zach LaVine","CHI",77,2768,5645,1913,469,844,0.5556872037914692,204,544,0.375,0.375,363,314,624,396,216,0.3347547974413646,0.3465783664459161,0.6470588235294118,0.3919308357348703,0.5413638628158844,0.55835734870317,0.6058673469387755,32,75,0.08886255924170616,3,0.0055147058823529415,28.412031047865458
"Nikola Vucevic","CHI",82,2746,5601,1447,476,801,0.5942571785268415,121,347,0.34870317002881845,0.34870317002881845,132,700,252,363,0,0.7352941176470589,0.8158508158508159,1,0.30226480836236935,0.5113290069686411,0.5727351916376306,0.594238683127572,94,43,0.05368289637952559,1,0.002881844380403458,22.20216606498195
"Julius Randle","NYK",77,2737,5505,1936,440,796,0.5527638190954773,218,636,0.34276729559748426,0.3438485804416404,402,336,544,492,162,0.38181818181818183,0.4296675191815857,0.7522935779816514,0.4441340782122905,0.5290508041958042,0.5356145251396648,0.5843958712811171,98,55,0.06909547738693467,2,0.0031446540880503146,29.375591296121097
"Domantas Sabonis","SAC",79,2736,5660,1510,546,855,0.6385964912280702,31,83,0.37349397590361444,0.3780487804878049,325,634,458,93,0,0.5805860805860806,0.6563146997929606,1,0.08848614072494669,0.534797705442903,0.6316631130063965,0.6669611307420494,126,64,0.07485380116959064,0,0,21.551860649247825
"Jayson Tatum","BOS",74,2732,5587,2225,487,873,0.5578465063001146,240,686,0.3498542274052478,0.3498542274052478,531,502,472,465,255,0.5154004106776181,0.544468546637744,0.6458333333333334,0.4400256574727389,0.5246948364336113,0.5432969852469531,0.6052921719955898,52,58,0.06643757159221077,0,0,32.586984536082475
"Spencer Dinwiddie","BKN",79,2725,5363,1369,279,560,0.4982142857142857,181,490,0.3693877551020408,0.3709016393442623,268,66,492,327,216,0.11827956989247312,0.11870503597122302,0.6022099447513812,0.4666666666666667,0.5146751198465963,0.5242857142857142,0.5720268006700168,2,60,0.10714285714285714,2,0.004081632653061225,22.42770679219906
"Evan Mobley","CLE",79,2715,5377,1277,503,845,0.5952662721893491,22,102,0.21568627450980393,0.21568627450980393,205,744,262,66,0,0.7395626242544732,0.8193832599118943,1,0.10770855332629356,0.5429645723336853,0.5659978880675819,0.5906567992599445,98,63,0.07455621301775148,0,0,20.298013245033115
"Dejounte Murray","ATL",74,2693,5613,1515,479,932,0.5139484978540773,133,387,0.34366925064599485,0.344559585492228,158,186,772,291,108,0.1941544885177453,0.1962025316455696,0.7293233082706767,0.2934040940106141,0.5053454855842185,0.5144048521607278,0.5415770609318996,10,55,0.059012875536480686,2,0.00516795865633075,24.331090596150837
"DeMar DeRozan","CHI",74,2682,5458,1816,611,1161,0.5262704565030146,46,142,0.323943661971831,0.3262411347517731,456,298,924,117,21,0.24386252045826515,0.2450657894736842,0.8478260869565217,0.10897927858787414,0.4743350115295927,0.5218726016884113,0.595049504950495,6,62,0.053402239448751075,0,0,27.84746613146011
"Scottie Barnes","TOR",77,2678,5385,1179,400,792,0.5050505050505051,63,224,0.28125,0.2863636363636364,190,394,406,159,30,0.4925,0.5487465181058496,0.8412698412698413,0.2204724409448819,0.5114518774703557,0.4867125984251969,0.5240213523131673,82,45,0.056818181818181816,2,0.008928571428571428,20.547504025764894
"Harrison Barnes","SAC",82,2662,5549,1230,242,438,0.5525114155251142,132,353,0.37393767705382436,0.37606837606837606,350,284,200,369,27,0.5867768595041323,0.6454545454545455,0.9318181818181818,0.44627054361567636,0.5389333333333333,0.5562579013906448,0.6262833675564682,44,31,0.07077625570776255,0,0,17.105475690518496
"Pascal Siakam","TOR",71,2652,5349,1720,537,1026,0.5233918128654971,93,287,0.3240418118466899,0.3274647887323944,367,340,734,240,39,0.3165735567970205,0.3441295546558704,0.8602150537634409,0.21858339680121858,0.4917350152905199,0.5152322924600152,0.5646749835850295,86,35,0.0341130604288499,0,0,27.5390625
"CJ McCollum","NOP",75,2649,5406,1568,376,801,0.46941323345817726,211,543,0.3885819521178637,0.3885819521178637,183,228,524,480,153,0.30319148936170215,0.3081081081081081,0.7582938388625592,0.40401785714285715,0.49340375744047615,0.5152529761904762,0.5415512465373962,12,55,0.0686641697877653,5,0.009208103130755065,26.555609995100443
"Franz Wagner","ORL",80,2609,5375,1485,412,758,0.5435356200527705,130,360,0.3611111111111111,0.3651685393258427,271,382,442,312,78,0.46359223300970875,0.47869674185463656,0.8,0.3220035778175313,0.5178372416891285,0.5429338103756708,0.584658187599364,26,78,0.10290237467018469,6,0.016666666666666666,23.500165727543916
"Jalen Green","HOU",76,2602,5383,1683,379,805,0.47080745341614905,187,554,0.33754512635379064,0.34124087591240876,364,266,492,321,240,0.35092348284960423,0.3575268817204301,0.5721925133689839,0.40765268579838115,0.5043380635624538,0.4852832965415747,0.535483870967742,14,98,0.12173913043478261,7,0.01263537906137184,27.98334134230338
"Bam Adebayo","MIA",75,2598,5166,1529,601,1102,0.5453720508166969,1,12,0.08333333333333333,0.09090909090909091,324,722,480,3,0,0.6006655574043261,0.6563636363636364,1,0.010771992818671455,0.4945109613656784,0.5408438061041293,0.5894371626831149,102,48,0.043557168784029036,1,0.08333333333333333,25.719736385709332
"Trae Young","ATL",73,2541,5443,1914,443,930,0.47634408602150535,154,460,0.3347826086956522,0.33624454148471616,566,154,732,150,312,0.17381489841986456,0.1774193548387097,0.3246753246753247,0.33093525179856115,0.49157166182873735,0.4848920863309353,0.5642174432497014,18,79,0.08494623655913978,6,0.013043478260869565,32.00065274151436
"Fred VanVleet","TOR",69,2535,5127,1335,230,506,0.45454545454545453,207,606,0.3415841584158416,0.34557595993322204,254,86,374,369,252,0.18695652173913044,0.1894273127753304,0.5942028985507246,0.5449640287769785,0.5043107012750455,0.48606115107913667,0.5351307189542484,6,49,0.09683794466403162,9,0.01485148514851485,23.009298393913777
"Buddy Hield","IND",80,2482,5193,1344,187,361,0.518005540166205,288,677,0.4254062038404727,0.4260355029585799,106,210,164,768,96,0.5614973262032086,0.5965909090909091,0.8888888888888888,0.6522157996146436,0.5355609073359073,0.5963391136801541,0.6128584643848288,22,33,0.09141274238227147,7,0.0103397341211226,20.991706979958533
"RJ Barrett","NYK",73,2475,4996,1431,389,786,0.494910941475827,121,390,0.31025641025641026,0.31025641025641026,290,330,448,336,27,0.4241645244215938,0.4342105263157895,0.9256198347107438,0.33163265306122447,0.5386382653061224,0.4851190476190476,0.5300222386953298,18,87,0.11068702290076336,7,0.017948717948717947,26.281049157547333
"Jordan Poole","GSW",82,2458,5217,1675,336,641,0.5241809672386896,214,637,0.3359497645211931,0.34076433121019106,361,300,372,450,192,0.44642857142857145,0.45180722891566266,0.7009345794392523,0.4984350547730829,0.507789604743083,0.5140845070422535,0.5736407432897453,8,62,0.0967238689547582,13,0.02040816326530612,29.012978142076502
"Josh Hart","NYK",76,2454,4987,743,214,356,0.601123595505618,61,164,0.3719512195121951,0.3719512195121951,132,190,238,183,0,0.4439252336448598,0.48223350253807107,1,0.3153846153846154,0.5755038461538462,0.5875,0.6264755480607083,34,40,0.11235955056179775,0,0,12.61549395877754
"Jabari Smith Jr.","HOU",79,2451,5036,1010,244,501,0.4870259481037924,120,391,0.3069053708439898,0.3076923076923077,162,316,172,318,42,0.6475409836065574,0.7559808612440191,0.8833333333333333,0.4383408071748879,0.5047221099887766,0.47533632286995514,0.5106598984771573,70,34,0.06786427145708583,1,0.0025575447570332483,18.65684426931643
"Trey Murphy III","NOP",79,2448,5035,1148,185,303,0.6105610561056105,202,497,0.40643863179074446,0.4080808080808081,172,248,122,582,24,0.6702702702702703,0.7560975609756098,0.9603960396039604,0.62125,0.5598983061480552,0.61,0.6457373271889401,42,22,0.07260726072607261,1,0.002012072434607646,16.313932980599645
"Darius Garland","CLE",69,2447,4866,1490,353,717,0.49232914923291493,169,412,0.41019417475728154,0.41119221411192214,277,202,504,294,213,0.28611898016997167,0.28939828080229224,0.5798816568047337,0.3649247121346324,0.5015888297872341,0.5372010628875111,0.5807086614173228,8,50,0.0697350069735007,4,0.009708737864077669,26.8082768723677
"Tobias Harris","PHI",74,2436,4826,1085,297,521,0.5700575815738963,126,324,0.3888888888888889,0.3888888888888889,113,294,300,354,24,0.494949494949495,0.5287769784172662,0.9365079365079365,0.3834319526627219,0.5399262721893492,0.5751479289940828,0.6020066889632107,38,49,0.09404990403071017,3,0.009259259259259259,18.411214953271028
