"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Lindell Wigginton","MIL",19,199,427,80,17,35,0.4857142857142857,9,26,0.34615384615384615,0.34615384615384615,19,26,8,27,0,0.7647058823529411,0.7647058823529411,1,0.4262295081967213,0.5807909836065573,0.5,0.5263157894736842,0,5,0.14285714285714285,1,0.038461538461538464,18.64406779661017
"Braxton Key","DET",11,197,412,79,27,51,0.5294117647058824,6,21,0.2857142857142857,0.2857142857142857,7,40,14,15,3,0.7407407407407407,0.8695652173913043,0.8333333333333334,0.2916666666666667,0.4976854166666667,0.5,0.512987012987013,8,4,0.0784313725490196,0,0,18.72340425531915
"Udoka Azubuike","UTA",17,195,400,80,37,49,0.7551020408163265,0,0,0,0,6,66,8,0,0,0.8918918918918919,0.9705882352941176,0,0,0.5452979591836735,0.7551020408163265,0.7547169811320755,6,2,0.04081632653061224,0,0,14.639639639639638
"Greg Monroe","MIN",14,195,406,76,32,57,0.5614035087719298,0,0,0,0,12,36,28,0,0,0.5625,0.782608695652174,0,0,0.5629035087719297,0.5614035087719298,0.5671641791044776,18,10,0.17543859649122806,0,0,16.88034188034188
"Mamadi Diakite","OKC",13,188,367,56,25,42,0.5952380952380952,0,5,0,0,6,42,8,0,0,0.84,0.9130434782608695,0,0.10638297872340426,0.5455063829787234,0.5319148936170213,0.5384615384615384,4,5,0.11904761904761904,0,0,13.915094339622641
"Reggie Perry","POR",10,187,377,92,37,63,0.5873015873015873,3,16,0.1875,0.1875,9,50,24,9,0,0.6756756756756757,0.7575757575757576,1,0.20253164556962025,0.5167778481012658,0.5253164556962026,0.5411764705882353,8,3,0.047619047619047616,0,0,22.802850356294538
"Kyle Guy","MIA",19,186,390,74,12,25,0.48,14,40,0.35,0.35,8,12,12,33,9,0.5,0.5,0.7857142857142857,0.6153846153846154,0.5119538461538462,0.5076923076923077,0.5285714285714286,0,3,0.12,0,0,18.820861678004533
"Willie Cauley-Stein","PHI",20,183,378,34,15,33,0.45454545454545453,1,2,0.5,0.5,1,24,6,3,0,0.8,0.9230769230769231,1,0.05714285714285714,0.5519371428571428,0.4714285714285714,0.4722222222222222,4,6,0.18181818181818182,0,0,10.141509433962264
"Frank Kaminsky","PHX",9,181,389,95,31,51,0.6078431372549019,5,15,0.3333333333333333,0.3333333333333333,18,44,18,15,0,0.7096774193548387,0.8461538461538461,1,0.22727272727272727,0.5288674242424243,0.5833333333333334,0.6418918918918919,10,3,0.058823529411764705,0,0,19.128329297820823
"Charlie Brown Jr.","PHI",22,178,366,30,9,27,0.3333333333333333,1,12,0.08333333333333333,0.08333333333333333,9,8,10,3,0,0.4444444444444444,0.5714285714285714,1,0.3076923076923077,0.5530961538461538,0.2692307692307692,0.35714285714285715,4,4,0.14814814814814814,1,0.08333333333333333,10.955710955710956
"Markus Howard","DEN",31,176,367,126,11,31,0.3548387096774194,28,70,0.4,0.4,20,12,10,69,15,0.5454545454545454,0.5454545454545454,0.8214285714285714,0.693069306930693,0.5106910891089109,0.5247524752475248,0.5740740740740741,0,8,0.25806451612903225,1,0.014285714285714285,27.44630071599045
"Jamorko Pickett","DET",13,176,369,50,5,11,0.45454545454545453,13,39,0.3333333333333333,0.3333333333333333,1,8,2,36,3,0.8,1,0.9230769230769231,0.78,0.530863,0.49,0.49019607843137253,2,1,0.09090909090909091,0,0,13.559322033898306
"Vlatko Cancar","DEN",15,176,369,62,16,29,0.5517241379310345,7,12,0.5833333333333334,0.5833333333333334,9,30,2,21,0,0.9375,1,1,0.2926829268292683,0.5553402439024391,0.6463414634146342,0.6458333333333334,2,3,0.10344827586206896,0,0,13.801452784503633
"Zavier Simpson","OKC",4,174,346,44,18,44,0.4090909090909091,1,8,0.125,0.125,5,8,28,3,0,0.2222222222222222,0.2222222222222222,1,0.15384615384615385,0.46427692307692303,0.375,0.4074074074074074,0,7,0.1590909090909091,0,0,16.202531645569618
"Victor Oladipo","MIA",8,173,349,99,20,37,0.5405405405405406,15,36,0.4166666666666667,0.42857142857142855,14,10,30,21,24,0.25,0.25,0.4666666666666667,0.4931506849315068,0.5315444444444445,0.5821917808219178,0.6049382716049383,0,3,0.08108108108108109,0,0,25.593667546174142
"Hassani Gravett","ORL",8,171,334,50,7,12,0.5833333333333334,11,26,0.4230769230769231,0.44,3,6,8,24,9,0.42857142857142855,0.42857142857142855,0.7272727272727273,0.6842105263157895,0.5040337837837837,0.618421052631579,0.625,0,3,0.25,0,0,13.424657534246576
"Charles Bassey","PHI",23,168,340,69,30,43,0.6976744186046512,0,4,0,0,9,40,20,0,0,0.6666666666666666,0.9523809523809523,0,0.0851063829787234,0.5723744680851064,0.6382978723404256,0.6634615384615384,18,3,0.06976744186046512,0,0,15.503875968992247
"Alize Johnson","NOP",23,167,326,41,17,35,0.4857142857142857,0,4,0,0,7,18,16,0,0,0.5294117647058824,0.9,0,0.10256410256410256,0.5631973684210526,0.4358974358974359,0.4659090909090909,14,7,0.2,0,0,14.507772020725389
"Kevin Pangos","CLE",24,166,339,39,9,20,0.45,6,26,0.23076923076923078,0.23076923076923078,3,2,16,6,12,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.5652173913043478,0.49977173913043477,0.391304347826087,0.40625,0,1,0.05,0,0,14.666666666666666
"Haywood Highsmith","MIA",19,163,335,43,7,18,0.3888888888888889,9,28,0.32142857142857145,0.32142857142857145,2,12,2,27,0,0.8571428571428571,1,1,0.6086956521739131,0.5605967391304347,0.44565217391304346,0.4479166666666667,2,3,0.16666666666666666,0,0,13.421052631578949
"Sam Hauser","BOS",26,158,327,65,4,6,0.6666666666666666,19,44,0.4318181818181818,0.4318181818181818,0,6,2,57,0,0.75,1,1,0.88,0.534949,0.65,0.65,2,1,0.16666666666666666,0,0,13.866666666666667
"Paul Watson","OKC",9,156,328,31,6,9,0.6666666666666666,6,26,0.23076923076923078,0.23076923076923078,1,6,6,18,0,0.5,0.6,1,0.7428571428571429,0.5311314285714286,0.42857142857142855,0.4305555555555556,2,1,0.1111111111111111,0,0,10.81081081081081
