"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Mikal Bridges","PHX",82,2854,157,0,84,29,0,0,9,0.09200438116100766,0.13976705490848584,0
"Miles Bridges","CHA",80,2837,333,4,162,39,0,0,20,0.1211667913238594,0.18577981651376146,0
"DeMar DeRozan","CHI",76,2743,593,20,282,71,5,3,32,0.16418764302059496,0.17581047381546136,0.034722222222222224
"Jayson Tatum","BOS",76,2731,469,36,174,39,14,2,44,0.10987726475745178,0.16603053435114504,0.021116138763197588
"Saddiq Bey","DET",82,2704,254,5,111,25,5,1,19,0.09461663947797716,0.18137254901960784,0.008143322475570033
"Tyrese Haliburton","IND",77,2694,190,10,79,18,3,1,16,0.08436213991769548,0.1359724612736661,0.0076726342710997444
"Russell Westbrook","LAL",78,2678,399,2,176,37,2,0,38,0.12954876273653565,0.15898825654923215,0.00749063670411985
"Trae Young","ATL",76,2652,553,26,136,29,16,3,122,0.09079975947083584,0.13064361191162344,0.024115755627009645
"Tyrese Maxey","PHI",75,2650,246,11,114,35,2,1,17,0.10790697674418605,0.14901960784313725,0.0064516129032258064
"Dorian Finney-Smith","DAL",80,2644,83,0,36,7,0,0,9,0.049930651872399444,0.1258741258741259,0
"Scottie Barnes","TOR",74,2617,215,1,107,30,0,0,13,0.10604558969276512,0.13112745098039216,0
"Harrison Barnes","SAC",77,2587,413,18,186,50,0,0,37,0.19175257731958764,0.30491803278688523,0
"Pascal Siakam","TOR",68,2578,379,3,180,49,0,0,32,0.13452914798206278,0.16071428571428573,0
"Julius Randle","NYK",72,2544,401,4,164,42,1,0,53,0.12052593133674215,0.16768916155419222,0.0025575447570332483
"Tobias Harris","PHI",73,2543,202,8,97,30,2,0,12,0.09074243813015583,0.11916461916461916,0.007220216606498195
"Jalen Brunson","DAL",79,2524,213,10,78,26,5,0,30,0.07793427230046948,0.09653465346534654,0.019455252918287938
"Buddy Hield","IND",81,2499,127,30,26,7,6,2,18,0.027678571428571427,0.06483790523690773,0.006954102920723227
"Nikola Jokic","DEN",74,2476,468,28,185,71,3,1,66,0.1317449194113525,0.1627088830255057,0.010344827586206896
"Karl-Anthony Towns","MIN",74,2476,467,11,215,69,5,1,40,0.16129032258064516,0.21629778672032193,0.013513513513513514
"Anthony Edwards","MIN",72,2466,280,7,125,31,2,1,25,0.09477611940298507,0.16960651289009498,0.003316749585406302
"Fred VanVleet","TOR",65,2462,222,21,64,15,14,2,26,0.06735751295336788,0.12698412698412698,0.021406727828746176
"Terry Rozier","CHA",73,2458,176,11,58,26,13,3,19,0.058726220016542596,0.09570957095709572,0.02155887230514096
"Gary Trent Jr.","TOR",70,2448,204,20,60,12,9,1,25,0.06042031523642732,0.10186757215619695,0.0162748643761302
"Darius Garland","CLE",68,2430,241,28,74,19,4,1,39,0.06336311941510966,0.09560723514211886,0.0087527352297593
"Franz Wagner","ORL",79,2429,219,1,98,19,4,0,15,0.09640831758034027,0.1251596424010217,0.014545454545454545
"LaMelo Ball","CHA",75,2422,243,19,87,22,5,2,31,0.06959152798789713,0.11538461538461539,0.008802816901408451
"James Harden","PHI",65,2420,536,20,194,41,41,14,37,0.20051194539249148,0.2783357245337159,0.0863157894736842
"Nikola Vucevic","CHI",73,2418,121,4,51,15,0,0,14,0.04285714285714286,0.059371362048894066,0
"RJ Barrett","NYK",70,2417,406,0,195,40,2,0,24,0.14581791265729088,0.20634920634920634,0.0049261083743842365
"Royce O'Neale","UTA",77,2406,56,0,20,8,0,0,12,0.043859649122807015,0.13333333333333333,0
"Keldon Johnson","SAS",75,2392,234,0,111,31,5,1,14,0.10593607305936073,0.16040462427745664,0.01240694789081886
"Aaron Gordon","DEN",75,2376,230,0,107,33,3,0,20,0.1207464324917673,0.16512345679012347,0.011406844106463879
"Dejounte Murray","SAS",68,2366,247,5,112,30,4,2,19,0.08685800604229607,0.10884353741496598,0.010169491525423728
"Evan Fournier","NYK",80,2358,113,9,42,13,7,1,7,0.049,0.112,0.0112
"Patty Mills","BKN",81,2346,59,4,11,4,8,2,9,0.023543990086741014,0.04721030042918455,0.013937282229965157
"Devin Booker","PHX",68,2345,363,19,134,39,3,1,53,0.09025032938076416,0.12909441233140656,0.00625
"Reggie Jackson","LAC",75,2337,163,6,56,10,2,1,26,0.045705279747832936,0.07407407407407407,0.003898635477582846
"Herbert Jones","NOP",78,2335,163,6,71,15,0,0,15,0.11234177215189874,0.15334773218142547,0
"Evan Mobley","CLE",69,2331,252,1,123,30,0,0,17,0.13326110509209102,0.148014440433213,0
"Andrew Wiggins","GSW",73,2330,235,0,121,31,2,1,10,0.11081081081081082,0.1704225352112676,0.005
"Kentavious Caldwell-Pope","WAS",77,2329,154,14,58,12,4,3,15,0.07069555302166476,0.12393162393162394,0.009779951100244499
"Zach LaVine","CHI",67,2328,375,27,148,34,6,1,33,0.11800766283524904,0.17939393939393938,0.0125
"Alec Burks","NYK",81,2318,264,8,97,21,15,4,21,0.1374233128834356,0.23373493975903614,0.0375
"Terance Mann","LAC",81,2317,164,1,75,15,0,0,13,0.1,0.13837638376383765,0
"Luka Doncic","DAL",65,2301,489,9,214,54,2,1,51,0.13810741687979539,0.2152917505030181,0.0035087719298245615
"Joel Embiid","PHI",68,2297,803,9,370,85,1,0,67,0.22901234567901235,0.27046783625730997,0.003968253968253968
"Marcus Smart","BOS",71,2296,179,0,65,17,4,2,28,0.08984375,0.16009852216748768,0.011049723756906077
"Jordan Poole","GSW",76,2283,266,16,87,23,14,4,31,0.0892226148409894,0.16051660516605165,0.023728813559322035
"Will Barton","DEN",71,2276,127,4,57,10,2,1,8,0.0625,0.1111111111111111,0.004640371229698376
"Desmond Bane","MEM",76,2266,155,28,51,16,2,0,17,0.04657293497363796,0.08319738988580751,0.0038095238095238095
"Donovan Mitchell","UTA",67,2266,313,6,121,41,16,2,31,0.09319727891156462,0.15087281795511223,0.023952095808383235
"Jonas Valanciunas","NOP",74,2240,289,0,134,31,0,0,26,0.1287223823246878,0.15175537938844846,0
"Monte Morris","DEN",75,2239,84,3,29,6,5,2,9,0.0425531914893617,0.06016597510373444,0.015772870662460567
"Jaylen Brown","BOS",66,2220,318,4,146,37,6,0,21,0.11411411411411411,0.16937354988399073,0.01276595744680851
"Stephen Curry","GSW",64,2211,298,33,77,22,28,3,27,0.08052147239263803,0.14555765595463138,0.03612903225806452
"Jrue Holiday","MIL",67,2208,180,5,75,11,0,0,17,0.07367387033398821,0.10760401721664276,0
"Giannis Antetokounmpo","MIL",67,2204,766,1,366,86,1,0,52,0.24049803407601572,0.2852689010132502,0.00411522633744856
"Kyle Kuzma","WAS",66,2204,219,0,101,25,0,0,21,0.09980237154150198,0.15855572998430142,0
"Derrick White","BOS",75,2199,235,8,109,28,1,0,16,0.12471655328798185,0.212890625,0.002702702702702703
"Kevin Huerter","ATL",74,2188,52,1,17,4,3,1,7,0.025806451612903226,0.04696132596685083,0.007263922518159807
"Devonte' Graham","NOP",76,2162,140,16,38,12,6,1,21,0.05200945626477541,0.1366906474820144,0.01056338028169014
"Tyler Herro","MIA",66,2151,219,10,73,13,9,3,28,0.06823925863521482,0.09825033647375504,0.018018018018018018
"CJ McCollum","NOP",62,2145,170,4,77,25,3,0,14,0.06562756357670221,0.10307898259705489,0.006355932203389831
"Khris Middleton","MIL",66,2141,291,27,80,17,23,5,30,0.09264305177111716,0.12307692307692308,0.04878048780487805
"Jordan Clarkson","UTA",79,2141,174,7,63,25,12,2,17,0.06459948320413436,0.11371841155234658,0.019769357495881382
"Chris Paul","PHX",65,2139,202,13,31,7,3,1,63,0.04461942257217848,0.05525846702317291,0.014925373134328358
"Malik Monk","LAL",76,2139,117,6,48,13,0,0,14,0.05574912891986063,0.11455847255369929,0
"Jalen Green","HOU",67,2138,236,12,104,23,1,1,17,0.10144927536231885,0.18024263431542462,0.002183406113537118
"Domantas Sabonis","SAC",62,2136,332,0,153,42,0,0,34,0.17307692307692307,0.2015810276679842,0
"Seth Curry","BKN",64,2134,94,21,15,7,10,4,14,0.031914893617021274,0.040214477211796246,0.023746701846965697
"Kyle Lowry","MIA",63,2133,174,1,50,10,6,2,35,0.08208955223880597,0.17543859649122806,0.012987012987012988
"Bojan Bogdanovic","UTA",69,2131,260,15,90,19,4,1,36,0.09381237524950099,0.1694915254237288,0.008492569002123142
"Jaren Jackson Jr.","MEM",78,2126,345,1,154,35,9,1,22,0.14015477214101463,0.20424403183023873,0.022004889975550123
"Rudy Gobert","UTA",66,2120,439,1,172,27,0,0,59,0.26339969372128635,0.2650231124807396,0
"Ayo Dosunmu","CHI",77,2110,78,0,35,12,0,0,9,0.06272401433691756,0.09408602150537634,0
