"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Mikal Bridges","NYK",82,3036,118,2,51,14,2,0,11,0.04337152209492635,0.06737120211360634,0.004301075268817204
"Josh Hart","NYK",77,2897,205,0,103,29,0,0,14,0.1221826809015421,0.17428087986463622,0
"Anthony Edwards","MIN",79,2871,496,16,225,56,8,2,32,0.13038612199216565,0.23195876288659795,0.009791921664626682
"Devin Booker","PHX",75,2795,483,22,181,41,21,5,45,0.12706480304955528,0.17938553022794845,0.033628318584070796
"James Harden","LAC",79,2789,578,23,180,34,60,11,36,0.1610738255033557,0.23285899094437257,0.08368200836820083
"DeMar DeRozan","SAC",77,2768,441,23,212,54,9,2,13,0.1500339443312967,0.17520661157024794,0.034220532319391636
"Trae Young","ATL",76,2739,561,22,167,36,20,1,94,0.12254259501965924,0.1930635838150289,0.030257186081694403
"Tyler Herro","MIA",77,2725,327,27,116,28,25,7,18,0.09446693657219973,0.1459119496855346,0.034934497816593885
"OG Anunoby","NYK",74,2706,226,1,116,26,1,0,8,0.10502692998204669,0.1776416539050536,0.0021691973969631237
"Jalen Green","HOU",82,2697,336,11,133,25,18,6,22,0.09698137443802184,0.1504524886877828,0.02674591381872214
"Christian Braun","DEN",79,2675,214,0,113,28,0,0,8,0.12472406181015452,0.1656891495601173,0
"Bam Adebayo","MIA",78,2674,327,3,152,31,0,0,27,0.12317666126418152,0.15004935834155972,0
"Ivica Zubac","LAC",80,2624,236,0,124,36,0,0,12,0.1203883495145631,0.1203883495145631,0
"Jayson Tatum","BOS",72,2624,440,27,155,34,23,3,37,0.1102803738317757,0.18065268065268064,0.029451137884872823
"Jaden McDaniels","MIN",82,2614,128,2,61,20,1,0,11,0.07077625570776255,0.10664335664335664,0.003289473684210526
"Keegan Murray","SAC",76,2610,72,0,40,14,2,0,0,0.049528301886792456,0.10075566750629723,0.004434589800443459
"Zach LaVine","SAC",74,2603,285,13,135,34,3,0,14,0.1039939713639789,0.1713197969543147,0.0055658627087198514
"Shai Gilgeous-Alexander","OKC",76,2598,669,35,269,60,12,1,64,0.14933333333333335,0.18811188811188811,0.024719101123595506
