"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"DeMar DeRozan","CHI",79,2989,612,23,273,70,4,1,53,0.17745035233824472,0.204801200300075,0.017543859649122806
"Domantas Sabonis","SAC",82,2928,415,0,211,57,0,0,23,0.17266775777414076,0.18590308370044054,0
"Coby White","CHI",79,2881,260,4,110,25,3,0,27,0.08712413261372398,0.14905149051490515,0.005366726296958855
"Mikal Bridges","BKN",82,2854,317,19,118,28,11,3,33,0.09202012940330698,0.14898989898989898,0.01669449081803005
"Paolo Banchero","ORL",80,2799,559,6,266,51,3,0,32,0.16553846153846155,0.20928402832415421,0.00847457627118644
"Kevin Durant","PHX",75,2791,423,15,173,44,8,2,45,0.11464968152866242,0.14939550949913644,0.01699029126213592
"Dejounte Murray","ATL",78,2783,262,7,105,24,13,5,20,0.07543520309477757,0.10606060606060606,0.0213903743315508
"Anthony Edwards","MIN",79,2770,506,7,234,68,6,1,43,0.13880855986119145,0.19630872483221476,0.0111731843575419
"Nikola Jokic","DEN",79,2737,438,5,180,59,1,0,64,0.11806914546640573,0.13835511145272866,0.004310344827586207
"Jalen Brunson","NYK",77,2726,497,38,208,81,17,5,44,0.12492997198879552,0.16653322658126501,0.027985074626865673
"Josh Hart","NYK",81,2707,115,0,53,15,0,0,11,0.07391910739191074,0.11546840958605664,0
"Anthony Davis","LAL",76,2700,516,19,221,60,1,0,55,0.15363321799307958,0.16529543754674644,0.009259259259259259
"Fred VanVleet","HOU",73,2684,229,34,81,18,1,0,25,0.07578558225508318,0.16363636363636364,0.0017035775127768314
"De'Aaron Fox","SAC",74,2659,423,3,181,44,7,1,41,0.11058545239503252,0.16365280289330922,0.010256410256410256
"Pascal Siakam","IND",80,2658,396,0,208,65,1,0,19,0.14770318021201415,0.1780821917808219,0.004048582995951417
"Jayson Tatum","BOS",74,2645,497,27,193,41,17,4,44,0.13144654088050314,0.19917440660474717,0.02576489533011272
"Austin Reaves","LAL",82,2629,272,21,91,30,6,1,43,0.09642147117296222,0.1566265060240964,0.01411764705882353
"Tyrese Maxey","PHI",70,2626,378,29,171,53,3,1,25,0.11306042884990253,0.17665289256198347,0.005253940455341506
"Luka Doncic","DAL",70,2624,608,19,281,77,2,1,50,0.15239633817985998,0.2526978417266187,0.0026845637583892616
"Nikola Vucevic","CHI",76,2610,129,3,59,19,0,0,14,0.04716227018385292,0.0628997867803838,0
"Jalen Green","HOU",82,2602,352,8,155,42,7,3,30,0.11180124223602485,0.18452380952380953,0.011494252873563218
"Rudy Gobert","MIN",76,2593,390,0,166,42,0,0,49,0.22493224932249323,0.22585034013605443,0
"Keegan Murray","SAC",77,2589,124,1,54,11,2,0,10,0.054901960784313725,0.10650887573964497,0.003898635477582846
"Miles Bridges","CHA",69,2581,211,7,109,40,2,0,10,0.08665105386416862,0.13148371531966224,0.004424778761061947
"Damian Lillard","MIL",73,2579,514,37,156,30,29,5,61,0.1296426068675543,0.1997439180537772,0.04489164086687306
"Giannis Antetokounmpo","MIL",73,2567,782,0,376,105,1,0,66,0.22973796465569774,0.24802110817941952,0.008
"Michael Porter Jr.","DEN",81,2565,110,1,45,16,7,0,7,0.04663677130044843,0.0812274368231047,0.012477718360071301
"Shai Gilgeous-Alexander","OKC",75,2553,649,28,272,74,0,0,78,0.16142433234421366,0.192090395480226,0
"Grayson Allen","PHX",75,2513,147,1,59,15,3,0,16,0.0850480109739369,0.2099644128113879,0.006696428571428571
"LeBron James","LAL",71,2504,404,2,214,73,3,1,17,0.1536827195467422,0.2043935052531041,0.00821917808219178
"Paul George","LAC",74,2502,291,26,110,27,7,1,28,0.08830188679245284,0.15047879616963064,0.011784511784511785
"Dennis Schroder","BKN",80,2486,213,13,75,16,2,0,28,0.07793522267206478,0.12135922330097088,0.005405405405405406
"D'Angelo Russell","LAL",76,2484,192,13,72,17,4,0,20,0.06672519754170325,0.12203389830508475,0.007285974499089253
"James Harden","LAC",72,2470,344,13,101,26,41,7,23,0.15069967707212056,0.2469437652811736,0.075
"Devin Booker","PHX",68,2447,457,40,159,39,15,0,49,0.12083333333333333,0.15789473684210525,0.03464203233256351
"Jarrett Allen","CLE",77,2442,314,0,141,31,0,0,30,0.15177610333692143,0.15276273022751896,0
"Jabari Smith Jr.","HOU",76,2424,185,1,88,20,2,0,10,0.09966777408637874,0.1689059500959693,0.005235602094240838
"Stephen Curry","GSW",74,2421,324,19,103,27,20,9,45,0.08028720626631854,0.15968992248062017,0.02254791431792559
"Bam Adebayo","MIA",71,2416,387,0,179,35,0,0,32,0.15417743324720068,0.15996425379803395,0
"Chet Holmgren","OKC",82,2413,275,1,134,31,2,0,15,0.1285444234404537,0.18953323903818953,0.005698005698005698
"Brook Lopez","MIL",79,2411,134,0,66,20,0,0,11,0.08239700374531835,0.16624685138539042,0
"Kentavious Caldwell-Pope","DEN",76,2402,113,20,31,7,3,0,14,0.05537459283387622,0.10231023102310231,0.00964630225080386
"Bogdan Bogdanovic","ATL",79,2401,164,9,59,12,9,1,12,0.05887445887445888,0.116600790513834,0.01386748844375963
"Brandon Miller","CHA",74,2383,173,4,81,25,5,1,11,0.07443082311733801,0.12538699690402477,0.008064516129032258
"Derrick White","BOS",73,2381,152,7,73,19,0,0,9,0.08174692049272117,0.18341708542713567,0
"Harrison Barnes","SAC",82,2381,196,22,85,19,1,0,9,0.10763454317897372,0.20581113801452786,0.0025906735751295338
"Tobias Harris","PHI",70,2368,213,5,102,26,3,1,13,0.10204081632653061,0.13263979193758127,0.011538461538461539
"Donte DiVincenzo","NYK",81,2360,114,3,32,8,8,0,16,0.03861003861003861,0.09907120743034056,0.011220196353436185
"Jordan Poole","WAS",78,2346,219,15,90,27,4,1,20,0.07507987220447285,0.13138686131386862,0.007054673721340388
"Jaylen Brown","BOS",70,2343,300,2,147,44,8,2,14,0.11355311355311355,0.15489989462592202,0.019230769230769232
"Malik Beasley","MIL",79,2337,35,4,10,2,1,1,6,0.015068493150684932,0.05319148936170213,0.0018450184501845018
"Franz Wagner","ORL",72,2337,319,13,140,34,3,0,27,0.11867219917012448,0.16129032258064516,0.008902077151335312
"Kawhi Leonard","LAC",68,2330,286,14,120,42,2,2,36,0.09838709677419355,0.13274336283185842,0.005952380952380952
"Herbert Jones","NOP",76,2321,158,1,68,11,0,0,17,0.10542635658914729,0.1827956989247312,0
"Aaron Gordon","DEN",73,2297,269,0,139,40,0,0,16,0.1705521472392638,0.20531757754800592,0
"Klay Thompson","GSW",77,2284,137,11,48,12,10,3,9,0.04931972789115646,0.10062893081761007,0.01430615164520744
"Kyle Kuzma","WAS",70,2281,240,4,121,34,3,2,12,0.08850820842255532,0.12736842105263158,0.0066518847006651885
"Jrue Holiday","BOS",69,2263,72,1,29,7,0,0,10,0.040787623066104076,0.07455012853470437,0
"Deni Avdija","WAS",75,2257,273,2,141,44,3,1,13,0.15964523281596452,0.21203007518796993,0.012658227848101266
"Devin Vassell","SAS",68,2248,201,13,89,30,9,1,8,0.08726625111308994,0.13303437967115098,0.019823788546255508
"Luguentz Dort","OKC",79,2246,155,2,72,14,1,0,9,0.10195530726256984,0.22570532915360503,0.0025188916876574307
"Max Strus","CLE",70,2239,97,2,28,8,8,1,12,0.04768211920529802,0.10408921933085502,0.01646090534979424
"Dillon Brooks","HOU",72,2227,147,1,67,11,2,0,9,0.08353510895883777,0.14757709251101322,0.005376344086021506
"Tyrese Haliburton","IND",69,2224,227,32,94,40,3,2,22,0.08794197642792384,0.1657848324514991,0.005597014925373134
"Jalen Williams","OKC",71,2223,221,3,105,22,0,0,15,0.09758364312267657,0.12574850299401197,0
"P.J. Washington","DAL",73,2221,145,2,72,21,0,0,10,0.08352668213457076,0.1603563474387528,0
"Jaden Ivey","DET",77,2218,303,1,150,32,3,1,14,0.13998170173833485,0.2077562326869806,0.008086253369272238
"Ayo Dosunmu","CHI",76,2212,105,1,50,9,1,1,6,0.06710526315789474,0.10752688172043011,0.003389830508474576
"Zion Williamson","NOP",70,2207,494,0,272,80,0,0,14,0.2115085536547434,0.21451104100946372,0
"Mike Conley","MIN",76,2193,112,10,33,8,4,1,17,0.05505952380952381,0.125,0.00980392156862745
"Jeremy Sochan","SAS",74,2193,144,0,71,14,0,0,7,0.08523409363745499,0.11716171617161716,0
"Buddy Hield","PHI",84,2160,59,8,13,3,4,0,9,0.01853997682502897,0.04452054794520548,0.005253940455341506
"CJ McCollum","NOP",66,2159,139,3,61,12,4,2,10,0.05877034358047016,0.11151736745886655,0.007155635062611807
"Spencer Dinwiddie","LAL",76,2152,210,1,90,21,10,2,11,0.1394700139470014,0.26392961876832843,0.026595744680851064
"Tre Jones","SAS",77,2138,118,5,38,7,0,0,21,0.060221870047543584,0.08636363636363636,0
"Grant Williams","CHA",76,2130,140,2,56,15,2,1,17,0.08823529411764706,0.18064516129032257,0.002976190476190476
"Jaren Jackson Jr.","MEM",66,2124,417,2,193,50,3,0,34,0.14984709480122324,0.2055378061767838,0.008130081300813009
"Tim Hardaway Jr.","DAL",79,2120,169,2,57,17,12,4,19,0.0673828125,0.1360381861575179,0.019834710743801654
"Nic Claxton","BKN",71,2116,196,0,88,24,0,0,22,0.13622291021671826,0.1372854914196568,0
"Jaime Jaquez Jr.","MIA",75,2113,175,0,86,20,0,0,12,0.1127129750982962,0.1532976827094474,0
"Taurean Prince","LAL",78,2108,68,1,28,9,2,0,7,0.050590219224283306,0.11914893617021277,0.00558659217877095
"Victor Wembanyama","SAS",71,2106,367,13,165,42,8,3,24,0.13165905631659056,0.18032786885245902,0.020050125313283207
"Jaden McDaniels","MIN",72,2105,79,0,39,12,1,1,6,0.061068702290076333,0.0975,0.00392156862745098
"Brandon Ingram","NOP",64,2103,307,9,122,24,7,1,30,0.11507582515611062,0.13974799541809851,0.028225806451612902
"Scottie Barnes","TOR",60,2094,251,10,109,30,2,0,23,0.10850439882697947,0.1503448275862069,0.006711409395973154
"Jusuf Nurkic","PHX",76,2078,261,0,120,27,0,0,22,0.16666666666666666,0.19047619047619047,0
"Myles Turner","IND",77,2077,317,0,165,45,0,0,16,0.16034985422740525,0.23404255319148937,0
"Cam Thomas","BKN",66,2075,334,13,139,29,18,8,19,0.11984732824427481,0.15376106194690264,0.04433497536945813
"Collin Sexton","UTA",78,2075,370,13,160,42,1,0,37,0.13915298184961106,0.19253910950661854,0.003067484662576687
"Cade Cunningham","DET",62,2074,274,37,104,21,5,0,19,0.08685258964143426,0.11366120218579236,0.014705882352941176
"Corey Kispert","WAS",80,2067,157,2,72,25,3,1,15,0.08896797153024912,0.1994459833795014,0.006224066390041493
"Saddiq Bey","ATL",63,2062,203,0,106,26,3,2,5,0.14010282776349614,0.2529832935560859,0.008356545961002786
"Kelly Oubre Jr.","PHI",68,2055,232,2,118,29,2,0,8,0.1238390092879257,0.1838006230529595,0.0061162079510703364
"Alperen Sengun","HOU",63,2046,352,0,157,39,1,0,36,0.14350590372388738,0.15874620829120323,0.008928571428571428
"Jimmy Butler","MIA",60,2042,459,29,205,46,0,0,33,0.21533613445378152,0.2540272614622057,0
"Terry Rozier","MIA",61,2040,198,13,62,12,17,5,17,0.07452830188679245,0.09717868338557993,0.04028436018957346
"Alex Caruso","CHI",71,2040,96,0,36,5,1,0,13,0.06457242582897033,0.1506276150627615,0.0029940119760479044
"Keldon Johnson","SAS",69,2038,221,1,110,27,3,1,10,0.11932418162618796,0.1903114186851211,0.008130081300813009
"Kyrie Irving","DAL",58,2030,210,21,79,25,6,1,21,0.07142857142857142,0.10340314136125654,0.014084507042253521
"Karl-Anthony Towns","MIN",62,2026,292,11,140,41,0,0,22,0.13333333333333333,0.19363762102351315,0
"Jalen Suggs","ORL",75,2025,156,2,63,14,2,2,19,0.08519003931847968,0.16666666666666666,0.005194805194805195
"Keyonte George","UTA",75,2023,223,8,89,20,15,4,10,0.11620111731843576,0.20045045045045046,0.03325942350332594
"Josh Giddey","OKC",80,2012,124,4,63,21,0,0,8,0.07086614173228346,0.09752321981424149,0
"Bobby Portis","MIL",82,2008,124,0,56,14,0,0,12,0.058333333333333334,0.0784313725490196,0
"Aaron Nesmith","IND",72,1995,137,1,62,23,3,0,12,0.09601181683899557,0.18235294117647058,0.008902077151335312
"Gary Trent Jr.","TOR",71,1994,96,9,35,13,6,0,5,0.046857142857142854,0.08413461538461539,0.013071895424836602
"Norman Powell","LAC",76,1990,172,1,69,15,11,1,9,0.0950661853188929,0.15753424657534246,0.02544529262086514
"Immanuel Quickley","TOR",68,1985,245,13,104,19,4,1,17,0.109979633401222,0.19047619047619047,0.009174311926605505
"Brandin Podziemski","GSW",74,1968,79,4,37,13,0,0,5,0.05958132045088567,0.09560723514211886,0
"Naz Reid","MIN",81,1964,148,2,73,16,0,0,7,0.08039647577092511,0.146,0
"Caris LeVert","CLE",68,1958,201,0,88,11,4,2,14,0.10233592880978866,0.15575221238938053,0.011976047904191617
"Royce O'Neale","PHX",79,1954,35,0,14,0,0,0,4,0.02531645569620253,0.10687022900763359,0
"Jonathan Kuminga","GSW",74,1950,299,0,159,38,1,0,8,0.16260162601626016,0.19437652811735942,0.006024096385542169
"Donovan Mitchell","CLE",55,1943,318,24,116,23,6,3,38,0.1029535864978903,0.1686046511627907,0.012072434607645875
"Trae Young","ATL",54,1942,407,18,121,29,10,1,76,0.11812443642921551,0.19175911251980982,0.02092050209205021
"Dorian Finney-Smith","BKN",68,1934,46,0,18,2,0,0,6,0.03415559772296015,0.09424083769633508,0
"Tyus Jones","WAS",66,1933,40,1,16,4,3,2,3,0.027982326951399118,0.037914691943127965,0.011673151750972763
"Jonas Valanciunas","NOP",82,1925,205,0,99,17,1,0,11,0.12468827930174564,0.14537444933920704,0.008264462809917356
"Nickeil Alexander-Walker","MIN",82,1921,65,2,23,4,1,0,10,0.043010752688172046,0.1036036036036036,0.002976190476190476
"Andrew Wiggins","GSW",71,1920,189,0,92,12,3,1,5,0.11020881670533643,0.15181518151815182,0.01171875
"Duncan Robinson","MIA",68,1906,90,5,20,3,9,2,12,0.04148783977110158,0.091324200913242,0.01875
