"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Juan Toscano-Anderson","UTA",52,700,24,0,9,2,0,0,4,0.06,0.08411214953271028,0
"Malachi Flynn","TOR",53,691,33,0,12,3,1,1,6,0.05179282868525897,0.1016949152542373,0.007518796992481203
"Duncan Robinson","MIA",42,690,32,1,6,3,5,1,6,0.045081967213114756,0.125,0.025510204081632654
"Chimezie Metu","SAC",66,689,73,0,35,8,0,0,6,0.14227642276422764,0.16826923076923078,0
"T.J. Warren","PHX",42,687,35,0,17,6,1,1,3,0.06405693950177936,0.0794392523364486,0.014925373134328358
"Garrison Mathews","ATL",54,686,53,4,9,1,10,1,2,0.08294930875576037,0.3103448275862069,0.047872340425531915
"Montrezl Harrell","PHI",57,681,101,0,55,17,0,0,4,0.22267206477732793,0.22821576763485477,0
"Jordan McLaughlin","MIN",43,678,18,1,7,1,0,0,2,0.046357615894039736,0.0958904109589041,0
"Jae'Sean Tate","HOU",31,678,69,0,29,9,0,0,10,0.11646586345381527,0.14285714285714285,0
"Blake Wesley","SAS",37,669,44,0,18,3,1,0,4,0.08225108225108226,0.10112359550561797,0.018867924528301886
"Sandro Mamukelashvili","SAS",43,661,57,0,26,5,0,0,5,0.10358565737051793,0.17105263157894737,0
"Eugene Omoruyi","DET",40,645,75,0,31,8,1,0,9,0.12698412698412698,0.19135802469135801,0.011111111111111112
"Payton Pritchard","BOS",48,643,16,1,7,1,0,0,1,0.027888446215139442,0.07216494845360824,0
"Amir Coffey","LAC",50,625,63,0,29,5,0,0,5,0.17159763313609466,0.2248062015503876,0
"Anthony Gill","WAS",59,625,67,0,29,8,1,0,7,0.19480519480519481,0.23387096774193547,0.03333333333333333
"Jabari Walker","POR",56,619,45,0,21,5,0,0,4,0.09813084112149532,0.13291139240506328,0
"Darius Bazley","PHX",43,616,70,0,38,6,0,0,0,0.17674418604651163,0.2345679012345679,0
"Juancho Hernangomez","TOR",42,614,16,0,8,2,0,0,1,0.06666666666666667,0.1509433962264151,0
"Jaxson Hayes","NOP",47,610,83,0,40,9,1,0,5,0.21808510638297873,0.25316455696202533,0.03333333333333333
"Frank Ntilikina","DAL",47,607,33,0,16,3,0,0,1,0.1103448275862069,0.20512820512820512,0
"DeAndre Jordan","DEN",39,586,48,0,24,6,0,0,3,0.18045112781954886,0.18181818181818182,0
"Blake Griffin","BOS",41,569,32,0,13,4,0,0,4,0.09352517985611511,0.1780821917808219,0
"Ousmane Dieng","OKC",39,569,23,0,12,3,0,0,1,0.06315789473684211,0.13043478260869565,0
"Kris Dunn","UTA",22,568,53,0,30,9,0,0,1,0.12658227848101267,0.14925373134328357,0
"Patty Mills","BKN",40,567,30,1,5,1,4,0,4,0.041474654377880185,0.06329113924050633,0.028985507246376812
"Ricky Rubio","CLE",33,566,35,0,14,2,0,0,5,0.07368421052631578,0.12962962962962962,0
"Ziaire Williams","MEM",37,561,22,0,12,4,0,0,1,0.058823529411764705,0.11214953271028037,0
"Day'Ron Sharpe","BKN",48,553,55,0,25,6,0,0,6,0.13157894736842105,0.13966480446927373,0
"Kai Jones","CHA",46,550,26,0,16,8,0,0,1,0.125,0.14678899082568808,0
"Lindy Waters III","OKC",41,531,20,2,4,0,3,0,1,0.03783783783783784,0.2,0.01818181818181818
"Rodney McGruder","DET",32,524,22,0,8,1,1,0,2,0.05625,0.12903225806451613,0.01020408163265306
"Chuma Okeke","ORL",27,518,21,0,9,1,0,0,2,0.06923076923076923,0.20454545454545456,0
"James Bouknight","CHA",34,515,30,0,14,2,0,0,2,0.06829268292682927,0.14583333333333334,0
"Max Christie","LAL",41,512,16,0,7,0,0,0,1,0.061946902654867256,0.13725490196078433,0
"Charles Bassey","SAS",35,508,37,0,17,5,0,0,4,0.11564625850340136,0.1223021582733813,0
"Raul Neto","CLE",48,505,34,0,11,2,0,0,7,0.09243697478991597,0.14285714285714285,0
"Davis Bertans","DAL",45,492,15,0,1,1,4,0,1,0.03048780487804878,0.05263157894736842,0.027586206896551724
"Taj Gibson","WAS",48,480,42,0,17,4,0,0,5,0.12318840579710146,0.14912280701754385,0
"Javonte Green","CHI",32,480,45,0,22,5,2,0,0,0.1889763779527559,0.24444444444444444,0.05405405405405406
"Damian Jones","UTA",41,477,29,0,13,1,0,0,1,0.1326530612244898,0.16049382716049382,0
"Isaiah Roby","SAS",42,474,41,1,21,6,0,0,2,0.12352941176470589,0.19090909090909092,0
"Stanley Johnson","SAS",30,469,39,0,19,7,0,0,4,0.1417910447761194,0.20212765957446807,0
"Svi Mykhailiuk","CHA",32,468,39,0,10,2,5,2,5,0.08152173913043478,0.12195121951219512,0.049019607843137254
"Evan Fournier","NYK",27,459,21,0,4,0,1,0,5,0.029239766081871343,0.07142857142857142,0.008695652173913044
"Willy Hernangomez","NOP",37,458,104,0,45,7,1,0,9,0.22115384615384615,0.22959183673469388,0.08333333333333333
"Kevon Harris","ORL",34,457,41,1,19,8,0,0,5,0.16101694915254236,0.25333333333333335,0
"Goga Bitadze","ORL",38,457,42,0,17,4,0,0,6,0.12318840579710146,0.15178571428571427,0
"Admiral Schofield","ORL",37,451,23,0,7,2,1,1,5,0.06299212598425197,0.1320754716981132,0.013513513513513514
"TyTy Washington Jr.","HOU",31,433,18,0,8,2,0,0,2,0.04819277108433735,0.09302325581395349,0
"Dewayne Dedmon","PHI",38,426,49,0,23,7,0,0,5,0.1377245508982036,0.1796875,0
"Orlando Robinson","MIA",31,425,31,0,14,3,0,0,2,0.14,0.14893617021276595,0
"Johnny Davis","WAS",28,423,27,1,14,4,0,0,1,0.07734806629834254,0.12612612612612611,0
"Keon Johnson","POR",40,416,41,0,18,3,0,0,4,0.09326424870466321,0.16071428571428573,0
"Jake LaRavia","MEM",35,414,9,0,5,1,0,0,0,0.050505050505050504,0.17857142857142858,0
"Dominick Barlow","SAS",28,408,25,0,12,5,0,0,3,0.12903225806451613,0.1348314606741573,0
"Bruno Fernando","ATL",39,405,50,0,23,4,0,0,4,0.17557251908396945,0.18110236220472442,0
"Cade Cunningham","DET",12,400,43,1,18,3,0,0,5,0.07531380753138076,0.10112359550561797,0
"Ish Smith","DEN",43,398,4,0,2,0,0,0,0,0.015037593984962405,0.01652892561983471,0
"Duane Washington Jr.","PHX",31,394,24,1,9,2,1,1,3,0.03802281368821293,0.05921052631578947,0.009009009009009009
"Kessler Edwards","SAC",35,386,15,0,4,1,0,0,4,0.041666666666666664,0.0975609756097561,0
"Saben Lee","PHX",25,374,57,0,25,3,0,0,5,0.17482517482517482,0.22123893805309736,0
"Gary Payton II","GSW",22,368,7,0,2,1,0,0,2,0.02857142857142857,0.045454545454545456,0
"Udoka Azubuike","UTA",36,359,20,0,9,2,0,0,2,0.11392405063291139,0.11392405063291139,0
"Gorgui Dieng","SAS",31,358,13,0,5,1,0,0,2,0.04132231404958678,0.10869565217391304,0
"Markieff Morris","DAL",35,355,10,0,3,0,0,0,0,0.025423728813559324,0.06382978723404255,0
"JaVale McGee","DAL",42,355,41,0,20,5,0,0,3,0.14285714285714285,0.14814814814814814,0
"Furkan Korkmaz","PHI",37,353,36,0,16,3,1,1,3,0.13709677419354838,0.20512820512820512,0.021739130434782608
"Richaun Holmes","SAC",42,348,19,0,9,3,0,0,1,0.09473684210526316,0.10344827586206896,0
"AJ Green","MIL",35,345,4,2,1,0,0,0,0,0.007936507936507936,0.047619047619047616,0
"Davon Reed","LAL",43,342,24,0,9,0,0,0,3,0.0967741935483871,0.19148936170212766,0
