"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"LeBron James","CLE",82,3026,531,8,247,84,5,1,50,0.14424728105323412,0.18474195961106957,0.012195121951219513
"Khris Middleton","MIL",82,2982,362,42,113,24,21,6,34,0.09738372093023256,0.11844863731656184,0.04976303317535545
"Andrew Wiggins","MIN",82,2979,314,1,142,31,4,1,25,0.10325318246110325,0.13233923578751164,0.011730205278592375
"Bradley Beal","WAS",82,2977,369,40,126,41,13,2,42,0.0879746835443038,0.12127045235803657,0.024029574861367836
"Jrue Holiday","NOP",81,2927,238,14,88,31,1,0,38,0.06835637480798772,0.09312169312169312,0.0028011204481792717
"CJ McCollum","POR",81,2923,250,10,92,22,12,2,23,0.06561514195583597,0.08371246587807098,0.024691358024691357
"Karl-Anthony Towns","MIN",82,2918,402,2,187,50,3,0,34,0.1448170731707317,0.1826171875,0.010416666666666666
"Russell Westbrook","OKC",80,2914,566,16,251,69,5,2,53,0.13675213675213677,0.16267012313674659,0.015197568389057751
"Paul George","OKC",79,2891,411,24,160,40,9,2,43,0.11520109066121335,0.18801410105757932,0.01461038961038961
"Giannis Antetokounmpo","MIL",75,2756,641,0,315,78,1,0,43,0.19280048810250153,0.2102803738317757,0.0070921985815602835
"Kemba Walker","CHA",80,2736,420,20,140,36,26,4,43,0.11148421759570182,0.16166281755196305,0.04173354735152488
"Ben Simmons","PHI",81,2732,341,1,121,26,0,0,62,0.11070448307410796,0.11182994454713494,0
"Anthony Davis","NOP",75,2727,598,23,246,67,0,0,76,0.14990859232175502,0.1663286004056795,0
"Taj Gibson","MIN",82,2727,185,0,87,25,0,0,18,0.10888610763454318,0.11387434554973822,0
"DeMar DeRozan","TOR",80,2712,559,37,232,53,5,2,51,0.14858934169278998,0.17777777777777778,0.017241379310344827
"Josh Richardson","MIA",81,2689,142,1,52,20,3,0,25,0.059782608695652176,0.08950086058519793,0.008849557522123894
"Will Barton","DEN",81,2683,226,7,92,25,4,1,25,0.08743169398907104,0.13670133729569092,0.009411764705882352
"Damian Lillard","POR",73,2670,538,39,152,29,38,4,60,0.12086513994910941,0.16721672167216722,0.05731523378582202
"Tobias Harris","LAC",80,2668,216,10,107,29,1,0,10,0.08307692307692308,0.1252927400468384,0.002242152466367713
"Donovan Mitchell","UTA",79,2638,297,12,124,34,3,1,32,0.0873452544704264,0.13747228381374724,0.005434782608695652
"Harrison Barnes","DAL",77,2634,313,25,125,24,0,0,31,0.09549274255156608,0.12807377049180327,0
"Andre Drummond","DET",78,2625,395,0,183,31,0,0,30,0.1771539206195547,0.17906066536203522,0
"Thaddeus Young","IND",81,2607,92,0,44,10,0,0,7,0.04899777282850779,0.061366806136680614,0
"Lou Williams","LAC",79,2589,491,31,161,27,17,1,58,0.11970410221923336,0.1689401888772298,0.031835205992509365
"E'Twaun Moore","NOP",82,2586,68,3,26,10,1,0,10,0.03180212014134275,0.04753199268738574,0.0033112582781456954
"Joe Ingles","UTA",82,2579,83,1,29,8,2,1,14,0.041891891891891894,0.10545454545454545,0.004301075268817204
"Jamal Murray","DEN",81,2565,253,19,92,29,13,3,24,0.09251101321585903,0.13352685050798258,0.02914798206278027
"Victor Oladipo","IND",75,2552,368,10,150,30,8,1,33,0.10762942779291552,0.1460564751703992,0.018140589569160998
"James Harden","HOU",72,2551,727,26,216,42,70,14,65,0.1698450536352801,0.2397336293007769,0.0888030888030888
"Robert Covington","PHI",80,2531,136,2,46,8,12,6,13,0.0659090909090909,0.1419753086419753,0.02158273381294964
"Kyle Lowry","TOR",78,2510,261,3,81,21,21,5,31,0.1,0.19852941176470587,0.03431372549019608
