"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"Mikal Bridges","BKN",83,2963,159,92,6,7,4,2,28,0,0,0,0,0,2,0,280
"Anthony Edwards","MIN",79,2842,186,72,7,3,8,14,5,0,0,0,0,1,0,1,278
"Zach LaVine","CHI",77,2768,159,94,7,4,4,12,4,0,0,0,0,1,2,0,289
"Nikola Vucevic","CHI",82,2746,179,107,10,29,23,4,3,1,0,0,0,1,0,0,174
"Julius Randle","NYK",77,2737,233,87,30,21,28,15,9,0,0,0,1,2,0,1,378
"Domantas Sabonis","SAC",79,2736,279,140,46,35,46,9,9,3,0,0,0,0,0,2,373
"Jayson Tatum","BOS",74,2732,160,46,8,11,21,11,3,0,0,0,0,3,1,1,401
"Spencer Dinwiddie","BKN",79,2725,187,84,14,0,14,5,18,3,0,0,0,1,1,1,251
"Evan Mobley","CLE",79,2715,218,141,9,16,18,6,9,1,0,0,0,0,0,9,249
"Dejounte Murray","ATL",74,2693,106,54,4,6,3,3,6,0,0,0,0,0,2,0,156
"DeMar DeRozan","CHI",74,2682,186,104,6,8,5,9,20,12,0,0,0,4,1,2,396
"Scottie Barnes","TOR",77,2678,170,80,13,16,10,3,17,1,0,0,0,0,2,1,210
"Harrison Barnes","SAC",82,2662,103,52,14,10,7,4,16,7,0,0,0,0,1,0,290
"Pascal Siakam","TOR",71,2652,228,103,16,19,19,12,7,1,0,0,0,2,1,3,401
"CJ McCollum","NOP",75,2649,153,82,6,0,13,2,7,2,0,0,0,0,1,2,179
"Franz Wagner","ORL",80,2609,183,78,9,6,14,9,42,2,0,0,0,1,1,0,286
"Jalen Green","HOU",76,2602,131,73,0,2,7,6,14,0,0,0,0,1,2,0,312
"Bam Adebayo","MIA",75,2598,208,86,16,23,37,13,8,2,0,0,0,0,1,6,360
"Trae Young","ATL",73,2541,104,48,3,3,12,1,37,5,0,0,0,1,5,0,466
"Fred VanVleet","TOR",69,2535,193,82,8,3,10,5,25,1,0,0,0,1,1,1,221
"Buddy Hield","IND",80,2482,156,77,4,3,4,0,2,0,0,0,0,0,1,1,68
"RJ Barrett","NYK",73,2475,179,88,10,1,8,11,7,0,0,0,0,0,0,0,268
"Jordan Poole","GSW",82,2458,214,79,8,6,24,5,13,3,0,0,0,1,2,1,342
"Josh Hart","NYK",76,2454,195,94,11,16,5,4,20,0,0,0,0,5,1,1,162
