"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"Bradley Beal","WAS",82,3028,226,103,7,9,8,13,14,13,0,0,0,0,0,1,361
"James Harden","HOU",78,2867,244,76,18,6,23,20,16,6,0,0,0,0,0,3,564
"Kemba Walker","CHA",82,2863,131,64,4,8,4,1,37,25,0,0,0,0,0,0,422
"Tobias Harris","PHI",82,2848,184,103,8,5,11,11,4,1,0,0,0,0,0,1,212
"Paul George","OKC",77,2841,214,61,8,9,19,8,27,4,0,0,0,0,0,0,420
"Damian Lillard","POR",80,2838,148,60,5,6,7,2,27,6,0,0,0,0,0,0,394
"PJ Tucker","HOU",82,2802,252,122,13,19,18,0,13,23,0,0,1,0,0,5,111
"Kevin Durant","GSW",78,2702,155,79,4,6,16,5,11,3,0,0,0,0,0,0,381
"Ben Simmons","PHI",79,2700,209,83,8,9,24,12,4,0,0,0,0,0,0,1,373
"DeMar DeRozan","SAS",77,2688,177,79,8,5,9,5,16,0,0,0,1,0,0,0,380
"LaMarcus Aldridge","SAS",81,2687,179,102,10,24,32,7,5,0,0,0,0,0,0,3,381
"Steven Adams","OKC",80,2669,204,73,43,41,30,1,13,0,0,0,0,0,0,1,278
"Klay Thompson","GSW",78,2652,157,73,4,5,13,3,9,1,0,0,0,0,0,1,168
"Andre Drummond","DET",79,2647,272,116,24,22,37,6,12,1,0,0,0,0,0,4,325
"Aaron Gordon","ORL",78,2633,172,67,9,8,13,21,7,3,0,0,0,0,0,3,262
"Russell Westbrook","OKC",73,2630,245,78,12,12,11,13,9,6,0,0,0,0,0,0,343
"Blake Griffin","DET",75,2622,199,70,10,17,24,14,17,31,0,0,0,0,0,3,573
"Buddy Hield","SAC",82,2615,202,86,6,3,9,4,15,0,0,0,1,0,0,1,144
"Jerami Grant","OKC",80,2612,214,110,15,8,10,11,24,14,0,0,1,0,0,1,212
"Justin Holiday","MEM",82,2607,164,75,12,4,1,3,20,0,0,0,0,0,0,1,115
"Collin Sexton","CLE",82,2605,186,75,6,11,15,8,36,1,0,0,1,0,0,1,257
"Donovan Mitchell","UTA",77,2598,208,79,14,3,12,9,11,0,0,0,0,0,0,1,295
"Rudy Gobert","UTA",81,2577,231,120,39,56,27,6,17,7,0,0,0,0,0,14,468
"Bojan Bogdanovic","IND",81,2573,138,59,4,7,6,3,6,3,0,0,0,0,0,4,234
"Joe Ingles","UTA",82,2568,180,56,7,5,16,2,15,1,0,0,0,0,0,0,172
"Evan Fournier","ORL",81,2553,225,93,11,1,9,2,16,1,0,0,0,0,0,0,168
"Pascal Siakam","TOR",80,2548,241,75,24,6,15,16,4,1,0,0,0,0,0,5,239
"De'Aaron Fox","SAC",81,2546,204,79,9,2,6,7,45,0,0,0,0,0,0,0,375
"Karl-Anthony Towns","MIN",77,2545,292,108,37,27,48,20,11,2,0,0,1,0,0,1,446
"Andrew Wiggins","MIN",73,2543,153,93,4,9,11,5,11,0,0,0,0,0,0,0,228
"Josh Richardson","MIA",73,2539,200,77,15,10,16,1,23,2,0,0,0,0,0,0,251
"Harrison Barnes","SAC",77,2533,122,54,4,8,9,5,10,2,0,0,0,0,0,0,200
"Nikola Vucevic","ORL",80,2510,157,91,15,17,10,6,5,1,0,0,0,0,0,8,216
"Nikola Jokic","DEN",80,2504,228,94,20,24,24,6,11,6,0,0,1,0,0,6,418
"Trae Young","ATL",81,2503,140,53,4,5,12,6,23,4,0,0,0,0,0,0,431
"Thaddeus Young","IND",81,2489,194,90,10,20,8,7,6,23,0,0,0,0,0,2,177
"Jayson Tatum","BOS",79,2455,168,79,3,10,11,12,3,0,0,0,0,0,0,1,204
"D'Angelo Russell","BKN",81,2448,141,54,5,3,12,3,10,1,0,0,0,0,0,0,188
"Jamal Murray","DEN",75,2447,153,70,8,8,11,3,18,4,0,0,1,0,0,1,204
"Cedi Osman","CLE",76,2444,195,87,8,9,3,3,11,6,0,0,0,0,0,0,170
"Marc Gasol","TOR",79,2436,217,116,14,22,23,4,11,27,0,0,0,0,0,1,287
"Mikal Bridges","PHX",82,2417,201,93,3,6,6,1,10,1,0,0,1,0,0,2,105
"Jrue Holiday","NOP",67,2402,148,59,3,5,3,5,8,2,0,0,0,0,0,1,241
"Khris Middleton","MIL",77,2394,172,62,8,5,8,10,8,2,0,0,0,0,0,0,188
"JJ Redick","PHI",76,2379,129,65,4,2,11,1,5,11,0,0,2,0,0,0,189
"CJ McCollum","POR",70,2375,172,81,3,4,12,3,10,0,0,0,0,0,0,0,166
"Giannis Antetokounmpo","MIL",72,2358,232,67,21,6,27,41,4,2,0,0,0,0,0,1,554
"Nicolas Batum","CHA",75,2354,140,42,9,5,8,1,10,1,0,0,0,0,0,1,92
"Trevor Ariza","WAS",69,2349,130,57,1,9,5,4,14,2,0,0,0,0,0,0,149
