"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"Mike Conley","MEM",70,2342,123,53,5,10,4,1,37,5,0,0,0,0,0,3,369
"Stephen Curry","GSW",69,2331,166,65,5,2,12,2,13,10,0,0,0,0,0,0,249
"Brook Lopez","MIL",81,2322,189,111,18,6,13,5,2,0,0,0,0,0,0,10,127
"Luka Doncic","DAL",72,2318,137,56,7,13,11,6,6,10,0,0,0,0,0,2,404
"Dennis Schroder","OKC",79,2314,189,75,8,3,7,2,24,15,0,0,1,0,0,1,219
"Kyle Kuzma","LAL",70,2314,170,72,7,15,9,16,3,7,0,0,0,0,0,4,197
"Joe Harris","BKN",76,2293,182,78,14,9,12,6,14,2,0,0,1,0,0,1,121
"Bryn Forbes","SAS",82,2292,159,78,8,3,6,3,10,0,0,0,0,0,0,0,80
"Al-Farouq Aminu","POR",81,2292,143,58,7,11,10,4,12,3,0,0,0,0,0,2,148
"Reggie Jackson","DET",82,2289,208,72,5,2,16,3,13,5,0,0,0,0,0,1,189
"Eric Bledsoe","MIL",78,2272,156,46,12,5,6,8,12,3,0,0,0,0,0,2,223
"D.J. Augustin","ORL",81,2269,115,38,4,3,8,3,25,11,0,0,1,0,0,1,203
"Jeremy Lamb","CHA",79,2250,140,72,8,5,7,2,20,2,0,0,0,0,0,1,210
"Clint Capela","HOU",67,2249,168,66,33,18,12,4,5,4,0,0,0,0,0,0,224
"Julius Randle","NOP",73,2232,246,97,22,9,25,28,6,2,0,0,0,0,0,4,367
"Devin Booker","PHX",64,2230,200,70,9,5,18,9,16,3,0,0,0,0,0,0,391
"Danny Green","TOR",80,2216,171,82,6,5,4,1,8,9,0,0,0,0,0,2,66
"Jordan Clarkson","CLE",81,2214,112,38,5,7,11,5,10,0,0,0,0,0,0,0,168
"Kyrie Irving","BOS",67,2214,167,64,7,7,8,4,13,12,0,0,1,0,0,0,243
"Kyle Lowry","TOR",65,2213,166,60,11,8,9,2,25,24,0,0,0,0,0,0,247
"Willie Cauley-Stein","SAC",81,2213,227,132,26,20,6,5,6,3,0,0,0,0,0,1,215
"Marcus Smart","BOS",80,2200,201,85,7,15,9,2,18,14,0,0,1,0,0,0,153
"Jimmy Butler","PHI",65,2185,111,47,9,10,9,7,4,1,0,0,0,0,0,0,274
"Deandre Ayton","PHX",71,2183,209,135,11,15,23,1,2,0,0,0,0,0,0,10,198
"Shai Gilgeous-Alexander","LAC",82,2174,175,81,6,4,9,7,8,1,0,0,0,0,0,2,180
"Zach LaVine","CHI",63,2171,140,60,7,2,6,4,6,0,0,0,0,0,0,1,260
"Jae Crowder","UTA",80,2166,170,75,12,7,10,2,12,7,0,0,0,0,0,1,170
"Tomas Satoransky","WAS",80,2164,172,82,1,6,3,1,11,3,0,0,0,0,0,3,154
"Montrezl Harrell","LAC",82,2158,255,136,16,29,14,12,11,19,0,0,0,0,0,6,361
"Eric Gordon","HOU",68,2158,143,75,7,3,5,2,1,2,0,0,0,0,0,1,126
"Kevin Knox","NYK",75,2158,175,104,17,2,7,5,4,0,0,0,0,0,0,3,174
"Joel Embiid","PHI",64,2154,211,107,18,34,27,13,2,3,0,0,0,0,0,4,493
"Terrence Ross","ORL",81,2150,119,56,2,5,7,1,6,0,0,0,0,0,0,0,98
"Darren Collison","IND",76,2143,138,49,3,9,6,3,6,5,0,0,0,0,0,2,156
"Patrick Beverley","LAC",78,2137,265,92,10,11,4,2,33,9,0,0,2,0,0,0,157
"Marvin Williams","CHA",75,2133,156,76,9,12,11,1,4,0,0,0,0,0,0,1,89
"Myles Turner","IND",74,2119,195,105,12,22,19,4,10,1,0,0,0,0,0,1,205
"Jeff Green","WAS",77,2097,160,89,10,10,10,6,11,14,0,0,0,0,0,0,173
"Jarrett Allen","BKN",80,2096,184,112,15,28,20,6,10,1,0,0,0,0,0,3,268
"Wesley Matthews","IND",69,2091,160,82,4,5,3,2,21,5,0,0,0,0,0,0,158
"Marcus Morris","BOS",75,2091,181,100,16,19,12,4,10,0,0,0,0,0,0,3,164
"Draymond Green","GSW",66,2065,197,93,2,13,13,3,11,11,0,0,0,0,0,3,125
"Cory Joseph","IND",82,2063,131,65,5,8,1,2,21,3,0,0,0,0,0,1,92
"Danilo Gallinari","LAC",68,2059,129,55,10,24,13,1,8,13,0,0,0,0,0,0,334
"Tim Hardaway Jr.","DAL",65,2057,141,56,6,6,7,3,13,18,0,0,0,0,0,2,244
"Kevin Huerter","ATL",75,2048,155,70,6,3,6,1,5,0,0,0,0,0,0,1,59
"DeAndre Jordan","NYK",69,2047,167,86,24,31,27,3,2,2,0,0,0,0,0,2,249
"Garrett Temple","LAC",75,2041,204,73,7,10,5,4,12,1,0,0,0,0,0,1,109
"Kawhi Leonard","TOR",60,2040,87,33,4,5,7,4,7,0,0,0,0,0,0,0,357
"Kentavious Caldwell-Pope","LAL",82,2035,137,50,2,6,1,4,38,4,0,0,0,0,0,0,147
"Austin Rivers","HOU",76,2028,207,96,5,2,5,0,22,4,0,0,0,0,0,0,103
"Serge Ibaka","TOR",74,2010,211,91,31,22,32,4,0,0,0,0,0,0,0,12,153
"Dario Saric","MIN",81,2010,182,94,24,15,5,9,5,2,0,0,0,0,0,1,157
"Damyean Dotson","NYK",73,2004,135,65,10,3,4,2,5,3,0,0,0,0,0,0,86
"Jonathan Isaac","ORL",75,1996,143,85,2,18,7,3,7,7,0,0,0,0,0,3,132
"Lou Williams","LAC",75,1993,80,32,3,2,1,2,8,0,0,0,1,0,0,0,351
"Dorian Finney-Smith","DAL",81,1985,186,86,8,4,5,8,8,3,0,0,1,0,0,2,92
"Josh Jackson","PHX",79,1976,209,88,7,8,8,15,17,14,0,0,1,0,0,1,178
"Jusuf Nurkic","POR",72,1974,250,130,19,40,36,10,9,0,0,0,0,0,0,6,307
"Al Horford","BOS",68,1973,126,77,10,9,11,2,5,1,0,0,0,0,0,4,121
"Monte Morris","DEN",82,1970,102,44,4,7,0,2,3,8,0,0,0,0,0,0,101
"Ryan Arcidiacono","CHI",81,1961,171,68,3,5,8,2,9,17,0,0,1,0,0,0,119
"Justise Winslow","MIA",66,1960,177,68,10,11,8,6,7,5,0,0,1,0,0,0,128
"Bogdan Bogdanovic","SAC",70,1947,142,65,1,6,10,0,16,1,0,0,0,0,0,2,185
"LeBron James","LAL",55,1937,94,41,6,6,10,6,3,6,0,0,0,0,0,1,320
"DeAndre' Bembry","ATL",82,1931,190,86,12,6,4,5,19,2,0,0,1,0,0,0,133
"Terrance Ferguson","OKC",74,1931,231,106,9,6,5,3,19,0,0,0,0,0,0,0,60
"Kelly Oubre Jr.","PHX",69,1923,181,65,8,12,3,10,21,7,0,0,0,0,0,2,223
"Spencer Dinwiddie","BKN",68,1914,187,63,5,4,19,5,31,1,0,0,0,0,0,0,284
"Jaylen Brown","BOS",74,1913,186,76,9,4,10,7,5,4,0,0,0,0,0,0,171
"Bam Adebayo","MIA",82,1913,203,91,21,25,29,4,7,1,0,0,0,0,0,7,227
"Patty Mills","SAS",82,1908,129,51,3,4,3,2,27,8,0,0,0,0,0,3,124
"Avery Bradley","MEM",63,1905,167,71,2,2,4,1,22,5,0,0,0,0,0,0,69
"Ricky Rubio","UTA",68,1899,180,69,4,3,4,0,24,7,0,0,0,0,0,0,193
"Paul Millsap","DEN",70,1895,183,103,9,17,7,5,7,6,0,0,0,0,0,1,223
"Rodney Hood","POR",72,1893,146,58,4,3,9,1,8,6,0,0,0,0,0,0,118
"Dwyane Wade","MIA",72,1885,118,62,6,1,4,5,3,0,0,0,1,0,0,0,158
"Reggie Bullock","LAL",63,1879,109,60,4,3,6,1,6,4,0,0,1,0,0,2,71
"Malik Beasley","DEN",81,1879,116,55,0,1,1,2,5,5,0,0,0,0,0,4,68
"Gordon Hayward","BOS",72,1863,104,37,2,13,19,6,8,1,0,0,0,0,0,2,182
"Chris Paul","HOU",58,1857,146,50,11,9,10,2,4,3,0,0,1,0,0,1,184
"Anthony Davis","NOP",56,1850,132,84,4,34,10,5,8,6,0,0,0,0,0,3,368
"Rudy Gay","SAS",69,1842,159,69,12,7,9,2,11,2,0,0,0,0,0,0,135
"Domantas Sabonis","IND",74,1838,239,104,42,44,37,10,4,0,0,0,0,0,0,0,287
"Malcolm Brogdon","MIL",64,1832,102,44,3,1,1,7,5,1,0,0,0,0,0,0,113
"John Collins","ATL",61,1829,199,107,17,26,21,6,6,1,0,0,0,0,0,5,230
"Marco Belinelli","SAS",79,1815,121,53,5,6,3,0,11,0,0,0,0,0,0,0,109
"Kelly Olynyk","MIA",79,1812,183,96,14,8,22,5,10,15,0,0,1,0,0,0,199
"Landry Shamet","LAC",79,1802,155,80,5,2,4,0,15,2,0,0,0,0,0,0,83
"Larry Nance Jr.","CLE",67,1795,192,89,25,13,14,3,5,3,0,0,0,0,0,0,159
"Terry Rozier","BOS",79,1791,101,35,3,4,1,4,14,4,0,0,1,0,0,0,108
"Nemanja Bjelica","SAC",77,1788,197,113,11,13,5,10,2,0,0,0,0,0,0,4,105
"Derrick Favors","UTA",76,1766,163,94,3,13,13,6,3,0,0,0,0,0,0,1,176
"Brandon Ingram","LAL",52,1760,149,54,5,7,14,8,12,2,0,0,0,0,0,1,266
"Fred VanVleet","TOR",64,1760,110,51,2,4,4,1,10,0,0,0,1,0,0,0,116
"Darius Miller","NOP",69,1758,165,68,5,5,4,0,8,3,0,0,0,0,0,0,60
"Josh Okogie","MIN",74,1745,166,68,5,6,0,4,28,18,0,0,0,0,0,0,166
"Langston Galloway","DET",80,1745,135,56,2,2,2,1,9,2,0,0,1,0,0,0,79
"Mason Plumlee","DEN",82,1731,252,117,19,30,16,13,5,6,0,0,0,0,0,3,201
"Derrick White","SAS",67,1728,145,70,9,4,3,4,19,9,0,0,0,0,0,0,138
"Jabari Parker","WAS",64,1724,145,69,7,5,10,6,5,0,0,0,0,0,0,4,154
"Noah Vonleh","NYK",68,1722,174,75,13,14,19,6,12,4,0,0,1,0,0,2,155
"Josh Hart","LAL",67,1715,147,65,7,7,4,3,15,2,0,0,1,0,0,0,87
"DeMarre Carroll","BKN",67,1703,114,49,12,8,6,4,6,4,0,0,0,0,0,0,162
"Delon Wright","MEM",75,1698,103,40,2,5,3,6,13,3,0,0,0,0,0,0,136
"Miles Bridges","CHA",80,1696,111,51,7,6,3,5,1,0,0,0,0,0,0,3,61
"Taj Gibson","MIN",70,1686,186,81,28,24,15,2,3,0,0,0,0,0,0,5,156
"Otto Porter Jr.","CHI",56,1684,108,55,3,7,2,6,7,4,0,0,0,0,0,1,111
"Lauri Markkanen","CHI",52,1682,122,60,11,6,6,10,8,2,0,0,0,0,0,0,164
"Hassan Whiteside","MIA",72,1674,192,99,25,28,24,3,4,1,0,0,0,0,0,5,225
"Royce O'Neale","UTA",82,1671,172,75,7,1,4,3,13,1,0,0,0,0,0,0,51
"JaVale McGee","LAL",75,1671,208,98,27,28,28,2,2,1,0,0,0,0,0,8,158
"Dwight Powell","DAL",77,1662,201,87,14,21,16,4,9,4,0,0,0,0,0,0,256
"Kent Bazemore","ATL",67,1643,170,79,3,5,2,4,13,7,0,0,0,0,0,0,149
"Enes Kanter","POR",67,1640,167,97,11,28,16,8,4,0,0,0,0,0,0,1,198
"Gary Harris","DEN",57,1639,113,40,7,4,6,1,3,3,0,0,0,0,0,1,122
"Davis Bertans","SAS",76,1632,133,72,7,6,3,2,15,1,0,0,0,0,0,0,68
"Justin Jackson","DAL",81,1613,99,46,4,5,1,2,12,3,0,0,0,0,0,0,75
"Dewayne Dedmon","ATL",64,1609,214,114,14,15,17,2,1,2,0,0,0,0,0,8,100
"Emmanuel Mudiay","NYK",59,1607,103,53,2,5,5,9,1,6,0,0,0,0,0,0,140
"Robin Lopez","CHI",74,1606,124,59,12,22,27,3,3,1,0,0,1,0,0,7,147
"Evan Turner","POR",73,1606,110,61,5,1,3,2,10,0,0,0,0,0,0,0,105
"Jalen Brunson","DAL",73,1591,127,53,2,4,4,1,28,12,0,0,0,0,0,1,158
"Andre Iguodala","GSW",68,1578,95,48,1,6,0,1,8,2,0,0,0,0,0,0,82
"Marvin Bagley III","SAC",62,1567,120,55,6,25,12,5,6,0,0,0,0,0,0,1,223
"Tyus Jones","MIN",68,1560,78,32,2,1,2,1,7,4,0,0,0,0,0,0,76
"Taurean Prince","ATL",55,1552,141,60,4,4,3,5,19,6,0,0,0,0,0,0,113
"Rodney McGruder","MIA",66,1550,115,62,6,3,3,1,9,4,0,0,0,0,0,0,67
"Alex Len","ATL",77,1544,200,108,24,15,26,3,0,0,0,0,1,0,0,4,157
"Tyler Johnson","PHX",57,1529,97,54,5,3,3,3,4,5,0,0,0,0,0,0,113
"Jaren Jackson Jr.","MEM",58,1515,220,108,21,17,24,7,2,0,0,0,0,0,0,7,205
"Dennis Smith Jr.","NYK",53,1508,129,65,4,2,5,2,5,0,0,0,0,0,0,2,118
"Torrey Craig","DEN",75,1503,175,91,9,7,6,5,7,1,0,0,0,0,0,0,61
"Maxi Kleber","DAL",71,1502,143,82,6,7,4,6,7,3,0,0,0,0,0,1,74
"Thomas Bryant","WAS",72,1496,126,61,7,17,9,3,4,1,0,0,0,0,0,1,129
"Kevon Looney","GSW",80,1481,211,121,16,9,17,2,4,1,0,0,0,0,0,1,96
"Iman Shumpert","HOU",62,1481,127,65,2,1,2,1,27,1,0,0,0,0,0,0,78
"Gerald Green","HOU",73,1473,126,70,3,2,4,1,3,0,0,0,1,0,0,1,49
"T.J. McConnell","PHI",76,1470,105,47,0,1,2,0,9,1,0,0,0,0,0,0,44
"E'Twaun Moore","NOP",53,1463,112,41,2,2,1,2,2,0,0,0,0,0,0,0,51
"Allonzo Trier","NYK",64,1458,117,46,9,3,16,6,11,5,0,0,2,0,0,1,182
"Bruce Brown","DET",74,1449,178,87,5,1,2,3,11,0,0,0,0,0,0,1,55
"Ed Davis","BKN",81,1446,226,120,31,18,24,3,5,0,0,0,0,0,0,6,144
"Wayne Selden","CHI",75,1438,131,47,11,2,6,9,6,4,0,0,0,0,0,1,81
"Luke Kennard","DET",63,1437,92,47,4,0,6,0,4,0,0,0,2,0,0,1,60
"Jeremy Lin","TOR",74,1436,144,82,6,2,2,4,21,19,0,0,1,0,0,1,228
"Shaquille Harrison","CHI",73,1430,124,61,3,2,2,1,13,1,0,0,0,0,0,0,116
"Lonzo Ball","LAL",47,1423,114,57,5,5,4,3,6,0,0,0,0,0,0,1,62
"Maurice Harkless","POR",60,1415,163,81,8,2,9,1,3,0,0,0,0,0,0,0,58
"Tyreke Evans","IND",69,1402,117,41,7,2,4,8,6,4,0,0,1,0,0,0,130
"Seth Curry","POR",74,1399,97,40,4,2,3,1,10,1,0,0,0,0,0,0,78
"Mike Scott","PHI",79,1396,156,85,17,2,7,4,1,0,0,0,0,0,0,1,34
"Kris Dunn","CHI",46,1389,166,70,4,4,8,3,10,0,0,0,0,0,0,0,81
"Derrick Rose","MIN",51,1380,57,30,0,1,2,1,13,2,0,0,0,0,0,1,121
"Alec Burks","SAC",64,1375,91,41,3,7,3,2,12,0,0,0,0,0,0,1,122
"JaMychal Green","LAC",65,1371,193,91,14,9,12,3,4,4,0,0,0,0,0,1,91
"Rajon Rondo","LAL",46,1369,100,33,4,0,3,2,11,6,0,0,0,0,0,2,55
"Mitchell Robinson","NYK",66,1360,217,138,8,13,7,0,4,3,0,0,1,0,0,2,114
"Juancho Hernangomez","DEN",70,1358,94,51,7,3,4,2,3,3,0,0,0,0,0,0,74
"Zach Collins","POR",77,1356,174,94,15,20,21,6,8,1,0,0,0,0,0,4,125
"OG Anunoby","TOR",67,1352,140,63,9,5,6,5,7,4,0,0,0,0,0,2,59
"T.J. Warren","PHX",43,1348,119,54,7,3,3,8,2,2,0,0,0,0,0,1,93
"Doug McDermott","IND",77,1340,104,48,5,0,6,2,4,0,0,0,0,0,0,1,51
"Kyle Korver","UTA",70,1334,106,45,9,2,11,0,3,6,0,0,0,0,0,0,64
"Vince Carter","ATL",76,1330,141,74,6,5,2,4,8,6,0,0,1,0,0,3,83
"Jake Layman","POR",71,1327,116,60,6,5,5,3,4,6,0,0,1,0,0,1,83
"Mike Muscala","LAL",64,1306,130,71,12,15,6,2,7,2,0,0,1,0,0,0,68
"Tony Snell","MIL",74,1304,90,50,5,1,0,1,3,0,0,0,0,0,0,1,32
"George Hill","MIL",60,1302,102,37,6,4,5,2,9,1,0,0,1,0,0,0,89
"Bobby Portis","WAS",50,1298,145,57,13,10,18,3,0,0,0,0,0,0,0,3,92
"Wayne Ellington","DET",53,1297,92,44,2,2,6,1,7,0,0,0,0,0,0,0,39
"Rodions Kurucs","BKN",63,1294,146,62,16,4,10,7,5,0,0,0,0,0,0,3,69
"Kyle Anderson","MEM",43,1281,112,37,8,3,6,3,5,3,0,0,1,0,0,0,60
"Jakob Poeltl","SAS",77,1273,124,80,17,14,6,3,4,4,0,0,0,0,0,4,89
"Markieff Morris","OKC",58,1271,175,79,8,11,11,0,1,7,0,0,0,0,0,2,99
"Jeff Teague","MIN",42,1264,90,55,2,4,2,4,5,9,0,0,0,0,0,1,121
"Pat Connaughton","MIL",61,1261,81,47,1,1,3,2,5,1,0,0,0,0,0,0,37
"Malik Monk","CHA",73,1258,106,64,3,2,2,4,6,1,0,0,0,0,0,1,88
"Ish Smith","DET",56,1251,109,53,2,1,1,2,7,1,0,0,1,0,0,0,68
"Elfrid Payton","NOP",42,1250,81,27,7,4,1,5,7,0,0,0,0,0,0,0,77
"Shelvin Mack","CHA",57,1247,84,26,6,2,3,1,2,3,0,0,0,0,0,0,65
"Nikola Mirotic","MIL",46,1245,107,49,8,12,4,3,7,3,0,0,0,0,0,0,106
"Cody Zeller","CHA",49,1243,164,79,13,27,18,3,5,3,0,0,0,0,0,6,150
"Rondae Hollis-Jefferson","BKN",59,1234,107,39,7,5,11,6,14,2,0,0,0,0,0,0,161
"Wes Iwundu","ORL",68,1233,123,66,3,3,1,4,4,1,0,0,0,0,0,2,76
"Ersan Ilyasova","MIL",67,1231,172,84,13,15,8,5,9,51,0,0,0,0,0,2,114
"James Ennis III","PHI",58,1230,150,56,12,9,5,6,8,1,0,0,0,0,0,1,68
"Jared Dudley","BKN",59,1220,131,52,15,6,6,2,11,8,0,0,0,0,0,0,72
"Jonas Jerebko","GSW",73,1218,137,55,14,15,7,2,1,10,0,0,0,0,0,0,75
"Stanley Johnson","NOP",66,1207,114,38,7,0,7,7,10,0,0,0,0,0,0,0,63
"Mario Hezonja","NYK",58,1206,110,51,1,5,7,4,5,1,0,0,0,0,0,0,102
"Robert Covington","MIN",35,1203,126,60,6,7,3,4,9,3,0,0,0,0,0,1,80
"Jamal Crawford","PHX",64,1199,75,25,3,2,3,1,6,0,0,0,0,0,0,1,91
"Tristan Thompson","CLE",43,1198,89,34,16,24,9,3,1,1,0,0,0,0,0,1,121
"Will Barton","DEN",43,1189,82,36,4,3,1,1,1,0,0,0,0,0,0,1,60
"Richaun Holmes","PHX",70,1184,194,109,27,16,18,1,6,0,0,0,0,0,0,2,151
"Michael Kidd-Gilchrist","CHA",64,1179,156,91,9,16,3,10,3,8,0,0,0,0,0,1,108
"Wilson Chandler","LAC",51,1176,123,53,3,3,3,4,5,0,0,0,0,0,0,0,28
"Frank Jackson","NOP",61,1169,92,43,7,4,2,3,5,1,0,0,0,0,0,1,65
"James Johnson","MIA",55,1164,114,53,5,2,11,3,1,2,0,0,0,0,0,1,59
"Derrick Jones Jr.","MIA",60,1153,123,60,7,13,3,4,7,1,0,0,0,0,0,1,101
"Victor Oladipo","IND",36,1147,72,29,2,5,1,0,9,13,0,0,0,0,0,1,130
"Dion Waiters","MIA",44,1138,72,26,1,1,6,1,1,0,0,0,0,0,0,0,46
"Allen Crabbe","BKN",43,1133,102,41,1,2,6,4,5,0,0,0,0,0,0,1,39
"Norman Powell","TOR",60,1126,96,26,5,3,3,1,5,0,0,0,0,0,0,0,70
"Trey Burke","DAL",58,1124,58,19,4,1,4,3,3,2,0,0,0,0,0,0,96
"Lance Stephenson","LAL",68,1123,111,45,2,6,6,5,2,0,0,0,0,0,0,0,67
"Trey Lyles","DEN",63,1120,93,54,5,8,9,3,3,1,0,0,0,0,0,2,97
"Tim Frazier","MIL",59,1120,112,47,3,4,3,0,10,3,0,0,0,0,0,0,74
"Wendell Carter Jr.","CHI",44,1110,152,70,8,13,18,1,5,0,0,0,0,0,0,3,107
"John Wall","WAS",32,1104,71,41,0,0,0,10,8,2,0,0,1,0,0,0,131
"Jonas Valanciunas","MEM",49,1091,146,78,17,15,12,10,3,3,0,0,0,0,0,6,148
"Ante Zizic","CLE",59,1082,113,61,10,15,14,1,2,0,0,0,0,0,0,2,121
"Kenrich Williams","NOP",46,1079,95,47,8,3,2,0,7,10,0,0,0,0,0,0,46
"Devin Harris","DAL",68,1071,133,52,5,4,4,1,9,15,0,0,0,0,0,0,126
"Anthony Tolliver","MIN",65,1067,91,40,7,4,5,2,2,14,0,0,0,0,0,0,54
"Yogi Ferrell","SAC",71,1067,64,28,0,2,1,3,16,8,0,0,0,0,0,0,89
"Jonathon Simmons","PHI",56,1064,89,35,3,4,0,2,10,6,0,0,0,0,0,0,104
"Caris LeVert","BKN",40,1063,77,36,4,6,2,4,11,3,0,0,0,0,0,0,111
"Quinn Cook","GSW",74,1059,92,40,4,1,3,0,1,0,0,0,0,0,0,0,28
"Nerlens Noel","OKC",77,1055,166,66,14,23,9,2,12,5,0,0,0,0,0,1,101
"Ivica Zubac","LAC",59,1039,137,83,9,12,18,1,3,1,0,0,0,0,0,3,112
"Sterling Brown","MIL",58,1034,88,42,7,1,1,2,2,0,0,0,1,0,0,0,30
"Gorgui Dieng","MIN",76,1031,134,59,14,15,6,3,5,6,0,0,0,0,0,0,104
"Nik Stauskas","CLE",68,1015,50,30,0,4,2,1,4,0,0,0,0,0,0,0,49
"Alfonzo McKinnie","GSW",72,1003,134,66,8,3,3,2,1,5,0,0,0,0,0,1,48
"Tony Parker","CHA",56,1003,53,18,3,0,5,0,2,1,0,0,0,0,0,0,93
"Goran Dragic","MIA",36,991,81,29,4,1,6,2,4,3,0,0,0,0,0,0,76
"David Nwaba","CLE",51,984,106,43,2,4,2,2,6,1,0,0,0,0,0,0,69
"De'Anthony Melton","PHX",50,984,113,60,5,3,2,0,10,0,0,0,0,0,0,0,49
"Shabazz Napier","BKN",56,983,67,33,2,4,3,0,11,2,0,0,1,0,0,0,112
