"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"Mikal Bridges","NYK",82,3036,127,51,2,4,4,2,11,0,0,0,0,0,1,1,130
"Josh Hart","NYK",77,2897,201,109,21,17,4,0,10,2,0,0,0,1,0,0,182
"Anthony Edwards","MIN",79,2871,150,61,8,10,6,6,2,0,0,0,1,0,0,0,341
"Devin Booker","PHX",75,2795,198,81,10,9,11,5,24,2,0,0,0,2,0,2,404
"James Harden","LAC",79,2789,162,70,12,3,26,5,8,2,0,0,0,1,0,1,371
"DeMar DeRozan","SAC",77,2768,150,89,11,2,6,2,13,4,0,0,0,1,0,1,316
"Trae Young","ATL",76,2739,145,69,6,5,8,2,21,5,0,0,0,2,3,0,430
"Tyler Herro","MIA",77,2725,85,41,3,3,5,1,3,0,0,0,0,2,1,0,227
"OG Anunoby","NYK",74,2706,172,98,9,5,4,6,11,3,0,0,0,0,1,2,175
"Jalen Green","HOU",82,2697,127,59,6,8,5,4,2,1,0,0,0,0,0,0,248
"Christian Braun","DEN",79,2675,170,92,6,1,6,6,1,4,0,0,0,1,0,0,143
"Bam Adebayo","MIA",78,2674,162,82,15,37,19,4,5,0,0,0,0,1,1,3,309
"Ivica Zubac","LAC",80,2624,168,107,9,30,17,4,4,0,0,0,0,1,0,6,242
"Jayson Tatum","BOS",72,2624,157,54,8,12,18,7,6,0,0,0,0,4,1,0,307
"Jaden McDaniels","MIN",82,2614,225,103,21,12,5,3,22,1,0,0,0,0,1,2,136
"Keegan Murray","SAC",76,2610,186,104,6,3,0,2,5,11,0,0,0,0,1,0,79
"Zach LaVine","SAC",74,2603,121,72,6,3,6,2,2,0,0,0,1,1,0,0,228
"Shai Gilgeous-Alexander","OKC",76,2598,164,100,13,7,10,3,8,1,0,0,0,0,3,1,467
"Michael Porter Jr.","DEN",77,2593,157,92,5,8,4,3,0,0,0,0,1,2,0,0,138
"Derrick White","BOS",76,2574,138,93,7,12,2,1,10,9,0,0,0,0,1,1,164
"Dyson Daniels","ATL",76,2571,175,87,3,9,5,4,13,0,0,0,0,0,1,0,131
"Nikola Jokić","DEN",70,2571,160,76,8,33,14,3,5,0,0,0,0,1,3,3,410
"Austin Reaves","LAL",73,2550,151,81,8,10,3,3,17,21,0,0,0,0,1,0,320
"Toumani Camara","POR",78,2548,230,112,10,27,8,9,61,30,0,0,0,1,0,0,221
"Pascal Siakam","IND",78,2548,189,84,15,11,15,4,8,0,0,0,0,0,2,3,266
"Brook Lopez","MIL",80,2546,171,97,15,9,32,1,3,0,0,0,0,0,0,11,135
"Karl-Anthony Towns","NYK",72,2517,249,131,22,19,37,10,5,0,0,0,0,0,0,1,345
"Bub Carrington","WAS",82,2458,190,116,4,8,7,2,10,2,0,0,0,1,2,3,110
"Cade Cunningham","DET",70,2452,195,87,5,4,12,3,4,2,0,0,0,1,0,1,279
"Tyrese Haliburton","IND",73,2451,92,49,1,7,3,1,9,0,0,0,0,0,1,0,175
"Coby White","CHI",74,2450,154,65,11,3,10,7,12,3,0,0,0,0,0,0,267
"LeBron James","LAL",70,2444,99,42,10,10,11,2,2,9,0,0,0,0,0,1,264
"Domantas Sabonis","SAC",70,2429,229,100,38,29,36,6,4,0,0,0,0,0,1,2,277
"Jamal Murray","DEN",67,2418,128,84,5,8,3,2,12,1,0,0,1,1,0,0,211
"Alperen Sengun","HOU",76,2394,209,106,17,45,25,5,10,7,0,0,0,0,1,2,405
"Rudy Gobert","MIN",72,2388,182,84,31,35,21,0,19,1,0,0,0,0,1,2,259
"Dillon Brooks","HOU",75,2388,242,104,10,8,7,9,14,4,0,0,0,1,0,0,108
"Tobias Harris","DET",73,2306,138,89,5,5,10,3,4,0,0,0,0,0,1,1,121
"Jalen Brunson","NYK",65,2301,138,60,9,7,4,2,30,20,0,0,0,0,0,0,410
