"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"James Harden","HOU",81,2981,208,88,14,8,14,21,22,3,4,29,2,0,0,3,542
"Andrew Wiggins","MIN",82,2969,190,93,8,18,10,12,12,0,6,6,0,0,0,2,376
"Trevor Ariza","HOU",82,2930,186,68,8,12,5,12,8,5,9,8,1,0,0,0,125
"Damian Lillard","POR",82,2925,164,58,2,9,5,9,36,8,11,18,2,0,0,0,359
"Chris Paul","LAC",82,2858,203,72,11,8,13,4,17,2,3,17,0,0,0,0,299
"John Wall","WAS",79,2837,180,75,3,1,14,6,18,4,3,23,1,0,0,0,285
"DeAndre Jordan","LAC",82,2821,245,128,36,70,15,3,4,0,1,1,0,0,0,9,376
"Eric Bledsoe","PHX",81,2800,189,67,6,3,10,10,23,7,7,39,0,0,0,0,384
"Joe Johnson","BKN",80,2791,120,53,9,5,7,3,4,0,1,2,0,0,0,0,176
"Kyrie Irving","CLE",75,2730,146,59,7,8,6,10,4,5,3,10,0,0,0,0,284
"Monta Ellis","DAL",80,2699,197,87,9,3,7,11,18,28,16,44,0,0,0,0,288
"Tyreke Evans","NOP",79,2690,198,67,6,2,8,22,6,3,1,19,1,0,0,4,238
"Marc Gasol","MEM",81,2687,208,100,32,35,24,6,11,8,3,4,0,0,0,0,404
"Pau Gasol","CHI",78,2681,147,80,11,31,6,1,6,0,1,2,0,0,0,0,324
"Ben McLemore","SAC",82,2670,219,129,3,3,6,7,7,1,2,4,0,0,0,1,131
"Ty Lawson","DEN",75,2666,128,48,6,0,7,4,9,1,3,18,1,0,0,0,285
"Goran Dragic","MIA",78,2640,195,82,9,7,10,4,17,8,10,24,0,0,0,0,227
"Gordon Hayward","UTA",76,2618,131,48,4,8,11,6,13,2,2,9,0,0,0,0,374
"Stephen Curry","GSW",80,2613,158,76,1,1,7,2,17,12,4,5,0,0,0,0,298
"Kentavious Caldwell-Pope","DET",82,2587,161,83,2,5,2,4,12,3,6,1,0,0,0,0,142
"Markieff Morris","PHX",82,2581,245,115,19,15,30,2,10,16,21,4,1,0,0,4,224
"Victor Oladipo","ORL",72,2573,187,75,8,7,10,14,10,9,9,12,0,0,0,0,260
"Giannis Antetokounmpo","MIL",81,2541,254,93,6,19,31,18,9,0,15,26,1,0,0,3,285
"Kevin Love","CLE",75,2532,140,85,10,24,6,4,6,10,4,1,0,0,0,0,274
"Nikola Vucevic","ORL",74,2529,220,122,10,18,31,3,7,1,5,1,0,0,0,9,212
"Jimmy Butler","CHI",65,2514,108,46,4,7,10,13,7,7,7,14,0,0,0,0,341
"LaMarcus Aldridge","POR",71,2512,125,70,10,12,11,9,3,0,0,8,0,0,0,0,287
"Andre Drummond","DET",82,2502,285,125,42,28,23,6,7,3,4,3,0,0,0,5,274
"Arron Afflalo","POR",78,2502,167,73,8,1,17,1,8,0,3,3,1,0,0,2,146
"LeBron James","CLE",69,2494,135,46,6,4,13,13,7,4,2,19,0,0,0,0,410
"Draymond Green","GSW",79,2490,253,131,9,14,17,5,9,12,4,5,1,0,0,5,203
"Elfrid Payton","ORL",82,2489,193,84,9,6,7,12,11,1,4,13,0,0,0,1,210
"Wilson Chandler","DEN",78,2471,231,103,10,5,9,7,8,0,4,3,1,0,0,3,121
"Anthony Davis","NOP",68,2455,141,86,7,38,10,8,9,1,5,9,1,0,0,0,377
"Jeff Green","MEM",78,2455,147,59,9,8,8,9,9,4,6,11,0,0,0,0,221
"Klay Thompson","GSW",77,2455,122,70,2,4,6,6,3,1,2,2,0,0,0,0,196
"Marcin Gortat","WAS",82,2453,191,98,23,25,23,1,13,4,2,4,1,0,0,4,166
"Thaddeus Young","BKN",76,2434,171,87,6,7,7,3,3,10,9,7,0,0,0,1,154
"Avery Bradley","BOS",77,2428,177,54,6,5,4,3,12,0,8,1,0,0,0,0,92
"Luol Deng","MIA",72,2421,109,56,5,8,2,2,4,4,2,8,0,0,0,1,195
"Kyle Korver","ATL",75,2418,140,82,11,6,6,0,6,7,7,1,0,0,0,0,120
"Kyle Lowry","TOR",70,2415,212,79,9,10,13,6,29,26,9,24,0,0,0,1,296
"JJ Redick","LAC",78,2409,134,72,6,1,3,2,16,12,7,6,0,0,0,0,162
"Rudy Gay","SAC",68,2408,157,68,9,6,7,10,8,2,2,9,0,0,0,1,262
"Paul Millsap","ATL",73,2390,201,106,11,23,12,16,2,6,5,1,0,0,0,2,291
"PJ Tucker","PHX",78,2383,179,61,8,11,6,5,17,9,10,4,0,0,0,0,159
"Solomon Hill","IND",82,2381,177,88,9,8,3,5,11,4,8,15,0,0,0,0,164
"Nicolas Batum","POR",71,2380,106,49,6,7,4,0,6,1,4,1,1,0,0,0,97
"Khris Middleton","MIL",79,2378,183,81,10,6,6,3,10,3,15,14,0,0,0,1,133
"Tobias Harris","ORL",68,2369,134,60,5,12,7,16,7,2,2,5,1,0,0,2,188
"Mario Chalmers","MIA",80,2368,251,97,11,8,9,8,39,12,4,16,1,0,0,1,280
"Blake Griffin","LAC",67,2356,196,87,13,20,21,7,11,6,8,10,0,0,0,1,391
"Courtney Lee","MEM",77,2354,129,54,1,3,2,3,3,3,8,2,0,0,0,0,70
"Harrison Barnes","GSW",82,2318,146,82,13,6,6,3,8,1,2,2,0,0,0,1,118
"Al Horford","ATL",76,2318,121,74,8,10,12,3,2,0,0,2,0,0,0,4,126
"Gerald Henderson","CHA",80,2315,135,42,6,5,12,3,19,9,2,5,0,0,0,0,222
"Danny Green","SAS",81,2311,163,87,12,4,6,0,14,5,6,5,0,0,0,0,98
"Nerlens Noel","PHI",75,2311,208,98,34,20,11,5,9,3,5,5,0,0,0,1,223
"Zach Randolph","MEM",71,2304,175,60,23,37,20,3,7,1,3,2,1,0,0,1,288
"Russell Westbrook","OKC",67,2302,184,34,11,7,13,16,16,7,5,24,1,0,0,0,443
"Josh Smith","HOU",83,2301,228,119,16,13,7,9,8,11,13,9,1,0,0,7,194
"Trey Burke","UTA",76,2288,119,57,3,1,2,1,5,0,2,2,0,0,0,0,116
"Tyson Chandler","DAL",75,2286,169,67,24,47,27,3,9,7,5,8,0,0,0,5,241
"Dirk Nowitzki","DAL",77,2282,160,100,9,36,8,1,7,1,1,12,0,0,0,2,304
"Derrick Favors","UTA",74,2280,210,116,11,14,12,12,2,0,2,6,0,0,0,2,244
"Matt Barnes","LAC",76,2271,240,120,10,3,7,3,15,2,2,7,1,0,0,3,89
"Reggie Jackson","DET",77,2268,167,54,7,7,19,9,13,3,3,6,0,0,0,0,207
"Evan Turner","BOS",82,2260,180,87,7,7,3,7,3,0,5,6,0,0,0,0,132
"Wesley Johnson","LAL",76,2245,162,103,6,3,3,1,7,0,2,2,0,0,0,1,89
"Jarrett Jack","BKN",80,2241,143,60,2,1,7,6,9,2,5,6,0,0,0,1,193
"Jeff Teague","ATL",73,2228,139,52,1,6,6,12,2,7,6,12,0,0,0,1,293
"Tim Duncan","SAS",77,2227,165,89,15,15,18,7,5,0,3,5,0,0,0,2,240
"Mike Conley","MEM",70,2225,139,60,3,4,6,5,33,4,7,7,0,0,0,0,229
"Dion Waiters","OKC",80,2208,155,66,7,3,4,3,8,0,2,12,0,0,0,0,145
"Tristan Thompson","CLE",82,2194,189,75,38,58,22,3,5,0,2,5,1,0,0,1,231
"Gorgui Dieng","MIN",73,2193,188,100,22,19,14,0,9,9,13,3,0,0,0,5,199
"DeMarre Carroll","ATL",70,2189,154,80,8,8,5,5,11,6,2,6,0,0,0,0,157
"Chandler Parsons","DAL",66,2186,140,62,8,10,6,6,13,7,19,18,0,0,0,0,185
"Rudy Gobert","UTA",82,2158,175,92,25,20,18,1,9,1,1,3,0,0,0,0,231
"Patrick Patterson","TOR",81,2156,149,72,11,11,9,0,7,4,14,3,0,0,0,4,82
"Michael Carter-Williams","MIL",66,2150,167,64,7,2,12,5,24,3,11,11,0,0,0,0,274
"Greg Monroe","DET",69,2137,148,72,9,19,9,9,5,9,4,1,0,0,0,0,276
"Enes Kanter","OKC",75,2136,189,86,18,22,23,10,3,1,8,2,0,0,0,4,196
"Kemba Walker","CHA",62,2119,92,48,5,9,2,3,23,6,6,9,0,0,0,0,268
"Serge Ibaka","OKC",64,2116,194,96,13,22,17,9,6,0,0,3,0,0,0,7,111
"Deron Williams","BKN",68,2114,157,71,3,2,7,5,26,5,8,11,1,0,0,0,211
"Bradley Beal","WAS",63,2108,136,81,3,4,9,3,11,3,7,4,0,0,0,0,144
"Brook Lopez","BKN",72,2101,206,118,20,10,24,5,8,1,0,0,0,0,0,8,236
"DeMar DeRozan","TOR",60,2100,122,51,10,5,5,8,7,2,6,8,3,0,0,0,294
"Jonas Valanciunas","TOR",80,2096,222,117,35,36,23,9,10,0,10,2,1,0,0,2,234
"Terrence Ross","TOR",82,2092,136,64,7,1,6,3,6,4,9,4,0,0,0,0,53
"Corey Brewer","HOU",80,2087,173,59,5,6,2,12,21,6,5,7,0,0,0,1,195
"Kenneth Faried","DEN",75,2086,211,92,19,39,22,7,13,11,7,10,0,0,0,2,289
"JR Smith","CLE",70,2079,163,73,7,5,7,0,4,0,3,5,0,0,0,1,80
"Andre Iguodala","GSW",77,2068,100,64,3,6,8,2,15,1,1,1,0,0,0,1,134
"Joakim Noah","CHI",67,2049,203,89,14,31,19,0,6,7,3,2,1,0,0,3,170
"Timofey Mozgov","CLE",81,2046,227,140,25,27,21,1,6,0,7,3,0,0,0,4,193
"Marcus Morris","PHX",81,2045,188,104,13,7,5,1,12,1,16,8,0,0,0,0,113
"Donatas Motiejunas","HOU",71,2037,203,79,29,27,13,4,13,24,22,4,1,0,0,3,225
"Brandon Knight","PHX",63,2035,114,40,4,4,7,10,17,3,9,25,0,0,0,1,221
"Marvin Williams","CHA",78,2035,146,67,13,15,14,3,9,1,2,3,0,0,0,0,81
"Kawhi Leonard","SAS",64,2033,128,53,4,2,7,10,5,0,1,14,0,0,0,1,211
"Wesley Matthews","POR",60,2024,132,54,6,8,6,1,16,10,3,9,0,0,0,0,163
"Rajon Rondo","DAL",68,2019,153,49,6,4,4,1,24,11,12,7,1,0,0,0,112
"Eric Gordon","NOP",61,2018,145,79,0,1,6,4,7,0,6,13,0,0,0,0,120
"Lou Williams","TOR",80,2015,103,58,1,0,3,4,14,8,8,25,1,0,0,0,256
"DeMarcus Cousins","SAC",59,2013,241,80,31,35,30,21,15,34,17,13,1,0,0,2,513
"Al Jefferson","CHA",65,1992,139,97,12,12,4,0,6,0,0,0,0,0,0,8,137
