"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"Kevin Durant","OKC",81,3122,174,94,4,8,13,9,8,0,3,12,1,0,0,1,522
"Monta Ellis","DAL",82,3023,197,99,6,3,9,12,30,22,6,27,0,0,0,1,378
"DeMar DeRozan","TOR",79,3017,197,89,9,5,8,11,8,7,6,28,0,0,0,0,452
"Carmelo Anthony","NYK",77,2982,224,92,15,13,32,8,12,0,3,5,0,0,0,1,438
"John Wall","WAS",82,2980,219,82,3,2,16,9,18,15,6,5,0,0,0,1,324
"Nicolas Batum","POR",82,2956,156,60,3,9,11,4,15,8,4,7,0,0,0,0,203
"Damian Lillard","POR",82,2937,197,90,5,6,6,10,29,12,12,16,0,0,0,0,324
"LeBron James","MIA",77,2902,126,36,7,5,12,13,6,3,0,8,0,0,0,1,459
"Paul George","IND",80,2898,198,64,6,8,15,16,26,14,11,20,1,0,0,0,386
"DeAndre Jordan","LAC",82,2871,264,167,21,62,26,3,7,1,5,3,0,0,0,3,309
"Klay Thompson","GSW",81,2868,234,112,6,5,9,6,5,5,3,6,1,0,0,0,167
"Blake Griffin","LAC",80,2864,265,123,30,46,38,8,24,19,4,9,1,0,0,8,580
"Kyle Lowry","TOR",79,2862,267,95,19,11,18,2,48,36,16,18,0,0,0,1,390
"Stephen Curry","GSW",78,2846,194,98,6,5,10,5,29,7,2,3,1,0,0,2,311
"Joakim Noah","CHI",80,2820,245,108,13,45,24,6,15,9,1,4,0,0,0,7,288
"Jeff Green","BOS",82,2805,180,82,6,7,16,20,14,5,9,19,0,0,0,1,281
"Gordon Hayward","UTA",77,2800,155,68,2,11,8,14,20,2,2,11,0,0,0,0,385
"Kevin Love","MIN",77,2797,136,62,12,50,17,9,13,19,6,9,0,0,0,0,496
"Chandler Parsons","HOU",74,2783,168,67,15,3,6,8,17,6,11,10,1,0,0,1,195
"Wesley Matthews","POR",82,2780,176,76,5,8,10,3,32,9,7,8,0,0,0,0,283
"James Harden","HOU",73,2778,177,55,7,6,19,13,13,6,9,20,0,0,0,4,426
"Lance Stephenson","IND",78,2752,195,67,8,7,14,17,21,5,9,8,0,0,0,0,201
"Josh Smith","DET",77,2730,197,101,8,10,6,5,17,9,3,5,0,0,0,5,271
"Brandon Jennings","DET",80,2728,157,59,3,7,5,3,9,1,1,8,0,0,0,1,229
"Trevor Ariza","WAS",77,2723,179,71,5,13,14,8,12,5,5,4,1,0,0,0,165
