"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"Andrew Wiggins","MIN",82,3048,183,107,3,10,9,9,13,0,7,20,0,0,0,0,393
"Karl-Anthony Towns","MIN",82,3030,241,105,23,21,35,15,7,1,10,16,0,0,0,1,381
"James Harden","HOU",81,2947,215,84,23,12,17,14,10,9,6,13,0,0,0,4,499
"Giannis Antetokounmpo","MIL",80,2845,246,103,14,14,19,22,7,2,16,37,0,0,0,3,474
"John Wall","WAS",78,2836,151,67,3,4,5,17,23,7,5,29,0,0,0,0,414
"Jimmy Butler","CHI",76,2809,112,52,6,12,8,10,9,7,2,19,0,0,0,0,493
"Harrison Barnes","DAL",79,2804,128,67,13,15,5,7,6,0,8,20,0,0,0,1,271
"Russell Westbrook","OKC",81,2802,190,53,14,8,9,20,6,3,3,43,0,0,0,0,541
"CJ McCollum","POR",80,2796,202,114,3,3,12,4,12,3,4,12,0,0,0,0,232
"LeBron James","CLE",74,2795,134,54,6,10,11,19,12,7,3,18,0,0,0,0,440
"Trevor Ariza","HOU",80,2773,133,66,4,11,2,3,10,10,13,4,0,0,0,1,125
"Rudy Gobert","UTA",81,2744,246,127,33,60,29,4,18,3,2,1,1,0,0,10,419
"Kemba Walker","CHA",79,2739,119,63,2,8,1,2,25,26,12,18,0,0,0,0,329
"Devin Booker","PHX",78,2731,242,105,11,6,16,15,18,1,17,34,0,0,0,1,359
"Anthony Davis","NOP",75,2708,168,86,11,39,20,14,9,9,12,15,0,0,0,5,520
"Damian Lillard","POR",75,2693,152,95,6,9,2,11,32,11,8,29,0,0,0,1,419
"Paul George","IND",75,2689,206,79,11,6,13,12,12,7,7,16,0,0,0,0,314
"Bradley Beal","WAS",77,2684,169,99,3,5,6,8,9,5,11,7,0,0,0,1,283
"Jeff Teague","IND",82,2657,165,86,3,11,2,6,19,13,10,18,0,0,0,1,341
"Gorgui Dieng","MIN",82,2653,254,141,26,22,16,1,6,20,19,2,0,0,0,6,168
"Klay Thompson","GSW",78,2649,139,74,5,3,8,4,1,0,4,4,0,0,0,1,159
"Stephen Curry","GSW",79,2639,183,87,4,3,6,5,10,7,4,6,0,0,0,0,277
"DeMar DeRozan","TOR",74,2620,134,56,7,6,5,9,6,5,6,14,0,0,0,2,408
"Nicolas Batum","CHA",77,2617,109,42,6,10,6,4,4,1,0,6,0,0,0,1,185
"Otto Porter Jr.","WAS",80,2605,193,106,9,11,4,1,12,4,4,2,0,0,0,0,127
"DeAndre Jordan","LAC",81,2571,212,97,32,46,29,2,5,0,2,6,0,0,0,7,336
"Isaiah Thomas","BOS",76,2570,167,71,9,5,4,4,24,6,10,36,1,0,0,0,481
"Tobias Harris","DET",82,2566,133,77,4,9,7,6,4,1,2,4,0,0,0,6,164
"Marcus Morris","DET",79,2565,168,89,9,15,3,1,8,4,2,0,0,0,0,3,176
