"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"Marcin Gortat","WAS",82,2556,213,98,34,34,34,0,11,14,11,2,1,0,0,5,179
"Myles Turner","IND",81,2541,262,159,20,22,30,3,9,1,7,8,0,0,0,8,257
"Carmelo Anthony","NYK",74,2538,198,88,20,8,25,0,5,0,1,2,0,0,0,1,276
"Marc Gasol","MEM",74,2531,171,87,14,15,19,5,3,4,6,6,0,0,0,2,317
"Kentavious Caldwell-Pope","DET",76,2529,118,58,1,2,3,1,7,5,5,4,0,0,0,1,138
"Kyrie Irving","CLE",72,2525,157,65,5,0,7,4,7,4,3,7,0,0,0,0,244
"Gordon Hayward","UTA",73,2516,117,53,7,5,14,6,8,1,3,9,0,0,0,1,317
"Hassan Whiteside","MIA",77,2514,226,108,32,34,25,7,12,1,10,4,1,0,0,6,307
"Wesley Matthews","DAL",73,2495,161,68,3,11,6,2,33,10,22,11,0,0,0,0,212
"Dennis Schroder","ATL",79,2485,149,63,8,4,6,8,18,12,4,11,0,0,0,0,226
"Kawhi Leonard","SAS",74,2475,122,48,5,4,8,7,13,0,2,19,1,0,0,0,399
"Draymond Green","GSW",76,2471,217,108,7,20,11,6,10,13,4,5,1,0,0,2,221
"Ricky Rubio","MIN",75,2469,202,90,6,8,3,3,23,8,16,9,0,0,0,1,233
"DeMarcus Cousins","NOP",72,2466,278,103,23,31,38,15,9,24,8,28,0,0,0,4,584
"Goran Dragic","MIA",73,2460,199,88,7,6,8,7,12,4,10,18,0,0,0,0,267
"Courtney Lee","NYK",77,2459,141,71,3,4,0,0,2,1,8,3,0,0,0,1,75
"Serge Ibaka","TOR",79,2422,215,126,18,17,16,1,4,0,3,3,0,0,0,2,127
"Elfrid Payton","ORL",82,2412,177,72,4,7,2,5,10,0,2,14,0,0,0,0,191
"Andre Drummond","DET",81,2410,237,107,19,34,28,3,6,2,9,1,0,0,0,12,293
"Marcus Smart","BOS",79,2399,192,84,10,14,9,7,30,23,7,4,0,0,0,2,251
"Jordan Clarkson","LAL",82,2397,150,48,7,4,4,6,8,2,1,6,0,0,0,1,145
"Steven Adams","OKC",80,2389,195,75,32,66,27,5,8,0,0,1,0,0,0,4,262
"Andre Roberson","OKC",79,2376,204,99,10,11,2,3,13,0,5,4,0,0,0,0,95
"Markieff Morris","WAS",76,2374,254,137,13,18,27,3,2,3,8,6,0,0,0,10,186
"Solomon Hill","NOP",80,2374,182,90,8,6,5,3,6,1,5,6,0,0,0,0,103
"Michael Kidd-Gilchrist","CHA",81,2350,187,105,14,11,3,9,18,8,6,5,0,0,0,1,177
"Paul Millsap","ATL",69,2343,186,99,13,8,6,14,8,5,6,9,0,0,0,0,308
"Tristan Thompson","CLE",78,2337,176,79,30,33,17,4,3,0,4,2,0,0,0,2,190
"Tony Snell","MIL",80,2336,125,78,4,4,1,4,7,1,3,1,0,0,0,1,56
"Jae Crowder","BOS",72,2335,161,76,10,8,3,5,7,4,5,10,0,0,0,1,159
"LaMarcus Aldridge","SAS",72,2335,158,95,14,30,13,2,4,0,1,4,0,0,0,2,238
"Eric Gordon","HOU",75,2323,150,79,3,4,2,4,5,2,8,12,0,0,0,1,152
"Aaron Gordon","ORL",80,2298,172,98,9,6,5,12,7,5,0,2,1,0,0,1,168
"Marvin Williams","CHA",76,2295,134,63,8,13,11,1,5,1,5,4,0,0,0,0,128
"Mike Conley","MEM",69,2292,126,44,3,8,4,5,27,6,2,6,0,0,0,1,292
"Brandon Ingram","LAL",79,2279,158,90,3,5,9,5,8,3,1,10,0,0,0,3,192
"Robin Lopez","CHI",81,2271,151,86,17,22,22,2,3,1,0,1,0,0,0,10,120
"Allen Crabbe","POR",79,2254,171,95,3,6,5,3,3,0,8,4,0,0,0,4,96
"Kyle Lowry","TOR",60,2244,170,70,9,10,7,5,18,16,9,28,0,0,0,2,298
"Thaddeus Young","IND",74,2237,135,67,5,11,2,5,5,11,14,4,0,0,0,2,105
"PJ Tucker","TOR",81,2236,196,83,13,21,10,2,12,7,9,3,1,0,0,1,106
"Evan Fournier","ORL",68,2234,180,65,10,2,5,5,10,4,7,9,0,0,0,0,210
"Maurice Harkless","POR",77,2223,214,119,14,11,6,2,4,1,4,5,0,0,0,0,108
"Victor Oladipo","OKC",67,2223,155,87,7,2,5,5,2,8,9,7,0,0,0,1,120
"Brook Lopez","BKN",75,2222,192,77,21,11,25,11,3,1,4,4,0,0,0,9,297
"Dwight Howard","ATL",74,2199,203,83,36,33,41,2,1,0,5,2,0,0,0,12,337
"JJ Redick","LAC",78,2198,125,66,4,0,5,3,17,7,2,7,0,0,0,0,163
"Wilson Chandler","DEN",71,2197,172,97,4,7,6,10,2,0,1,9,1,0,0,2,157
"Al Horford","BOS",68,2193,138,77,11,12,8,1,3,0,1,1,0,0,0,2,124
"Jrue Holiday","NOP",67,2190,133,62,3,2,5,1,5,3,7,8,0,0,0,0,144
"Nik Stauskas","PHI",80,2188,144,92,1,4,0,4,3,0,3,5,1,0,0,0,130
"Tyler Johnson","MIA",73,2178,176,107,3,8,1,1,26,6,8,7,0,0,0,0,211
"Eric Bledsoe","PHX",66,2176,164,69,6,2,8,16,9,13,9,39,1,0,0,0,323
"Kristaps Porzingis","NYK",66,2164,244,145,20,18,14,4,8,0,4,1,1,0,0,8,219
"Nikola Vucevic","ORL",75,2163,180,126,12,23,13,1,0,0,6,0,0,0,0,7,151
"Jamal Crawford","LAC",82,2157,115,48,5,2,5,1,9,0,2,5,0,0,0,1,163
"Tim Hardaway Jr.","ATL",79,2153,103,57,3,4,6,7,6,10,11,5,0,0,0,0,172
"Mason Plumlee","DEN",81,2148,226,108,20,19,18,13,5,8,17,10,0,0,0,8,252
"Ersan Ilyasova","ATL",82,2142,211,101,17,28,15,3,28,35,25,5,1,0,0,1,227
"Danilo Gallinari","DEN",63,2134,93,41,4,7,4,3,1,8,13,13,0,0,0,0,288
"T.J. McConnell","PHI",81,2133,139,76,2,2,3,0,18,4,9,5,0,0,0,0,104
"Julius Randle","LAL",74,2132,248,109,22,8,23,11,5,0,8,8,1,0,0,2,193
"Dario Saric","PHI",81,2129,162,87,21,16,9,11,2,1,12,7,0,0,0,1,194
"Robert Covington","PHI",67,2119,203,90,5,5,8,17,8,3,10,7,0,0,0,1,126
"Ryan Anderson","HOU",72,2117,142,76,8,15,8,2,9,14,11,3,1,0,0,0,134
"JaMychal Green","MEM",77,2101,248,115,21,23,17,2,2,12,4,5,0,0,0,1,152
"James Johnson","MIA",76,2085,197,98,7,6,12,12,4,4,13,7,0,0,0,2,163
"Bojan Bogdanovic","WAS",81,2083,146,59,8,6,5,7,6,1,3,8,0,0,0,1,170
"Derrick Rose","NYK",64,2082,84,35,5,5,4,7,9,3,2,10,0,0,0,0,187
"Blake Griffin","LAC",61,2076,157,76,13,18,7,4,11,9,8,13,0,0,0,4,363
"Kevin Durant","GSW",62,2070,117,73,2,6,3,7,6,2,1,16,0,0,0,3,283
"Jonas Valanciunas","TOR",80,2066,216,116,22,35,26,4,3,1,19,2,0,0,0,7,221
"Darren Collison","SAC",68,2063,119,58,3,3,3,1,8,2,5,5,0,0,0,0,123
"Patrick Beverley","HOU",67,2058,222,95,9,17,2,2,39,24,14,8,0,0,0,3,164
"Austin Rivers","LAC",74,2054,187,89,7,5,4,5,12,2,5,12,0,0,0,0,165
"TJ Warren","PHX",66,2048,175,89,9,7,4,5,5,0,4,12,0,0,0,0,118
"Jameer Nelson","DEN",75,2045,197,88,10,3,4,1,9,4,11,3,0,0,0,0,77
"Nikola Jokic","DEN",73,2038,214,92,22,25,22,2,6,0,3,5,0,0,0,6,233
"Seth Curry","DAL",70,2029,126,50,5,2,5,0,6,8,15,5,0,0,0,0,113
"Cory Joseph","TOR",80,2003,140,61,5,8,5,6,18,4,4,15,0,0,0,1,157
"Monta Ellis","IND",74,1998,149,65,1,1,2,6,9,8,6,19,3,0,0,1,129
"Andre Iguodala","GSW",76,1998,97,50,6,9,2,0,7,2,1,0,1,0,0,0,100
"Lou Williams","HOU",81,1993,92,40,2,4,4,4,7,3,1,15,0,0,0,0,273
"Taj Gibson","OKC",78,1989,163,84,16,13,18,6,8,2,5,3,0,0,0,4,153
"Matthew Dellavedova","MIL",76,1986,153,55,7,6,4,2,9,5,19,7,0,0,0,2,101
"Malcolm Brogdon","MIL",75,1982,140,70,5,4,6,2,8,0,5,6,0,0,0,2,128
"Joe Ingles","UTA",82,1972,163,61,5,2,8,3,7,0,5,2,2,0,0,1,79
"Rodney McGruder","MIA",78,1966,140,68,5,5,1,2,12,0,3,1,1,0,0,0,70
"Kent Bazemore","ATL",73,1963,165,85,4,6,2,2,16,7,2,12,0,0,0,2,147
"Ish Smith","DET",81,1955,127,72,2,2,1,4,4,8,2,3,0,0,0,0,111
"Terrence Ross","ORL",78,1955,143,72,3,0,3,2,7,0,2,8,0,0,0,1,65
"Frank Kaminsky","CHA",75,1954,139,85,8,4,6,4,2,6,3,2,0,0,0,0,116
"Jon Leuer","DET",75,1944,145,97,4,11,1,1,4,1,3,0,0,0,0,3,97
"Iman Shumpert","CLE",76,1937,150,70,4,3,7,5,22,0,4,7,0,0,0,0,104
"Chris Paul","LAC",61,1921,146,45,9,4,6,2,8,2,2,18,0,0,0,1,225
"Tony Allen","MEM",71,1914,178,79,11,7,2,4,7,0,1,1,0,0,0,2,105
"Buddy Hield","SAC",82,1888,115,48,1,3,2,3,1,0,0,6,0,0,0,2,62
"Kevin Love","CLE",60,1885,125,63,13,17,9,8,5,7,8,5,0,0,0,0,241
"DeMarre Carroll","TOR",72,1881,143,65,12,6,1,7,8,2,4,5,0,0,0,0,99
"Joe Johnson","UTA",78,1843,93,45,6,1,2,2,0,0,0,0,1,0,0,0,64
"Rajon Rondo","CHI",69,1843,144,39,5,4,3,1,11,5,3,2,1,0,0,0,74
"Avery Bradley","BOS",55,1835,141,66,3,1,3,0,6,0,6,2,0,0,0,0,74
"Greg Monroe","MIL",81,1823,168,88,14,19,9,2,2,21,12,6,0,0,0,3,225
"E'Twaun Moore","NOP",73,1820,131,57,6,0,4,0,3,1,4,4,0,0,0,1,63
"D'Angelo Russell","LAL",63,1811,130,53,7,4,11,4,11,1,1,1,0,0,0,1,146
"Danny Green","SAS",68,1807,120,65,4,3,1,3,10,1,6,1,0,0,0,1,43
"Brandon Jennings","WAS",81,1801,116,31,3,4,8,3,12,0,5,7,0,0,0,0,140
"Vince Carter","MEM",73,1800,163,108,7,7,7,1,3,3,7,5,0,0,0,0,111
"Bismack Biyombo","ORL",81,1793,202,107,18,41,30,1,3,1,3,2,0,0,0,4,205
"Dwyane Wade","CHI",60,1792,112,59,4,8,3,7,4,1,0,4,0,0,0,0,198
"Luc Mbah a Moute","LAC",80,1787,122,69,7,6,1,2,5,2,1,4,0,0,0,3,82
"Zach Randolph","MEM",73,1786,136,43,18,35,11,5,3,1,1,5,1,0,0,2,196
"Gary Harris","DEN",57,1782,92,43,1,1,2,5,2,0,0,12,0,0,0,0,95
"Marco Belinelli","CHA",74,1777,90,37,8,2,5,0,15,1,0,3,0,0,0,2,147
"CJ Miles","IND",76,1776,151,87,4,4,0,4,5,11,10,3,0,0,0,0,85
"Matt Barnes","GSW",74,1776,185,107,6,10,4,4,6,1,3,1,1,0,0,0,69
"Al-Farouq Aminu","POR",61,1773,102,48,5,9,5,4,11,1,3,3,0,0,0,0,115
"Jamal Murray","DEN",82,1764,124,66,4,4,2,3,9,6,6,3,0,0,0,2,109
"Rondae Hollis-Jefferson","BKN",78,1761,177,99,11,8,2,9,9,0,5,7,0,0,0,3,187
"Patty Mills","SAS",80,1754,109,44,5,1,3,0,22,9,12,1,1,0,0,0,102
"Trevor Booker","BKN",71,1754,152,54,21,12,10,6,1,2,1,2,0,0,0,1,101
"Sean Kilpatrick","BKN",70,1754,118,54,4,2,9,8,7,6,3,15,1,0,0,2,179
"Kyle Korver","CLE",67,1753,107,66,6,1,5,0,8,12,6,1,0,0,0,1,55
"Zach LaVine","MIN",47,1749,104,45,2,2,1,6,1,0,2,8,0,0,0,0,107
"Marquese Chriss","PHX",82,1743,263,140,17,21,13,12,22,5,23,1,0,0,0,2,177
"Ty Lawson","SAC",69,1732,119,49,4,1,5,1,15,1,1,9,0,0,0,0,176
"Garrett Temple","SAC",65,1728,141,64,8,13,1,5,20,3,5,6,0,0,0,1,91
"Jabari Parker","MIL",51,1728,111,46,7,5,3,13,2,0,6,8,0,0,0,3,159
"Cody Zeller","CHA",62,1726,189,98,21,16,23,6,5,2,11,4,0,0,0,4,160
"Will Barton","DEN",60,1705,110,49,5,4,3,6,4,0,1,8,0,0,0,0,138
"Raymond Felton","LAC",80,1700,125,68,2,3,0,1,8,1,1,4,0,0,0,0,66
"Nikola Mirotic","CHI",70,1679,128,55,11,19,3,5,2,3,4,2,0,0,0,1,117
"Gerald Henderson","PHI",72,1667,129,44,4,2,6,4,10,5,6,9,0,0,0,1,138
"Evan Turner","POR",65,1659,121,70,5,2,3,2,3,1,3,3,0,0,0,0,99
"Deron Williams","CLE",64,1657,138,72,4,1,8,4,6,6,5,7,0,0,0,1,115
"Dante Cunningham","NOP",66,1649,100,56,5,7,3,3,4,0,3,1,0,0,0,0,29
"Isaiah Whitehead","BKN",73,1644,175,88,9,7,9,9,16,11,15,9,1,0,0,0,118
"Dorian Finney-Smith","DAL",81,1642,125,63,8,4,3,1,8,0,7,6,0,0,0,2,53
"Justin Holiday","NYK",82,1639,109,53,9,3,2,1,6,2,1,2,0,0,0,0,69
"Domantas Sabonis","OKC",81,1631,200,125,17,9,13,5,2,0,4,2,1,0,0,0,69
"Pau Gasol","SAS",64,1627,110,68,4,12,1,3,6,0,4,11,0,0,0,0,160
"Josh Richardson","MIA",53,1614,132,58,7,4,3,1,13,0,7,3,0,0,0,1,92
"Richard Jefferson","CLE",79,1614,153,74,2,6,9,2,16,7,10,4,0,0,0,2,110
"Amir Johnson","BOS",80,1608,211,118,17,27,13,1,6,6,9,2,0,0,0,7,111
"Kelly Oubre Jr.","WAS",79,1605,195,87,3,5,3,2,14,6,6,5,0,0,0,0,97
"Patrick Patterson","TOR",65,1598,120,47,17,9,6,4,6,6,8,1,1,0,0,2,67
"Thabo Sefolosha","ATL",62,1596,97,54,8,11,0,3,4,0,1,1,0,0,0,0,63
"Rodney Hood","UTA",59,1593,132,54,4,1,4,7,3,0,3,3,0,0,0,0,105
"Tony Parker","SAS",63,1587,92,47,3,1,3,4,5,0,3,5,0,0,0,0,116
"Arron Afflalo","SAC",61,1580,104,52,10,3,6,1,3,0,4,2,0,0,0,0,84
"Alex Len","PHX",77,1560,242,120,21,24,31,3,1,0,14,3,0,0,0,9,154
"Nick Young","LAL",60,1556,137,74,4,4,1,2,16,2,4,1,0,0,0,0,81
"Clint Capela","HOU",65,1551,179,91,35,6,11,6,6,6,8,6,0,0,0,3,136
"George Hill","UTA",49,1544,114,58,5,2,5,2,16,4,2,2,0,0,0,0,187
"Kelly Olynyk","BOS",75,1538,207,113,21,19,15,3,7,13,12,4,0,0,0,4,135
"D.J. Augustin","ORL",78,1538,101,35,13,0,8,1,13,9,7,4,0,0,0,1,142
"Jeff Green","ORL",69,1534,103,52,5,12,4,2,8,4,3,6,0,0,0,1,142
"Enes Kanter","OKC",72,1533,154,88,18,33,13,7,3,0,6,4,0,0,0,2,233
"Jerami Grant","OKC",80,1531,149,94,4,5,1,8,6,5,9,6,0,0,0,0,102
"Tim Frazier","NOP",65,1525,133,61,7,3,1,1,9,10,3,5,1,0,0,1,135
"Sergio Rodriguez","PHI",68,1517,95,39,4,3,2,0,0,1,1,6,1,0,0,1,45
"Shabazz Muhammad","MIN",78,1515,86,26,6,8,8,11,3,0,0,9,0,0,0,0,140
"Doug McDermott","OKC",66,1508,79,44,3,1,2,2,0,0,1,0,0,0,0,1,61
"James Ennis III","MEM",64,1501,165,78,7,5,5,5,11,3,4,5,0,0,0,3,87
"Wayne Ellington","MIA",62,1500,70,34,3,3,3,1,8,0,2,2,0,0,0,0,44
"Langston Galloway","SAC",74,1494,96,41,4,3,2,3,7,2,1,2,0,0,0,0,52
"Luol Deng","LAL",56,1486,61,28,6,2,0,5,3,2,1,2,1,0,0,2,68
"David Lee","SAS",79,1477,125,71,13,7,7,0,1,2,3,6,0,0,0,2,89
"Anthony Tolliver","SAC",65,1477,109,53,12,7,1,4,6,13,4,3,1,0,0,1,81
"Andrew Harrison","MEM",72,1474,194,84,8,4,16,6,10,7,4,3,1,0,0,1,158
"Larry Nance Jr.","LAL",63,1442,149,89,15,9,5,4,4,0,6,2,0,0,0,0,82
"Glenn Robinson III","IND",69,1427,63,43,2,3,0,2,2,1,6,1,0,0,0,1,71
"Dirk Nowitzki","DAL",54,1424,113,77,4,14,6,0,4,0,1,3,1,0,0,3,120
"Reggie Jackson","DET",52,1424,129,57,1,2,6,6,14,1,4,7,0,0,0,0,143
"Willie Cauley-Stein","SAC",75,1421,147,95,2,11,13,1,4,1,9,4,0,0,0,1,109
"Kosta Koufos","SAC",71,1419,172,89,19,12,17,0,3,0,7,3,1,0,0,0,66
"Sam Dekker","HOU",77,1419,83,43,9,5,1,5,5,1,1,1,0,0,0,4,53
"Emmanuel Mudiay","DEN",55,1406,95,47,4,3,5,9,2,2,3,8,2,0,0,0,119
"Channing Frye","CLE",74,1398,138,88,7,10,17,2,3,3,4,1,0,0,0,4,87
"Jonathon Simmons","SAS",78,1392,146,64,5,5,4,4,14,8,7,7,0,0,0,1,113
"Jusuf Nurkic","POR",65,1391,161,71,26,28,17,11,4,0,4,8,0,0,0,9,185
"Dion Waiters","MIA",46,1384,95,37,2,1,5,6,9,0,2,13,0,0,0,0,113
"Stanley Johnson","DET",77,1371,121,56,0,0,5,5,4,0,2,3,0,0,0,1,50
"Norman Powell","TOR",76,1368,127,46,8,0,3,7,8,0,4,12,0,0,0,0,115
"Jason Terry","MIL",74,1365,95,36,6,1,2,1,3,0,6,2,0,0,0,0,29
"Jared Dudley","PHX",64,1362,154,62,21,6,5,1,8,14,10,2,2,0,0,1,77
"Shaun Livingston","GSW",76,1345,120,58,6,4,2,1,5,1,2,1,0,0,0,0,59
"Jaylen Brown","BOS",78,1341,142,58,12,5,7,8,5,1,3,5,0,0,0,2,105
"Spencer Dinwiddie","BKN",59,1334,119,61,3,4,6,3,7,1,1,11,0,0,0,0,113
"Dwight Powell","DAL",77,1333,135,76,11,10,5,0,6,3,16,9,0,0,0,1,127
"Kris Dunn","MIN",78,1333,178,109,1,2,3,1,11,0,4,4,0,0,0,0,66
"Dewayne Dedmon","SAS",76,1330,180,99,23,20,16,1,4,1,5,2,0,0,0,4,96
"Willy Hernangomez","NYK",72,1324,150,72,19,25,13,4,3,2,13,0,0,0,0,0,126
"Tyson Chandler","PHX",47,1298,126,60,8,15,23,2,5,1,2,4,0,0,0,6,102
"Kenneth Faried","DEN",61,1296,124,63,18,17,7,4,2,20,7,4,0,0,0,1,157
"Manu Ginobili","SAS",69,1291,119,38,4,3,0,3,18,11,10,2,0,0,0,0,126
"Marreese Speights","LAC",82,1286,229,128,15,21,11,4,2,35,26,4,0,0,0,4,148
"Randy Foye","BKN",69,1284,99,46,5,2,2,1,3,3,3,2,0,0,0,0,49
"Boris Diaw","UTA",73,1283,83,39,12,4,5,3,11,0,5,0,0,0,0,1,56
"Corey Brewer","LAL",82,1281,133,49,8,5,2,8,10,3,4,2,0,0,0,0,70
"Terrence Jones","MIL",54,1271,67,36,5,12,5,0,3,1,1,4,0,0,0,2,133
"Zaza Pachulia","GSW",70,1268,166,77,19,25,24,2,6,1,4,2,0,0,0,3,147
"Noah Vonleh","POR",74,1265,154,70,22,10,13,3,4,1,4,1,0,0,0,2,80
"Terry Rozier","BOS",74,1263,69,33,3,5,3,1,11,0,5,3,0,0,0,0,82
"Malcolm Delaney","ATL",73,1248,112,43,4,0,8,2,23,13,11,1,0,0,0,1,114
"Caris LeVert","BKN",57,1237,91,56,3,1,1,0,3,3,3,6,1,0,0,2,86
"Mike Muscala","ATL",70,1237,97,55,11,28,3,1,9,3,6,2,0,0,0,2,83
"Jonas Jerebko","BOS",78,1232,122,66,12,9,4,2,2,6,10,2,0,0,0,1,43
"Kyle O'Quinn","NYK",79,1229,174,108,20,26,15,0,5,0,6,0,0,0,0,7,98
"Dante Exum","UTA",66,1228,146,79,5,5,7,2,20,2,8,1,1,0,0,0,94
"Justin Anderson","PHI",75,1227,109,62,3,1,3,6,5,4,6,6,0,0,0,0,94
"Meyers Leonard","POR",74,1222,172,104,20,7,5,0,16,2,4,2,0,0,0,5,70
"Shelvin Mack","UTA",55,1205,100,29,14,0,4,2,3,1,2,1,0,0,0,0,66
"Nene","HOU",67,1198,163,65,20,10,12,3,6,10,10,8,0,0,0,0,151
"Yogi Ferrell","DAL",46,1197,90,44,5,1,2,2,10,6,7,7,0,0,0,0,104
"Richaun Holmes","PHI",57,1193,136,74,11,10,7,5,2,1,2,4,0,0,0,3,88
"Timothe Luwawu-Cabarrot","PHI",69,1190,154,86,5,4,3,7,5,0,6,9,0,0,0,0,92
"Nemanja Bjelica","MIN",65,1189,154,74,20,6,2,5,0,2,5,5,0,0,0,2,68
"JR Smith","CLE",41,1187,77,40,4,3,4,0,10,2,1,0,0,0,0,0,31
"Derrick Favors","UTA",50,1186,103,58,4,13,5,2,0,0,3,2,0,0,0,1,91
"Troy Daniels","MEM",67,1183,90,53,8,3,1,0,7,7,6,1,1,0,0,0,66
"Justin Hamilton","BKN",64,1176,91,57,3,10,5,2,1,2,4,1,0,0,0,0,56
"Ben McLemore","SAC",61,1176,108,61,6,4,1,4,5,3,2,3,0,0,0,0,83
"Aron Baynes","DET",75,1162,166,93,22,24,19,0,3,13,8,1,0,0,0,1,123
"Trey Lyles","UTA",71,1158,97,55,7,3,4,4,1,0,4,4,0,0,0,2,59
"Jeremy Lamb","CHA",62,1143,98,54,4,3,0,3,7,2,5,2,0,0,0,0,111
"Brandon Knight","PHX",54,1140,87,27,0,4,5,4,15,2,6,12,1,0,0,0,141
"Joe Harris","BKN",52,1138,121,62,10,3,3,5,5,0,8,1,0,0,0,0,46
"Ian Clark","GSW",77,1136,77,43,1,2,3,0,4,0,1,4,0,0,0,0,54
"Jahlil Okafor","PHI",50,1134,122,75,6,10,12,8,6,2,0,8,0,0,0,5,141
"Mirza Teletovic","MIL",70,1133,109,56,5,2,3,2,1,3,4,5,0,0,0,1,45
"Tyler Ulis","PHX",61,1123,73,30,1,1,2,1,11,3,6,3,0,0,0,0,68
"John Henson","MIL",58,1123,151,85,12,12,6,4,11,1,4,1,0,0,0,7,106
"Timofey Mozgov","LAL",54,1104,133,78,9,11,19,1,5,1,4,2,0,0,0,5,93
"Tarik Black","LAL",67,1091,173,108,17,8,12,3,2,7,4,1,0,0,0,1,101
"Lucas Nogueira","TOR",57,1088,137,58,7,7,20,1,2,0,9,1,0,0,0,3,57
"Devin Harris","DAL",65,1087,101,40,5,4,3,3,13,11,7,24,1,0,0,0,135
"Patrick McCaw","GSW",71,1074,62,39,3,2,0,0,2,0,1,0,1,0,0,0,36
"Jason Smith","WAS",74,1068,168,75,22,11,17,3,7,2,9,0,0,0,0,0,58
"Luke Babbitt","MIA",68,1065,118,58,9,3,8,0,3,0,2,0,0,0,0,1,29
"Montrezl Harrell","HOU",58,1064,126,85,9,5,3,2,7,11,11,4,0,0,0,1,114
"Alex Abrines","OKC",68,1055,114,69,2,3,3,1,10,2,13,2,1,0,0,1,51
"Nerlens Noel","DAL",51,1047,126,66,11,17,9,3,5,2,7,3,0,0,0,0,112
"Cristiano Felicio","CHI",66,1040,110,59,19,16,4,1,1,0,2,1,0,0,0,3,72
"Willie Reed","MIA",71,1031,137,81,15,14,6,1,6,9,8,0,0,0,0,0,89
"Brandon Rush","MIN",47,1030,42,24,1,2,1,2,3,3,2,1,0,0,0,0,19
"Jerian Grant","CHI",63,1028,93,47,0,3,1,4,9,2,2,1,0,0,0,0,64
"Kyle Anderson","SAS",72,1020,63,28,3,1,2,0,7,1,2,2,0,0,0,0,56
"Mindaugas Kuzminskas","NYK",68,1016,79,41,5,4,5,1,1,0,1,1,0,0,0,0,69
"Joakim Noah","NYK",46,1015,127,59,17,14,10,0,3,2,4,4,0,0,0,4,81
"Rudy Gay","SAC",30,1013,79,41,5,1,3,5,4,2,1,4,0,0,0,0,110
