"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"DeMar DeRozan","CHI",79,2989,161,87,5,9,4,6,10,5,0,0,0,1,0,1,439
"Domantas Sabonis","SAC",82,2928,250,123,34,38,36,12,5,2,0,0,0,1,1,3,375
"Coby White","CHI",79,2881,186,99,6,8,5,7,40,10,0,0,0,0,0,4,293
"Mikal Bridges","BKN",82,2854,116,55,6,8,5,1,22,1,0,0,0,1,0,0,252
"Paolo Banchero","ORL",80,2799,153,92,4,5,8,13,0,0,0,0,0,0,2,1,380
"Kevin Durant","PHX",75,2791,133,68,6,10,10,4,7,4,0,0,0,0,1,3,361
"Dejounte Murray","ATL",78,2783,138,57,8,1,7,6,8,0,0,0,0,0,1,0,192
"Anthony Edwards","MIN",79,2770,141,60,6,6,10,5,1,0,0,0,1,3,3,2,336
"Nikola Jokic","DEN",79,2737,194,97,11,25,12,8,1,4,0,0,0,1,4,8,424
"Jalen Brunson","NYK",77,2726,144,74,6,8,9,4,41,34,0,0,0,0,1,2,480
"Josh Hart","NYK",81,2707,171,86,10,8,7,3,4,5,0,0,0,1,0,1,121
"Anthony Davis","LAL",76,2700,177,117,6,46,13,9,3,1,0,0,1,2,1,5,410
"Fred VanVleet","HOU",73,2684,183,85,15,6,5,3,27,0,0,0,1,0,0,1,201
"De'Aaron Fox","SAC",74,2659,193,88,6,8,9,1,18,3,0,0,0,1,1,1,333
"Pascal Siakam","IND",80,2658,193,70,11,7,13,12,7,1,0,0,0,1,1,4,324
"Jayson Tatum","BOS",74,2645,145,54,8,10,20,12,4,0,0,0,1,2,2,2,340
"Austin Reaves","LAL",82,2629,153,86,4,9,6,5,26,8,0,0,0,0,2,2,243
"Tyrese Maxey","PHI",70,2626,151,67,1,6,5,4,8,3,0,0,1,0,1,0,288
"Luka Doncic","DAL",70,2624,149,77,3,12,4,3,7,6,0,0,0,3,2,1,477
"Nikola Vucevic","CHI",76,2610,190,124,14,16,16,3,3,0,0,0,0,2,0,1,144
"Jalen Green","HOU",82,2602,115,58,3,5,8,8,3,3,0,0,0,0,1,0,279
"Rudy Gobert","MIN",76,2593,238,120,40,52,33,4,13,1,0,0,0,0,0,9,391
"Keegan Murray","SAC",77,2589,205,113,4,4,4,3,5,13,0,0,0,0,0,1,97
"Miles Bridges","CHA",69,2581,118,67,7,5,6,3,7,2,0,0,0,0,0,1,171
"Damian Lillard","MIL",73,2579,134,58,3,5,2,5,10,4,0,0,0,0,0,0,357
"Giannis Antetokounmpo","MIL",73,2567,210,83,16,18,23,22,6,1,0,0,0,1,4,5,604
"Michael Porter Jr.","DEN",81,2565,148,88,11,9,7,2,1,0,0,0,0,0,0,3,98
"Shai Gilgeous-Alexander","OKC",75,2553,184,99,11,5,12,2,11,0,0,0,0,0,1,2,480
"Grayson Allen","PHX",75,2513,157,75,8,6,5,3,19,0,0,0,0,0,1,0,140
"LeBron James","LAL",71,2504,78,35,5,6,8,5,4,8,0,0,0,0,0,1,308
"Paul George","LAC",74,2502,202,88,10,4,17,7,14,5,0,0,1,3,1,0,234
"Dennis Schroder","BKN",80,2486,164,56,6,2,7,3,22,3,0,0,0,2,2,1,185
"D'Angelo Russell","LAL",76,2484,156,75,10,2,10,0,18,2,0,0,0,0,0,2,170
"James Harden","LAC",72,2470,127,62,7,7,9,6,7,0,0,0,0,0,0,3,238
"Devin Booker","PHX",68,2447,206,89,14,3,10,7,13,1,0,0,0,2,2,2,352
"Jarrett Allen","CLE",77,2442,147,87,12,33,17,4,15,0,0,0,0,0,0,2,328
"Jabari Smith Jr.","HOU",76,2424,200,110,14,15,9,4,3,0,0,0,0,0,0,2,138
"Stephen Curry","GSW",74,2421,117,62,6,3,12,3,8,7,0,0,0,0,4,1,269
"Bam Adebayo","MIA",71,2416,159,81,10,30,27,5,5,1,0,0,0,0,0,6,343
"Chet Holmgren","OKC",82,2413,197,126,18,28,10,10,8,4,0,0,0,0,1,5,250
"Brook Lopez","MIL",79,2411,191,113,12,10,30,2,3,0,0,0,0,1,0,20,120
"Kentavious Caldwell-Pope","DEN",76,2402,151,87,4,5,3,1,19,0,0,0,0,2,0,0,98
"Bogdan Bogdanovic","ATL",79,2401,179,94,7,2,8,0,7,0,0,0,0,4,0,7,127
"Brandon Miller","CHA",74,2383,184,105,8,5,17,2,10,11,0,0,0,0,1,5,194
"Derrick White","BOS",73,2381,152,79,4,6,9,4,20,7,0,0,0,2,2,0,154
"Harrison Barnes","SAC",82,2381,98,60,4,7,5,0,12,0,0,0,0,1,0,2,164
"Tobias Harris","PHI",70,2368,115,69,4,5,9,5,6,0,0,0,0,0,2,0,165
"Donte DiVincenzo","NYK",81,2360,166,76,6,9,12,0,17,1,0,0,0,0,1,1,123
"Jordan Poole","WAS",78,2346,244,106,12,8,13,2,13,1,0,0,1,4,0,0,209
"Jaylen Brown","BOS",70,2343,185,74,9,11,17,9,9,1,0,0,0,0,0,0,241
"Malik Beasley","MIL",79,2337,158,75,10,5,1,0,5,2,0,0,0,0,0,0,40
"Franz Wagner","ORL",72,2337,168,74,5,10,14,4,30,4,0,0,1,3,0,1,277
"Kawhi Leonard","LAC",68,2330,97,44,7,5,10,2,6,3,0,0,0,1,0,0,287
"Herbert Jones","NOP",76,2321,224,112,29,10,12,4,8,12,0,0,0,0,2,1,139
"Aaron Gordon","DEN",73,2297,142,87,4,7,10,10,5,2,0,0,0,0,2,0,223
"Klay Thompson","GSW",77,2284,127,78,3,5,13,2,2,0,0,0,0,0,0,3,91
"Kyle Kuzma","WAS",70,2281,153,86,9,10,12,12,5,5,0,0,0,0,1,2,192
"Jrue Holiday","BOS",69,2263,108,56,3,0,3,1,15,6,0,0,0,0,1,0,84
"Deni Avdija","WAS",75,2257,185,93,12,10,8,10,12,0,0,0,0,0,3,6,251
"Devin Vassell","SAS",68,2248,74,34,0,1,3,4,8,0,0,0,0,0,0,0,152
"Luguentz Dort","OKC",79,2246,228,105,20,9,12,3,52,4,0,0,0,0,0,3,170
"Max Strus","CLE",70,2239,170,88,11,1,6,3,14,5,0,0,0,0,1,0,116
"Dillon Brooks","HOU",72,2227,241,124,12,1,7,3,23,0,0,0,1,0,0,2,118
"Tyrese Haliburton","IND",69,2224,75,49,2,4,4,1,7,0,0,0,0,1,0,0,164
"Jalen Williams","OKC",71,2223,175,85,6,3,3,9,20,1,0,0,0,0,0,0,183
"P.J. Washington","DAL",73,2221,169,109,6,2,14,1,9,0,0,0,0,0,0,0,120
"Jaden Ivey","DET",77,2218,204,95,13,7,8,7,10,1,0,0,0,1,0,0,227
"Ayo Dosunmu","CHI",76,2212,166,80,7,4,4,3,6,0,0,0,0,0,0,4,83
"Zion Williamson","NOP",70,2207,159,90,3,8,15,13,3,0,0,0,0,0,0,1,362
"Mike Conley","MIN",76,2193,128,57,4,2,2,0,26,1,0,0,0,0,0,0,118
"Jeremy Sochan","SAS",74,2193,168,82,9,7,9,3,15,0,0,0,0,0,0,2,131
"Buddy Hield","PHI",84,2160,169,95,2,1,2,2,1,0,0,0,0,0,1,0,40
"CJ McCollum","NOP",66,2159,126,68,4,1,6,0,5,1,0,0,0,1,0,0,113
"Spencer Dinwiddie","LAL",76,2152,138,61,7,1,11,1,11,0,0,0,0,1,0,0,145
"Tre Jones","SAS",77,2138,92,37,4,4,3,1,27,8,0,0,0,0,1,0,130
"Grant Williams","CHA",76,2130,226,111,14,11,24,2,18,12,0,0,0,0,1,0,171
"Jaren Jackson Jr.","MEM",66,2124,235,108,17,31,39,7,29,2,0,0,0,2,0,8,378
"Tim Hardaway Jr.","DAL",79,2120,106,46,7,8,5,1,15,20,0,0,0,0,1,0,158
"Nic Claxton","BKN",71,2116,175,75,21,32,27,4,13,0,0,0,0,1,0,10,238
"Jaime Jaquez Jr.","MIA",75,2113,167,100,6,3,4,3,6,1,0,0,0,1,1,2,135
"Taurean Prince","LAL",78,2108,146,84,5,4,2,1,10,11,0,0,0,1,0,0,67
"Victor Wembanyama","SAS",71,2106,153,90,9,23,14,3,7,10,0,0,0,0,0,0,381
"Jaden McDaniels","MIN",72,2105,219,109,14,4,1,2,13,0,0,0,0,2,1,1,93
"Brandon Ingram","NOP",64,2103,145,73,5,8,18,9,4,1,0,0,0,0,0,3,241
"Scottie Barnes","TOR",60,2094,118,41,10,9,9,7,15,1,0,0,0,1,0,1,215
"Jusuf Nurkic","PHX",76,2078,254,126,20,40,33,8,0,1,0,0,0,3,0,7,231
"Myles Turner","IND",77,2077,232,133,13,16,34,9,7,3,0,0,0,0,0,4,263
"Cam Thomas","BKN",66,2075,138,69,7,8,5,4,15,0,0,0,0,3,1,2,272
"Collin Sexton","UTA",78,2075,154,70,7,15,13,3,25,1,0,0,1,1,0,1,295
"Cade Cunningham","DET",62,2074,153,81,3,3,6,7,5,1,0,0,0,1,3,1,194
"Corey Kispert","WAS",80,2067,141,83,2,3,9,3,4,2,0,0,0,0,0,1,116
"Saddiq Bey","ATL",63,2062,88,39,7,6,1,1,3,0,0,0,0,2,0,0,139
"Kelly Oubre Jr.","PHI",68,2055,194,86,7,5,9,7,13,4,0,0,0,1,1,2,180
"Alperen Sengun","HOU",63,2046,211,118,18,26,14,6,14,8,0,0,0,1,0,6,326
"Jimmy Butler","MIA",60,2042,68,30,4,11,7,3,4,1,0,0,0,0,0,0,312
"Terry Rozier","MIA",61,2040,101,44,4,2,3,5,30,3,0,0,0,0,0,0,175
"Alex Caruso","CHI",71,2040,181,82,4,3,2,0,30,12,0,0,0,0,2,1,138
"Keldon Johnson","SAS",69,2038,149,72,10,9,3,6,8,2,0,0,0,0,0,0,166
"Kyrie Irving","DAL",58,2030,112,57,7,7,6,0,7,5,0,0,0,1,0,2,180
"Karl-Anthony Towns","MIN",62,2026,204,105,11,12,36,16,9,1,0,0,0,0,0,1,261
"Jalen Suggs","ORL",75,2025,205,105,8,18,8,4,28,7,0,0,0,0,2,1,182
"Keyonte George","UTA",75,2023,91,31,0,8,7,2,18,6,0,0,0,0,0,1,203
"Josh Giddey","OKC",80,2012,111,63,8,1,6,6,3,0,0,0,0,0,1,5,97
"Bobby Portis","MIL",82,2008,189,95,19,15,19,3,4,0,0,0,0,1,0,4,103
"Aaron Nesmith","IND",72,1995,241,142,18,4,9,4,31,8,0,0,0,0,1,2,145
"Gary Trent Jr.","TOR",71,1994,96,41,7,5,4,4,6,1,0,0,0,0,1,0,78
"Norman Powell","LAC",76,1990,137,73,11,1,4,1,8,0,0,0,0,1,2,0,150
"Immanuel Quickley","TOR",68,1985,119,62,3,3,3,2,17,0,0,0,0,0,0,2,191
"Brandin Podziemski","GSW",74,1968,122,60,14,11,6,0,4,37,0,0,0,0,0,3,123
"Naz Reid","MIN",81,1964,172,104,9,7,6,6,2,1,0,0,0,0,1,2,111
"Caris LeVert","CLE",68,1958,121,64,0,2,5,1,13,0,0,0,0,0,0,1,153
"Royce O'Neale","PHX",79,1954,174,105,8,6,9,1,11,1,0,0,2,1,2,1,48
"Jonathan Kuminga","GSW",74,1950,169,64,11,7,9,8,11,1,0,0,0,0,0,1,218
"Donovan Mitchell","CLE",55,1943,118,55,11,6,3,3,4,0,0,0,1,1,0,5,234
