"Name","TeamAbbreviation","GamesPlayed","Minutes","Period1Fouls2Minutes","Period1Fouls3Minutes","Period2Fouls2Minutes","Period2Fouls3Minutes","Period2Fouls4Minutes","Period3Fouls3Minutes","Period3Fouls4Minutes","Period3Fouls5Minutes","Period4Fouls4Minutes","Period4Fouls5Minutes","PeriodOTFouls4Minutes","PeriodOTFouls5Minutes"
"LeBron James","CLE",82,3026,3,0,53,2,0,31,0,0,43,0,0,0
"Khris Middleton","MIL",82,2982,2,0,144,7,0,214,5,0,131,22,11,1
"Andrew Wiggins","MIN",82,2979,8,0,55,5,0,119,10,0,29,6,4,1
"Bradley Beal","WAS",82,2977,0,0,32,0,0,52,2,1,23,11,0,0
"Jrue Holiday","NOP",81,2927,2,0,43,0,0,70,10,0,90,12,19,6
"CJ McCollum","POR",81,2923,5,0,82,0,0,66,0,0,35,14,0,0
"Karl-Anthony Towns","MIN",82,2918,0,0,204,0,0,161,0,0,179,32,10,0
"Russell Westbrook","OKC",80,2914,9,0,111,2,0,93,15,0,65,14,0,5
"Paul George","OKC",79,2891,11,0,161,5,0,154,7,0,106,29,9,8
"Giannis Antetokounmpo","MIL",75,2756,4,0,136,11,0,127,22,0,81,45,5,5
"Kemba Walker","CHA",80,2736,0,0,16,0,0,12,0,0,11,0,0,0
"Ben Simmons","PHI",81,2732,8,0,99,2,0,91,8,0,61,25,3,12
"Anthony Davis","NOP",75,2727,2,0,72,0,0,45,1,0,44,17,4,2
"Taj Gibson","MIN",82,2727,14,0,119,0,0,173,12,0,59,22,4,2
"DeMar DeRozan","TOR",80,2712,0,0,34,0,0,59,0,0,3,1,5,0
"Josh Richardson","MIA",81,2689,0,0,77,0,0,53,2,0,38,11,5,0
"Will Barton","DEN",81,2683,10,0,98,1,0,71,6,0,51,9,5,0
"Damian Lillard","POR",73,2670,9,0,53,0,0,22,2,0,17,5,0,0
"Tobias Harris","LAC",80,2668,0,0,72,5,0,110,16,0,56,10,0,0
"Donovan Mitchell","UTA",79,2638,18,0,114,0,0,154,10,0,115,6,3,0
"Harrison Barnes","DAL",77,2634,0,0,15,0,0,26,0,0,0,0,0,0
"Andre Drummond","DET",78,2625,0,0,130,0,0,208,0,0,102,7,3,3
"Thaddeus Young","IND",81,2607,0,0,47,0,0,57,0,0,55,10,0,4
"Lou Williams","LAC",79,2589,0,0,6,0,0,5,0,0,13,0,0,0
"E'Twaun Moore","NOP",82,2586,1,0,83,1,0,88,0,0,27,7,8,0
"Joe Ingles","UTA",82,2579,6,0,105,0,0,76,3,0,37,7,5,0
"Jamal Murray","DEN",81,2565,2,0,81,2,0,88,5,0,89,8,13,2
"Victor Oladipo","IND",75,2552,0,0,63,0,0,43,0,0,47,12,5,0
"James Harden","HOU",72,2551,16,0,92,4,0,92,16,0,54,10,0,0
"Robert Covington","PHI",80,2531,2,0,133,0,0,128,9,0,134,10,0,0
"Kyle Lowry","TOR",78,2510,0,0,70,0,0,100,0,0,71,1,9,1
"LaMarcus Aldridge","SAS",75,2509,4,0,102,0,0,53,3,0,49,2,0,0
"Klay Thompson","GSW",73,2504,4,0,71,4,0,20,0,0,42,3,0,0
"Carmelo Anthony","OKC",78,2501,13,0,99,12,0,161,5,0,42,12,5,0
"Steven Adams","OKC",76,2487,4,0,119,0,0,128,7,0,61,18,14,4
"Bojan Bogdanovic","IND",80,2464,3,0,44,0,0,26,2,0,8,0,0,0
"Taurean Prince","ATL",82,2464,1,0,120,1,0,99,13,0,58,2,0,0
"Dwight Howard","CHA",81,2463,34,0,90,9,0,157,47,0,74,33,6,0
"Kentavious Caldwell-Pope","LAL",74,2458,2,0,53,0,0,43,11,0,48,2,3,0
"Jayson Tatum","BOS",80,2443,4,0,102,2,0,65,8,3,34,0,0,0
