"Name","TeamAbbreviation","GamesPlayed","Minutes","Period1Fouls2Minutes","Period1Fouls3Minutes","Period2Fouls2Minutes","Period2Fouls3Minutes","Period2Fouls4Minutes","Period3Fouls3Minutes","Period3Fouls4Minutes","Period3Fouls5Minutes","Period4Fouls4Minutes","Period4Fouls5Minutes","PeriodOTFouls4Minutes","PeriodOTFouls5Minutes"
"Mikal Bridges","PHX",82,2854,3,0,57,0,0,62,0,0,25,0,0,0
"Miles Bridges","CHA",80,2837,3,0,100,7,0,122,9,0,96,2,9,1
"DeMar DeRozan","CHI",76,2743,2,0,59,0,0,56,8,0,37,8,5,0
"Jayson Tatum","BOS",76,2731,4,0,96,3,0,67,5,0,68,8,2,6
"Saddiq Bey","DET",82,2704,1,0,43,0,0,33,0,0,6,0,5,3
"Tyrese Haliburton","IND",77,2694,1,0,67,1,0,21,6,0,24,2,0,0
"Russell Westbrook","LAL",78,2678,6,0,130,7,0,102,6,0,76,34,4,5
"Trae Young","ATL",76,2652,1,0,40,0,0,15,3,0,27,4,0,0
"Tyrese Maxey","PHI",75,2650,2,0,66,0,0,93,14,0,52,11,5,10
"Dorian Finney-Smith","DAL",80,2644,8,0,115,6,0,90,6,0,65,21,0,0
"Scottie Barnes","TOR",74,2617,10,0,98,5,0,153,13,0,90,31,9,0
"Harrison Barnes","SAC",77,2587,0,0,22,0,0,20,4,0,6,0,0,0
"Pascal Siakam","TOR",68,2578,4,0,158,9,0,139,28,0,147,61,20,4
"Julius Randle","NYK",72,2544,13,0,80,3,0,146,12,0,85,10,16,3
"Tobias Harris","PHI",73,2543,2,0,69,0,0,64,4,0,61,17,5,0
"Jalen Brunson","DAL",79,2524,0,0,50,2,0,44,7,0,25,9,1,0
"Buddy Hield","IND",81,2499,1,0,50,0,0,45,7,0,57,5,1,0
"Nikola Jokic","DEN",74,2476,2,0,97,2,0,117,8,0,57,20,5,0
"Karl-Anthony Towns","MIN",74,2476,37,0,107,25,0,245,27,0,161,48,2,0
"Anthony Edwards","MIN",72,2466,4,0,86,4,0,88,11,0,58,11,5,0
"Fred VanVleet","TOR",65,2462,8,0,92,2,0,117,23,0,58,23,0,0
"Terry Rozier","CHA",73,2458,5,0,54,6,0,51,0,0,11,2,5,5
"Gary Trent Jr.","TOR",70,2448,1,0,53,0,0,28,6,0,27,8,11,0
"Darius Garland","CLE",68,2430,0,0,37,0,0,53,0,0,7,7,0,0
"Franz Wagner","ORL",79,2429,11,0,61,2,0,77,2,0,55,4,5,0
"LaMelo Ball","CHA",75,2422,12,0,119,0,0,143,6,0,104,38,4,11
"James Harden","PHI",65,2420,18,0,81,9,0,101,8,0,70,7,0,0
"Nikola Vucevic","CHI",73,2418,3,0,59,0,0,62,6,0,45,24,0,0
"RJ Barrett","NYK",70,2417,4,0,96,5,0,84,2,0,30,3,9,1
"Royce O'Neale","UTA",77,2406,1,0,78,0,0,97,0,0,16,2,0,0
"Keldon Johnson","SAS",75,2392,4,0,102,1,0,72,2,0,26,2,5,0
"Aaron Gordon","DEN",75,2376,0,0,82,0,0,56,1,0,31,14,2,8
"Dejounte Murray","SAS",68,2366,1,0,59,0,0,59,0,0,33,2,0,0
"Evan Fournier","NYK",80,2358,0,0,60,1,0,98,14,0,32,6,10,0
"Patty Mills","BKN",81,2346,9,0,29,4,0,13,11,0,18,2,0,0
