"Name","TeamAbbreviation","GamesPlayed","Minutes","Period1Fouls2Minutes","Period1Fouls3Minutes","Period2Fouls2Minutes","Period2Fouls3Minutes","Period2Fouls4Minutes","Period3Fouls3Minutes","Period3Fouls4Minutes","Period3Fouls5Minutes","Period4Fouls4Minutes","Period4Fouls5Minutes","PeriodOTFouls4Minutes","PeriodOTFouls5Minutes"
"DeMar DeRozan","CHI",79,2989,2,0,94,3,0,64,14,0,43,2,6,0
"Domantas Sabonis","SAC",82,2928,29,0,160,14,0,161,14,0,102,50,9,1
"Coby White","CHI",79,2881,7,0,116,2,0,71,4,0,78,8,5,0
"Mikal Bridges","BKN",82,2854,7,0,36,0,0,31,8,0,17,0,0,0
"Paolo Banchero","ORL",80,2799,14,0,83,9,0,107,3,0,30,15,5,0
"Kevin Durant","PHX",75,2791,12,0,53,0,0,20,0,0,33,3,0,0
"Dejounte Murray","ATL",78,2783,0,0,43,7,0,47,10,0,21,5,9,0
"Anthony Edwards","MIN",79,2770,13,0,74,12,0,103,11,0,34,10,1,6
"Nikola Jokic","DEN",79,2737,0,0,67,0,0,54,3,0,24,14,0,0
"Jalen Brunson","NYK",77,2726,8,0,44,3,0,72,0,0,23,3,0,0
"Josh Hart","NYK",81,2707,13,0,94,3,0,52,0,0,50,4,0,5
"Anthony Davis","LAL",76,2700,15,0,122,14,0,121,12,0,59,12,6,3
"Fred VanVleet","HOU",73,2684,1,0,116,8,0,111,9,0,65,23,10,5
"De'Aaron Fox","SAC",74,2659,4,0,96,2,0,110,2,0,50,18,6,1
"Pascal Siakam","IND",80,2658,8,0,107,0,0,79,3,0,55,32,10,0
"Jayson Tatum","BOS",74,2645,0,0,81,1,0,47,0,0,44,3,3,0
"Austin Reaves","LAL",82,2629,17,0,64,0,0,40,5,0,29,5,5,0
"Tyrese Maxey","PHI",70,2626,15,0,94,15,0,65,8,0,51,5,0,3
"Luka Doncic","DAL",70,2624,7,0,105,15,0,119,1,0,45,5,0,5
"Nikola Vucevic","CHI",76,2610,7,0,56,0,0,38,2,0,67,8,22,8
"Jalen Green","HOU",82,2602,5,0,49,0,0,46,9,0,17,3,0,5
"Rudy Gobert","MIN",76,2593,3,0,106,0,0,105,1,0,137,25,2,5
"Keegan Murray","SAC",77,2589,14,0,154,7,0,145,18,0,103,43,5,0
"Miles Bridges","CHA",69,2581,0,0,16,0,0,36,0,0,17,2,0,0
"Damian Lillard","MIL",73,2579,2,0,34,0,0,65,1,0,13,4,1,0
"Giannis Antetokounmpo","MIL",73,2567,6,0,123,0,0,71,3,0,75,23,10,0
"Michael Porter Jr.","DEN",81,2565,0,0,97,0,0,64,0,0,27,3,0,0
"Shai Gilgeous-Alexander","OKC",75,2553,29,0,85,16,0,135,57,0,64,9,2,10
"Grayson Allen","PHX",75,2513,6,0,46,0,0,70,0,0,70,2,10,0
"LeBron James","LAL",71,2504,0,0,14,0,0,1,0,0,3,0,0,0
"Paul George","LAC",74,2502,11,0,119,0,0,95,8,0,116,29,0,0
"Dennis Schroder","BKN",80,2486,1,0,63,3,0,50,12,0,69,16,0,0
"D'Angelo Russell","LAL",76,2484,13,0,72,10,0,40,1,0,44,2,14,0
"James Harden","LAC",72,2470,0,0,63,2,0,34,1,0,4,0,0,0
"Devin Booker","PHX",68,2447,10,0,82,10,0,110,46,0,98,38,2,7
"Jarrett Allen","CLE",77,2442,4,0,46,0,0,30,7,0,45,10,5,5
"Jabari Smith Jr.","HOU",76,2424,2,0,104,0,0,107,4,0,77,36,1,9
"Stephen Curry","GSW",74,2421,12,0,72,3,0,29,6,0,16,19,10,5
"Bam Adebayo","MIA",71,2416,0,0,88,0,0,62,0,0,41,8,0,0
"Chet Holmgren","OKC",82,2413,10,0,99,15,0,86,11,0,79,5,5,0
"Brook Lopez","MIL",79,2411,4,0,141,5,0,99,0,0,55,8,6,1
"Kentavious Caldwell-Pope","DEN",76,2402,1,0,46,0,0,51,0,0,41,2,0,0
"Bogdan Bogdanovic","ATL",79,2401,3,1,73,9,0,45,3,0,31,5,0,0
"Brandon Miller","CHA",74,2383,17,0,72,0,0,116,7,0,61,15,5,0
"Derrick White","BOS",73,2381,2,0,57,1,0,75,0,0,21,9,0,5
"Harrison Barnes","SAC",82,2381,0,0,25,0,0,9,0,0,0,0,3,0
"Tobias Harris","PHI",70,2368,3,0,74,2,0,29,0,0,10,1,0,0
"Donte DiVincenzo","NYK",81,2360,1,0,55,1,0,68,14,0,27,1,0,0
"Jordan Poole","WAS",78,2346,43,0,114,14,0,126,48,0,107,21,6,0
"Jaylen Brown","BOS",70,2343,12,0,136,14,0,130,12,0,45,17,2,8
"Malik Beasley","MIL",79,2337,4,0,77,3,0,94,16,0,42,11,5,0
"Franz Wagner","ORL",72,2337,1,0,58,0,0,44,17,0,87,7,0,0
"Kawhi Leonard","LAC",68,2330,9,0,19,0,0,25,0,0,17,0,0,0
"Herbert Jones","NOP",76,2321,1,0,114,0,0,161,4,0,126,35,0,0
"Aaron Gordon","DEN",73,2297,0,0,47,1,0,45,6,0,25,7,0,0
"Klay Thompson","GSW",77,2284,2,0,48,5,0,52,1,0,36,3,13,3
"Kyle Kuzma","WAS",70,2281,13,0,66,0,0,62,10,0,80,12,5,0
"Jrue Holiday","BOS",69,2263,1,0,52,0,0,28,0,0,16,4,5,0
"Deni Avdija","WAS",75,2257,4,0,50,4,0,65,7,0,63,17,0,0
"Devin Vassell","SAS",68,2248,0,0,22,0,0,14,0,0,0,0,0,0
"Luguentz Dort","OKC",79,2246,22,0,90,18,0,107,27,0,78,21,1,0
"Max Strus","CLE",70,2239,3,0,72,0,0,58,3,0,45,16,0,5
"Dillon Brooks","HOU",72,2227,7,0,195,14,0,170,7,0,130,70,5,5
"Tyrese Haliburton","IND",69,2224,0,0,22,0,0,13,0,0,7,0,0,0
"Jalen Williams","OKC",71,2223,4,0,89,6,0,84,8,0,76,12,0,5
"P.J. Washington","DAL",73,2221,1,0,48,1,0,61,0,0,71,14,0,0
"Jaden Ivey","DET",77,2218,1,0,117,1,0,116,8,0,54,11,7,1
"Ayo Dosunmu","CHI",76,2212,10,0,52,0,0,43,6,0,44,7,0,5
"Zion Williamson","NOP",70,2207,1,0,98,0,0,80,5,0,45,12,3,1
"Mike Conley","MIN",76,2193,1,0,19,0,0,26,0,0,9,2,0,0
"Jeremy Sochan","SAS",74,2193,0,0,71,4,0,56,6,0,86,14,0,0
"Buddy Hield","PHI",84,2160,4,0,45,0,0,34,6,0,18,6,0,0
"CJ McCollum","NOP",66,2159,0,0,47,0,0,32,0,0,8,0,0,0
"Spencer Dinwiddie","LAL",76,2152,9,0,77,0,0,59,1,0,30,0,0,0
"Tre Jones","SAS",77,2138,1,0,29,3,0,14,0,0,1,0,0,0
"Grant Williams","CHA",76,2130,3,0,134,0,0,78,7,0,78,17,0,0
"Jaren Jackson Jr.","MEM",66,2124,1,0,119,0,0,156,8,0,166,50,3,4
"Tim Hardaway Jr.","DAL",79,2120,3,0,43,0,0,11,0,0,17,0,0,0
"Nic Claxton","BKN",71,2116,15,0,86,5,0,82,19,0,55,10,5,5
"Jaime Jaquez Jr.","MIA",75,2113,9,0,64,0,0,36,2,0,44,11,0,0
"Taurean Prince","LAL",78,2108,4,0,61,8,0,51,7,0,44,8,0,0
"Victor Wembanyama","SAS",71,2106,9,0,72,6,0,50,1,0,44,28,0,0
"Jaden McDaniels","MIN",72,2105,6,0,113,1,0,108,10,0,106,34,10,2
"Brandon Ingram","NOP",64,2103,1,0,53,0,0,82,0,0,25,3,0,0
"Scottie Barnes","TOR",60,2094,1,0,27,0,0,26,0,0,25,0,0,5
"Jusuf Nurkic","PHX",76,2078,1,0,124,0,0,120,8,0,78,28,8,1
"Myles Turner","IND",77,2077,0,0,93,1,0,161,4,0,119,26,0,0
"Cam Thomas","BKN",66,2075,14,0,80,13,0,91,13,0,37,12,0,0
"Collin Sexton","UTA",78,2075,6,0,67,0,0,49,0,0,41,7,2,0
"Cade Cunningham","DET",62,2074,10,0,99,2,0,87,14,0,68,16,0,5
"Corey Kispert","WAS",80,2067,11,0,68,2,0,62,0,0,34,5,0,0
"Saddiq Bey","ATL",63,2062,3,0,20,0,0,18,0,0,2,0,0,0
"Kelly Oubre Jr.","PHI",68,2055,13,0,108,1,0,121,6,0,67,22,0,0
"Alperen Sengun","HOU",63,2046,0,0,101,3,0,122,7,0,73,16,9,7
"Jimmy Butler","MIA",60,2042,0,0,6,0,0,5,0,0,0,0,0,0
"Terry Rozier","MIA",61,2040,0,0,16,0,0,9,0,0,24,0,0,0
"Alex Caruso","CHI",71,2040,9,0,68,3,0,39,5,0,48,17,2,5
"Keldon Johnson","SAS",69,2038,2,0,48,3,0,36,4,0,29,9,0,5
"Kyrie Irving","DAL",58,2030,8,0,72,0,0,47,0,0,8,0,0,0
"Karl-Anthony Towns","MIN",62,2026,4,0,154,1,0,144,9,0,110,33,8,6
"Jalen Suggs","ORL",75,2025,29,0,104,1,0,158,31,0,51,19,0,0
