"Name","TeamAbbreviation","GamesPlayed","Minutes","Period1Fouls2Minutes","Period1Fouls3Minutes","Period2Fouls2Minutes","Period2Fouls3Minutes","Period2Fouls4Minutes","Period3Fouls3Minutes","Period3Fouls4Minutes","Period3Fouls5Minutes","Period4Fouls4Minutes","Period4Fouls5Minutes","PeriodOTFouls4Minutes","PeriodOTFouls5Minutes"
"Andrew Wiggins","MIN",82,3048,8,0,66,0,0,89,10,0,56,10,4,4
"Karl-Anthony Towns","MIN",82,3030,3,0,153,0,0,124,12,0,117,22,2,0
"James Harden","HOU",81,2947,14,0,85,14,0,142,33,1,86,20,8,2
"Giannis Antetokounmpo","MIL",80,2845,0,0,99,3,0,180,11,0,132,31,4,5
"John Wall","WAS",78,2836,0,0,31,0,0,49,2,0,14,12,3,0
"Jimmy Butler","CHI",76,2809,3,0,37,7,0,53,0,0,11,7,0,0
"Harrison Barnes","DAL",79,2804,0,0,66,3,0,27,10,0,8,11,0,0
"Russell Westbrook","OKC",81,2802,2,0,88,3,0,71,10,0,44,7,0,0
"CJ McCollum","POR",80,2796,0,0,107,3,0,80,8,0,81,22,11,5
"LeBron James","CLE",74,2795,0,0,30,0,0,21,0,0,11,1,10,4
"Trevor Ariza","HOU",80,2773,0,0,50,0,0,54,5,0,22,1,0,0
"Rudy Gobert","UTA",81,2744,2,0,90,0,0,101,0,0,72,22,0,0
"Kemba Walker","CHA",79,2739,0,0,11,0,0,26,0,0,8,0,0,0
"Devin Booker","PHX",78,2731,6,0,81,2,0,123,15,0,108,37,0,5
"Anthony Davis","NOP",75,2708,0,0,59,0,0,76,3,0,54,6,7,4
"Damian Lillard","POR",75,2693,7,0,52,0,0,93,2,0,28,8,4,6
"Paul George","IND",75,2689,0,0,95,0,0,102,0,0,83,29,0,15
"Bradley Beal","WAS",77,2684,0,0,86,0,0,74,1,0,88,5,0,0
"Jeff Teague","IND",82,2657,0,0,37,0,0,45,9,0,42,8,5,0
"Gorgui Dieng","MIN",82,2653,20,0,146,8,0,212,42,0,120,40,2,0
"Klay Thompson","GSW",78,2649,3,0,81,0,0,62,3,0,28,4,0,0
"Stephen Curry","GSW",79,2639,7,0,72,1,0,142,7,0,63,12,1,5
"DeMar DeRozan","TOR",74,2620,0,0,42,0,0,30,0,0,5,4,0,5
"Nicolas Batum","CHA",77,2617,0,0,4,0,0,13,0,0,6,3,0,0
"Otto Porter Jr.","WAS",80,2605,2,0,59,0,0,65,3,0,77,15,13,2
"DeAndre Jordan","LAC",81,2571,3,0,94,6,0,148,8,1,56,7,0,0
"Isaiah Thomas","BOS",76,2570,10,0,48,0,0,38,8,0,40,1,0,0
"Tobias Harris","DET",82,2566,0,0,73,0,0,27,0,0,13,0,0,0
"Marcus Morris","DET",79,2565,1,0,44,0,0,93,11,0,69,5,5,0
"Marcin Gortat","WAS",82,2556,0,0,109,0,0,158,1,0,61,12,10,2
"Myles Turner","IND",81,2541,2,0,105,1,0,147,1,0,122,17,12,4
"Carmelo Anthony","NYK",74,2538,7,0,58,2,0,116,11,0,59,13,1,2
"Marc Gasol","MEM",74,2531,8,0,82,0,0,60,12,0,60,13,13,0
"Kentavious Caldwell-Pope","DET",76,2529,0,0,13,0,0,6,0,0,1,0,0,0
"Kyrie Irving","CLE",72,2525,0,0,73,0,0,77,2,0,45,2,4,0
"Gordon Hayward","UTA",73,2516,0,0,56,1,0,24,0,0,0,0,0,0
"Hassan Whiteside","MIA",77,2514,0,0,118,0,0,138,2,0,101,30,7,5
"Wesley Matthews","DAL",73,2495,8,0,74,0,0,43,1,0,23,9,5,0
"Dennis Schroder","ATL",79,2485,4,0,91,12,0,95,13,0,61,3,0,0
"Kawhi Leonard","SAS",74,2475,2,0,22,0,0,32,2,0,30,14,2,3
"Draymond Green","GSW",76,2471,5,0,100,9,0,124,14,0,59,22,8,6
"Ricky Rubio","MIN",75,2469,10,0,99,0,0,110,15,0,63,18,4,1
"DeMarcus Cousins","NOP",72,2466,8,0,145,6,0,170,33,1,141,64,10,10
"Goran Dragic","MIA",73,2460,0,0,87,0,0,100,2,0,98,5,2,5
"Courtney Lee","NYK",77,2459,2,0,47,0,0,57,2,0,22,13,13,6
"Serge Ibaka","TOR",79,2422,0,0,82,0,0,133,0,0,83,8,6,5
"Elfrid Payton","ORL",82,2412,18,0,76,0,0,94,2,0,37,2,7,3
"Andre Drummond","DET",81,2410,0,0,113,0,0,101,4,0,83,14,2,3
"Marcus Smart","BOS",79,2399,1,0,52,1,0,56,1,0,59,6,5,0
"Jordan Clarkson","LAL",82,2397,4,0,47,0,0,39,0,0,46,1,0,0
"Steven Adams","OKC",80,2389,1,0,140,2,0,123,1,0,57,11,2,7
"Andre Roberson","OKC",79,2376,11,0,131,0,0,114,16,1,73,11,8,7
"Markieff Morris","WAS",76,2374,0,0,152,0,0,216,24,0,92,44,8,9
"Solomon Hill","NOP",80,2374,1,0,86,0,0,59,3,0,28,11,2,5
"Michael Kidd-Gilchrist","CHA",81,2350,19,0,35,0,0,92,1,0,56,2,0,0
"Paul Millsap","ATL",69,2343,7,0,79,4,0,100,15,0,80,7,13,5
"Tristan Thompson","CLE",78,2337,0,0,56,0,0,80,2,0,30,1,13,0
"Tony Snell","MIL",80,2336,2,0,55,2,0,38,2,0,18,0,4,0
"Jae Crowder","BOS",72,2335,11,0,63,0,0,81,10,0,43,4,5,0
"LaMarcus Aldridge","SAS",72,2335,0,0,58,0,0,76,1,0,71,16,0,0
"Eric Gordon","HOU",75,2323,0,0,77,0,0,30,5,0,22,3,0,0
"Aaron Gordon","ORL",80,2298,0,0,73,0,0,86,1,0,58,5,3,0
"Marvin Williams","CHA",76,2295,1,0,17,0,0,39,0,0,52,1,5,0
"Mike Conley","MEM",69,2292,0,0,31,0,0,32,3,0,13,8,0,0
"Brandon Ingram","LAL",79,2279,3,0,66,10,0,121,18,1,39,21,0,0
"Robin Lopez","CHI",81,2271,0,0,40,0,0,75,0,0,7,0,0,0
"Allen Crabbe","POR",79,2254,4,0,76,2,0,27,13,1,38,30,7,0
"Kyle Lowry","TOR",60,2244,0,0,68,0,0,62,7,0,95,12,0,0
"Thaddeus Young","IND",74,2237,0,0,46,0,0,40,0,0,12,3,2,1
"PJ Tucker","TOR",81,2236,13,0,89,4,0,48,8,0,80,13,8,0
"Evan Fournier","ORL",68,2234,0,0,53,0,0,64,5,0,43,14,0,0
"Maurice Harkless","POR",77,2223,2,0,83,3,0,143,16,0,90,38,5,4
"Victor Oladipo","OKC",67,2223,0,0,79,0,0,48,5,0,64,11,1,0
"Brook Lopez","BKN",75,2222,2,0,60,0,0,79,1,0,33,7,0,0
"Dwight Howard","ATL",74,2199,5,0,100,2,0,132,9,2,74,12,2,10
"JJ Redick","LAC",78,2198,3,0,45,0,0,49,2,0,21,4,9,0
"Wilson Chandler","DEN",71,2197,4,0,70,0,0,46,1,0,53,10,0,0
"Al Horford","BOS",68,2193,0,0,47,1,0,30,4,0,27,15,3,1
"Jrue Holiday","NOP",67,2190,0,0,51,0,0,34,0,0,33,7,5,2
"Nik Stauskas","PHI",80,2188,0,0,43,0,0,13,2,0,9,9,0,0
"Tyler Johnson","MIA",73,2178,3,0,74,0,0,55,0,0,55,13,2,1
"Eric Bledsoe","PHX",66,2176,0,0,67,4,0,91,22,0,55,18,13,6
