"Name","TeamAbbreviation","GamesPlayed","Minutes","Period1Fouls2Minutes","Period1Fouls3Minutes","Period2Fouls2Minutes","Period2Fouls3Minutes","Period2Fouls4Minutes","Period3Fouls3Minutes","Period3Fouls4Minutes","Period3Fouls5Minutes","Period4Fouls4Minutes","Period4Fouls5Minutes","PeriodOTFouls4Minutes","PeriodOTFouls5Minutes"
"Mikal Bridges","BKN",83,2963,20,0,54,8,0,114,0,0,32,4,10,0
"Anthony Edwards","MIN",79,2842,10,0,131,3,0,58,16,0,90,24,0,0
"Zach LaVine","CHI",77,2768,16,0,77,14,0,70,21,0,38,19,14,1
"Nikola Vucevic","CHI",82,2746,1,0,80,2,0,61,2,0,40,13,6,9
"Julius Randle","NYK",77,2737,9,0,61,11,0,136,3,0,78,20,24,10
"Domantas Sabonis","SAC",79,2736,19,0,192,20,0,178,33,3,155,77,10,5
"Jayson Tatum","BOS",74,2732,7,0,107,1,0,96,17,0,48,5,6,0
"Spencer Dinwiddie","BKN",79,2725,8,0,92,4,0,59,6,0,77,17,0,0
"Evan Mobley","CLE",79,2715,5,0,180,0,0,141,7,0,93,9,19,0
"Dejounte Murray","ATL",74,2693,0,0,33,0,0,13,0,0,18,0,5,0
"DeMar DeRozan","CHI",74,2682,4,0,70,5,0,75,6,0,59,21,8,0
"Scottie Barnes","TOR",77,2678,10,0,56,2,0,68,3,0,75,14,0,5
"Harrison Barnes","SAC",82,2662,2,0,27,0,0,26,0,0,4,6,7,0
"Pascal Siakam","TOR",71,2652,7,0,114,23,0,180,25,1,122,51,0,10
"CJ McCollum","NOP",75,2649,0,0,55,0,0,39,4,0,48,10,7,3
"Franz Wagner","ORL",80,2609,21,0,102,2,0,63,9,0,28,18,0,0
"Jalen Green","HOU",76,2602,11,0,70,1,0,45,12,0,28,16,0,0
"Bam Adebayo","MIA",75,2598,0,0,105,0,0,132,0,0,101,24,3,1
"Trae Young","ATL",73,2541,5,0,32,6,0,47,0,0,15,0,5,0
"Fred VanVleet","TOR",69,2535,8,0,85,24,0,125,17,8,63,33,6,3
"Buddy Hield","IND",80,2482,0,0,42,0,0,48,0,0,22,3,0,0
"RJ Barrett","NYK",73,2475,7,0,121,0,0,49,2,0,49,8,4,3
"Jordan Poole","GSW",82,2458,17,0,119,7,0,112,6,0,116,14,7,0
"Josh Hart","NYK",76,2454,4,0,142,12,0,86,3,0,74,12,2,2
"Jabari Smith Jr.","HOU",79,2451,33,0,137,8,0,129,28,0,102,32,1,9
"Trey Murphy III","NOP",79,2448,4,0,42,0,0,106,6,0,43,1,3,3
"Darius Garland","CLE",69,2447,3,0,80,3,0,72,8,0,41,11,0,10
"Tobias Harris","PHI",74,2436,1,0,112,1,0,53,2,0,25,2,0,5
