"Name","TeamAbbreviation","GamesPlayed","Minutes","Period1Fouls2Minutes","Period1Fouls3Minutes","Period2Fouls2Minutes","Period2Fouls3Minutes","Period2Fouls4Minutes","Period3Fouls3Minutes","Period3Fouls4Minutes","Period3Fouls5Minutes","Period4Fouls4Minutes","Period4Fouls5Minutes","PeriodOTFouls4Minutes","PeriodOTFouls5Minutes"
"James Harden","HOU",82,3125,18,0,169,5,0,111,22,0,120,35,11,9
"Gordon Hayward","UTA",80,2893,0,0,55,0,0,89,8,0,35,8,4,0
"Kemba Walker","CHA",81,2885,3,0,6,0,0,19,0,0,8,5,0,0
"Trevor Ariza","HOU",81,2859,8,0,100,1,0,76,4,0,86,6,0,0
"Marcus Morris","DET",80,2856,1,0,86,0,0,60,0,0,51,17,0,19
"Khris Middleton","MIL",79,2852,4,0,77,8,0,104,8,0,95,13,10,0
"Kyle Lowry","TOR",77,2851,0,0,69,0,0,69,1,0,72,11,1,4
"Andrew Wiggins","MIN",81,2845,0,0,74,0,0,34,3,0,21,2,1,0
"Giannis Antetokounmpo","MIL",80,2823,4,0,117,3,0,141,23,0,108,21,0,4
"Paul George","IND",81,2819,0,0,89,2,0,153,13,0,103,15,12,1
"Draymond Green","GSW",81,2808,3,0,94,2,0,178,20,0,86,18,23,3
"DeMar DeRozan","TOR",78,2804,0,0,67,0,0,110,0,0,41,0,0,0
"Kentavious Caldwell-Pope","DET",76,2789,0,0,64,0,0,54,0,0,20,0,10,10
"John Wall","WAS",77,2784,0,0,88,0,0,63,0,0,30,4,0,0
"CJ McCollum","POR",80,2780,0,0,82,0,0,66,5,0,49,24,9,5
"Russell Westbrook","OKC",80,2750,3,0,109,2,0,74,0,0,77,2,0,0
"Monta Ellis","IND",81,2734,1,0,70,0,0,56,9,0,44,8,3,0
"LeBron James","CLE",76,2709,0,0,26,0,0,35,0,0,6,0,2,0
"Joe Johnson","MIA",81,2704,9,0,65,0,0,59,0,0,21,2,1,1
"Stephen Curry","GSW",79,2700,9,0,119,6,0,93,10,0,41,0,17,0
"Damian Lillard","POR",75,2676,7,0,81,1,0,86,7,0,62,1,2,3
"Klay Thompson","GSW",80,2666,7,0,93,0,0,56,6,0,30,14,0,0
"Andre Drummond","DET",81,2666,0,0,80,0,0,166,3,0,118,24,0,19
"Paul Millsap","ATL",81,2647,0,0,94,0,0,149,7,0,80,11,5,5
