"Name","TeamAbbreviation","GamesPlayed","Minutes","Period1Fouls2Minutes","Period1Fouls3Minutes","Period2Fouls2Minutes","Period2Fouls3Minutes","Period2Fouls4Minutes","Period3Fouls3Minutes","Period3Fouls4Minutes","Period3Fouls5Minutes","Period4Fouls4Minutes","Period4Fouls5Minutes","PeriodOTFouls4Minutes","PeriodOTFouls5Minutes"
"Julius Randle","NYK",71,2667,3,0,80,0,0,179,6,0,100,19,14,2
"RJ Barrett","NYK",72,2511,14,0,102,8,0,130,16,0,29,4,0,0
"Nikola Jokic","DEN",72,2488,0,0,87,0,0,90,9,0,70,13,9,0
"Buddy Hield","SAC",71,2433,15,0,108,1,0,69,5,0,48,4,2,3
"Damian Lillard","POR",67,2398,12,0,32,6,0,29,20,0,10,7,0,0
"Terry Rozier","CHA",69,2383,6,0,68,2,0,47,6,0,34,0,0,0
"Russell Westbrook","WAS",65,2369,2,0,78,4,0,94,3,0,51,3,1,10
"Andrew Wiggins","GSW",71,2364,0,0,70,5,0,102,1,0,47,6,0,0
"Nikola Vucevic","CHI",70,2348,0,0,16,0,0,26,0,0,31,0,0,0
"Mikal Bridges","PHX",72,2348,0,0,61,0,0,44,0,0,22,0,2,8
"Anthony Edwards","MIN",72,2314,4,0,68,1,0,48,3,0,38,0,0,0
"Jayson Tatum","BOS",64,2290,7,0,43,7,0,66,3,0,17,3,5,0
"Devin Booker","PHX",67,2270,3,0,59,0,0,88,3,0,79,6,1,3
"Khris Middleton","MIL",68,2269,2,0,59,0,0,69,1,0,54,3,0,0
"Duncan Robinson","MIA",72,2262,2,0,148,0,0,142,9,0,54,4,2,0
"Luka Doncic","DAL",66,2254,6,0,111,0,0,102,5,0,65,11,0,0
"Robert Covington","POR",70,2243,7,0,122,4,0,129,20,1,78,28,0,0
"Royce O'Neale","UTA",71,2241,0,0,79,0,0,92,3,0,54,10,0,5
"Domantas Sabonis","IND",62,2232,1,0,131,3,0,139,25,0,93,43,4,5
"Bojan Bogdanovic","UTA",72,2216,5,0,61,0,0,34,0,0,11,7,0,0
"Norman Powell","POR",69,2205,6,0,111,4,0,83,0,0,25,17,0,0
"Chris Paul","PHX",70,2199,3,0,46,0,0,27,3,0,24,2,3,0
"Rudy Gobert","UTA",71,2187,0,0,62,0,0,34,4,0,37,7,4,0
"Justin Holiday","IND",72,2183,14,0,45,5,0,48,14,0,32,20,0,8
"Isaac Okoro","CLE",67,2173,0,0,146,1,0,109,13,0,93,14,10,4
"Coby White","CHI",69,2156,8,0,121,10,0,82,11,0,74,12,4,0
"Stephen Curry","GSW",63,2152,10,0,60,5,0,62,8,0,8,4,0,0
"Bradley Beal","WAS",60,2147,11,0,81,7,0,87,8,0,60,5,0,0
"Bam Adebayo","MIA",64,2143,0,0,39,2,0,43,5,0,81,17,4,6
"Joe Harris","BKN",69,2141,10,0,53,5,0,43,7,0,51,4,3,3
"Dejounte Murray","SAS",67,2139,3,0,59,0,0,26,5,0,43,2,7,10
"Kevin Huerter","ATL",69,2126,1,0,76,3,0,54,2,0,40,10,0,0
"Trae Young","ATL",63,2125,0,0,26,0,0,33,1,0,36,5,0,10
"Collin Sexton","CLE",60,2115,6,0,74,0,0,59,8,0,59,31,17,9
"Deandre Ayton","PHX",69,2115,2,0,69,0,0,73,0,0,73,22,3,6
"Eric Bledsoe","NOP",71,2111,2,0,36,3,0,46,0,0,7,0,0,3
"Harrison Barnes","SAC",58,2102,3,0,18,0,0,12,0,0,1,0,0,0
"Brandon Ingram","NOP",61,2093,0,0,54,0,0,47,0,0,22,6,0,0
"DeMar DeRozan","SAS",61,2056,3,0,20,6,0,64,0,0,24,6,12,0
"Ja Morant","MEM",63,2053,0,0,19,0,0,32,0,0,3,0,0,0
"Jae'Sean Tate","HOU",70,2043,12,0,139,20,0,151,22,3,87,30,5,0
"De'Aaron Fox","SAC",58,2036,5,0,96,7,0,90,2,0,57,19,0,0
"Zach LaVine","CHI",58,2034,9,0,66,5,0,70,7,6,36,5,0,0
"Zion Williamson","NOP",61,2026,8,0,61,0,0,70,4,0,28,0,1,4
"Tobias Harris","PHI",62,2014,3,0,76,0,0,58,4,0,44,0,0,0
"Giannis Antetokounmpo","MIL",61,2013,6,0,95,9,0,101,9,0,62,13,0,0
"Pascal Siakam","TOR",56,2006,9,0,107,2,0,71,16,0,45,28,0,0
"Jaylen Brown","BOS",58,1999,8,0,76,8,0,140,1,0,107,5,5,2
"Kelly Olynyk","HOU",70,1997,18,0,119,9,0,167,9,0,85,17,3,0
"Dillon Brooks","MEM",67,1997,1,0,131,8,0,158,14,0,137,56,0,15
"Tim Hardaway Jr.","DAL",70,1989,4,0,46,0,0,31,0,0,1,0,0,0
"Patrick Williams","CHI",71,1983,3,0,26,1,0,35,7,0,57,1,0,0
"Draymond Green","GSW",63,1982,8,0,100,11,0,117,31,0,57,32,0,0
"Keldon Johnson","SAS",69,1968,2,0,41,3,0,50,0,0,38,12,3,1
"Dennis Schroder","LAL",61,1956,18,0,66,0,0,106,13,0,64,15,8,0
"Kyle Kuzma","LAL",68,1954,13,0,50,0,0,15,5,0,18,12,5,0
"P.J. Washington","CHA",64,1954,14,0,106,0,0,81,21,0,67,13,3,4
"Reggie Bullock","NYK",65,1949,18,0,89,2,0,100,12,0,16,21,3,3
"Danny Green","PHI",69,1934,1,0,85,2,0,49,12,0,19,2,0,0
"Miles Bridges","CHA",66,1932,6,0,60,5,0,56,10,0,33,7,0,0
"Malcolm Brogdon","IND",56,1930,13,0,41,0,0,32,0,0,9,1,1,0
"Dorian Finney-Smith","DAL",60,1915,2,0,61,0,0,35,2,0,27,0,5,0
"Michael Porter Jr.","DEN",61,1912,5,0,58,0,0,49,4,0,37,14,0,0
"Saddiq Bey","DET",70,1909,2,0,45,0,0,20,0,0,17,1,0,0
"Jrue Holiday","MIL",59,1907,1,0,47,0,0,31,0,0,17,3,0,0
"Kentavious Caldwell-Pope","LAL",67,1902,0,0,22,0,0,24,0,0,8,1,0,0
"Brook Lopez","MIL",70,1902,3,0,65,2,0,37,0,0,17,6,0,0
"Fred VanVleet","TOR",52,1899,4,0,65,1,0,71,0,0,24,0,0,0
"Clint Capela","ATL",63,1898,2,0,58,0,0,60,0,0,42,0,0,0
"Kyle Anderson","MEM",69,1887,3,0,68,0,0,28,1,0,11,9,10,1
"Kyrie Irving","BKN",54,1886,14,0,48,16,0,128,7,0,58,3,13,2
"Ben Simmons","PHI",58,1877,0,0,78,6,0,82,15,0,52,15,1,4
"Joe Ingles","UTA",67,1867,7,0,75,2,0,34,0,0,10,0,0,0
"Jarrett Allen","CLE",63,1864,4,0,33,1,0,32,2,0,14,0,0,0
"Dwayne Bacon","ORL",72,1853,13,0,27,0,0,12,0,0,9,0,0,0
"John Collins","ATL",63,1848,0,0,109,0,0,71,3,0,96,27,0,0
"Jakob Poeltl","SAS",69,1845,2,0,77,3,0,105,6,0,58,16,5,5
"Jeff Green","BKN",68,1835,14,0,42,2,0,21,4,0,17,12,3,0
"Nicolas Batum","LAC",67,1835,0,0,21,0,0,25,0,0,11,7,0,0
"Jerami Grant","DET",54,1829,11,0,45,0,0,57,1,0,55,7,9,3
"Paul George","LAC",54,1821,0,0,70,4,0,72,0,0,38,2,0,0
"Jordan Clarkson","UTA",68,1818,6,0,41,0,0,28,0,0,9,0,0,0
"Donte DiVincenzo","MIL",66,1814,1,0,26,0,0,33,2,0,23,2,0,0
"Gary Trent Jr.","TOR",58,1802,0,0,48,0,0,16,0,0,12,0,0,0
"Rui Hachimura","WAS",57,1797,2,0,43,1,0,70,0,0,23,9,2,0
"T.J. McConnell","IND",69,1796,1,0,41,2,0,16,2,0,33,0,5,0
"Josh Richardson","DAL",59,1795,2,0,70,0,0,54,0,0,41,1,1,0
"Darius Garland","CLE",54,1790,1,0,31,12,0,56,0,0,20,10,0,0
"Richaun Holmes","SAC",61,1782,4,0,138,10,0,139,18,0,111,48,0,0
"Theo Maledon","OKC",65,1778,7,0,44,3,0,30,6,0,22,14,0,0
"Kawhi Leonard","LAC",52,1773,0,0,31,0,0,36,0,0,18,4,0,0
"Ricky Rubio","MIN",68,1772,5,0,78,0,0,31,4,0,34,4,0,0
"Donovan Mitchell","UTA",53,1771,12,0,40,0,0,16,0,0,34,7,3,2
"Enes Kanter","POR",72,1758,0,0,56,1,0,64,2,0,42,0,0,0
"Jonas Valanciunas","MEM",62,1755,0,0,57,0,0,71,4,0,95,22,0,0
"Delon Wright","SAC",63,1748,0,0,9,0,0,8,6,0,15,2,1,0
"Lonzo Ball","NOP",55,1747,4,0,33,0,0,23,0,0,27,4,0,5
"Tyrese Haliburton","SAC",58,1746,1,0,11,0,0,15,1,0,17,0,0,0
"Jimmy Butler","MIA",52,1745,0,0,12,0,0,3,0,0,0,0,0,0
"Will Barton","DEN",56,1736,2,0,58,0,0,35,0,0,13,0,5,0
"Darius Bazley","OKC",55,1714,4,0,27,1,0,17,0,0,0,0,0,0
"Jamal Murray","DEN",48,1704,0,0,33,1,0,50,0,0,35,3,10,0
"Jalen Brunson","DAL",68,1697,5,0,42,0,0,6,0,0,6,1,0,0
"Carmelo Anthony","POR",69,1690,1,0,52,0,0,26,0,0,24,1,0,0
"Karl-Anthony Towns","MIN",50,1689,5,0,89,11,0,157,11,0,98,32,2,3
"Kelly Oubre Jr.","GSW",55,1687,1,0,66,0,0,54,1,0,31,0,0,0
"Patty Mills","SAS",68,1685,0,0,36,0,0,4,0,0,2,1,1,0
"Devonte' Graham","CHA",55,1659,4,0,36,0,0,23,0,0,8,0,2,0
"Thaddeus Young","CHI",68,1652,1,0,53,0,0,32,9,1,48,9,10,0
"Kendrick Nunn","MIA",56,1650,3,0,48,0,0,41,4,0,30,3,0,0
"Jae Crowder","PHX",60,1648,1,0,53,0,0,50,1,0,43,7,0,0
"Seth Curry","PHI",57,1638,0,0,73,0,0,53,0,0,23,0,3,0
"Tyler Herro","MIA",54,1635,0,0,23,0,0,0,0,0,0,0,0,0
"Doug McDermott","IND",66,1619,11,0,41,11,0,46,10,0,21,6,0,0
"James Harden","BKN",44,1609,21,0,77,3,0,45,5,0,46,4,5,5
"Ivica Zubac","LAC",72,1609,3,0,77,0,0,104,5,0,50,8,0,0
"Steven Adams","NOP",58,1605,2,0,35,0,0,40,1,0,18,2,4,5
"Kyle Lowry","TOR",46,1601,0,0,43,3,0,62,12,0,58,16,0,0
"Daniel Theis","CHI",65,1601,7,0,59,0,0,47,11,0,35,4,3,0
"CJ McCollum","POR",47,1600,0,0,26,1,0,44,1,0,23,3,0,0
"Joel Embiid","PHI",51,1585,1,0,60,0,0,103,1,0,21,7,6,0
"Marcus Smart","BOS",48,1581,2,0,57,1,0,27,18,0,60,20,1,0
"Montrezl Harrell","LAL",69,1580,3,0,60,0,0,23,2,0,37,1,5,0
"Pat Connaughton","MIL",69,1575,1,0,41,0,0,25,3,0,8,0,0,0
"Josh Jackson","DET",62,1560,7,0,75,2,0,74,11,0,65,26,2,8
"Nerlens Noel","NYK",64,1547,8,0,96,10,0,125,11,0,68,16,5,0
"Reggie Jackson","LAC",67,1544,1,0,68,0,0,25,2,0,39,0,0,0
"Luguentz Dort","OKC",52,1543,12,0,60,4,0,71,13,0,70,7,10,0
"Khem Birch","TOR",67,1529,1,0,55,1,0,32,4,0,21,0,1,0
"Garrett Temple","CHI",56,1528,1,0,35,1,0,26,2,0,43,3,4,1
"Lonnie Walker IV","SAS",60,1522,7,0,52,0,0,26,1,0,25,0,0,0
"Desmond Bane","MEM",68,1519,8,0,41,8,0,36,5,0,28,0,0,0
"Solomon Hill","ATL",71,1513,4,0,34,6,0,22,5,0,18,0,0,0
"Jaden McDaniels","MIN",63,1511,10,0,75,3,0,79,19,0,52,14,0,0
"Cedi Osman","CLE",59,1511,0,0,25,2,0,42,7,0,30,1,5,0
"LeBron James","LAL",45,1504,4,0,23,0,0,21,0,0,1,0,0,0
"Marcus Morris Sr.","LAC",57,1502,7,0,39,0,0,68,0,0,19,6,0,0
"Mason Plumlee","DET",56,1499,2,0,69,0,0,85,7,0,102,26,10,6
"Mike Conley","UTA",51,1498,2,0,27,0,0,24,0,0,12,0,4,0
"Gordon Hayward","CHA",44,1496,0,0,26,0,0,26,0,0,11,0,0,0
"Caris LeVert","IND",47,1485,15,0,62,9,0,82,2,0,28,7,0,0
"Elfrid Payton","NYK",63,1484,20,0,78,2,0,67,4,0,10,3,0,0
"LaMelo Ball","CHA",51,1469,0,0,41,0,0,67,5,0,34,7,0,4
"Davis Bertans","WAS",57,1464,8,0,55,3,0,40,2,0,14,8,1,0
"Shake Milton","PHI",63,1461,0,0,48,1,0,47,2,0,9,11,5,0
"Myles Turner","IND",47,1455,14,0,79,6,0,125,12,0,62,17,7,5
"Isaiah Stewart","DET",68,1455,3,0,71,5,0,76,4,0,80,7,0,0
"Chris Boucher","TOR",60,1453,5,0,86,1,0,63,9,0,52,33,0,0
"Bruce Brown","BKN",65,1451,10,0,45,14,0,37,15,0,31,13,0,0
"Cory Joseph","DET",63,1446,6,0,47,11,0,50,1,0,42,11,0,0
"Cameron Johnson","PHX",60,1437,0,0,13,0,0,7,0,0,1,0,0,0
"OG Anunoby","TOR",43,1433,6,0,65,3,0,53,17,0,63,5,0,0
"Kenrich Williams","OKC",66,1426,5,0,49,4,0,30,14,0,24,7,1,4
"Isaiah Roby","OKC",61,1425,20,0,92,10,0,92,11,2,40,27,0,0
"Facundo Campazzo","DEN",65,1425,0,0,28,2,0,33,0,0,18,8,0,10
"Lou Williams","ATL",66,1423,0,0,9,0,0,0,0,0,0,0,0,0
"Brandon Clarke","MEM",59,1415,0,0,20,0,0,9,0,0,1,0,0,0
"Raul Neto","WAS",64,1403,2,0,55,2,0,40,1,0,4,16,0,0
"Landry Shamet","BKN",61,1403,1,0,35,0,0,23,0,0,25,6,0,0
"Aaron Gordon","DEN",50,1384,0,0,36,0,0,29,1,0,28,10,1,4
"Wendell Carter Jr.","ORL",54,1375,13,0,41,6,0,56,0,0,39,11,4,0
"Bobby Portis","MIL",66,1372,3,0,36,0,0,22,4,0,17,9,0,0
"Kemba Walker","BOS",43,1369,0,0,8,0,0,5,0,0,10,0,0,0
"Rudy Gay","SAS",63,1358,1,0,18,0,0,24,0,0,21,0,2,5
"P.J. Tucker","MIL",52,1356,7,0,56,3,0,86,3,0,30,6,0,0
"Bryn Forbes","MIL",70,1354,0,0,10,0,0,4,1,0,4,0,0,0
"Robin Lopez","WAS",71,1354,0,0,13,0,0,23,2,0,8,1,0,0
"Josh Hart","NOP",47,1349,0,0,34,0,0,22,0,0,9,6,0,0
"Bismack Biyombo","CHA",66,1349,6,0,50,0,0,69,3,0,39,11,0,0
"Naz Reid","MIN",70,1347,2,0,79,7,0,66,12,0,58,17,1,3
"Terrence Ross","ORL",46,1347,1,0,24,2,0,25,5,0,33,3,0,0
"Maxi Kleber","DAL",50,1341,3,0,51,0,0,36,1,0,37,4,0,0
"Andre Iguodala","MIA",63,1339,2,0,17,0,0,12,0,0,4,0,0,0
"Goran Dragic","MIA",50,1337,5,0,37,0,0,8,2,0,23,0,0,0
"Kent Bazemore","GSW",67,1334,11,0,31,0,0,37,3,0,34,12,5,0
"Kristaps Porzingis","DAL",43,1327,6,0,44,0,0,63,1,0,41,20,0,0
"Christian Wood","HOU",41,1326,3,0,59,2,0,61,10,0,30,8,5,0
"Svi Mykhailiuk","OKC",66,1324,1,0,17,2,0,15,9,0,2,0,0,0
"Derrick Jones Jr.","POR",58,1318,7,0,55,5,0,52,16,0,35,0,3,2
"Lauri Markkanen","CHI",51,1317,2,0,49,5,0,24,0,0,10,0,0,5
"Tomas Satoransky","CHI",58,1307,4,0,30,0,0,21,6,0,12,3,0,0
"Bogdan Bogdanovic","ATL",44,1305,0,0,63,0,0,43,3,0,11,0,6,4
"Talen Horton-Tucker","LAL",65,1304,2,0,49,1,0,24,1,0,38,2,1,0
"Matisse Thybulle","PHI",65,1298,3,0,36,0,0,21,1,0,22,2,0,0
"John Wall","HOU",40,1288,0,0,18,0,0,6,0,0,0,0,0,0
"Tristan Thompson","BOS",54,1287,2,0,32,9,0,28,6,0,20,7,4,0
"Derrick Rose","NYK",50,1279,4,0,24,2,0,8,0,0,8,5,0,0
"Cole Anthony","ORL",47,1273,2,0,27,4,0,23,0,0,8,7,0,0
"Payton Pritchard","BOS",66,1268,3,0,38,4,0,19,0,0,3,4,0,0
"Terance Mann","LAC",67,1263,3,0,42,0,0,37,0,0,31,10,0,0
"Grayson Allen","MEM",50,1259,1,0,21,0,0,8,0,0,5,0,5,0
"Evan Fournier","BOS",42,1259,2,0,37,0,0,39,2,0,20,0,0,0
"Deni Avdija","WAS",54,1257,7,0,46,0,0,55,3,0,28,13,0,0
"Alec Burks","NYK",49,1255,0,0,32,0,0,15,1,0,37,0,5,0
"DeAndre Jordan","BKN",57,1246,6,0,44,1,0,58,0,0,23,2,5,0
"Immanuel Quickley","NYK",64,1243,4,0,39,0,0,18,0,0,12,0,0,0
"Andre Drummond","LAL",46,1242,10,0,67,6,0,102,26,0,56,16,5,0
"Luke Kennard","LAC",63,1232,5,0,27,0,0,28,0,0,3,1,0,0
"Sterling Brown","HOU",51,1229,12,0,35,23,0,38,0,0,22,5,0,0
