"Name","TeamAbbreviation","GamesPlayed","Minutes","Period1Fouls2Minutes","Period1Fouls3Minutes","Period2Fouls2Minutes","Period2Fouls3Minutes","Period2Fouls4Minutes","Period3Fouls3Minutes","Period3Fouls4Minutes","Period3Fouls5Minutes","Period4Fouls4Minutes","Period4Fouls5Minutes","PeriodOTFouls4Minutes","PeriodOTFouls5Minutes"
"Mikal Bridges","NYK",82,3036,7,0,55,3,0,69,3,0,37,5,10,5
"Josh Hart","NYK",77,2897,15,0,113,17,0,135,25,0,73,19,9,4
"Anthony Edwards","MIN",79,2871,3,0,56,0,0,81,12,0,45,0,8,0
"Devin Booker","PHX",75,2795,4,0,80,14,0,98,15,0,92,25,5,5
"James Harden","LAC",79,2789,12,0,38,0,0,60,1,0,20,10,1,0
"DeMar DeRozan","SAC",77,2768,3,0,60,3,0,51,1,0,31,0,5,0
"Trae Young","ATL",76,2739,4,0,40,16,0,37,0,0,19,2,0,0
"Tyler Herro","MIA",77,2725,0,0,37,0,0,17,0,0,4,1,0,0
"OG Anunoby","NYK",74,2706,15,0,138,12,0,112,16,0,61,4,5,0
"Jalen Green","HOU",82,2697,3,0,27,5,0,53,5,0,13,7,4,0
"Christian Braun","DEN",79,2675,1,0,86,0,0,105,1,0,41,1,10,0
"Bam Adebayo","MIA",78,2674,6,0,59,0,0,52,0,0,58,6,20,0
"Ivica Zubac","LAC",80,2624,6,0,96,2,0,57,13,0,22,4,2,0
"Jayson Tatum","BOS",72,2624,13,0,58,3,0,77,9,0,40,6,0,0
"Jaden McDaniels","MIN",82,2614,0,0,128,0,0,118,1,0,127,32,10,7
"Keegan Murray","SAC",76,2610,10,0,125,2,0,116,10,0,68,12,4,6
"Zach LaVine","SAC",74,2603,0,0,42,0,0,42,0,0,30,7,5,0
"Shai Gilgeous-Alexander","OKC",76,2598,26,0,75,4,0,84,13,0,42,13,0,0
"Michael Porter Jr.","DEN",77,2593,0,0,67,1,0,87,2,0,31,11,2,3
"Derrick White","BOS",76,2574,4,0,65,1,0,70,2,0,42,5,2,0
"Dyson Daniels","ATL",76,2571,3,0,74,0,0,65,0,0,56,13,2,4
"Nikola Jokić","DEN",70,2571,8,0,59,3,0,94,3,0,30,8,0,10
"Austin Reaves","LAL",73,2550,4,0,55,5,0,30,2,0,32,1,0,0
"Toumani Camara","POR",78,2548,27,0,159,8,0,161,8,0,108,29,0,1
"Pascal Siakam","IND",78,2548,0,0,66,0,0,45,0,0,46,7,0,0
"Brook Lopez","MIL",80,2546,1,0,59,5,0,92,3,0,46,4,5,0
"Karl-Anthony Towns","NYK",72,2517,12,0,213,2,0,217,13,0,150,32,12,1
"Bub Carrington","WAS",82,2458,8,0,118,11,0,100,11,0,72,25,0,3
"Cade Cunningham","DET",70,2452,16,0,147,13,0,155,26,0,114,18,5,0
"Tyrese Haliburton","IND",73,2451,0,0,14,2,0,25,0,0,11,0,4,1
"Coby White","CHI",74,2450,14,0,104,0,0,71,7,0,46,0,0,0
"LeBron James","LAL",70,2444,0,0,16,0,0,16,0,0,2,0,0,0
"Domantas Sabonis","SAC",70,2429,1,0,110,10,0,158,11,0,135,52,8,9
"Jamal Murray","DEN",67,2418,2,0,79,0,0,67,2,0,23,5,0,0
"Alperen Sengun","HOU",76,2394,0,0,69,4,0,119,11,1,58,18,1,0
"Rudy Gobert","MIN",72,2388,1,0,96,0,0,93,0,0,24,7,0,4
"Dillon Brooks","HOU",75,2388,2,0,141,4,0,154,11,0,121,47,1,2
"Tobias Harris","DET",73,2306,14,0,86,4,0,60,17,0,28,22,0,0
"Jalen Brunson","NYK",65,2301,6,0,40,2,0,60,11,0,40,11,4,0
"Darius Garland","CLE",75,2301,13,0,69,15,0,64,20,0,15,5,5,0
"Jarrett Allen","CLE",82,2296,31,0,69,0,0,32,1,0,36,1,0,0
"Chris Paul","SAS",82,2292,0,0,52,4,0,18,0,0,19,1,0,0
"Anfernee Simons","POR",70,2292,3,0,42,0,0,20,13,0,36,1,0,5
"Giannis Antetokounmpo","MIL",67,2289,10,0,73,3,0,91,21,0,37,13,0,0
"Malik Beasley","DET",82,2283,4,0,45,0,0,27,0,0,22,0,0,0
