"Name","TeamAbbreviation","GamesPlayed","Minutes","Period1Fouls2Minutes","Period1Fouls3Minutes","Period2Fouls2Minutes","Period2Fouls3Minutes","Period2Fouls4Minutes","Period3Fouls3Minutes","Period3Fouls4Minutes","Period3Fouls5Minutes","Period4Fouls4Minutes","Period4Fouls5Minutes","PeriodOTFouls4Minutes","PeriodOTFouls5Minutes"
"Bradley Beal","WAS",82,3028,11,0,112,0,0,174,25,0,98,33,11,8
"James Harden","HOU",78,2867,38,0,184,46,0,201,44,3,110,24,2,9
"Kemba Walker","CHA",82,2863,8,0,57,0,0,15,2,0,28,4,0,0
"Tobias Harris","PHI",82,2848,14,0,125,8,0,97,1,0,87,6,6,4
"Paul George","OKC",77,2841,31,0,134,30,0,159,48,0,46,50,0,0
"Damian Lillard","POR",80,2838,17,0,83,0,0,39,3,0,29,6,0,0
"PJ Tucker","HOU",82,2802,16,0,201,15,0,159,25,0,117,16,12,5
"Kevin Durant","GSW",78,2702,21,0,90,4,0,48,4,0,16,16,0,1
"Ben Simmons","PHI",79,2700,1,0,83,4,0,113,2,0,95,7,10,0
"DeMar DeRozan","SAS",77,2688,0,0,72,0,0,67,1,0,53,4,5,0
"LaMarcus Aldridge","SAS",81,2687,4,0,81,0,0,85,5,0,69,5,0,0
"Steven Adams","OKC",80,2669,18,0,94,3,0,127,17,0,62,15,5,0
"Klay Thompson","GSW",78,2652,6,0,124,3,0,83,3,0,43,3,0,0
"Andre Drummond","DET",79,2647,4,0,178,3,0,196,20,0,140,73,2,5
"Aaron Gordon","ORL",78,2633,15,0,71,0,0,56,8,0,44,5,7,3
"Russell Westbrook","OKC",73,2630,11,0,139,16,0,193,20,0,84,40,16,2
"Blake Griffin","DET",75,2622,3,0,112,0,0,64,5,0,72,20,9,3
"Buddy Hield","SAC",82,2615,6,0,70,3,0,85,11,0,42,14,0,0
"Jerami Grant","OKC",80,2612,18,0,107,2,0,148,19,0,81,20,8,16
"Justin Holiday","MEM",82,2607,8,0,121,0,0,90,0,0,36,13,15,0
"Collin Sexton","CLE",82,2605,15,0,78,4,0,89,16,0,84,6,0,0
"Donovan Mitchell","UTA",77,2598,2,0,113,0,0,141,13,0,107,10,0,0
"Rudy Gobert","UTA",81,2577,0,0,98,0,0,89,1,0,63,18,0,10
"Bojan Bogdanovic","IND",81,2573,0,0,46,0,0,34,0,0,10,4,0,0
"Joe Ingles","UTA",82,2568,2,0,130,0,0,71,6,0,57,8,0,0
"Evan Fournier","ORL",81,2553,0,0,50,0,0,74,2,0,84,7,1,12
"Pascal Siakam","TOR",80,2548,3,0,96,3,0,154,12,0,113,14,2,20
