"Name","TeamAbbreviation","GamesPlayed","Minutes","Period1Fouls2Minutes","Period1Fouls3Minutes","Period2Fouls2Minutes","Period2Fouls3Minutes","Period2Fouls4Minutes","Period3Fouls3Minutes","Period3Fouls4Minutes","Period3Fouls5Minutes","Period4Fouls4Minutes","Period4Fouls5Minutes","PeriodOTFouls4Minutes","PeriodOTFouls5Minutes"
"James Harden","HOU",81,2981,2,0,62,6,0,94,7,0,74,18,0,0
"Andrew Wiggins","MIN",82,2969,1,0,75,0,0,103,1,0,58,24,0,5
"Trevor Ariza","HOU",82,2930,0,0,55,2,0,57,0,0,56,4,8,5
"Damian Lillard","POR",82,2925,0,0,72,0,0,41,7,0,44,7,8,2
"Chris Paul","LAC",82,2858,0,0,43,0,0,103,0,0,66,7,4,5
"John Wall","WAS",79,2837,0,0,39,0,0,54,0,0,39,7,13,5
"DeAndre Jordan","LAC",82,2821,0,0,112,1,0,137,8,0,133,26,0,0
"Eric Bledsoe","PHX",81,2800,4,0,129,0,0,113,0,0,33,14,8,12
"Joe Johnson","BKN",80,2791,0,0,49,0,0,38,0,0,17,0,0,0
"Kyrie Irving","CLE",75,2730,0,0,62,0,0,41,0,0,42,3,5,0
"Monta Ellis","DAL",80,2699,0,0,110,1,0,123,14,0,76,20,10,5
"Tyreke Evans","NOP",79,2690,3,0,87,0,0,78,2,0,64,8,0,2
"Marc Gasol","MEM",81,2687,1,0,109,3,0,81,5,0,67,9,11,0
"Pau Gasol","CHI",78,2681,4,0,35,0,0,34,0,0,5,0,0,0
"Ben McLemore","SAC",82,2670,5,0,108,1,0,156,8,0,68,23,4,8
"Ty Lawson","DEN",75,2666,4,0,50,0,0,39,0,0,13,0,2,3
"Goran Dragic","MIA",78,2640,3,0,64,0,0,53,3,0,44,5,8,3
"Gordon Hayward","UTA",76,2618,0,0,21,0,0,33,0,0,24,0,0,0
"Stephen Curry","GSW",80,2613,0,0,59,0,0,71,6,0,40,14,0,0
"Kentavious Caldwell-Pope","DET",82,2587,0,0,32,0,0,48,0,0,19,1,0,0
"Markieff Morris","PHX",82,2581,2,0,146,3,0,164,12,2,127,20,6,13
"Victor Oladipo","ORL",72,2573,8,0,108,3,0,134,15,0,85,9,0,0
"Giannis Antetokounmpo","MIL",81,2541,6,0,105,6,0,156,16,0,152,31,23,8
"Kevin Love","CLE",75,2532,0,0,38,0,0,38,0,0,25,2,2,0
"Nikola Vucevic","ORL",74,2529,3,0,95,0,0,56,3,0,62,6,6,2
"Jimmy Butler","CHI",65,2514,8,0,43,0,0,39,1,0,15,0,0,0
"LaMarcus Aldridge","POR",71,2512,0,0,10,0,0,40,2,0,37,6,0,0
"Andre Drummond","DET",82,2502,3,0,151,0,0,238,16,0,143,32,3,4
"Arron Afflalo","POR",78,2502,2,0,79,0,0,74,1,0,32,14,0,10
"LeBron James","CLE",69,2494,0,0,36,4,0,34,0,0,27,2,0,0
"Draymond Green","GSW",79,2490,3,0,121,1,0,161,2,0,136,25,5,0
"Elfrid Payton","ORL",82,2489,9,0,85,4,0,91,4,0,90,8,0,0
"Wilson Chandler","DEN",78,2471,8,0,130,5,0,157,26,0,96,12,3,2
"Anthony Davis","NOP",68,2455,0,0,36,0,0,73,0,0,28,1,5,0
"Jeff Green","MEM",78,2455,12,0,83,1,0,73,3,0,32,7,8,1
"Klay Thompson","GSW",77,2455,0,0,67,0,0,71,0,0,22,3,0,0
"Marcin Gortat","WAS",82,2453,1,0,44,0,0,102,1,0,33,9,0,10
"Thaddeus Young","BKN",76,2434,0,0,53,0,0,62,4,0,32,8,0,0
"Avery Bradley","BOS",77,2428,6,0,58,0,0,63,1,0,34,6,1,5
"Luol Deng","MIA",72,2421,4,0,22,0,0,27,0,0,17,3,0,0
"Kyle Korver","ATL",75,2418,0,0,44,0,0,19,4,0,41,3,0,0
"Kyle Lowry","TOR",70,2415,12,0,92,14,0,162,8,0,88,26,14,5
"JJ Redick","LAC",78,2409,0,0,48,1,0,38,0,0,29,0,0,0
"Rudy Gay","SAC",68,2408,0,0,75,6,0,54,0,0,43,5,10,0
"Paul Millsap","ATL",73,2390,0,0,115,2,0,124,1,0,82,2,2,6
"PJ Tucker","PHX",78,2383,1,0,76,0,0,53,2,0,33,9,12,0
"Solomon Hill","IND",82,2381,1,0,82,0,0,103,0,0,35,3,0,5
"Nicolas Batum","POR",71,2380,0,0,26,1,0,32,0,0,0,0,0,0
"Khris Middleton","MIL",79,2378,0,0,41,0,0,33,0,0,40,5,2,0
"Tobias Harris","ORL",68,2369,12,0,66,0,0,49,3,0,33,16,3,1
"Mario Chalmers","MIA",80,2368,1,0,131,0,0,93,1,0,108,20,1,0
"Blake Griffin","LAC",67,2356,0,0,93,0,0,118,5,0,72,21,5,0
"Courtney Lee","MEM",77,2354,0,0,22,0,0,18,0,0,12,0,12,0
"Harrison Barnes","GSW",82,2318,3,0,52,4,0,43,1,0,33,7,0,0
"Al Horford","ATL",76,2318,2,0,59,0,0,30,0,0,21,6,0,0
"Gerald Henderson","CHA",80,2315,0,0,38,0,0,13,0,0,13,3,0,0
"Danny Green","SAS",81,2311,0,0,61,0,0,49,3,0,37,0,0,0
"Nerlens Noel","PHI",75,2311,12,0,117,6,0,90,8,0,103,23,7,5
"Zach Randolph","MEM",71,2304,1,0,71,0,0,104,0,0,39,2,5,5
"Russell Westbrook","OKC",67,2302,0,0,63,0,0,105,0,0,48,4,5,3
"Josh Smith","HOU",83,2301,4,0,79,0,0,86,0,0,70,13,5,0
"Trey Burke","UTA",76,2288,4,0,23,0,0,36,0,0,10,3,0,0
"Tyson Chandler","DAL",75,2286,0,0,82,0,0,52,0,0,48,2,5,13
"Dirk Nowitzki","DAL",77,2282,0,0,82,0,0,47,12,0,41,8,9,0
"Derrick Favors","UTA",74,2280,3,0,80,0,0,69,0,0,96,15,2,0
"Matt Barnes","LAC",76,2271,0,0,64,0,0,119,10,0,101,22,0,5
"Reggie Jackson","DET",77,2268,0,0,42,0,0,52,0,0,52,16,3,0
"Evan Turner","BOS",82,2260,1,0,28,6,0,48,8,0,35,0,3,2
"Wesley Johnson","LAL",76,2245,7,0,78,0,0,53,13,3,30,24,7,0
"Jarrett Jack","BKN",80,2241,0,0,12,0,0,22,0,0,21,5,4,3
"Jeff Teague","ATL",73,2228,0,0,37,0,0,45,0,0,23,3,2,0
"Tim Duncan","SAS",77,2227,4,0,70,3,0,44,4,0,28,2,13,5
"Mike Conley","MEM",70,2225,2,0,55,7,0,81,0,0,37,1,0,0
"Dion Waiters","OKC",80,2208,6,0,91,0,0,38,5,0,50,1,1,4
"Tristan Thompson","CLE",82,2194,0,0,37,0,0,37,3,0,66,11,5,0
"Gorgui Dieng","MIN",73,2193,5,0,72,0,0,86,0,0,52,6,4,5
"DeMarre Carroll","ATL",70,2189,1,0,66,2,0,76,1,0,43,0,0,1
"Chandler Parsons","DAL",66,2186,0,0,59,9,0,34,0,0,34,13,4,0
"Rudy Gobert","UTA",82,2158,1,0,53,0,0,33,1,0,29,2,0,0
"Patrick Patterson","TOR",81,2156,0,0,17,0,0,28,2,0,24,5,0,0
"Michael Carter-Williams","MIL",66,2150,2,0,69,0,0,69,0,0,67,5,3,0
"Greg Monroe","DET",69,2137,2,0,55,0,0,57,0,0,21,9,0,0
"Enes Kanter","OKC",75,2136,0,0,52,0,0,43,5,0,33,12,0,0
"Kemba Walker","CHA",62,2119,0,0,13,0,0,16,0,0,9,0,10,0
"Serge Ibaka","OKC",64,2116,0,0,91,0,0,98,4,0,78,17,8,3
"Deron Williams","BKN",68,2114,2,0,69,1,0,59,2,0,21,13,10,0
"Bradley Beal","WAS",63,2108,0,0,40,0,0,66,3,0,32,10,0,0
"Brook Lopez","BKN",72,2101,4,0,74,7,0,108,5,0,52,2,4,4
"DeMar DeRozan","TOR",60,2100,0,0,33,0,0,59,0,0,17,3,4,0
"Jonas Valanciunas","TOR",80,2096,2,0,111,0,0,148,12,1,59,12,0,0
"Terrence Ross","TOR",82,2092,0,0,64,1,0,62,10,0,53,6,0,0
"Corey Brewer","HOU",80,2087,2,0,76,4,0,37,0,0,18,6,0,0
