"Name","TeamAbbreviation","GamesPlayed","Minutes","Period1Fouls2Minutes","Period1Fouls3Minutes","Period2Fouls2Minutes","Period2Fouls3Minutes","Period2Fouls4Minutes","Period3Fouls3Minutes","Period3Fouls4Minutes","Period3Fouls5Minutes","Period4Fouls4Minutes","Period4Fouls5Minutes","PeriodOTFouls4Minutes","PeriodOTFouls5Minutes"
"Kenneth Faried","DEN",75,2086,1,0,126,1,0,104,13,0,81,21,0,26
"JR Smith","CLE",70,2079,0,0,50,0,0,104,2,0,50,7,0,4
"Andre Iguodala","GSW",77,2068,3,0,27,4,0,5,0,0,23,2,0,0
"Joakim Noah","CHI",67,2049,0,0,71,0,0,66,1,0,72,22,3,0
"Timofey Mozgov","CLE",81,2046,3,0,78,8,0,174,15,0,60,29,7,0
"Marcus Morris","PHX",81,2045,5,0,61,0,0,62,17,0,66,8,0,3
"Donatas Motiejunas","HOU",71,2037,4,0,148,0,0,137,1,0,54,6,0,0
"Brandon Knight","PHX",63,2035,0,0,21,0,0,29,0,0,19,1,6,0
"Marvin Williams","CHA",78,2035,2,0,42,0,0,30,5,0,53,1,0,0
"Kawhi Leonard","SAS",64,2033,0,0,54,0,0,42,2,0,25,0,4,0
"Wesley Matthews","POR",60,2024,4,0,69,0,0,28,0,0,37,4,5,0
"Rajon Rondo","DAL",68,2019,1,0,74,0,0,48,0,0,19,2,4,0
"Eric Gordon","NOP",61,2018,1,0,63,0,0,72,3,0,48,15,10,0
"Lou Williams","TOR",80,2015,0,0,18,0,0,18,0,0,19,0,5,0
"DeMarcus Cousins","SAC",59,2013,0,0,78,0,0,129,10,0,149,51,4,5
"Al Jefferson","CHA",65,1992,0,0,52,0,0,51,2,0,13,0,14,0
"Jason Thompson","SAC",81,1991,5,0,128,2,0,110,11,1,72,49,11,2
"Greivis Vasquez","TOR",82,1991,2,0,68,4,0,49,2,0,46,1,0,0
"Boris Diaw","SAS",81,1984,6,0,20,2,0,20,5,5,11,8,0,0
"Omer Asik","NOP",76,1982,0,0,24,1,0,71,4,0,20,1,0,0
"Mo Williams","CHA",68,1980,2,0,58,0,0,60,0,0,60,12,5,0
"Amir Johnson","TOR",75,1979,2,0,109,1,0,121,0,0,72,19,2,11
"Dwyane Wade","MIA",62,1971,0,0,27,1,0,37,0,0,12,5,0,0
"D.J. Augustin","OKC",82,1964,0,0,23,0,0,4,0,0,6,0,1,0
"Robert Covington","PHI",70,1956,2,0,87,0,0,76,4,0,58,27,0,0
"Tony Parker","SAS",68,1953,5,0,39,0,0,19,0,0,26,0,0,0
"Brandon Bass","BOS",82,1929,0,0,38,1,0,18,2,0,12,0,1,0
"Roy Hibbert","IND",76,1927,0,0,91,0,0,66,12,0,56,10,6,5
"Luc Mbah a Moute","PHI",67,1916,2,0,43,0,0,23,1,0,24,6,0,5
"Paul Pierce","WAS",73,1914,0,0,46,0,0,82,1,0,39,22,0,10
"Jeremy Lin","LAL",74,1907,5,0,82,0,0,44,0,0,48,4,8,4
"Zach LaVine","MIN",77,1902,4,0,80,0,0,23,0,0,48,6,5,0
"David West","IND",66,1896,0,0,50,0,0,81,6,0,33,11,8,5
"Aaron Brooks","CHI",82,1885,0,0,61,1,0,31,0,0,34,8,0,0
"Jordan Hill","LAL",70,1874,4,0,98,0,0,107,12,0,29,14,5,0
"Rodney Stuckey","IND",71,1873,4,0,92,0,0,72,0,0,42,0,5,0
"Channing Frye","ORL",75,1870,8,0,73,2,0,112,23,0,78,12,0,0
"Shane Larkin","NYK",76,1865,2,0,65,0,0,31,3,0,28,7,0,0
"Bojan Bogdanovic","BKN",78,1854,0,0,20,0,0,37,0,0,3,0,0,0
"CJ Miles","IND",70,1841,4,0,49,0,0,24,0,0,1,1,0,0
"Ed Davis","LAL",79,1840,3,0,68,0,0,50,11,0,74,15,0,0
"Mike Dunleavy","CHI",63,1838,21,0,41,1,0,50,21,0,35,11,13,2
"Norris Cole","NOP",75,1831,4,0,26,0,0,35,0,0,35,1,0,0
"Dante Exum","UTA",82,1817,0,0,41,0,0,56,0,0,31,0,0,0
"Marcus Smart","BOS",67,1808,3,0,59,0,0,48,4,0,63,13,6,0
"Anthony Morrow","OKC",74,1806,6,0,64,1,0,28,6,0,34,20,4,0
"Quincy Pondexter","NOP",75,1793,2,0,44,0,0,49,3,0,49,0,0,0
"Jason Smith","NYK",82,1785,1,0,75,2,0,121,7,0,96,19,2,4
"Hollis Thompson","PHI",71,1776,10,0,42,0,0,60,5,0,42,8,1,0
"Steven Adams","OKC",70,1771,0,0,84,0,0,155,6,0,135,18,7,2
"Alan Anderson","BKN",74,1744,0,0,25,0,0,50,5,0,30,7,1,0
"Kyle Singler","OKC",80,1744,8,0,58,2,0,55,7,1,49,4,0,0
"Mason Plumlee","BKN",82,1743,7,0,48,5,0,76,3,0,28,6,3,0
"Tyler Zeller","BOS",82,1731,13,0,89,6,0,84,12,0,31,13,3,6
"Zaza Pachulia","MIL",73,1730,6,0,39,0,0,43,0,0,40,9,14,4
"Patrick Beverley","HOU",56,1727,2,0,75,0,0,129,16,0,83,14,0,5
"Isaiah Thomas","BOS",67,1726,0,0,44,0,0,17,0,0,35,0,0,0
"Jerryd Bayless","MIL",77,1717,0,0,38,0,0,22,0,0,38,0,5,0
"Jared Dudley","MIL",72,1717,3,0,40,0,0,12,4,0,8,4,0,0
"Jamal Crawford","LAC",64,1703,3,0,31,0,0,11,0,0,3,0,0,0
"O.J. Mayo","MIL",71,1697,2,0,35,0,0,43,2,0,35,20,9,0
"Nene","WAS",67,1694,0,0,84,0,0,58,0,0,49,9,6,4
"Taj Gibson","CHI",62,1692,3,0,39,0,0,71,6,0,54,24,4,0
"Carlos Boozer","LAL",71,1692,0,0,77,0,0,56,7,0,46,12,5,0
"Devin Harris","DAL",76,1685,0,0,29,0,0,33,2,0,41,10,10,0
"Tim Hardaway Jr.","NYK",70,1681,2,0,34,0,0,32,0,0,35,3,5,0
"Ryan Anderson","NOP",61,1675,0,0,24,0,0,18,0,0,26,7,0,0
"Wayne Ellington","LAL",65,1675,0,0,10,0,0,3,0,0,8,3,5,0
"Joe Ingles","UTA",79,1672,2,0,44,0,0,22,0,0,16,0,0,0
"Evan Fournier","ORL",58,1661,3,0,47,4,0,21,2,0,30,10,0,0
"Luis Scola","IND",81,1659,1,0,85,0,0,32,0,0,46,9,0,0
"Nikola Mirotic","CHI",82,1654,0,0,55,3,0,15,4,0,38,8,5,0
"Dante Cunningham","NOP",66,1652,1,0,18,0,0,17,3,0,10,3,1,0
"Tony Allen","MEM",63,1648,5,0,80,1,0,90,0,0,23,10,3,2
"Jae Crowder","BOS",82,1647,3,0,40,6,0,39,2,0,34,5,5,2
"Jason Terry","HOU",77,1641,6,0,56,3,0,26,0,0,7,0,0,0
"Robin Lopez","POR",59,1638,0,0,54,0,0,46,0,0,18,11,0,4
"Caron Butler","DET",78,1623,3,0,32,0,0,4,0,0,3,0,0,0
"Kirk Hinrich","CHI",66,1610,1,0,54,0,0,26,4,0,44,6,5,0
"Michael Kidd-Gilchrist","CHA",55,1587,11,0,57,0,0,45,0,0,21,2,4,0
"Manu Ginobili","SAS",70,1587,9,0,47,3,0,40,6,0,24,3,5,7
"Andrew Bogut","GSW",67,1583,0,0,76,0,0,100,7,0,68,5,0,0
"Lance Stephenson","CHA",61,1573,4,0,78,0,0,59,3,0,36,2,4,0
"Jared Sullinger","BOS",58,1566,1,0,51,1,0,47,0,0,36,5,3,0
"Darren Collison","SAC",45,1565,0,0,46,0,0,41,0,0,20,7,1,0
"Trevor Booker","UTA",79,1564,0,0,15,0,0,13,1,0,25,5,0,0
"Austin Rivers","LAC",76,1563,2,0,38,2,0,34,3,0,37,3,0,0
"Chris Bosh","MIA",44,1556,0,0,25,0,0,19,0,0,15,5,0,0
"Iman Shumpert","CLE",62,1545,0,0,37,0,0,50,6,0,62,7,3,2
"Derrick Rose","CHI",51,1530,0,0,25,0,0,19,0,0,4,0,0,0
"Steve Blake","POR",81,1529,7,0,21,2,0,14,1,0,18,5,6,8
"Alex Len","PHX",69,1518,8,0,96,4,0,118,19,1,61,21,0,6
"Dennis Schroder","ATL",77,1516,3,0,39,6,0,23,7,0,15,1,0,0
"Rasual Butler","WAS",75,1504,0,0,39,2,0,14,3,0,5,0,10,0
"Beno Udrih","MEM",79,1494,4,0,20,0,0,9,0,0,2,0,2,3
"Lance Thomas","NYK",62,1491,0,0,10,1,0,14,7,0,7,2,0,0
"Cody Zeller","CHA",62,1487,0,0,35,0,0,72,1,0,37,7,18,1
"Jordan Clarkson","LAL",59,1476,2,0,50,0,0,48,2,0,26,1,0,5
"Shaun Livingston","GSW",78,1468,2,0,47,0,0,20,0,0,20,4,0,0
"Jodie Meeks","DET",60,1462,0,0,3,0,0,1,0,0,4,0,0,0
"Derrick Williams","SAC",74,1462,0,0,7,0,0,5,0,0,1,0,0,0
"Langston Galloway","NYK",45,1457,0,0,66,0,0,64,8,0,83,11,8,1
"Brandan Wright","PHX",75,1448,0,0,33,0,0,14,0,0,0,0,0,0
"Gerald Green","PHX",74,1446,0,0,52,1,0,20,11,0,47,4,0,0
"Cory Joseph","SAS",79,1444,2,0,19,1,0,23,0,0,1,0,0,0
"Ray McCallum","SAC",68,1436,1,0,13,0,0,13,3,0,15,6,1,0
"Anthony Tolliver","DET",76,1433,0,0,42,1,0,49,0,0,20,7,0,0
"Otto Porter Jr.","WAS",74,1432,0,0,54,0,0,22,0,0,4,4,6,0
"Carmelo Anthony","NYK",40,1428,0,0,29,0,0,51,2,0,15,17,3,0
"Danilo Gallinari","DEN",59,1426,3,0,56,0,0,43,1,0,38,3,15,5
"Kelly Olynyk","BOS",64,1423,17,0,109,7,0,80,13,0,100,12,7,5
"C.J. Watson","IND",57,1422,1,0,28,1,0,27,0,0,24,1,0,0
"Omri Casspi","SAC",67,1416,0,0,33,0,0,9,3,0,21,2,0,0
"Tony Snell","CHI",72,1412,0,0,23,2,0,14,0,0,29,0,0,0
"JJ Hickson","DEN",73,1411,6,0,37,1,0,38,11,0,26,1,0,0
"Jameer Nelson","DEN",63,1406,0,0,34,0,0,30,5,0,26,2,0,0
"Henry Sims","PHI",73,1399,10,0,57,0,0,41,1,0,26,6,0,0
"Chris Kaman","POR",74,1398,7,0,50,2,0,54,6,0,26,6,0,0
"Tayshaun Prince","DET",58,1397,0,0,6,0,0,0,0,0,1,0,0,0
"Marco Belinelli","SAS",62,1388,0,0,12,2,0,23,0,0,8,0,0,0
"Matthew Dellavedova","CLE",67,1380,0,0,23,0,0,26,0,0,32,10,5,0
"Jerami Grant","PHI",65,1377,10,0,54,4,0,53,3,0,48,7,4,0
"James Johnson","TOR",70,1370,0,0,55,0,0,28,0,0,32,11,0,2
"Al-Farouq Aminu","DAL",74,1366,0,0,49,0,0,50,2,0,26,2,1,0
"J.J. Barea","DAL",77,1362,0,0,18,0,0,2,0,0,25,0,0,0
"KJ McDaniels","HOU",62,1352,4,0,44,1,0,30,15,0,29,13,0,0
"Kosta Koufos","MEM",81,1348,5,0,54,0,0,13,1,0,6,3,0,0
"Kris Humphries","WAS",64,1345,7,0,42,0,0,47,0,0,9,0,1,7
"Brian Roberts","CHA",72,1330,0,0,19,0,0,12,0,0,6,0,0,0
"Kent Bazemore","ATL",75,1323,4,0,43,0,0,23,0,0,10,3,0,0
"Ersan Ilyasova","MIL",58,1319,8,0,44,7,0,71,5,0,48,3,14,1
"Jrue Holiday","NOP",40,1303,0,0,37,0,0,45,0,0,55,6,0,4
"Kevin Martin","MIN",39,1303,0,0,32,0,0,43,2,0,7,0,0,0
"Quincy Acy","NYK",68,1287,2,0,34,0,0,38,2,0,27,5,0,0
"Andre Roberson","OKC",67,1286,5,0,49,0,0,87,2,0,16,12,0,0
"Chase Budinger","MIN",67,1286,3,0,32,0,0,10,2,0,4,0,0,0
"Spencer Hawes","LAC",73,1274,2,0,68,0,0,83,15,0,19,22,0,0
"Jose Calderon","NYK",42,1270,0,0,20,0,0,9,0,0,4,0,0,0
"George Hill","IND",43,1267,0,0,31,0,0,67,0,0,53,8,0,5
"Andre Miller","SAC",81,1253,0,0,17,0,0,0,0,0,2,0,0,0
"Amar'e Stoudemire","DAL",59,1244,2,0,56,1,0,47,0,0,49,12,0,6
"Richard Jefferson","DAL",74,1244,0,0,33,0,0,17,2,1,21,10,4,0
"Bismack Biyombo","CHA",64,1243,1,0,43,3,0,60,12,0,40,0,4,0
"Kevin Seraphin","WAS",79,1235,1,0,40,1,0,22,10,0,37,2,0,0
"Ryan Kelly","LAL",52,1233,4,0,48,0,0,63,13,0,37,8,0,0
"Jonas Jerebko","BOS",75,1230,0,0,21,1,0,7,0,0,11,0,0,0
"John Henson","MIL",67,1228,0,0,11,0,0,31,1,0,24,0,0,0
"Dwight Howard","HOU",41,1223,2,0,89,0,0,72,6,0,51,20,3,2
"Kobe Bryant","LAL",35,1207,0,0,36,0,0,24,8,0,9,0,0,0
"Marreese Speights","GSW",76,1207,2,0,35,0,0,48,0,0,25,13,0,0
"Pablo Prigioni","HOU",67,1197,3,0,19,0,0,3,0,0,1,0,0,0
"Tarik Black","LAL",63,1195,4,0,71,0,0,93,18,0,28,8,5,0
"Miles Plumlee","MIL",73,1194,0,0,45,1,0,39,6,0,21,18,0,0
"Gary Neal","MIN",54,1192,1,0,9,0,0,17,0,0,9,3,0,0
"Carl Landry","SAC",70,1192,0,0,23,2,0,25,10,0,28,4,0,1
"Ramon Sessions","WAS",64,1188,2,0,19,0,0,2,0,0,8,0,0,0
"Brandon Jennings","DET",41,1173,0,0,8,0,0,5,0,0,0,0,0,0
"Kendrick Perkins","CLE",68,1148,5,0,67,5,0,49,7,0,44,10,0,0
"Ian Mahinmi","IND",61,1146,3,0,57,2,0,54,2,0,55,6,0,0
"Hassan Whiteside","MIA",48,1142,1,0,66,0,0,77,2,0,63,5,2,3
"Robert Sacre","LAL",67,1133,0,0,34,0,0,37,3,0,1,2,2,3
"Chris Andersen","MIA",60,1132,0,0,14,0,0,16,0,0,19,0,0,0
"JaKarr Sampson","PHI",74,1131,14,0,63,0,0,49,6,0,32,9,0,0
"Nik Stauskas","SAC",73,1126,1,0,9,0,0,11,0,0,0,0,0,0
"Mike Scott","ATL",68,1123,0,0,25,0,0,4,0,0,10,2,0,0
"Aron Baynes","SAS",70,1122,3,0,30,0,2,19,7,1,35,10,0,0
"Donald Sloan","IND",53,1107,0,0,12,0,0,5,0,0,3,0,0,0
"Jusuf Nurkic","DEN",62,1103,17,0,63,5,0,87,51,3,69,23,0,0
"Shawn Marion","CLE",57,1101,1,0,10,0,0,0,0,0,3,0,0,0
"Nick Collison","OKC",66,1101,6,0,41,0,0,24,6,0,22,17,0,1
"Vince Carter","MEM",66,1091,0,0,23,0,0,2,0,0,10,0,1,0
"Shawne Williams","DET",63,1087,1,0,60,0,0,60,9,0,24,8,0,0
"Randy Foye","DEN",50,1086,6,0,21,3,0,48,0,0,9,0,0,0
"Lavoy Allen","IND",63,1070,0,0,38,0,0,24,2,0,12,4,2,0
"Rodney Hood","UTA",50,1064,7,0,38,0,0,49,0,0,41,9,0,0
"Tyler Hansbrough","TOR",74,1058,1,0,29,0,0,14,2,0,12,0,2,0
"James Ennis III","MIA",62,1051,3,0,22,0,0,12,4,0,19,6,0,0
"Damjan Rudez","IND",68,1047,6,0,26,0,0,6,0,0,2,0,0,0
"Pero Antic","ATL",63,1037,10,0,58,0,0,38,2,0,20,2,0,0
"Tiago Splitter","SAS",52,1030,1,0,11,0,0,23,0,0,25,0,1,1
"Shabazz Napier","MIA",51,1012,2,0,25,0,0,2,3,0,14,4,0,0
"Nick Young","LAL",42,1000,0,0,12,0,0,12,0,0,21,0,0,0
"Udonis Haslem","MIA",62,995,9,0,36,0,0,32,3,0,34,2,0,0
"Darrell Arthur","DEN",58,988,0,0,49,0,0,32,7,0,12,5,2,2
"Will Barton","DEN",58,984,0,0,13,0,0,4,0,0,4,0,0,0
"Leandro Barbosa","GSW",66,982,0,0,11,0,0,6,0,0,9,0,0,0
"Ronnie Price","LAL",43,982,1,0,31,0,0,40,4,0,24,8,0,0
"Cole Aldrich","NYK",60,976,3,0,30,0,0,47,0,0,10,2,0,0
"Thabo Sefolosha","ATL",52,976,0,0,15,0,0,7,0,0,3,0,2,6
"CJ McCollum","POR",62,973,11,0,30,3,0,9,0,0,1,0,0,0
"Alexis Ajinca","NOP",68,956,0,0,22,1,0,31,2,0,29,4,0,0
"Kevin Garnett","MIN",47,952,4,0,33,3,0,45,3,0,10,0,0,0
"Willie Green","ORL",52,951,0,0,20,0,0,18,0,0,25,0,5,0
"Isaiah Canaan","PHI",47,938,1,0,14,0,0,30,1,0,24,12,0,0
"Lou Amundson","NYK",53,937,0,0,58,0,0,66,4,0,30,6,0,0
"Matt Bonner","SAS",72,935,0,0,0,2,0,6,6,0,4,0,0,0
"Elijah Millsap","UTA",47,924,0,0,36,0,0,32,5,0,42,11,0,0
"Kevin Durant","OKC",27,913,0,0,6,0,0,20,0,0,0,0,0,0
"David Lee","GSW",49,904,0,0,17,0,0,6,0,0,17,0,3,0
"Glen Davis","LAC",74,904,1,0,23,6,0,15,7,0,29,4,0,0
"Alec Burks","UTA",27,899,0,0,33,0,0,16,8,0,35,0,0,0
"Tony Wroten","PHI",30,895,1,0,41,7,0,29,6,0,34,7,0,0
"Anthony Bennett","MIN",57,894,0,0,8,0,0,10,0,0,6,6,0,0
"Mirza Teletovic","BKN",40,892,0,0,17,0,0,5,0,0,6,0,0,0
"Terrence Jones","HOU",33,889,3,0,36,0,0,31,0,0,32,2,0,0
"Jason Maxiell","CHA",61,878,7,0,28,1,0,8,2,0,12,9,0,0
"Shabazz Muhammad","MIN",38,866,0,0,23,0,0,12,0,0,7,0,0,0
"Drew Gooden","WAS",51,864,3,0,15,0,0,13,0,0,7,0,0,0
"Joey Dorsey","HOU",69,854,13,0,47,7,0,43,18,0,35,9,2,3
"Meyers Leonard","POR",55,847,5,0,38,4,0,26,7,0,17,6,0,0
"Dewayne Dedmon","ORL",59,845,11,0,56,3,0,30,12,0,67,13,0,0
"Nick Calathes","MEM",58,838,0,2,21,6,0,10,3,0,19,0,0,0
"Shelvin Mack","ATL",55,833,0,0,0,0,0,0,0,0,0,0,0,0
"Ish Smith","PHI",55,831,1,0,16,0,0,9,0,0,0,0,0,0
"Luke Babbitt","NOP",63,830,3,0,18,3,0,14,1,0,7,0,0,0
"Chris Copeland","IND",49,827,0,0,26,0,0,13,0,0,15,7,0,0
"Jon Leuer","MEM",63,824,0,0,12,4,0,12,0,0,22,2,0,0
"Kyle O'Quinn","ORL",51,824,13,0,35,12,0,52,6,0,30,5,0,0
"Nikola Pekovic","MIN",31,815,0,0,30,0,0,17,0,0,21,1,3,0
"Patty Mills","SAS",51,801,0,0,2,2,0,8,3,0,4,0,0,0
"Thomas Robinson","PHI",54,798,1,0,16,1,0,21,0,0,22,0,1,0
"Aaron Gordon","ORL",47,797,4,0,15,5,0,14,1,0,14,4,0,0
"Kostas Papanikolaou","HOU",43,795,1,0,12,2,0,28,1,0,29,1,0,0
"Ben Gordon","ORL",56,790,3,0,6,0,0,0,0,0,7,0,0,0
"Andrea Bargnani","NYK",29,785,2,0,22,0,0,24,1,0,17,3,3,3
"Markel Brown","BKN",47,781,2,0,11,1,0,23,0,0,2,0,0,0
"Alexey Shved","NYK",42,767,0,0,5,0,0,0,0,0,4,0,0,0
"Reggie Evans","SAC",47,764,0,0,13,0,0,33,0,0,21,0,0,0
"Robbie Hummel","MIN",45,742,0,0,27,3,0,19,2,0,24,0,0,0
"Adreian Payne","MIN",32,740,2,0,33,0,0,36,6,0,27,6,0,0
