"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","UnblockedAtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","UnblockedShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","UnblockedLongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","UnblockedCorner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","UnblockedArc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"James Harden","HOU",81,2981,0.5336894754768392,0.7244897959183674,7.157267759562841,25.227207207207208,297,510,0.3469387755102041,0.5823529411764706,0.6827586206896552,0.2356902356902357,0.14705882352941177,53,160,0.10884353741496598,0.33125,0.3925925925925926,0.03773584905660377,0.15625,89,245,0.16666666666666666,0.363265306122449,0.37083333333333335,0.02247191011235955,0.02040816326530612,30,63,0.04285714285714286,0.47619047619047616,0.47619047619047616,0.5666666666666667,0,178,492,0.3346938775510204,0.3617886178861789,0.3625254582484725,0.5,0.0020325203252032522,178,490,0.363265306122449,2,0
"Andrew Wiggins","MIN",82,2969,0.49437772887323944,0.45822339489885666,8.928684470820968,25.02619047619048,251,395,0.34740545294635006,0.6354430379746835,0.7011173184357542,0.4940239043824701,0.09367088607594937,96,274,0.24098504837291118,0.35036496350364965,0.3779527559055118,0.53125,0.072992700729927,111,342,0.3007915567282322,0.32456140350877194,0.3333333333333333,0.44144144144144143,0.02631578947368421,13,32,0.028144239226033423,0.40625,0.40625,0.8461538461538461,0,26,94,0.08267370272647317,0.2765957446808511,0.27956989247311825,0.8846153846153846,0.010638297872340425,26,93,0.27956989247311825,1,0
"Trevor Ariza","HOU",82,2930,0.5654801980198019,0.8538461538461538,6.687323943661972,24.637477477477475,130,222,0.24395604395604395,0.5855855855855856,0.6701030927835051,0.6461538461538462,0.12612612612612611,13,45,0.04945054945054945,0.28888888888888886,0.3023255813953488,0.15384615384615385,0.044444444444444446,29,88,0.0967032967032967,0.32954545454545453,0.3333333333333333,0.4827586206896552,0.011363636363636364,88,214,0.23516483516483516,0.411214953271028,0.41706161137440756,0.9545454545454546,0.014018691588785047,106,341,0.3747252747252747,0.31085043988269795,0.31085043988269795,0.9150943396226415,0,106,341,0.31085043988269795,0,0
"Damian Lillard","POR",82,2925,0.527461974944731,0.7301470588235294,7.749619289340101,25.7486013986014,260,421,0.3095588235294118,0.6175771971496437,0.6860158311345647,0.2423076923076923,0.0997624703087886,40,142,0.10441176470588236,0.28169014084507044,0.3053435114503817,0.175,0.07746478873239436,94,225,0.16544117647058823,0.4177777777777778,0.43119266055045874,0.26595744680851063,0.03111111111111111,25,72,0.052941176470588235,0.3472222222222222,0.352112676056338,0.72,0.013888888888888888,171,500,0.36764705882352944,0.342,0.34545454545454546,0.47953216374269003,0.01,171,498,0.3433734939759036,2,0
"Chris Paul","LAC",82,2858,0.46212686056458513,0.4094017094017094,12.709257003654079,25.30458452722063,80,130,0.1111111111111111,0.6153846153846154,0.6611570247933884,0.15,0.06923076923076923,121,242,0.20683760683760682,0.5,0.5170940170940171,0.1652892561983471,0.03305785123966942,228,449,0.3837606837606838,0.5077951002227171,0.5112107623318386,0.07894736842105263,0.0066815144766146995,17,48,0.041025641025641026,0.3541666666666667,0.3541666666666667,0.7058823529411765,0,122,301,0.25726495726495724,0.4053156146179402,0.4066666666666667,0.38524590163934425,0.0033222591362126247,122,300,0.4066666666666667,1,0
"John Wall","WAS",79,2837,0.5061945548833189,0.4888507718696398,10.51085353003161,26.59815668202765,216,353,0.3027444253859348,0.6118980169971672,0.6728971962616822,0.25,0.0906515580736544,60,158,0.13550600343053174,0.379746835443038,0.3973509933774834,0.06666666666666667,0.04430379746835443,178,438,0.37564322469982847,0.4063926940639269,0.4091954022988506,0.1853932584269663,0.00684931506849315,11,43,0.03687821612349914,0.2558139534883721,0.2558139534883721,0.7272727272727273,0,54,174,0.14922813036020582,0.3103448275862069,0.313953488372093,0.6296296296296297,0.011494252873563218,54,167,0.32335329341317365,7,0
"DeAndre Jordan","LAC",82,2821,0.6748852720450281,0.9531835205992509,0.9947169811320755,29.8,368,505,0.9456928838951311,0.7287128712871287,0.7510204081632653,0.6929347826086957,0.0297029702970297,10,25,0.04681647940074907,0.4,0.4166666666666667,0.6,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.00749063670411985,0.25,0.25,0,0,1,4,0.25,0,0
"Eric Bledsoe","PHX",81,2800,0.5286691458733205,0.6376673040152964,8.172739018087855,25.352941176470587,243,395,0.3776290630975143,0.6151898734177215,0.6825842696629213,0.2757201646090535,0.09873417721518987,42,131,0.12523900573613767,0.32061068702290074,0.34710743801652894,0.11904761904761904,0.07633587786259542,95,248,0.23709369024856597,0.38306451612903225,0.38461538461538464,0.08421052631578947,0.004032258064516129,16,48,0.045889101338432124,0.3333333333333333,0.3333333333333333,0.9375,0,72,224,0.21414913957934992,0.32142857142857145,0.32286995515695066,0.5138888888888888,0.004464285714285714,72,221,0.3257918552036199,3,0
"Joe Johnson","BKN",80,2791,0.460180675146771,0.45463414634146343,10.075145348837209,25.045400593471808,71,129,0.12585365853658537,0.5503875968992248,0.6120689655172413,0.29577464788732394,0.10077519379844961,170,347,0.3385365853658537,0.4899135446685879,0.5044510385756676,0.22941176470588234,0.02881844380403458,84,212,0.20682926829268292,0.39622641509433965,0.39622641509433965,0.17857142857142858,0,32,97,0.09463414634146342,0.32989690721649484,0.32989690721649484,1,0,89,240,0.23414634146341465,0.37083333333333335,0.3723849372384937,0.8539325842696629,0.004166666666666667,89,237,0.3755274261603376,3,0
"Kyrie Irving","CLE",75,2730,0.5140590982940698,0.6072874493927125,8.06826137689615,25.372751322751323,217,372,0.30121457489878545,0.5833333333333334,0.6477611940298508,0.2626728110599078,0.09946236559139784,91,242,0.19595141700404858,0.3760330578512397,0.41743119266055045,0.12087912087912088,0.09917355371900827,113,243,0.19676113360323888,0.46502057613168724,0.46887966804979253,0.20353982300884957,0.00823045267489712,40,81,0.06558704453441296,0.49382716049382713,0.49382716049382713,0.8,0,117,297,0.24048582995951417,0.3939393939393939,0.3939393939393939,0.5555555555555556,0,117,296,0.3952702702702703,1,0
"Monta Ellis","DAL",80,2699,0.4903967825443787,0.48892171344165436,10.509252336448597,25.187323943661973,225,378,0.2791728212703102,0.5952380952380952,0.6338028169014085,0.4177777777777778,0.06084656084656084,87,214,0.15805022156573117,0.40654205607476634,0.4306930693069307,0.1724137931034483,0.056074766355140186,209,478,0.35302806499261447,0.4372384937238494,0.4372384937238494,0.2727272727272727,0,21,58,0.04283604135893648,0.3620689655172414,0.3620689655172414,0.9523809523809523,0,60,226,0.16691285081240767,0.26548672566371684,0.26666666666666666,0.6166666666666667,0.004424778761061947,60,224,0.26785714285714285,2,0
