"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","UnblockedAtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","UnblockedShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","UnblockedLongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","UnblockedCorner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","UnblockedArc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Kevin Durant","OKC",81,3122,0.5049013353115727,0.5355450236966824,9.094736842105263,25.268024439918534,320,413,0.24466824644549762,0.774818401937046,0.8121827411167513,0.50625,0.04600484261501211,174,411,0.24348341232227488,0.4233576642335766,0.44387755102040816,0.28735632183908044,0.046228710462287104,163,373,0.22097156398104265,0.43699731903485256,0.43699731903485256,0.5030674846625767,0,11,27,0.015995260663507108,0.4074074074074074,0.4230769230769231,0.9090909090909091,0.037037037037037035,181,464,0.27488151658767773,0.3900862068965517,0.3926247288503254,0.5359116022099447,0.00646551724137931,181,462,0.3917748917748918,2,0
"Monta Ellis","DAL",82,3023,0.4986383137254902,0.5117370892018779,9.225257249766146,25.126315789473683,270,445,0.34820031298904536,0.6067415730337079,0.6474820143884892,0.3074074074074074,0.06292134831460675,86,240,0.18779342723004694,0.35833333333333334,0.38222222222222224,0.19767441860465115,0.0625,151,384,0.3004694835680751,0.3932291666666667,0.39425587467362927,0.23841059602649006,0.0026041666666666665,26,48,0.03755868544600939,0.5416666666666666,0.5416666666666666,1,0,43,161,0.12597809076682315,0.2670807453416149,0.2670807453416149,0.7441860465116279,0,43,159,0.27044025157232704,2,0
"DeMar DeRozan","TOR",79,3017,0.45674953736654805,0.3368869936034115,12.320718462823725,24.762380952380955,171,264,0.18763326226012794,0.6477272727272727,0.7245762711864406,0.47368421052631576,0.10606060606060606,113,289,0.20540156361051884,0.39100346020761245,0.4216417910447761,0.34513274336283184,0.0726643598615917,256,644,0.4577114427860697,0.39751552795031053,0.40188383045525905,0.51171875,0.010869565217391304,37,94,0.06680881307746979,0.39361702127659576,0.39361702127659576,0.918918918918919,0,27,116,0.0824449182658138,0.23275862068965517,0.23478260869565218,0.7407407407407407,0.008620689655172414,27,115,0.23478260869565218,1,0
"Carmelo Anthony","NYK",77,2982,0.4696627985303123,0.46439440048691416,11.63656351791531,25.653493975903615,189,348,0.21180766889835667,0.5431034482758621,0.6385135135135135,0.31746031746031744,0.14942528735632185,109,242,0.1472915398660986,0.45041322314049587,0.47391304347826085,0.1743119266055046,0.049586776859504134,278,638,0.38831405964698723,0.43573667711598746,0.439873417721519,0.32014388489208634,0.009404388714733543,13,34,0.020693852708460133,0.38235294117647056,0.38235294117647056,0.8461538461538461,0,154,381,0.23189287888009738,0.4041994750656168,0.4052631578947368,0.7012987012987013,0.0026246719160104987,153,374,0.4090909090909091,6,1
"John Wall","WAS",82,2980,0.5029645221971407,0.5145848915482424,10.925461613216715,26.207467532467533,245,380,0.28421839940164545,0.6447368421052632,0.718475073313783,0.24897959183673468,0.10263157894736842,40,130,0.09723261032161555,0.3076923076923077,0.3305785123966942,0.05,0.06923076923076923,186,519,0.3881824981301421,0.3583815028901734,0.3611650485436893,0.10752688172043011,0.007707129094412331,13,42,0.031413612565445025,0.30952380952380953,0.30952380952380953,0.9230769230769231,0,95,266,0.19895287958115182,0.35714285714285715,0.3584905660377358,0.6210526315789474,0.0037593984962406013,95,263,0.3612167300380228,3,0
"Nicolas Batum","POR",82,2956,0.5384920440636475,0.7228327228327228,9.208153477218225,24.878855721393034,140,190,0.231990231990232,0.7368421052631579,0.7734806629834254,0.5857142857142857,0.04736842105263158,27,66,0.08058608058608059,0.4090909090909091,0.4426229508196721,0.4444444444444444,0.07575757575757576,69,161,0.19658119658119658,0.42857142857142855,0.4339622641509434,0.4927536231884058,0.012422360248447204,37,103,0.12576312576312576,0.3592233009708738,0.3592233009708738,0.972972972972973,0,108,299,0.36507936507936506,0.3612040133779264,0.36363636363636365,0.8796296296296297,0.006688963210702341,108,297,0.36363636363636365,2,0
"Damian Lillard","POR",82,2937,0.5289860983102919,0.7392638036809815,7.478666666666666,25.485559566787003,205,410,0.31441717791411045,0.5,0.5924855491329479,0.2975609756097561,0.15609756097560976,44,150,0.11503067484662577,0.29333333333333333,0.3308270676691729,0.11363636363636363,0.11333333333333333,86,190,0.14570552147239263,0.45263157894736844,0.45263157894736844,0.27906976744186046,0,23,53,0.040644171779141106,0.4339622641509434,0.4339622641509434,0.9130434782608695,0,195,501,0.38420245398773006,0.38922155688622756,0.39235412474849096,0.558974358974359,0.007984031936127744,195,499,0.3907815631262525,2,0
"LeBron James","MIA",77,2902,0.5299710096510765,0.6548410938654841,7.242120343839542,25.54967320261438,455,580,0.4286770140428677,0.7844827586206896,0.8272727272727273,0.4857142857142857,0.05172413793103448,95,188,0.13895048041389504,0.5053191489361702,0.5337078651685393,0.14736842105263157,0.05319148936170213,101,279,0.20620842572062084,0.36200716845878134,0.36200716845878134,0.21782178217821782,0,25,45,0.03325942350332594,0.5555555555555556,0.5555555555555556,0.76,0,91,261,0.19290465631929046,0.3486590038314176,0.35135135135135137,0.4725274725274725,0.007662835249042145,91,258,0.35271317829457366,3,0
"Paul George","IND",80,2898,0.498595962962963,0.591776798825257,10.052900232018562,25.8184,178,306,0.22466960352422907,0.5816993464052288,0.6819923371647509,0.47191011235955055,0.14705882352941177,75,202,0.14831130690161526,0.3712871287128713,0.4076086956521739,0.2,0.0891089108910891,142,354,0.2599118942731278,0.4011299435028249,0.40226628895184136,0.31690140845070425,0.002824858757062147,51,104,0.0763582966226138,0.49038461538461536,0.49514563106796117,0.8823529411764706,0.009615384615384616,131,396,0.2907488986784141,0.33080808080808083,0.33248730964467005,0.732824427480916,0.005050505050505051,131,387,0.3385012919896641,9,0
"DeAndre Jordan","LAC",82,2871,0.5864347572815534,0.8990291262135922,2.136116504854369,0,333,463,0.8990291262135922,0.7192224622030238,0.7672811059907834,0.7447447447447447,0.06263498920086392,14,51,0.09902912621359224,0.27450980392156865,0.2857142857142857,0.7142857142857143,0.0392156862745098,1,1,0.001941747572815534,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
