"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","UnblockedAtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","UnblockedShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","UnblockedLongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","UnblockedCorner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","UnblockedArc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"James Harden","HOU",82,3125,0.5033079566563468,0.6876932591218305,7.901354166666667,25.12846270928463,277,455,0.2813852813852814,0.6087912087912087,0.6942355889724311,0.2527075812274368,0.12307692307692308,81,232,0.14347557204700062,0.34913793103448276,0.40298507462686567,0.07407407407407407,0.1336206896551724,116,273,0.16883116883116883,0.4249084249084249,0.4280442804428044,0.08620689655172414,0.007326007326007326,18,64,0.039579468150896725,0.28125,0.28125,0.7222222222222222,0,218,593,0.36672850958565245,0.3676222596964587,0.37137989778534924,0.5045871559633027,0.01011804384485666,218,592,0.36824324324324326,1,0
"Gordon Hayward","UTA",80,2893,0.5049442916666667,0.5831946755407654,8.674873737373737,24.594634146341463,172,291,0.2420965058236273,0.5910652920962199,0.6666666666666666,0.46511627906976744,0.1134020618556701,114,274,0.22795341098169716,0.41605839416058393,0.4470588235294118,0.15789473684210525,0.06934306569343066,92,227,0.18885191347753744,0.4052863436123348,0.4125560538116592,0.25,0.01762114537444934,39,99,0.08236272878535773,0.3939393939393939,0.3979591836734694,1,0.010101010101010102,104,311,0.25873544093178036,0.33440514469453375,0.33440514469453375,0.7307692307692307,0,104,309,0.3365695792880259,2,0
"Kemba Walker","CHA",81,2885,0.4997550904977376,0.6341096919609316,9.26230677764566,25.539795918367346,203,354,0.2659654395191585,0.5734463276836158,0.6858108108108109,0.2315270935960591,0.1638418079096045,63,172,0.12922614575507138,0.36627906976744184,0.4375,0.14285714285714285,0.16279069767441862,120,315,0.236664162283997,0.38095238095238093,0.39215686274509803,0.14166666666666666,0.02857142857142857,22,54,0.0405709992486852,0.4074074074074074,0.41509433962264153,0.9545454545454546,0.018518518518518517,160,436,0.3275732531930879,0.3669724770642202,0.372960372960373,0.55625,0.016055045871559634,159,431,0.3689095127610209,4,1
"Trevor Ariza","HOU",81,2859,0.567990723453909,0.8533178114086146,6.031388888888889,24.43947895791583,134,234,0.2724097788125728,0.5726495726495726,0.6600985221674877,0.6268656716417911,0.13247863247863248,15,48,0.05587892898719441,0.3125,0.35714285714285715,0.4666666666666667,0.125,23,78,0.09080325960419092,0.2948717948717949,0.2987012987012987,0.5217391304347826,0.01282051282051282,89,211,0.24563445867287545,0.4218009478672986,0.4218009478672986,0.9550561797752809,0,96,288,0.3352735739231665,0.3333333333333333,0.3333333333333333,0.875,0,96,286,0.3356643356643357,2,0
"Marcus Morris","DET",80,2856,0.4825804994686504,0.4804232804232804,10.94791344667697,25.337583892617452,101,156,0.16507936507936508,0.6474358974358975,0.7163120567375887,0.4752475247524752,0.09615384615384616,74,204,0.21587301587301588,0.3627450980392157,0.3854166666666667,0.33783783783783783,0.058823529411764705,127,287,0.3037037037037037,0.4425087108013937,0.4456140350877193,0.25196850393700787,0.006968641114982578,30,94,0.09947089947089947,0.3191489361702128,0.3191489361702128,0.9666666666666667,0,78,204,0.21587301587301588,0.38235294117647056,0.38235294117647056,0.9102564102564102,0,78,201,0.3880597014925373,3,0
"Khris Middleton","MIL",79,2852,0.4769418349429324,0.4776902887139108,11.174391805377722,25.332320441988948,112,184,0.1609798775153106,0.6086956521739131,0.6706586826347305,0.48214285714285715,0.09239130434782608,108,262,0.22922134733158356,0.4122137404580153,0.43724696356275305,0.32407407407407407,0.05725190839694656,144,335,0.29308836395450566,0.4298507462686567,0.4376899696048632,0.4305555555555556,0.01791044776119403,36,84,0.07349081364829396,0.42857142857142855,0.43373493975903615,0.9166666666666666,0.011904761904761904,107,278,0.2432195975503062,0.38489208633093525,0.3890909090909091,0.8878504672897196,0.01079136690647482,107,276,0.38768115942028986,2,0
"Kyle Lowry","TOR",77,2851,0.4960740958788898,0.7145242070116862,8.017511520737326,25.644424131627055,173,309,0.2579298831385643,0.5598705501618123,0.6603053435114504,0.19653179190751446,0.15210355987055016,62,169,0.14106844741235391,0.3668639053254438,0.4,0.0967741935483871,0.08284023668639054,65,173,0.14440734557595994,0.37572254335260113,0.39156626506024095,0.16923076923076924,0.04046242774566474,27,58,0.048414023372287146,0.46551724137931033,0.46551724137931033,0.7777777777777778,0,185,489,0.4081803005008347,0.3783231083844581,0.3830227743271222,0.6702702702702703,0.012269938650306749,184,485,0.37938144329896906,3,1
"Andrew Wiggins","MIN",81,2845,0.5033238205723124,0.49304482225656876,9.03306159420289,25.147368421052633,287,448,0.3462132921174652,0.640625,0.7229219143576826,0.5505226480836237,0.11383928571428571,114,269,0.20788253477588872,0.42379182156133827,0.4730290456431535,0.43859649122807015,0.10408921933085502,136,387,0.2990726429675425,0.35142118863049093,0.35789473684210527,0.4852941176470588,0.01808785529715762,12,30,0.023183925811437404,0.4,0.41379310344827586,1,0.03333333333333333,45,160,0.12364760432766615,0.28125,0.2830188679245283,0.7777777777777778,0.00625,45,159,0.2830188679245283,1,0
"Giannis Antetokounmpo","MIL",80,2823,0.5638495034756703,0.6564659427443238,5.736061946902654,26.41834862385321,368,556,0.5488647581441264,0.6618705035971223,0.7287128712871287,0.5027173913043478,0.09172661870503597,58,178,0.175715695952616,0.3258426966292135,0.3431952662721893,0.3448275862068966,0.05056179775280899,59,170,0.16781836130306022,0.34705882352941175,0.34911242603550297,0.5084745762711864,0.0058823529411764705,12,35,0.034550839091806514,0.34285714285714286,0.34285714285714286,0.9166666666666666,0,16,74,0.07305034550839092,0.21621621621621623,0.2191780821917808,0.75,0.013513513513513514,16,70,0.22857142857142856,4,0
"Paul George","IND",81,2819,0.49666217059639395,0.5790200138026225,11.228652321630804,25.20512367491166,157,273,0.18840579710144928,0.575091575091575,0.7040358744394619,0.42038216560509556,0.18315018315018314,75,181,0.12491373360938578,0.4143646408839779,0.44642857142857145,0.16,0.0718232044198895,163,429,0.29606625258799174,0.37995337995337997,0.38717339667458434,0.294478527607362,0.018648018648018648,57,140,0.0966183574879227,0.40714285714285714,0.41605839416058393,0.8421052631578947,0.02142857142857143,153,426,0.2939958592132505,0.3591549295774648,0.3617021276595745,0.6601307189542484,0.007042253521126761,153,425,0.36,1,0
