"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","UnblockedAtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","UnblockedShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","UnblockedLongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","UnblockedCorner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","UnblockedArc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Mikal Bridges","BKN",83,2963,0.5157952098178938,0.5430149960536701,8.944121212121212,24.773076923076925,166,246,0.1941594317284925,0.6747967479674797,0.7410714285714286,0.6506024096385542,0.08943089430894309,182,397,0.31333859510655093,0.45843828715365237,0.48404255319148937,0.5,0.05289672544080604,76,182,0.143646408839779,0.4175824175824176,0.4342857142857143,0.3815789473684211,0.038461538461538464,88,198,0.15627466456195738,0.4444444444444444,0.4467005076142132,0.9886363636363636,0.005050505050505051,81,244,0.1925808997632202,0.3319672131147541,0.3360995850622407,0.8518518518518519,0.012295081967213115,81,242,0.3347107438016529,2,0
"Anthony Edwards","MIN",79,2842,0.5363336475942783,0.7073329007138222,6.82668743509865,25.712629757785468,329,512,0.33225178455548343,0.642578125,0.6854166666666667,0.3890577507598784,0.0625,97,256,0.16612589227774172,0.37890625,0.4217391304347826,0.28865979381443296,0.1015625,68,195,0.12654120700843607,0.3487179487179487,0.3487179487179487,0.23529411764705882,0,26,60,0.03893575600259572,0.43333333333333335,0.43333333333333335,0.9230769230769231,0,187,518,0.33614536015574303,0.361003861003861,0.3617021276595745,0.45989304812834225,0.0019305019305019305,187,515,0.36310679611650487,3,0
"Zach LaVine","CHI",77,2768,0.5413638628158844,0.7118155619596542,7.822274881516588,25.964338235294118,298,444,0.31988472622478387,0.6711711711711712,0.7602040816326531,0.40939597315436244,0.11711711711711711,70,158,0.1138328530259366,0.4430379746835443,0.5147058823529411,0.24285714285714285,0.13924050632911392,101,242,0.17435158501440923,0.41735537190082644,0.4190871369294606,0.1782178217821782,0.004132231404958678,37,78,0.056195965417867436,0.47435897435897434,0.4868421052631579,0.8378378378378378,0.02564102564102564,167,466,0.3357348703170029,0.3583690987124464,0.35913978494623655,0.6047904191616766,0.002145922746781116,167,466,0.3583690987124464,0,0
"Nikola Vucevic","CHI",82,2746,0.5113290069686411,0.5696864111498258,7.1609238451935076,25.727377521613832,216,307,0.26742160278745647,0.7035830618892508,0.7686832740213523,0.6388888888888888,0.08469055374592833,197,358,0.3118466898954704,0.5502793296089385,0.5777126099706745,0.7766497461928934,0.04748603351955307,63,136,0.11846689895470383,0.4632352941176471,0.4632352941176471,0.9365079365079365,0,21,45,0.039198606271777,0.4666666666666667,0.4772727272727273,1,0.022222222222222223,100,302,0.26306620209059234,0.33112582781456956,0.33112582781456956,1,0,100,302,0.33112582781456956,0,0
"Julius Randle","NYK",77,2737,0.5290508041958042,0.6934357541899442,7.2335427135678385,25.473742138364777,242,357,0.24930167597765363,0.6778711484593838,0.75625,0.5041322314049587,0.10364145658263306,141,296,0.20670391061452514,0.47635135135135137,0.501779359430605,0.19148936170212766,0.05067567567567568,57,143,0.09986033519553073,0.3986013986013986,0.40714285714285714,0.3333333333333333,0.02097902097902098,32,97,0.06773743016759777,0.32989690721649484,0.32989690721649484,0.78125,0,186,539,0.37639664804469275,0.3450834879406308,0.3463687150837989,0.7473118279569892,0.0037105751391465678,186,537,0.3463687150837989,2,0
"Domantas Sabonis","SAC",79,2736,0.534797705442903,0.6897654584221748,4.429005847953216,25.60843373493976,404,564,0.6012793176972282,0.7163120567375887,0.7651515151515151,0.5742574257425742,0.06382978723404255,108,217,0.23134328358208955,0.4976958525345622,0.5684210526315789,0.5185185185185185,0.12442396313364056,34,74,0.07889125799573561,0.4594594594594595,0.4657534246575342,0.8529411764705882,0.013513513513513514,2,10,0.010660980810234541,0.2,0.2,1,0,29,73,0.07782515991471216,0.3972602739726027,0.3972602739726027,1,0,29,72,0.4027777777777778,1,0
"Jayson Tatum","BOS",74,2732,0.5246948364336113,0.7299550994227069,6.0778923253150055,25.954810495626823,317,452,0.28992944194996795,0.7013274336283186,0.7511848341232228,0.5488958990536278,0.06637168141592921,125,296,0.1898652982681206,0.4222972972972973,0.46296296296296297,0.432,0.08783783783783784,45,125,0.08017960230917255,0.36,0.36585365853658536,0.5111111111111111,0.016,29,60,0.03848620910840282,0.48333333333333334,0.48333333333333334,0.9310344827586207,0,211,626,0.40153944836433614,0.33706070287539935,0.33706070287539935,0.6066350710900474,0,211,626,0.33706070287539935,0,0
"Spencer Dinwiddie","BKN",79,2725,0.5146751198465963,0.7019047619047619,6.741428571428572,25.849591836734692,150,247,0.23523809523809525,0.6072874493927125,0.684931506849315,0.15333333333333332,0.11336032388663968,94,238,0.22666666666666666,0.3949579831932773,0.45410628019323673,0.06382978723404255,0.13025210084033614,35,75,0.07142857142857142,0.4666666666666667,0.47297297297297297,0.11428571428571428,0.013333333333333334,48,94,0.08952380952380952,0.5106382978723404,0.5106382978723404,0.9375,0,133,396,0.37714285714285717,0.33585858585858586,0.33756345177664976,0.48120300751879697,0.005050505050505051,133,394,0.33756345177664976,2,0
"Evan Mobley","CLE",79,2715,0.5429645723336853,0.5712777191129884,5.227218934911242,24.794117647058822,341,439,0.4635691657866948,0.7767653758542141,0.8419753086419753,0.7800586510263929,0.0774487471526196,141,352,0.3717001055966209,0.4005681818181818,0.4351851851851852,0.6595744680851063,0.07954545454545454,21,54,0.057022175290390706,0.3888888888888889,0.39622641509433965,0.6190476190476191,0.018518518518518517,8,44,0.046462513199577615,0.18181818181818182,0.18181818181818182,1,0,14,58,0.061246040126715945,0.2413793103448276,0.2413793103448276,1,0,14,58,0.2413793103448276,0,0
"Dejounte Murray","ATL",74,2693,0.5053454855842185,0.47384382107657314,10.084656652360515,25.3129198966408,158,238,0.18043972706595907,0.6638655462184874,0.7348837209302326,0.31645569620253167,0.09663865546218488,179,387,0.2934040940106141,0.4625322997416021,0.49722222222222223,0.11731843575418995,0.06976744186046512,142,307,0.23275208491281274,0.46254071661237783,0.47019867549668876,0.15492957746478872,0.016286644951140065,42,94,0.0712661106899166,0.44680851063829785,0.44680851063829785,0.8571428571428571,0,91,293,0.2221379833206975,0.310580204778157,0.3127147766323024,0.6703296703296703,0.006825938566552901,91,292,0.3116438356164384,1,0
