"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Kevin Durant","OKC",81,3122,285,189,96,0.6631578947368421,89,21,100,25,10,0,3,0
"Monta Ellis","DAL",82,3023,264,164,100,0.6212121212121212,62,20,102,27,19,0,6,0
"DeMar DeRozan","TOR",79,3017,176,109,67,0.6193181818181818,64,17,45,8,13,0,7,0
"Carmelo Anthony","NYK",77,2982,198,89,109,0.4494949494949495,38,14,51,21,21,2,3,1
"John Wall","WAS",82,2980,295,187,108,0.6338983050847458,55,16,132,47,7,0,8,0
"Nicolas Batum","POR",82,2956,208,129,79,0.6201923076923077,24,6,105,33,16,1,0,1
"Damian Lillard","POR",82,2937,193,135,58,0.6994818652849741,35,6,100,25,4,0,1,0
"LeBron James","MIA",77,2902,269,168,101,0.6245353159851301,55,13,113,40,12,1,4,0
"Paul George","IND",80,2898,225,127,98,0.5644444444444444,38,9,89,41,7,0,2,1
"DeAndre Jordan","LAC",82,2871,123,47,76,0.3821138211382114,17,10,30,5,7,15,0,7
"Klay Thompson","GSW",81,2868,135,65,70,0.48148148148148145,29,3,36,20,18,0,7,0
"Blake Griffin","LAC",80,2864,224,104,120,0.4642857142857143,43,18,61,16,22,6,2,1
"Kyle Lowry","TOR",79,2862,195,122,73,0.6256410256410256,33,6,89,27,10,0,3,0
"Stephen Curry","GSW",78,2846,294,197,97,0.6700680272108843,47,8,150,44,14,0,7,0
"Joakim Noah","CHI",80,2820,194,102,92,0.5257731958762887,30,12,72,29,10,6,0,2
"Jeff Green","BOS",82,2805,165,68,97,0.4121212121212121,35,14,33,20,17,0,5,0
"Gordon Hayward","UTA",77,2800,212,115,97,0.5424528301886793,34,9,81,31,17,0,4,0
"Kevin Love","MIN",77,2797,197,115,82,0.583756345177665,42,11,73,23,12,1,2,1
"Chandler Parsons","HOU",74,2783,144,88,56,0.6111111111111112,33,9,55,16,13,0,0,1
"Wesley Matthews","POR",82,2780,110,59,51,0.5363636363636364,26,12,33,15,6,0,2,1
"James Harden","HOU",73,2778,265,169,96,0.6377358490566037,63,12,106,31,16,0,1,0
"Lance Stephenson","IND",78,2752,210,122,88,0.580952380952381,38,10,84,25,12,1,3,0
"Josh Smith","DET",77,2730,199,131,68,0.6582914572864321,54,20,77,29,8,0,0,0
"Brandon Jennings","DET",80,2728,215,155,60,0.7209302325581395,47,12,108,26,5,0,2,0
"Trevor Ariza","WAS",77,2723,132,74,58,0.5606060606060606,25,10,49,12,6,0,2,1
"Thaddeus Young","PHI",79,2718,165,95,70,0.5757575757575758,48,11,47,16,15,2,1,0
