"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Bradley Beal","WAS",82,3028,224,134,90,0.5982142857142857,50,16,84,40,8,0,1,0
"James Harden","HOU",78,2867,387,256,131,0.661498708010336,85,23,171,43,6,0,15,0
"Kemba Walker","CHA",82,2863,211,151,60,0.7156398104265402,61,14,90,33,4,0,2,0
"Tobias Harris","PHI",82,2848,151,86,65,0.5695364238410596,40,11,46,18,8,1,4,0
"Paul George","OKC",77,2841,205,125,80,0.6097560975609756,50,14,75,28,6,0,1,0
"Damian Lillard","POR",80,2838,212,140,72,0.660377358490566,27,13,113,38,5,0,5,0
"PJ Tucker","HOU",82,2802,62,22,40,0.3548387096774194,3,2,19,11,2,0,7,0
"Kevin Durant","GSW",78,2702,225,135,90,0.6,44,14,91,35,7,0,9,0
"Ben Simmons","PHI",79,2700,274,166,108,0.6058394160583942,48,14,118,30,16,7,1,0
"DeMar DeRozan","SAS",77,2688,199,133,66,0.6683417085427136,61,14,72,22,7,0,5,0
"LaMarcus Aldridge","SAS",81,2687,144,60,84,0.4166666666666667,43,12,17,11,13,7,1,1
"Steven Adams","OKC",80,2669,133,68,65,0.5112781954887218,33,8,35,9,6,5,1,2
"Klay Thompson","GSW",78,2652,115,57,58,0.4956521739130435,21,10,36,15,4,0,10,0
"Andre Drummond","DET",79,2647,175,72,103,0.4114285714285714,48,15,24,15,3,9,2,13
"Aaron Gordon","ORL",78,2633,162,77,85,0.47530864197530864,26,8,51,18,13,2,4,3
"Russell Westbrook","OKC",73,2630,325,219,106,0.6738461538461539,46,19,173,51,7,0,3,0
"Blake Griffin","DET",75,2622,253,134,119,0.5296442687747036,53,9,81,41,15,2,4,1
"Buddy Hield","SAC",82,2615,145,98,47,0.6758620689655173,42,9,56,14,2,0,6,2
"Jerami Grant","OKC",80,2612,67,28,39,0.417910447761194,14,5,14,2,5,0,5,0
"Justin Holiday","MEM",82,2607,104,70,34,0.6730769230769231,15,6,55,16,3,0,2,0
"Collin Sexton","CLE",82,2605,185,101,84,0.5459459459459459,49,13,52,17,19,0,6,0
"Donovan Mitchell","UTA",77,2598,218,133,85,0.6100917431192661,48,19,85,29,11,0,4,0
"Rudy Gobert","UTA",81,2577,129,60,69,0.46511627906976744,33,8,27,3,11,8,1,2
"Bojan Bogdanovic","IND",81,2573,134,69,65,0.5149253731343284,28,6,41,19,17,1,7,2
"Joe Ingles","UTA",82,2568,193,129,64,0.6683937823834197,29,10,100,23,6,0,5,0
"Evan Fournier","ORL",81,2553,154,96,58,0.6233766233766234,29,5,67,27,13,0,1,0
"Pascal Siakam","TOR",80,2548,154,82,72,0.5324675324675324,35,11,47,16,9,0,5,0
"De'Aaron Fox","SAC",81,2546,227,156,71,0.6872246696035242,43,13,113,31,8,0,0,0
"Karl-Anthony Towns","MIN",77,2545,240,98,142,0.4083333333333333,34,8,64,22,25,9,7,2
"Andrew Wiggins","MIN",73,2543,138,79,59,0.572463768115942,40,13,39,11,15,0,3,1
"Josh Richardson","MIA",73,2539,113,61,52,0.5398230088495575,19,6,42,14,6,0,6,0
"Harrison Barnes","SAC",77,2533,98,57,41,0.5816326530612245,24,9,33,4,9,0,1,0
"Nikola Vucevic","ORL",80,2510,159,72,87,0.4528301886792453,32,9,40,27,20,8,0,4
"Nikola Jokic","DEN",80,2504,248,139,109,0.5604838709677419,55,9,84,47,14,4,1,2
"Trae Young","ATL",81,2503,308,216,92,0.7012987012987013,55,9,161,42,8,0,4,0
"Thaddeus Young","IND",81,2489,123,68,55,0.5528455284552846,24,9,44,17,11,1,0,0
"Jayson Tatum","BOS",79,2455,122,54,68,0.4426229508196721,26,17,28,13,9,0,3,0
"D'Angelo Russell","BKN",81,2448,253,171,82,0.6758893280632411,57,17,114,36,6,0,3,0
"Jamal Murray","DEN",75,2447,158,109,49,0.689873417721519,41,5,68,16,9,0,3,1
"Cedi Osman","CLE",76,2444,114,69,45,0.6052631578947368,22,6,47,16,12,0,5,0
"Marc Gasol","TOR",79,2436,155,88,67,0.567741935483871,40,2,48,23,11,2,1,0
"Mikal Bridges","PHX",82,2417,70,44,26,0.6285714285714286,11,5,33,8,2,0,2,0
"Jrue Holiday","NOP",67,2402,210,153,57,0.7285714285714285,43,4,110,29,14,0,1,0
"Khris Middleton","MIL",77,2394,174,114,60,0.6551724137931034,40,12,74,16,11,0,1,0
"JJ Redick","PHI",76,2379,101,50,51,0.49504950495049505,19,7,31,18,4,1,7,0
"CJ McCollum","POR",70,2375,106,58,48,0.5471698113207547,19,2,39,12,11,0,5,0
