"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"James Harden","HOU",81,2981,321,202,119,0.6292834890965732,71,16,131,51,7,0,3,0
"Andrew Wiggins","MIN",82,2969,177,98,79,0.5536723163841808,49,17,49,15,16,0,4,0
"Trevor Ariza","HOU",82,2930,141,71,70,0.5035460992907801,18,8,53,29,10,0,4,0
"Damian Lillard","POR",82,2925,222,148,74,0.6666666666666666,38,15,110,32,4,0,5,0
"Chris Paul","LAC",82,2858,190,119,71,0.6263157894736842,30,14,89,31,4,0,2,0
"John Wall","WAS",79,2837,304,203,101,0.6677631578947368,58,14,145,50,6,0,8,0
"DeAndre Jordan","LAC",82,2821,109,48,61,0.44036697247706424,25,2,23,16,4,11,0,8
"Eric Bledsoe","PHX",81,2800,274,151,123,0.551094890510949,54,19,97,63,9,0,4,2
"Joe Johnson","BKN",80,2791,137,92,45,0.6715328467153284,35,14,57,11,4,0,4,0
"Kyrie Irving","CLE",75,2730,186,122,64,0.6559139784946236,49,11,73,22,5,2,7,0
"Monta Ellis","DAL",80,2699,198,130,68,0.6565656565656566,47,10,83,19,12,0,2,0
"Tyreke Evans","NOP",79,2690,246,143,103,0.5813008130081301,48,11,95,25,16,1,6,0
"Marc Gasol","MEM",81,2687,176,90,86,0.5113636363636364,39,14,51,17,12,6,0,0
"Pau Gasol","CHI",78,2681,158,102,56,0.6455696202531646,41,16,61,21,4,3,0,1
"Ben McLemore","SAC",82,2670,138,80,58,0.5797101449275363,34,9,46,12,8,0,8,0
"Ty Lawson","DEN",75,2666,185,135,50,0.7297297297297297,32,3,103,22,9,0,0,0
"Goran Dragic","MIA",78,2640,173,113,60,0.653179190751445,35,9,78,18,9,2,4,0
"Gordon Hayward","UTA",76,2618,206,119,87,0.5776699029126213,44,9,75,33,12,0,8,0
"Stephen Curry","GSW",80,2613,249,167,82,0.6706827309236948,41,8,126,39,13,0,2,0
"Kentavious Caldwell-Pope","DET",82,2587,94,53,41,0.5638297872340425,26,9,27,12,11,0,2,0
"Markieff Morris","PHX",82,2581,170,86,84,0.5058823529411764,20,10,66,20,18,1,1,0
"Victor Oladipo","ORL",72,2573,204,125,79,0.6127450980392157,54,17,71,21,4,1,8,0
"Giannis Antetokounmpo","MIL",81,2541,173,68,105,0.3930635838150289,30,10,38,12,15,4,7,2
"Kevin Love","CLE",75,2532,122,72,50,0.5901639344262295,29,13,43,9,10,1,5,1
"Nikola Vucevic","ORL",74,2529,148,63,85,0.42567567567567566,32,9,31,17,12,10,0,1
"Jimmy Butler","CHI",65,2514,93,49,44,0.5268817204301075,17,3,32,10,4,0,4,0
"LaMarcus Aldridge","POR",71,2512,122,68,54,0.5573770491803278,41,13,27,7,8,0,2,1
"Andre Drummond","DET",82,2502,120,40,80,0.3333333333333333,21,6,19,7,6,11,2,13
"Arron Afflalo","POR",78,2502,116,56,60,0.4827586206896552,26,9,30,14,9,0,5,0
"LeBron James","CLE",69,2494,272,159,113,0.5845588235294118,45,17,114,40,23,1,0,0
"Draymond Green","GSW",79,2490,133,74,59,0.556390977443609,22,5,52,24,5,1,1,0
"Elfrid Payton","ORL",82,2489,203,123,80,0.6059113300492611,30,10,93,29,8,0,10,0
"Wilson Chandler","DEN",78,2471,110,56,54,0.509090909090909,21,4,35,9,13,1,6,0
"Anthony Davis","NOP",68,2455,95,37,58,0.3894736842105263,22,13,15,12,8,0,1,5
"Jeff Green","MEM",78,2455,108,49,59,0.4537037037037037,20,11,29,10,16,0,3,0
"Klay Thompson","GSW",77,2455,150,97,53,0.6466666666666666,40,6,57,13,8,0,6,0
"Marcin Gortat","WAS",82,2453,100,43,57,0.43,21,5,22,10,10,5,0,1
"Thaddeus Young","BKN",76,2434,117,80,37,0.6837606837606838,39,8,41,9,6,1,0,1
"Avery Bradley","BOS",77,2428,109,59,50,0.5412844036697247,24,15,35,23,2,0,2,0
"Luol Deng","MIA",72,2421,108,71,37,0.6574074074074074,28,7,43,12,9,1,2,0
"Kyle Korver","ATL",75,2418,107,61,46,0.5700934579439252,12,3,49,27,3,0,5,0
"Kyle Lowry","TOR",70,2415,173,104,69,0.6011560693641619,36,9,68,26,10,0,2,0
"JJ Redick","LAC",78,2409,95,51,44,0.5368421052631579,17,6,34,15,7,0,7,0
"Rudy Gay","SAC",68,2408,183,107,76,0.5846994535519126,45,14,62,31,5,0,2,1
"Paul Millsap","ATL",73,2390,166,80,86,0.4819277108433735,41,18,39,16,13,2,3,0
