"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"DeMar DeRozan","CHI",79,2989,135,86,49,0.6370370370370371,26,10,60,19,4,0,4,0
"Domantas Sabonis","SAC",82,2928,272,138,134,0.5073529411764706,77,23,61,29,24,7,1,0
"Coby White","CHI",79,2881,166,103,63,0.6204819277108434,44,14,59,14,13,0,7,0
"Mikal Bridges","BKN",82,2854,164,109,55,0.6646341463414634,46,14,63,19,6,0,7,0
"Paolo Banchero","ORL",80,2799,247,161,86,0.6518218623481782,73,18,88,26,18,1,1,0
"Kevin Durant","PHX",75,2791,244,168,76,0.6885245901639344,75,19,93,25,8,0,8,0
"Dejounte Murray","ATL",78,2783,201,141,60,0.7014925373134329,43,16,98,19,3,0,4,0
"Anthony Edwards","MIN",79,2770,241,144,97,0.5975103734439834,73,18,71,41,15,2,3,1
"Nikola Jokic","DEN",79,2737,237,162,75,0.6835443037974683,56,10,106,37,3,1,1,0
"Jalen Brunson","NYK",77,2726,186,122,64,0.6559139784946236,51,16,71,25,4,0,2,0
"Josh Hart","NYK",81,2707,118,72,46,0.6101694915254238,23,5,49,22,5,0,4,0
"Anthony Davis","LAL",76,2700,159,89,70,0.559748427672956,48,12,41,12,8,5,1,4
"Fred VanVleet","HOU",73,2684,126,93,33,0.7380952380952381,25,5,68,16,2,0,2,0
"De'Aaron Fox","SAC",74,2659,194,139,55,0.7164948453608248,56,15,83,23,3,0,2,0
"Pascal Siakam","IND",80,2658,141,72,69,0.5106382978723404,29,11,43,14,11,0,3,0
"Jayson Tatum","BOS",74,2645,188,102,86,0.5425531914893617,41,12,61,30,6,1,1,0
"Austin Reaves","LAL",82,2629,174,114,60,0.6551724137931034,35,15,79,26,6,0,2,0
"Tyrese Maxey","PHI",70,2626,116,66,50,0.5689655172413793,28,7,38,22,6,0,3,0
