"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Mikal Bridges","PHX",82,2854,68,44,24,0.6470588235294118,13,5,31,9,2,0,3,0
"Miles Bridges","CHA",80,2837,150,80,70,0.5333333333333333,33,7,47,29,7,0,2,2
"DeMar DeRozan","CHI",76,2743,181,120,61,0.6629834254143646,49,12,71,15,13,0,2,0
"Jayson Tatum","BOS",76,2731,217,115,102,0.5299539170506913,53,18,62,37,7,0,1,1
"Saddiq Bey","DET",82,2704,96,45,51,0.46875,10,4,35,11,11,0,5,1
"Tyrese Haliburton","IND",77,2694,199,134,65,0.6733668341708543,25,8,109,29,9,0,7,0
"Russell Westbrook","LAL",78,2678,295,197,98,0.6677966101694915,46,21,151,39,4,0,7,1
"Trae Young","ATL",76,2652,303,227,76,0.7491749174917491,44,10,183,38,9,0,1,0
"Tyrese Maxey","PHI",75,2650,88,51,37,0.5795454545454546,15,7,36,12,7,0,1,0
"Dorian Finney-Smith","DAL",80,2644,80,42,38,0.525,9,2,33,8,7,0,7,3
"Scottie Barnes","TOR",74,2617,136,72,64,0.5294117647058824,21,5,51,32,11,0,0,0
"Harrison Barnes","SAC",77,2587,118,77,41,0.652542372881356,40,11,37,9,4,1,1,0
"Pascal Siakam","TOR",68,2578,181,110,71,0.6077348066298343,41,8,69,22,8,0,2,1
"Julius Randle","NYK",72,2544,245,127,118,0.5183673469387755,61,13,66,45,13,1,2,1
"Tobias Harris","PHI",73,2543,116,71,45,0.6120689655172413,36,6,35,8,6,0,1,0
"Jalen Brunson","DAL",79,2524,124,82,42,0.6612903225806451,22,7,60,11,7,0,2,0
"Buddy Hield","IND",81,2499,153,110,43,0.7189542483660131,39,6,71,17,7,0,3,0
"Nikola Jokic","DEN",74,2476,281,186,95,0.6619217081850534,64,12,122,51,6,2,0,3
"Karl-Anthony Towns","MIN",74,2476,222,92,130,0.4144144144144144,32,7,60,29,17,2,4,2
"Anthony Edwards","MIN",72,2466,190,109,81,0.5736842105263158,47,14,62,26,14,0,5,0
"Fred VanVleet","TOR",65,2462,170,122,48,0.7176470588235294,38,7,84,23,2,0,5,0
"Terry Rozier","CHA",73,2458,96,62,34,0.6458333333333334,16,6,46,14,2,0,3,0
"Gary Trent Jr.","TOR",70,2448,72,35,37,0.4861111111111111,12,10,23,6,1,0,2,0
"Darius Garland","CLE",68,2430,248,165,83,0.6653225806451613,53,11,112,34,10,0,8,0
"Franz Wagner","ORL",79,2429,119,66,53,0.5546218487394958,23,13,43,15,9,0,5,0
"LaMelo Ball","CHA",75,2422,245,144,101,0.5877551020408164,29,10,115,41,16,0,12,1
"James Harden","PHI",65,2420,280,203,77,0.725,65,9,138,37,6,0,4,0
"Nikola Vucevic","CHI",73,2418,135,77,58,0.5703703703703704,35,8,42,19,7,3,1,0
"RJ Barrett","NYK",70,2417,151,97,54,0.6423841059602649,38,8,59,24,4,0,5,1
"Royce O'Neale","UTA",77,2406,79,45,34,0.569620253164557,5,4,40,12,5,0,3,0
"Keldon Johnson","SAS",75,2392,92,52,40,0.5652173913043478,22,7,30,9,3,0,1,0
"Aaron Gordon","DEN",75,2376,133,69,64,0.518796992481203,32,7,37,11,8,1,6,3
"Dejounte Murray","SAS",68,2366,180,134,46,0.7444444444444445,36,10,98,19,1,0,3,0
"Evan Fournier","NYK",80,2358,105,70,35,0.6666666666666666,24,9,46,9,5,0,1,0
"Patty Mills","BKN",81,2346,73,47,26,0.6438356164383562,13,2,34,12,0,0,5,0
"Devin Booker","PHX",68,2345,162,97,65,0.5987654320987654,25,12,72,24,8,0,3,0
"Reggie Jackson","LAC",75,2337,173,118,55,0.6820809248554913,28,7,90,30,2,0,5,0
