"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Mikal Bridges","BKN",83,2963,127,87,40,0.6850393700787402,29,8,58,15,9,0,1,0
"Anthony Edwards","MIN",79,2842,259,151,108,0.583011583011583,72,16,79,48,15,0,2,1
"Zach LaVine","CHI",77,2768,194,107,87,0.5515463917525774,39,24,68,18,26,0,2,0
"Nikola Vucevic","CHI",82,2746,139,72,67,0.5179856115107914,31,5,41,15,14,2,3,1
"Julius Randle","NYK",77,2737,216,101,115,0.4675925925925926,55,20,46,26,20,3,1,0
"Domantas Sabonis","SAC",79,2736,230,110,120,0.4782608695652174,53,14,57,28,18,3,1,0
"Jayson Tatum","BOS",74,2732,213,116,97,0.5446009389671361,62,16,54,25,18,0,3,0
"Spencer Dinwiddie","BKN",79,2725,143,73,70,0.5104895104895105,18,7,55,30,9,0,3,0
"Evan Mobley","CLE",79,2715,146,64,82,0.4383561643835616,35,16,29,12,18,1,5,1
"Dejounte Murray","ATL",74,2693,160,105,55,0.65625,40,16,65,20,4,0,5,0
"DeMar DeRozan","CHI",74,2682,153,93,60,0.6078431372549019,35,10,58,16,16,0,1,0
"Scottie Barnes","TOR",77,2678,154,88,66,0.5714285714285714,17,8,71,28,10,2,2,0
"Harrison Barnes","SAC",82,2662,86,49,37,0.5697674418604651,20,4,29,9,12,0,0,0
"Pascal Siakam","TOR",71,2652,169,95,74,0.5621301775147929,41,4,54,19,15,0,2,0
"CJ McCollum","NOP",75,2649,183,112,71,0.6120218579234973,33,5,79,27,13,0,8,0
"Franz Wagner","ORL",80,2609,167,95,72,0.5688622754491018,35,18,60,12,11,0,4,0
"Jalen Green","HOU",76,2602,200,123,77,0.615,50,23,73,21,12,0,4,1
