"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Kobi Simmons","MEM",32,643,44,23,21,0.5227272727272727,3,3,20,5,6,0,3,2
"Sean Kilpatrick","CHI",52,640,38,24,14,0.631578947368421,10,4,14,2,4,0,0,0
"Torrey Craig","DEN",39,629,20,12,8,0.6,6,0,6,2,1,0,3,0
"Cody Zeller","CHA",33,627,32,13,19,0.40625,4,2,9,4,2,0,0,1
"JaVale McGee","GSW",65,616,27,14,13,0.5185185185185185,5,1,9,2,1,0,0,1
"Terrence Ross","ORL",24,600,29,15,14,0.5172413793103449,2,0,13,7,2,0,3,0
"Malik Beasley","DEN",62,583,24,14,10,0.5833333333333334,4,5,10,2,0,0,1,0
"Cameron Payne","CHI",25,582,36,25,11,0.6944444444444444,5,1,20,4,1,0,3,0
"Cheick Diallo","NOP",52,581,28,10,18,0.35714285714285715,5,1,5,1,2,0,0,0
"Khem Birch","ORL",42,578,21,4,17,0.19047619047619047,2,3,2,2,1,2,0,0
"Brandon Paul","SAS",64,576,29,20,9,0.6896551724137931,5,4,15,2,1,0,2,0
"Alex Caruso","LAL",37,562,42,29,13,0.6904761904761905,8,0,21,11,2,0,0,0
"Joe Young","IND",53,558,26,14,12,0.5384615384615384,8,3,6,2,2,1,1,0
"Tarik Black","HOU",51,536,35,13,22,0.37142857142857144,4,4,9,3,6,2,0,0
"Jonathan Isaac","ORL",27,535,27,16,11,0.5925925925925926,9,3,7,0,4,0,2,0
"Joffrey Lauvergne","SAS",55,534,33,9,24,0.2727272727272727,4,5,5,8,2,1,0,1
"Nik Stauskas","BKN",41,523,26,13,13,0.5,7,1,6,8,3,0,1,0
"Abdel Nader","BOS",48,522,34,20,14,0.5882352941176471,7,4,13,1,5,0,4,0
"Justin Anderson","PHI",38,519,16,7,9,0.4375,1,1,6,2,3,0,0,0
"Tyler Cavanaugh","ATL",39,518,13,3,10,0.23076923076923078,1,2,2,4,0,0,0,0
"Ivan Rabb","MEM",36,516,35,27,8,0.7714285714285715,11,2,16,2,1,0,0,0
"Raul Neto","UTA",41,498,36,24,12,0.6666666666666666,2,3,22,5,1,0,1,0
"Willy Hernangomez","CHA",48,494,35,13,22,0.37142857142857144,5,5,8,4,6,0,0,0
"Al Jefferson","IND",36,484,21,12,9,0.5714285714285714,5,2,7,2,3,0,0,0
"Kyle Collinsworth","DAL",32,480,24,18,6,0.75,5,1,13,3,1,0,0,0
"Damyean Dotson","NYK",44,474,17,11,6,0.6470588235294118,3,1,8,1,2,0,0,0
"Nerlens Noel","DAL",29,472,26,14,12,0.5384615384615384,5,2,9,4,1,0,0,0
"Kenneth Faried","DEN",32,461,23,8,15,0.34782608695652173,3,1,5,1,1,2,1,1
"TJ Leaf","IND",53,459,11,8,3,0.7272727272727273,1,1,7,1,1,0,0,0
"DeAndre' Bembry","ATL",26,455,47,27,20,0.574468085106383,13,5,14,8,2,0,2,1
"Dorian Finney-Smith","DAL",21,448,21,12,9,0.5714285714285714,2,2,10,2,1,0,0,0
"Willie Reed","DET",42,428,19,10,9,0.5263157894736842,6,0,4,2,2,0,0,1
"Dwight Buycks","DET",29,427,39,27,12,0.6923076923076923,5,4,22,3,1,0,1,0
"Isaiah Canaan","PHX",20,422,29,14,15,0.4827586206896552,1,0,13,7,5,0,3,0
"Derrick Rose","MIN",25,419,35,22,13,0.6285714285714286,13,3,9,4,2,0,1,0
"Shabazz Muhammad","MIL",43,418,6,2,4,0.3333333333333333,2,1,0,1,0,1,0,0
"Lucas Nogueira","TOR",49,418,16,7,9,0.4375,2,0,5,2,0,1,0,0
"Ivica Zubac","LAL",43,410,26,18,8,0.6923076923076923,11,0,7,1,1,1,0,0
"Damion Lee","ATL",15,404,14,9,5,0.6428571428571429,5,1,4,1,0,0,1,1
"Danuel House Jr.","PHX",23,403,11,5,6,0.45454545454545453,1,1,4,4,0,0,0,0
"Ramon Sessions","WAS",28,392,30,22,8,0.7333333333333333,5,0,17,4,2,0,0,0
"Ron Baker","NYK",29,385,18,11,7,0.6111111111111112,2,0,9,4,1,0,2,0
"Shaquille Harrison","PHX",23,384,22,14,8,0.6363636363636364,3,2,11,5,0,0,1,0
"Brandan Wright","HOU",28,381,8,4,4,0.5,2,0,2,2,0,0,0,0
"Johnny O'Bryant III","CHA",36,379,15,4,11,0.26666666666666666,4,3,0,0,3,0,0,1
"Myke Henry","MEM",20,378,19,14,5,0.7368421052631579,3,1,11,3,0,0,1,0
"Mike Conley","MEM",12,373,18,16,2,0.8888888888888888,6,0,10,1,0,0,0,0
"Timofey Mozgov","BKN",31,359,33,10,23,0.30303030303030304,10,2,0,2,6,2,1,0
"Emeka Okafor","NOP",26,353,13,5,8,0.38461538461538464,2,2,3,0,2,1,0,0
"Jahlil Okafor","BKN",28,353,21,8,13,0.38095238095238093,4,1,4,3,5,0,0,0
"JaKarr Sampson","SAC",22,344,8,2,6,0.25,1,0,1,1,2,0,0,0
"Boban Marjanovic","LAC",37,338,36,13,23,0.3611111111111111,9,1,4,1,3,5,1,0
"Glenn Robinson III","IND",23,338,5,1,4,0.2,1,1,0,2,1,0,0,0
"Patrick Beverley","LAC",11,334,25,16,9,0.64,2,0,14,6,0,0,1,0
"Henry Ellenson","DET",38,329,18,11,7,0.6111111111111112,2,1,9,1,2,1,0,1
"Luke Kornet","NYK",20,326,12,10,2,0.8333333333333334,5,0,5,2,0,0,0,0
"Malachi Richardson","TOR",26,323,10,4,6,0.4,3,1,1,1,0,0,1,0
"Antonio Blakeney","CHI",19,314,11,6,5,0.5454545454545454,3,1,3,0,1,0,2,0
"Troy Williams","NYK",21,307,19,11,8,0.5789473684210527,1,1,10,1,2,0,2,0
"Ryan Arcidiacono","CHI",24,304,13,8,5,0.6153846153846154,3,1,5,4,0,0,0,0
"Rodney McGruder","MIA",18,299,4,1,3,0.25,1,2,0,0,0,0,0,0
"Rodney Purvis","ORL",16,290,10,3,7,0.3,1,1,2,2,1,0,2,0
"Jason Smith","WAS",33,285,15,5,10,0.3333333333333333,1,0,4,1,2,0,0,0
"Jordan Mickey","MIA",23,284,18,6,12,0.3333333333333333,1,1,5,2,1,0,0,0
"Jamel Artis","ORL",15,279,8,5,3,0.625,3,1,2,1,0,0,0,0
"Juancho Hernangomez","DEN",25,277,9,4,5,0.4444444444444444,2,1,2,2,1,0,0,0
"Iman Shumpert","CLE",14,276,16,10,6,0.625,2,1,8,4,0,0,0,0
"Jamil Wilson","LAC",15,274,8,6,2,0.75,2,0,4,0,1,0,0,0
"Tony Allen","NOP",22,272,19,10,9,0.5263157894736842,3,0,7,3,2,0,0,0
"Meyers Leonard","POR",33,254,10,3,7,0.3,3,2,0,1,0,0,0,0
"Markelle Fultz","PHI",14,253,17,9,8,0.5294117647058824,6,4,3,0,2,0,1,0
"Derrick Jones Jr.","MIA",20,245,7,4,3,0.5714285714285714,0,0,4,0,1,0,0,0
"Davon Reed","PHX",21,242,10,6,4,0.6,4,1,2,0,1,0,1,0
"Isaiah Hicks","NYK",18,239,16,6,10,0.375,2,1,4,1,2,0,0,0
"Briante Weber","MEM",18,237,15,11,4,0.7333333333333333,3,1,8,1,0,0,1,0
"Guerschon Yabusele","BOS",33,235,12,5,7,0.4166666666666667,1,0,4,2,3,0,0,0
"Dante Exum","UTA",14,235,20,10,10,0.5,2,1,8,3,2,0,1,0
"Aaron Harrison","DAL",9,233,3,1,2,0.3333333333333333,0,0,1,1,0,0,0,0
"Travis Wear","LAL",17,228,6,5,1,0.8333333333333334,2,0,3,0,1,0,0,0
