"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Mikal Bridges","NYK",82,3036,132,75,57,0.5681818181818182,22,20,53,26,2,0,3,0
"Josh Hart","NYK",77,2897,158,102,56,0.6455696202531646,28,7,74,25,12,0,5,1
"Anthony Edwards","MIN",79,2871,249,159,90,0.6385542168674698,75,19,84,40,7,0,3,1
"Devin Booker","PHX",75,2795,220,145,75,0.6590909090909091,51,11,94,33,10,0,2,0
"James Harden","LAC",79,2789,341,247,94,0.7243401759530792,86,10,161,42,3,0,3,0
"DeMar DeRozan","SAC",77,2768,105,69,36,0.6571428571428571,31,7,38,14,5,0,2,0
"Trae Young","ATL",76,2739,355,254,101,0.7154929577464789,46,16,208,57,13,0,1,0
"Tyler Herro","MIA",77,2725,198,136,62,0.6868686868686869,65,11,71,28,8,0,6,0
"OG Anunoby","NYK",74,2706,102,54,48,0.5294117647058824,27,10,27,11,9,0,7,0
"Jalen Green","HOU",82,2697,203,141,62,0.6945812807881774,65,20,76,20,7,0,4,0
"Christian Braun","DEN",79,2675,81,50,31,0.6172839506172839,19,1,31,9,3,0,6,0
"Bam Adebayo","MIA",78,2674,161,80,81,0.4968944099378882,37,14,43,26,8,1,2,3
"Ivica Zubac","LAC",80,2624,127,73,54,0.5748031496062992,41,6,32,8,11,2,1,1
"Jayson Tatum","BOS",72,2624,209,134,75,0.6411483253588517,54,15,80,24,5,0,2,0
"Jaden McDaniels","MIN",82,2614,95,48,47,0.5052631578947369,20,9,28,11,9,0,6,1
"Keegan Murray","SAC",76,2610,60,35,25,0.5833333333333334,22,3,13,7,6,0,7,0
"Zach LaVine","SAC",74,2603,208,136,72,0.6538461538461539,63,13,73,27,14,0,5,0
"Shai Gilgeous-Alexander","OKC",76,2598,183,119,64,0.6502732240437158,53,6,66,23,9,2,5,1
"Michael Porter Jr.","DEN",77,2593,104,67,37,0.6442307692307693,31,9,36,8,5,0,8,0
"Derrick White","BOS",76,2574,131,94,37,0.7175572519083969,23,9,71,15,5,0,4,0
"Dyson Daniels","ATL",76,2571,155,104,51,0.6709677419354839,31,11,73,19,5,0,3,1
"Nikola Jokić","DEN",70,2571,230,157,73,0.6826086956521739,61,4,96,39,7,0,0,1
"Austin Reaves","LAL",73,2550,177,139,38,0.7853107344632768,48,6,91,14,4,0,2,0
"Toumani Camara","POR",78,2548,109,61,48,0.5596330275229358,25,6,36,12,6,0,1,2
"Pascal Siakam","IND",78,2548,109,64,45,0.5871559633027523,30,12,34,6,5,0,1,0
"Brook Lopez","MIL",80,2546,84,36,48,0.42857142857142855,14,1,22,5,3,5,1,0
"Karl-Anthony Towns","NYK",72,2517,192,86,106,0.4479166666666667,32,10,54,25,12,3,5,1
"Bub Carrington","WAS",82,2458,141,88,53,0.624113475177305,28,11,60,20,8,0,4,0
"Cade Cunningham","DET",70,2452,309,229,80,0.7411003236245954,90,15,139,34,6,0,3,0
"Tyrese Haliburton","IND",73,2451,120,74,46,0.6166666666666667,22,4,52,24,5,0,5,0
"Coby White","CHI",74,2450,177,96,81,0.5423728813559322,44,14,52,23,16,0,6,0
"LeBron James","LAL",70,2444,260,156,104,0.6,43,14,113,59,10,0,3,0
"Domantas Sabonis","SAC",70,2429,202,113,89,0.5594059405940595,54,10,59,24,8,2,0,1
"Jamal Murray","DEN",67,2418,138,104,34,0.7536231884057971,26,5,78,18,4,0,1,0
"Alperen Sengun","HOU",76,2394,194,104,90,0.5360824742268041,50,17,54,19,18,3,1,0
"Rudy Gobert","MIN",72,2388,89,52,37,0.5842696629213483,30,2,22,7,3,2,0,0
"Dillon Brooks","HOU",75,2388,76,39,37,0.5131578947368421,12,4,27,9,5,0,1,0
"Tobias Harris","DET",73,2306,85,50,35,0.5882352941176471,23,8,27,3,5,0,3,0
"Jalen Brunson","NYK",65,2301,164,112,52,0.6829268292682927,39,17,73,26,2,0,1,0
"Darius Garland","CLE",75,2301,189,125,64,0.6613756613756614,40,12,85,26,10,0,2,0
"Jarrett Allen","CLE",82,2296,97,51,46,0.5257731958762887,20,4,31,16,7,0,1,1
"Chris Paul","SAS",82,2292,129,90,39,0.6976744186046512,14,8,76,23,3,0,1,0
"Anfernee Simons","POR",70,2292,143,97,46,0.6783216783216783,35,5,62,25,1,0,6,0
"Giannis Antetokounmpo","MIL",67,2289,206,100,106,0.4854368932038835,50,13,50,19,26,1,5,1
"Malik Beasley","DET",82,2283,83,55,28,0.6626506024096386,22,5,33,11,2,0,1,0
"Kentavious Caldwell-Pope","ORL",77,2279,62,37,25,0.5967741935483871,8,4,29,12,1,0,1,0
"Nikola Vučević","CHI",73,2278,119,70,49,0.5882352941176471,24,4,46,15,6,3,2,1
"Payton Pritchard","BOS",80,2271,83,52,31,0.6265060240963856,16,4,36,5,4,0,9,0
"Kevin Durant","PHX",62,2265,190,130,60,0.6842105263157895,47,11,83,17,4,0,6,0
"Stephen Curry","GSW",70,2252,200,128,72,0.64,23,11,105,35,3,0,8,0
"Shaedon Sharpe","POR",72,2252,150,98,52,0.6533333333333333,47,12,51,22,2,0,3,2
"De'Aaron Fox","SAS",62,2241,174,111,63,0.6379310344827587,55,18,56,26,7,0,1,0
"Jalen Williams","OKC",69,2237,150,90,60,0.6,44,19,46,23,7,0,2,0
