"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"James Harden","HOU",82,3125,374,260,114,0.6951871657754011,75,17,185,42,8,0,1,0
"Gordon Hayward","UTA",80,2893,202,115,87,0.5693069306930693,52,8,63,22,11,0,4,1
"Kemba Walker","CHA",81,2885,171,117,54,0.6842105263157895,47,10,70,30,9,0,1,0
"Trevor Ariza","HOU",81,2859,113,62,51,0.5486725663716814,14,4,48,20,6,1,9,0
"Marcus Morris","DET",80,2856,140,76,64,0.5428571428571428,20,12,56,16,11,0,7,1
"Khris Middleton","MIL",79,2852,180,112,68,0.6222222222222222,36,10,76,20,8,0,4,0
"Kyle Lowry","TOR",77,2851,225,135,90,0.6,39,14,96,38,6,0,7,0
"Andrew Wiggins","MIN",81,2845,182,111,71,0.6098901098901099,57,23,54,7,14,0,3,2
"Giannis Antetokounmpo","MIL",80,2823,208,98,110,0.47115384615384615,34,17,64,22,26,2,6,1
"Paul George","IND",81,2819,265,150,115,0.5660377358490566,56,18,94,51,7,0,4,0
"Draymond Green","GSW",81,2808,259,156,103,0.6023166023166023,34,13,122,49,13,2,4,1
"DeMar DeRozan","TOR",78,2804,175,110,65,0.6285714285714286,56,16,54,15,10,0,5,0
"Kentavious Caldwell-Pope","DET",76,2789,105,61,44,0.580952380952381,29,9,32,10,9,0,5,1
"John Wall","WAS",77,2784,318,211,107,0.6635220125786163,53,23,158,56,5,0,2,0
"CJ McCollum","POR",80,2780,196,107,89,0.5459183673469388,34,18,73,25,8,1,12,0
"Russell Westbrook","OKC",80,2750,343,234,109,0.6822157434402333,56,18,178,43,5,0,9,0
"Monta Ellis","IND",81,2734,203,120,83,0.5911330049261084,37,11,83,39,13,0,1,0
"LeBron James","CLE",76,2709,249,143,106,0.5742971887550201,38,14,105,40,9,1,3,1
"Joe Johnson","MIA",81,2704,159,96,63,0.6037735849056604,37,10,59,26,8,1,0,0
"Stephen Curry","GSW",79,2700,262,156,106,0.5954198473282443,42,19,114,53,14,0,6,0
"Damian Lillard","POR",75,2676,242,165,77,0.6818181818181818,40,15,125,44,5,0,3,0
"Klay Thompson","GSW",80,2666,138,80,58,0.5797101449275363,30,10,50,21,5,0,5,0
"Andre Drummond","DET",81,2666,155,77,78,0.4967741935483871,43,9,34,9,8,9,2,8
"Paul Millsap","ATL",81,2647,191,115,76,0.6020942408376964,56,10,59,23,16,0,0,0
"Isaiah Thomas","BOS",82,2644,220,136,84,0.6181818181818182,60,18,76,33,5,0,5,0
