"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Andrew Wiggins","MIN",82,3048,187,120,67,0.6417112299465241,62,15,58,11,16,0,5,0
"Karl-Anthony Towns","MIN",82,3030,211,100,111,0.47393364928909953,38,10,62,22,15,3,3,4
"James Harden","HOU",81,2947,464,314,150,0.6767241379310345,95,16,219,78,13,0,1,0
"Giannis Antetokounmpo","MIL",80,2845,234,106,128,0.452991452991453,48,19,58,24,24,4,6,2
"John Wall","WAS",78,2836,322,210,112,0.6521739130434783,65,17,145,51,6,0,10,0
"Jimmy Butler","CHI",76,2809,159,100,59,0.6289308176100629,34,14,66,16,7,0,3,0
"Harrison Barnes","DAL",79,2804,102,69,33,0.6764705882352942,34,8,35,3,2,1,0,1
"Russell Westbrook","OKC",81,2802,438,302,136,0.6894977168949772,62,28,240,62,8,0,4,0
"CJ McCollum","POR",80,2796,172,115,57,0.6686046511627907,45,13,70,13,9,0,6,0
"LeBron James","CLE",74,2795,302,184,118,0.609271523178808,52,20,132,48,10,2,3,0
"Trevor Ariza","HOU",80,2773,73,37,36,0.5068493150684932,9,6,28,12,7,0,2,0
"Rudy Gobert","UTA",81,2744,147,66,81,0.4489795918367347,36,2,30,11,18,12,2,3
"Kemba Walker","CHA",79,2739,168,119,49,0.7083333333333334,50,23,69,18,4,0,1,0
"Devin Booker","PHX",78,2731,241,150,91,0.6224066390041494,52,15,98,29,8,0,3,0
"Anthony Davis","NOP",75,2708,181,92,89,0.5082872928176796,53,15,39,19,12,1,1,5
"Damian Lillard","POR",75,2693,197,137,60,0.6954314720812182,37,14,100,27,4,0,1,0
"Paul George","IND",75,2689,219,136,83,0.6210045662100456,55,8,81,32,8,1,2,0
"Bradley Beal","WAS",77,2684,156,90,66,0.5769230769230769,30,12,60,25,4,0,8,0
"Jeff Teague","IND",82,2657,216,141,75,0.6527777777777778,41,11,100,34,10,0,2,0
"Gorgui Dieng","MIN",82,2653,107,49,58,0.45794392523364486,17,4,32,6,20,5,1,1
"Klay Thompson","GSW",78,2649,127,82,45,0.6456692913385826,23,7,59,13,9,0,3,0
"Stephen Curry","GSW",79,2639,239,150,89,0.6276150627615062,30,12,120,44,9,0,5,0
"DeMar DeRozan","TOR",74,2620,180,126,54,0.7,62,9,64,20,6,0,4,0
"Nicolas Batum","CHA",77,2617,194,136,58,0.7010309278350515,34,4,102,28,12,0,3,0
"Otto Porter Jr.","WAS",80,2605,44,27,17,0.6136363636363636,6,1,21,8,2,0,1,0
"DeAndre Jordan","LAC",81,2571,114,45,69,0.39473684210526316,16,8,29,12,1,8,0,4
"Isaiah Thomas","BOS",76,2570,210,140,70,0.6666666666666666,63,12,77,28,8,0,6,0
"Tobias Harris","DET",82,2566,96,57,39,0.59375,32,10,25,10,2,0,2,0
"Marcus Morris","DET",79,2565,87,60,27,0.6896551724137931,12,8,48,6,3,0,4,1
"Marcin Gortat","WAS",82,2556,119,52,67,0.4369747899159664,21,5,31,14,5,4,0,1
"Myles Turner","IND",81,2541,105,46,59,0.4380952380952381,18,7,28,10,4,2,0,1
"Carmelo Anthony","NYK",74,2538,153,81,72,0.5294117647058824,30,11,51,19,10,1,1,0
"Marc Gasol","MEM",74,2531,166,96,70,0.5783132530120482,51,6,45,22,12,1,0,0
"Kentavious Caldwell-Pope","DET",76,2529,86,53,33,0.6162790697674418,23,6,30,16,5,0,0,0
"Kyrie Irving","CLE",72,2525,180,110,70,0.6111111111111112,39,18,71,24,6,0,8,0
"Gordon Hayward","UTA",73,2516,140,80,60,0.5714285714285714,36,7,44,22,7,0,1,0
"Hassan Whiteside","MIA",77,2514,155,71,84,0.45806451612903226,43,6,28,5,21,13,0,5
"Wesley Matthews","DAL",73,2495,102,68,34,0.6666666666666666,28,9,40,10,2,0,4,0
"Dennis Schroder","ATL",79,2485,258,170,88,0.6589147286821705,46,19,124,34,12,0,1,0
"Kawhi Leonard","SAS",74,2475,154,84,70,0.5454545454545454,40,12,44,20,13,0,3,0
"Draymond Green","GSW",76,2471,184,113,71,0.6141304347826086,14,2,99,40,9,1,0,0
"Ricky Rubio","MIN",75,2469,195,137,58,0.7025641025641025,17,6,120,31,5,0,6,0
"DeMarcus Cousins","NOP",72,2466,269,150,119,0.5576208178438662,78,13,72,26,17,2,0,1
"Goran Dragic","MIA",73,2460,212,130,82,0.6132075471698113,40,18,90,25,16,1,4,0
"Courtney Lee","NYK",77,2459,69,41,28,0.5942028985507246,12,4,29,17,4,0,2,0
"Serge Ibaka","TOR",79,2422,105,63,42,0.6,29,4,34,5,7,4,0,3
"Elfrid Payton","ORL",82,2412,178,112,66,0.6292134831460674,34,14,78,18,15,0,5,0
"Andre Drummond","DET",81,2410,153,68,85,0.4444444444444444,37,7,31,17,9,13,0,4
"Marcus Smart","BOS",79,2399,159,98,61,0.6163522012578616,26,3,72,21,8,1,5,0
"Jordan Clarkson","LAL",82,2397,164,98,66,0.5975609756097561,31,13,67,17,15,0,8,0
"Steven Adams","OKC",80,2389,147,71,76,0.48299319727891155,44,10,27,12,5,11,2,1
"Andre Roberson","OKC",79,2376,51,37,14,0.7254901960784313,16,0,21,3,4,0,1,0
