"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"DeMar DeRozan","CHI",79,2989,421,1044,219,202,133,70,16,52,150
"Domantas Sabonis","SAC",82,2928,673,1679,340,333,173,114,53,79,254
"Coby White","CHI",79,2881,405,983,232,173,105,86,41,82,91
"Mikal Bridges","BKN",82,2854,299,748,149,150,92,46,11,59,91
"Paolo Banchero","ORL",80,2799,431,1054,239,192,176,48,15,51,141
"Kevin Durant","PHX",75,2791,378,895,239,139,184,44,11,41,98
"Dejounte Murray","ATL",78,2783,502,1221,285,217,171,97,17,59,158
"Anthony Edwards","MIN",79,2770,405,1024,191,214,117,61,13,88,126
"Nikola Jokic","DEN",79,2737,708,1662,462,246,310,71,81,69,177
"Jalen Brunson","NYK",77,2726,519,1269,288,231,203,76,9,87,144
"Josh Hart","NYK",81,2707,331,824,169,162,109,53,7,56,106
"Anthony Davis","LAL",76,2700,266,625,173,93,111,50,12,19,74
"Fred VanVleet","HOU",73,2684,589,1391,376,213,208,136,32,55,158
"De'Aaron Fox","SAC",74,2659,418,1031,223,195,168,49,6,49,146
"Pascal Siakam","IND",80,2658,342,843,183,159,122,46,15,47,112
"Jayson Tatum","BOS",74,2645,364,922,170,194,110,48,12,68,126
"Austin Reaves","LAL",82,2629,450,1061,289,161,200,58,31,60,101
"Tyrese Maxey","PHI",70,2626,433,1045,254,179,140,71,43,49,130
"Luka Doncic","DAL",70,2624,686,1636,422,264,308,86,28,106,158
"Nikola Vucevic","CHI",76,2610,254,623,139,115,78,28,33,42,73
"Jalen Green","HOU",82,2602,291,688,185,106,113,58,14,30,76
"Rudy Gobert","MIN",76,2593,102,265,41,61,23,16,2,16,45
"Keegan Murray","SAC",77,2589,129,319,68,61,38,23,7,25,36
"Miles Bridges","CHA",69,2581,231,574,119,112,78,29,12,30,82
"Damian Lillard","MIL",73,2579,508,1223,301,207,189,68,44,78,129
"Giannis Antetokounmpo","MIL",73,2567,476,1242,186,290,115,46,25,102,188
"Michael Porter Jr.","DEN",81,2565,122,280,86,36,57,22,7,14,22
"Shai Gilgeous-Alexander","OKC",75,2553,465,1175,220,245,145,53,22,80,165
"Grayson Allen","PHX",75,2513,227,546,135,92,71,44,20,37,55
"LeBron James","LAL",71,2504,589,1364,403,186,314,72,17,67,119
"Paul George","LAC",74,2502,262,619,167,95,101,55,11,41,54
"Dennis Schroder","BKN",80,2486,488,1168,296,192,200,76,20,61,131
"D'Angelo Russell","LAL",76,2484,482,1111,335,147,231,74,30,40,107
"James Harden","LAC",72,2470,614,1429,413,201,259,113,41,77,124
"Devin Booker","PHX",68,2447,472,1168,248,224,151,69,28,70,154
"Jarrett Allen","CLE",77,2442,210,499,131,79,78,31,22,13,66
"Jabari Smith Jr.","HOU",76,2424,121,295,68,53,53,12,3,15,38
"Stephen Curry","GSW",74,2421,379,872,265,114,183,64,18,31,83
"Bam Adebayo","MIA",71,2416,278,678,156,122,87,56,13,24,98
"Chet Holmgren","OKC",82,2413,200,474,126,74,75,31,20,20,54
"Brook Lopez","MIL",79,2411,127,306,75,52,50,13,12,12,40
"Kentavious Caldwell-Pope","DEN",76,2402,183,420,129,54,72,46,11,22,32
"Bogdan Bogdanovic","ATL",79,2401,247,585,156,91,112,39,5,45,46
"Brandon Miller","CHA",74,2383,175,430,95,80,70,18,7,22,58
"Derrick White","BOS",73,2381,377,910,221,156,148,51,22,42,114
"Harrison Barnes","SAC",82,2381,99,238,59,40,28,27,4,15,25
"Tobias Harris","PHI",70,2368,217,534,117,100,72,31,14,42,58
"Donte DiVincenzo","NYK",81,2360,216,504,144,72,96,42,6,26,46
"Jordan Poole","WAS",78,2346,343,811,218,125,149,59,10,35,90
"Jaylen Brown","BOS",70,2343,249,619,128,121,94,30,4,22,99
"Malik Beasley","MIL",79,2337,108,264,60,48,33,15,12,11,37
"Franz Wagner","ORL",72,2337,269,635,172,97,143,22,7,34,63
"Kawhi Leonard","LAC",68,2330,244,607,125,119,75,36,14,41,78
"Herbert Jones","NOP",76,2321,199,469,128,71,78,37,13,19,52
"Aaron Gordon","DEN",73,2297,259,630,147,112,90,37,20,29,83
"Klay Thompson","GSW",77,2284,176,404,124,52,88,33,3,12,40
"Kyle Kuzma","WAS",70,2281,296,702,186,110,131,42,13,53,57
"Jrue Holiday","BOS",69,2263,333,822,177,156,116,44,17,38,118
"Deni Avdija","WAS",75,2257,286,672,186,100,141,38,7,27,73
"Devin Vassell","SAS",68,2248,277,667,164,113,105,45,14,45,68
"Luguentz Dort","OKC",79,2246,113,275,64,49,39,21,4,14,35
"Max Strus","CLE",70,2239,283,656,193,90,126,56,11,25,65
"Dillon Brooks","HOU",72,2227,119,285,72,47,40,23,9,12,35
"Tyrese Haliburton","IND",69,2224,752,1782,474,278,318,111,45,76,202
"Jalen Williams","OKC",71,2223,322,783,183,139,125,42,16,35,104
"P.J. Washington","DAL",73,2221,141,336,87,54,50,23,14,13,41
"Jaden Ivey","DET",77,2218,296,705,183,113,117,56,10,36,77
"Ayo Dosunmu","CHI",76,2212,242,573,153,89,76,49,28,28,61
"Zion Williamson","NOP",70,2207,352,924,132,220,71,45,16,74,146
"Mike Conley","MIN",76,2193,449,1049,298,151,191,88,19,38,113
"Jeremy Sochan","SAS",74,2193,249,603,144,105,85,37,22,26,79
"Buddy Hield","PHI",84,2160,236,553,155,81,101,43,11,25,56
"CJ McCollum","NOP",66,2159,305,705,210,95,119,70,21,35,60
"Spencer Dinwiddie","LAL",76,2152,356,882,186,170,130,45,11,70,100
"Tre Jones","SAS",77,2138,478,1164,270,208,169,79,22,63,145
"Grant Williams","CHA",76,2130,174,424,98,76,66,14,18,22,54
"Jaren Jackson Jr.","MEM",66,2124,154,406,56,98,35,17,4,18,80
"Tim Hardaway Jr.","DAL",79,2120,139,336,81,58,60,14,7,25,33
"Nic Claxton","BKN",71,2116,147,349,92,55,44,27,21,11,44
"Jaime Jaquez Jr.","MIA",75,2113,195,469,116,79,72,34,10,29,50
"Taurean Prince","LAL",78,2108,119,277,80,39,48,24,8,17,22
"Victor Wembanyama","SAS",71,2106,274,620,202,72,153,34,15,23,49
"Jaden McDaniels","MIN",72,2105,101,244,59,42,34,20,5,15,27
"Brandon Ingram","NOP",64,2103,363,874,215,148,148,52,15,69,79
"Scottie Barnes","TOR",60,2094,363,863,226,137,175,43,8,51,86
"Jusuf Nurkic","PHX",76,2078,301,690,213,88,105,60,48,24,64
"Myles Turner","IND",77,2077,100,233,67,33,36,20,11,11,22
"Cam Thomas","BKN",66,2075,192,458,118,74,88,29,1,31,43
"Collin Sexton","UTA",78,2075,383,931,218,165,135,74,9,49,116
"Cade Cunningham","DET",62,2074,464,1076,316,148,225,76,15,50,98
"Corey Kispert","WAS",80,2067,156,371,97,59,55,31,11,11,48
"Saddiq Bey","ATL",63,2062,92,222,54,38,29,21,4,15,23
"Kelly Oubre Jr.","PHI",68,2055,101,248,55,46,33,15,7,15,31
"Alperen Sengun","HOU",63,2046,312,759,177,135,108,41,28,27,108
"Jimmy Butler","MIA",60,2042,298,768,126,172,71,46,9,71,101
"Terry Rozier","MIA",61,2040,342,825,201,141,106,78,17,41,100
"Alex Caruso","CHI",71,2040,247,558,183,64,110,55,18,16,48
"Keldon Johnson","SAS",69,2038,195,464,121,74,75,29,17,22,52
"Kyrie Irving","DAL",58,2030,299,719,178,121,128,36,14,38,83
"Karl-Anthony Towns","MIN",62,2026,189,434,133,56,104,20,9,28,28
"Jalen Suggs","ORL",75,2025,205,491,124,81,103,15,6,33,48
"Keyonte George","UTA",75,2023,332,794,202,130,114,75,13,49,81
"Josh Giddey","OKC",80,2012,386,915,243,143,189,40,14,36,107
"Bobby Portis","MIL",82,2008,104,263,49,55,34,7,8,20,35
"Aaron Nesmith","IND",72,1995,108,251,73,35,41,24,8,12,23
"Gary Trent Jr.","TOR",71,1994,119,275,82,37,45,31,6,7,30
"Norman Powell","LAC",76,1990,82,194,52,30,32,17,3,17,13
"Immanuel Quickley","TOR",68,1985,331,780,213,118,140,62,11,37,81
"Brandin Podziemski","GSW",74,1968,273,660,159,114,82,53,24,23,91
"Naz Reid","MIN",81,1964,106,260,58,48,34,19,5,21,27
