"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Mikal Bridges","PHX",82,2854,185,437,118,67,62,41,15,34,33
"Miles Bridges","CHA",80,2837,300,754,146,154,110,26,10,59,95
"DeMar DeRozan","CHI",76,2743,374,948,174,200,107,38,29,67,133
"Jayson Tatum","BOS",76,2731,334,833,169,165,112,39,18,58,107
"Saddiq Bey","DET",82,2704,233,561,138,95,98,24,16,41,54
"Tyrese Haliburton","IND",77,2694,628,1479,405,223,251,110,44,73,150
"Russell Westbrook","LAL",78,2678,550,1303,347,203,257,43,47,57,146
"Trae Young","ATL",76,2652,737,1709,502,235,387,79,36,97,138
"Tyrese Maxey","PHI",75,2650,321,774,189,132,102,52,35,38,94
"Dorian Finney-Smith","DAL",80,2644,150,364,86,64,56,20,10,24,40
"Scottie Barnes","TOR",74,2617,256,622,146,110,88,37,21,31,79
"Harrison Barnes","SAC",77,2587,186,451,107,79,64,39,4,25,54
"Pascal Siakam","TOR",68,2578,360,891,189,171,122,50,17,44,127
"Julius Randle","NYK",72,2544,370,976,134,236,78,35,21,62,174
"Tobias Harris","PHI",73,2543,252,597,159,93,105,37,17,35,58
"Jalen Brunson","DAL",79,2524,377,945,186,191,126,37,23,59,132
"Buddy Hield","IND",81,2499,229,548,139,90,94,38,7,33,57
"Nikola Jokic","DEN",74,2476,584,1356,396,188,301,51,44,73,115
"Karl-Anthony Towns","MIN",74,2476,269,674,133,136,98,27,8,42,94
"Anthony Edwards","MIN",72,2466,275,703,122,153,88,27,7,54,99
"Fred VanVleet","TOR",65,2462,434,1022,280,154,166,90,24,59,95
"Terry Rozier","CHA",73,2458,326,795,183,143,139,37,7,48,95
"Gary Trent Jr.","TOR",70,2448,141,351,72,69,44,21,7,22,47
"Darius Garland","CLE",68,2430,583,1345,404,179,308,77,19,56,123
"Franz Wagner","ORL",79,2429,231,551,142,89,100,27,15,29,60
"LaMelo Ball","CHA",75,2422,571,1338,375,196,298,60,17,61,135
"James Harden","PHI",65,2420,667,1536,465,202,270,115,80,66,136
"Nikola Vucevic","CHI",73,2418,236,587,121,115,70,22,29,47,68
"RJ Barrett","NYK",70,2417,208,496,128,80,97,16,15,31,49
"Royce O'Neale","UTA",77,2406,191,480,93,98,64,26,3,28,70
"Keldon Johnson","SAS",75,2392,158,390,84,74,48,23,13,24,50
"Aaron Gordon","DEN",75,2376,188,436,128,60,85,32,11,20,40
"Dejounte Murray","SAS",68,2366,627,1471,410,217,236,141,33,59,158
"Evan Fournier","NYK",80,2358,171,414,99,72,71,18,10,18,54
"Patty Mills","BKN",81,2346,183,414,135,48,74,37,24,20,28
"Devin Booker","PHX",68,2345,329,788,199,130,108,76,15,61,69
"Reggie Jackson","LAC",75,2337,359,859,218,141,115,76,27,36,105
"Herbert Jones","NOP",78,2335,167,394,107,60,65,30,12,25,35
"Evan Mobley","CLE",69,2331,174,418,104,70,83,16,5,18,52
"Andrew Wiggins","GSW",73,2330,161,413,70,91,43,18,9,20,71
"Kentavious Caldwell-Pope","WAS",77,2329,145,327,108,37,65,29,14,16,21
"Zach LaVine","CHI",67,2328,303,702,207,96,106,74,27,32,64
"Alec Burks","NYK",81,2318,239,579,138,101,98,28,12,24,77
"Terance Mann","LAC",81,2317,209,532,95,114,56,27,12,24,90
"Luka Doncic","DAL",65,2301,568,1381,323,245,253,50,20,98,147
"Joel Embiid","PHI",68,2297,284,699,153,131,101,24,28,41,90
"Marcus Smart","BOS",71,2296,417,977,274,143,204,48,22,41,102
"Jordan Poole","GSW",76,2283,304,723,189,115,117,55,17,29,86
"Will Barton","DEN",71,2276,276,646,182,94,116,55,11,31,63
"Desmond Bane","MEM",76,2266,208,518,106,102,70,32,4,34,68
"Donovan Mitchell","UTA",67,2266,358,892,182,176,130,49,3,72,104
"Jonas Valanciunas","NOP",74,2240,190,435,135,55,80,32,23,8,47
"Monte Morris","DEN",75,2239,333,787,212,121,99,87,26,37,84
"Jaylen Brown","BOS",66,2220,231,566,127,104,86,33,8,42,62
"Stephen Curry","GSW",64,2211,404,945,267,137,192,60,15,46,91
"Jrue Holiday","MIL",67,2208,457,1110,261,196,184,51,26,59,137
"Giannis Antetokounmpo","MIL",67,2204,388,1020,144,244,90,40,14,87,157
"Kyle Kuzma","WAS",66,2204,233,554,145,88,111,21,13,32,56
"Derrick White","BOS",75,2199,366,850,248,118,150,86,12,37,81
"Kevin Huerter","ATL",74,2188,203,484,125,78,66,45,14,29,49
