"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Lauri Markkanen","UTA",66,2273,123,319,50,73,32,14,4,20,53
"Luguentz Dort","OKC",74,2272,154,365,97,57,67,21,9,9,48
"Max Strus","MIA",80,2272,171,397,116,55,72,35,9,20,35
"Nic Claxton","BKN",76,2271,144,350,82,62,29,31,22,20,42
"Jerami Grant","POR",63,2246,150,371,79,71,49,23,7,14,57
"Kyrie Irving","DAL",60,2240,331,808,185,146,124,46,15,45,101
"Kyle Kuzma","WAS",64,2239,239,574,143,96,106,25,12,43,53
"Caris LeVert","CLE",74,2237,287,667,194,93,139,47,8,30,63
"Bennedict Mathurin","IND",78,2222,116,288,60,56,41,14,5,13,43
"Terry Rozier","CHA",63,2221,319,756,201,118,129,54,18,45,73
"Jarrett Allen","CLE",68,2220,113,271,68,45,48,13,7,15,30
"Dillon Brooks","MEM",73,2214,189,451,116,73,71,42,3,17,56
"Kevin Huerter","SAC",75,2203,221,516,147,74,96,37,14,25,49
"Jrue Holiday","MIL",67,2183,495,1209,276,219,208,54,14,68,151
"Alperen Sengun","HOU",75,2171,291,672,201,90,138,38,25,22,68
"Anfernee Simons","POR",62,2171,253,595,164,89,112,33,19,32,57
"Ivica Zubac","LAC",76,2170,77,184,47,30,18,17,12,8,22
"Killian Hayes","DET",76,2154,470,1147,263,207,163,78,22,68,139
"Tim Hardaway Jr.","DAL",71,2152,129,330,57,72,42,11,4,35,37
"De'Anthony Melton","PHI",77,2150,197,492,99,98,72,16,11,40,58
"Rudy Gobert","MIN",70,2148,87,213,48,39,19,19,10,12,27
"Jimmy Butler","MIA",64,2138,340,835,185,155,105,61,19,60,95
"James Harden","PHI",58,2135,618,1429,425,193,261,102,62,55,138
"Jamal Murray","DEN",65,2133,400,923,277,123,160,94,23,39,84
"John Collins","ATL",71,2130,85,214,41,44,27,10,4,7,37
"Saddiq Bey","ATL",77,2129,118,282,72,46,49,21,2,15,31
"Russell Westbrook","LAC",73,2126,551,1252,401,150,289,79,33,43,107
"De'Andre Hunter","ATL",67,2126,94,225,57,37,33,16,8,11,26
"Quentin Grimes","NYK",71,2121,150,351,99,51,72,20,7,21,30
"Kristaps Porzingis","WAS",65,2120,174,419,103,71,78,17,8,22,49
"Gary Trent Jr.","TOR",66,2118,106,254,64,42,41,19,4,12,30
"Damian Lillard","POR",58,2107,425,1009,266,159,204,51,11,57,102
"Ayo Dosunmu","CHI",80,2098,206,481,137,69,77,35,25,21,48
"Corey Kispert","WAS",74,2093,87,201,60,27,31,19,10,7,20
"Malik Beasley","LAL",81,2093,124,302,70,54,47,18,5,20,34
"Caleb Martin","MIA",71,2078,117,295,56,61,32,19,5,14,47
"Andrew Nembhard","IND",75,2074,341,807,216,125,155,50,11,31,94
"Keldon Johnson","SAS",63,2063,183,442,107,76,63,39,5,26,50
"Aaron Gordon","DEN",68,2055,203,474,135,68,85,37,13,20,48
"Mason Plumlee","LAC",79,2053,245,574,161,84,102,37,22,28,56
"Grant Williams","BOS",79,2045,131,333,60,71,39,11,10,26,45
"Deandre Ayton","PHX",67,2036,115,279,66,49,31,22,13,18,31
"Mike Conley","MIN",67,2028,450,1090,260,190,170,75,15,45,145
"Kevin Porter Jr.","HOU",59,2024,338,809,205,133,145,47,13,30,103
"Giannis Antetokounmpo","MIL",63,2024,359,927,150,209,92,37,21,57,152
"Deni Avdija","WAS",76,2020,211,502,131,80,77,41,13,24,56
"Tyrese Maxey","PHI",60,2016,212,506,130,82,82,35,13,32,50
"Dorian Finney-Smith","BKN",66,2009,100,250,50,50,31,13,6,14,36
"Jordan Clarkson","UTA",61,1988,270,662,148,122,101,38,9,47,75
"Dennis Schroder","LAL",66,1986,298,717,177,121,108,45,24,39,82
"Tre Jones","SAS",68,1984,448,1076,268,180,178,74,16,51,129
"Grayson Allen","MIL",72,1972,163,409,80,83,50,18,12,25,58
"Jonas Valanciunas","NOP",79,1968,140,321,99,41,64,22,13,4,37
"Eric Gordon","LAC",69,1965,183,429,120,63,74,35,11,20,43
"Kevon Looney","GSW",82,1958,207,526,95,112,42,30,23,15,97
"Marcus Smart","BOS",61,1957,382,914,232,150,171,44,17,38,112
"Kyle Anderson","MIN",69,1957,335,780,225,110,177,39,9,32,78
"LeBron James","LAL",55,1954,375,870,255,120,185,55,15,56,64
"Herbert Jones","NOP",66,1951,162,386,100,62,52,31,17,13,49
"Ja Morant","MEM",61,1948,493,1170,309,184,229,71,9,70,114
"Torrey Craig","PHX",79,1948,117,287,64,53,27,26,11,25,28
"Kelly Olynyk","UTA",68,1942,252,606,150,102,104,38,8,31,71
"Stephen Curry","GSW",56,1941,352,838,218,134,131,69,18,33,101
"Tyus Jones","MEM",80,1940,417,1009,242,175,159,70,13,59,116
"Paul George","LAC",56,1939,288,714,150,138,91,38,21,38,100
"Al Horford","BOS",63,1921,189,466,101,88,65,27,9,28,60
"P.J. Tucker","PHI",75,1920,60,153,27,33,20,3,4,10,23
"Jalen McDaniels","PHI",80,1913,130,312,78,52,42,27,9,13,39
"Jakob Poeltl","TOR",72,1906,197,446,145,52,83,32,30,13,39
"Anthony Davis","LAL",56,1905,148,355,89,59,67,13,9,11,48
"Donte DiVincenzo","GSW",72,1894,252,612,144,108,92,41,11,35,73
"Bojan Bogdanovic","DET",59,1893,152,377,79,73,47,27,5,26,47
"Chris Paul","PHX",59,1889,524,1233,339,185,162,122,55,57,128
"Tyrese Haliburton","IND",56,1883,585,1419,336,249,244,72,20,75,174
"Jarred Vanderbilt","LAL",78,1880,184,462,90,94,60,20,10,27,67
"Terance Mann","LAC",81,1872,184,447,105,79,62,32,11,25,54
"Troy Brown Jr.","LAL",76,1860,95,226,59,36,42,9,8,5,31
"Onyeka Okongwu","ATL",80,1849,81,204,39,42,19,11,9,10,32
"Austin Reaves","LAL",64,1843,215,520,125,90,97,19,9,29,61
"Desmond Bane","MEM",58,1842,254,615,147,107,89,55,3,30,77
"Devin Booker","PHX",53,1835,293,715,164,129,92,50,22,60,69
"Myles Turner","IND",62,1825,89,214,53,36,33,15,5,5,31
"Marcus Morris Sr.","LAC",65,1825,114,283,59,55,36,15,8,29,26
"Bobby Portis","MIL",70,1819,105,275,40,65,26,6,8,18,47
"Patrick Beverley","CHI",67,1817,194,453,129,65,78,23,28,24,41
"Aaron Nesmith","IND",73,1816,98,238,56,42,38,14,4,11,31
"Jevon Carter","MIL",81,1812,197,492,99,98,48,37,14,25,73
"Michael Porter Jr.","DEN",62,1798,65,156,39,26,30,7,2,9,17
"Naji Marshall","NOP",77,1792,189,445,122,67,87,23,12,15,52
"Jaren Jackson Jr.","MEM",63,1787,60,138,42,18,27,12,3,2,16
"Shaedon Sharpe","POR",80,1779,94,229,53,41,32,15,6,6,35
"Markelle Fultz","ORL",60,1778,341,835,188,153,132,32,24,45,108
"Tari Eason","HOU",82,1767,88,213,51,37,32,18,1,7,30
"Gabe Vincent","MIA",68,1759,167,403,98,69,48,43,7,25,44
"Kawhi Leonard","LAC",52,1748,204,515,97,107,56,32,9,40,67
"Malcolm Brogdon","BOS",67,1744,248,616,128,120,91,29,8,40,80
"Christian Wood","DAL",67,1738,121,290,73,48,50,17,6,18,30
"Coby White","CHI",74,1730,204,479,133,71,91,29,13,32,39
"Clint Capela","ATL",65,1730,58,137,37,21,23,9,5,9,12
"Malik Monk","SAC",77,1719,298,694,200,98,157,34,9,44,54
"Kyle Lowry","MIA",55,1718,281,656,187,94,112,59,16,32,62
"Nicolas Batum","LAC",78,1709,121,302,61,60,32,19,10,11,49
"Walker Kessler","UTA",74,1703,69,180,27,42,13,12,2,12,30
"Monte Morris","WAS",62,1696,326,769,209,117,128,55,26,22,95
"Wendell Carter Jr.","ORL",57,1690,132,301,95,37,51,27,17,8,29
"Santi Aldama","MEM",77,1682,97,231,60,37,38,17,5,11,26
"Bradley Beal","WAS",50,1673,271,651,162,109,104,49,9,41,68
"Kevin Durant","PHX",47,1672,235,554,151,84,101,34,16,20,64
"Jalen Duren","DET",67,1670,75,174,51,24,31,13,7,8,16
"Reggie Jackson","DEN",68,1657,233,566,133,100,92,24,17,28,72
"Isaac Okoro","CLE",76,1652,87,199,62,25,42,16,4,6,19
"Isaiah Hartenstein","NYK",82,1628,102,242,64,38,50,12,2,12,26
"Daniel Gafford","WAS",78,1604,84,201,51,33,21,21,9,7,26
"Mitchell Robinson","NYK",59,1589,53,133,26,27,13,12,1,5,22
"Drew Eubanks","POR",78,1584,103,262,47,56,31,11,5,14,42
"Gordon Hayward","CHA",50,1577,206,495,123,83,92,21,10,27,56
"Alex Caruso","CHI",67,1575,193,449,130,63,77,33,20,23,40
"Shake Milton","PHI",76,1567,240,569,151,89,99,40,12,32,57
"Norman Powell","LAC",60,1567,109,271,56,53,37,14,5,23,30
"Cole Anthony","ORL",60,1552,235,558,147,88,104,28,15,22,66
"Malaki Branham","SAS",66,1550,127,288,93,34,54,36,3,9,25
"Cedi Osman","CLE",77,1548,115,276,69,46,49,17,3,17,29
"Kelly Oubre Jr.","CHA",48,1548,54,124,38,16,28,8,2,3,13
"Josh Green","DAL",60,1539,103,262,47,56,32,9,6,29,27
"Brandon Ingram","NOP",45,1538,262,654,132,130,100,29,3,43,87
"Josh Richardson","NOP",65,1530,174,411,111,63,63,40,8,16,47
"Joe Harris","BKN",74,1527,101,242,61,40,35,18,8,17,23
"T.J. McConnell","IND",75,1526,397,960,231,166,177,40,14,56,110
"Chris Boucher","TOR",76,1523,29,65,22,7,16,3,3,2,5
"Georges Niang","PHI",78,1512,77,186,45,32,33,11,1,12,20
"Bogdan Bogdanovic","ATL",54,1508,150,343,107,43,68,28,11,27,16
"Damion Lee","PHX",74,1506,99,239,58,41,29,24,5,14,27
"Bol Bol","ORL",70,1505,69,164,43,26,34,4,5,10,16
"John Konchar","MEM",72,1494,100,247,53,47,39,12,2,16,31
"Rui Hachimura","LAL",63,1466,58,139,35,23,24,5,6,4,19
"Dwight Powell","DAL",76,1458,69,169,38,31,19,9,10,10,21
"Jeremy Sochan","SAS",56,1458,142,340,86,56,49,23,14,17,39
"Keita Bates-Diop","SAS",67,1452,103,260,49,54,28,16,5,14,40
"Davion Mitchell","SAC",80,1447,185,463,92,93,62,23,7,29,64
"Pat Connaughton","MIL",61,1443,77,184,47,30,22,16,9,8,22
"Zach Collins","SAS",63,1441,180,411,129,51,89,27,13,8,43
"Isaiah Stewart","DET",50,1414,70,170,40,30,25,10,5,5,25
"AJ Griffin","ATL",72,1401,73,174,45,28,21,20,4,4,24
"Isaiah Joe","OKC",73,1395,88,216,48,40,35,11,2,14,26
"Jonathan Kuminga","GSW",67,1394,125,328,47,78,25,15,7,26,52
"Jusuf Nurkic","POR",52,1391,149,364,83,66,55,15,13,16,50
"Dennis Smith Jr.","CHA",54,1390,261,614,169,92,119,37,13,35,57
"Larry Nance Jr.","NOP",65,1381,119,281,76,43,39,22,15,9,34
"Josh Okogie","PHX",72,1350,105,253,62,43,35,22,5,16,27
"Devonte' Graham","SAS",73,1338,196,444,144,52,96,39,9,13,39
"Terrence Ross","PHX",63,1330,95,228,57,38,37,14,6,17,21
"Luke Kennard","MEM",59,1315,91,227,46,45,30,14,2,12,33
"Doug McDermott","SAS",64,1314,91,215,58,33,30,21,7,13,20
"Talen Horton-Tucker","UTA",65,1313,246,584,154,92,93,46,15,29,63
"Jose Alvarado","NOP",61,1310,186,430,128,58,80,39,9,14,44
"Aaron Wiggins","OKC",70,1297,80,199,41,39,32,7,2,13,26
"Lonnie Walker IV","LAL",56,1297,64,150,42,22,27,6,9,5,17
"Sam Hauser","BOS",80,1290,71,175,38,33,23,13,2,9,24
"Jalen Smith","IND",68,1279,66,159,39,27,23,13,3,5,22
"LaMelo Ball","CHA",36,1268,304,686,226,78,160,56,10,32,46
"David Roddy","MEM",70,1258,59,140,37,22,30,5,2,9,13
"Jaylen Nowell","MIN",65,1252,132,311,85,47,57,22,6,18,29
"Naz Reid","MIN",68,1251,77,186,45,32,27,17,1,11,21
"Trey Lyles","SAC",74,1247,66,160,38,28,27,9,2,12,16
"Jalen Suggs","ORL",53,1246,155,366,99,56,76,12,11,16,40
"Kevin Love","MIA",62,1240,116,258,90,26,58,28,4,8,18
"Cory Joseph","DET",62,1227,217,535,116,101,63,36,17,29,72
"Delon Wright","WAS",50,1221,194,467,115,79,65,33,17,22,57
"Nick Richards","CHA",65,1218,38,89,25,13,15,4,6,3,10
"Seth Curry","BKN",61,1211,99,244,53,46,21,19,13,10,36
"Ochai Agbaji","UTA",59,1209,67,159,42,25,23,15,4,4,21
"Kenrich Williams","OKC",53,1206,105,255,60,45,41,15,4,11,34
"Matisse Thybulle","POR",71,1200,53,133,26,27,19,6,1,5,22
"Cameron Johnson","BKN",42,1200,78,187,47,31,28,12,7,10,21
"Isaiah Livers","DET",52,1199,41,99,24,17,10,10,4,8,9
"Anthony Lamb","GSW",62,1195,96,249,39,57,20,14,5,15,42
"Taurean Prince","MIN",54,1192,84,196,56,28,42,13,1,11,17
"Andrew Wiggins","GSW",37,1190,85,219,36,49,22,14,0,14,35
"Jordan Nwora","IND",62,1188,88,207,57,31,44,9,4,12,19
"Gary Harris","ORL",48,1184,59,145,32,27,21,6,5,9,18
"Tre Mann","OKC",67,1183,120,297,63,57,43,18,2,10,47
"Trendon Watford","POR",62,1182,130,311,79,51,58,13,8,14,37
"Christian Braun","DEN",76,1181,59,145,32,27,18,12,2,11,16
"Xavier Tillman","MEM",61,1180,96,227,61,35,38,17,6,10,25
"Devin Vassell","SAS",38,1178,136,335,73,63,43,27,3,16,47
"Collin Sexton","UTA",48,1145,138,334,80,58,50,23,7,19,39
"Precious Achiuwa","TOR",55,1140,50,128,22,28,15,5,2,3,25
"Steven Adams","MEM",42,1133,97,223,68,29,42,20,6,7,22
"Alec Burks","DET",51,1122,114,270,72,42,46,19,7,17,25
"Lamar Stevens","CLE",62,1120,33,82,17,16,8,8,1,2,14
"Moritz Wagner","ORL",57,1109,84,197,55,29,29,17,9,5,24
"Victor Oladipo","MIA",42,1106,146,345,93,53,50,39,4,23,30
"Jordan Goodwin","WAS",62,1105,168,399,105,63,57,35,13,19,44
"Ben Simmons","BKN",42,1105,256,630,138,118,69,33,36,23,95
"Jeff Green","DEN",56,1091,69,161,46,23,29,13,4,6,17
"Brandon Clarke","MEM",56,1090,72,171,45,27,27,12,6,6,21
"Bones Hyland","LAC",56,1086,172,400,116,56,87,24,5,18,38
"Oshae Brissett","IND",65,1083,44,109,23,21,15,5,3,7,14
"Thomas Bryant","DEN",59,1081,31,77,16,15,11,3,2,3,12
"Obi Toppin","NYK",67,1050,66,160,38,28,26,12,0,12,16
"Joe Ingles","MIL",46,1044,150,348,102,48,55,33,14,16,32
"Isaiah Jackson","IND",63,1042,51,121,32,19,17,8,7,5,14
"Dyson Daniels","NOP",59,1042,134,314,88,46,62,20,6,17,29
"Jalen Johnson","ATL",70,1042,83,192,57,26,35,15,7,9,17
"Wenyen Gabriel","LAL",68,1024,36,91,17,19,13,4,0,3,16
"Austin Rivers","MIN",52,1016,75,184,41,34,26,11,4,12,22
"Hamidou Diallo","DET",56,996,55,133,32,23,18,11,3,9,14
"Will Barton","TOR",56,993,112,263,73,39,43,22,8,14,25
"Marvin Bagley III","DET",42,990,36,94,14,22,7,5,2,3,19
"Cam Reddish","POR",40,990,57,136,35,22,25,8,2,9,13
"Jock Landale","PHX",69,979,68,171,33,35,13,7,13,6,29
"Nassir Little","POR",54,976,50,122,28,22,18,6,4,4,18
"Usman Garuba","HOU",75,970,64,152,40,24,27,11,2,8,16
"Haywood Highsmith","MIA",54,969,43,111,18,25,11,5,2,14,11
"JT Thor","CHA",69,969,36,85,23,13,13,8,2,5,8
"Cameron Payne","PHX",48,968,214,494,148,66,74,54,20,24,42
"Kendrick Nunn","WAS",70,963,90,208,62,28,47,12,3,4,24
"Karl-Anthony Towns","MIN",29,957,140,318,102,38,72,21,9,13,25
"Zion Williamson","NOP",29,956,133,344,55,78,34,11,10,23,55
"Kevin Knox II","POR",63,952,33,78,21,12,14,3,4,5,7
"Cam Thomas","BKN",57,948,78,187,47,31,32,12,3,11,20
"Mike Muscala","BOS",63,945,50,121,29,21,20,7,2,5,16
"Maxi Kleber","DAL",37,930,52,138,18,34,8,6,4,15,19
"Yuta Watanabe","BKN",58,928,48,117,27,21,17,8,2,7,14
"Ish Wainright","PHX",60,915,53,133,26,27,14,8,4,14,13
"Daishen Nix","HOU",57,914,132,304,92,40,72,16,4,6,34
"Jaylin Williams","OKC",49,914,76,185,43,33,26,10,7,5,28
"Chris Duarte","IND",46,897,64,151,41,23,31,8,2,9,14
"Derrick Jones Jr.","CHI",64,893,34,85,17,17,13,3,1,7,10
"Dean Wade","CLE",44,891,37,96,15,22,10,5,0,5,17
"Vlatko Cancar","DEN",60,889,80,193,47,33,29,10,8,11,22
"Nickeil Alexander-Walker","MIN",59,884,108,262,62,46,40,19,3,18,28
"Bismack Biyombo","PHX",61,874,56,126,42,14,15,15,12,5,9
"Goran Dragic","MIL",58,870,151,344,109,42,76,19,14,15,27
"James Wiseman","DET",45,867,30,72,18,12,8,5,5,1,11
"Theo Maledon","CHA",44,854,152,359,97,55,76,16,5,15,40
"Andre Drummond","CHI",67,849,33,75,24,9,15,6,3,3,6
"Aaron Holiday","ATL",63,845,89,214,53,36,31,15,7,7,29
"Romeo Langford","SAS",43,844,50,118,32,18,18,11,3,8,10
"Terence Davis","SAC",64,841,67,153,48,19,38,7,3,8,11
"George Hill","IND",46,833,110,262,68,42,44,13,11,11,31
"Mark Williams","CHA",43,828,18,43,11,7,5,2,4,3,4
"Robert Williams III","BOS",35,824,50,128,22,28,13,7,2,2,26
"Wesley Matthews","MIL",52,820,34,86,16,18,11,0,5,6,12
"Moses Moody","GSW",63,817,51,127,26,25,17,9,0,9,16
"Ty Jerome","GSW",45,816,135,340,65,70,36,17,12,20,50
"Rudy Gay","UTA",56,816,57,140,31,26,23,5,3,7,19
"Jeremiah Robinson-Earl","OKC",43,814,43,104,25,18,11,8,6,5,13
"Jericho Sims","NYK",52,812,25,60,15,10,8,5,2,4,6
"Caleb Houstan","ORL",51,812,30,78,12,18,9,1,2,7,11
"Danuel House Jr.","PHI",56,807,44,104,28,16,19,5,4,4,12
"Landry Shamet","PHX",40,807,93,211,68,25,33,23,12,9,16
"Dario Saric","OKC",57,806,74,174,48,26,26,21,1,11,15
"Luke Kornet","BOS",69,804,53,136,23,30,11,8,4,8,22
"Christian Koloko","TOR",58,802,31,72,21,10,9,3,9,2,8
"Khris Middleton","MIL",33,801,163,385,104,59,72,28,4,21,38
"JaMychal Green","GSW",57,797,51,130,23,28,12,8,3,5,23
"Thaddeus Young","TOR",54,795,75,168,57,18,45,9,3,2,16
"Bryce McGowens","CHA",46,787,54,122,40,14,30,6,4,3,11
"Josh Christopher","HOU",64,786,73,173,46,27,32,11,3,9,18
"Robert Covington","LAC",48,779,57,137,34,23,26,5,3,4,19
"Justise Winslow","POR",29,776,98,225,69,29,46,16,7,5,24
"Mo Bamba","LAL",49,768,46,111,27,19,10,11,6,7,12
"Simone Fontecchio","UTA",52,766,42,103,23,19,16,7,0,9,10
"Miles McBride","NYK",64,760,72,178,38,34,27,9,2,10,24
"Paul Reed","PHI",69,755,27,65,16,11,11,3,2,2,9
"John Wall","LAC",34,755,178,435,99,79,67,19,13,24,55
"R.J. Hampton","DET",47,750,54,135,27,27,22,4,1,11,16
"Edmond Sumner","BKN",53,736,68,155,49,19,30,12,7,6,13
"Zeke Nnaji","DEN",53,728,18,45,9,9,4,3,2,3,6
"Jaden Hardy","DAL",48,708,65,163,32,33,25,6,1,9,24
"Justin Holiday","DAL",46,706,41,99,24,17,13,7,4,4,13
"Aleksej Pokusevski","OKC",34,701,64,151,41,23,28,6,7,9,14
"MarJon Beauchamp","MIL",52,700,35,91,14,21,11,3,0,7,14
"Juan Toscano-Anderson","UTA",52,700,65,159,36,29,20,13,3,11,18
"Malachi Flynn","TOR",53,691,70,161,49,21,32,12,5,11,10
"Duncan Robinson","MIA",42,690,46,106,32,14,18,13,1,2,12
"Chimezie Metu","SAC",66,689,40,101,19,21,15,4,0,7,14
"T.J. Warren","PHX",42,687,40,95,25,15,14,9,2,8,7
"Garrison Mathews","ATL",54,686,26,63,15,11,9,5,1,3,8
"Montrezl Harrell","PHI",57,681,33,80,19,14,13,6,0,6,8
"Jordan McLaughlin","MIN",43,678,148,342,102,46,81,16,5,13,33
"Jae'Sean Tate","HOU",31,678,84,214,38,46,26,8,4,6,40
"Blake Wesley","SAS",37,669,99,249,48,51,23,16,9,11,40
"Sandro Mamukelashvili","SAS",43,661,62,150,36,26,23,9,4,2,24
"Eugene Omoruyi","DET",40,645,28,63,21,7,14,6,1,0,7
"Payton Pritchard","BOS",48,643,64,162,30,34,21,7,2,9,25
"Amir Coffey","LAC",50,625,53,127,32,21,20,11,1,5,16
"Anthony Gill","WAS",59,625,34,81,21,13,14,5,2,1,12
"Jabari Walker","POR",56,619,34,84,18,16,14,4,0,5,11
"Darius Bazley","PHX",43,616,38,96,18,20,9,6,3,8,12
"Juancho Hernangomez","TOR",42,614,25,66,9,16,7,1,1,7,9
"Jaxson Hayes","NOP",47,610,34,92,10,24,4,3,3,4,20
"Frank Ntilikina","DAL",47,607,58,150,24,34,15,9,0,13,21
"DeAndre Jordan","DEN",39,586,34,81,21,13,12,4,5,3,10
"Blake Griffin","BOS",41,569,61,157,26,35,8,10,8,12,23
"Ousmane Dieng","OKC",39,569,46,107,31,15,22,7,2,4,11
"Kris Dunn","UTA",22,568,124,300,72,52,45,24,3,18,34
"Patty Mills","BKN",40,567,56,130,38,18,28,5,5,4,14
"Ricky Rubio","CLE",33,566,115,281,64,51,40,23,1,16,35
"Ziaire Williams","MEM",37,561,35,80,25,10,14,9,2,5,5
"Day'Ron Sharpe","BKN",48,553,37,85,26,11,14,5,7,3,8
"Kai Jones","CHA",46,550,15,38,7,8,5,1,1,1,7
"Lindy Waters III","OKC",41,531,28,72,12,16,8,4,0,6,10
"Rodney McGruder","DET",32,524,28,65,19,9,10,6,3,2,7
"Chuma Okeke","ORL",27,518,37,92,19,18,15,3,1,5,13
"James Bouknight","CHA",34,515,41,101,22,19,19,2,1,2,17
"Max Christie","LAL",41,512,21,50,13,8,4,7,2,4,4
"Charles Bassey","SAS",35,508,47,109,32,15,20,6,6,1,14
"Raul Neto","CLE",48,505,79,192,45,34,27,11,7,9,25
"Davis Bertans","DAL",45,492,21,48,15,6,13,2,0,3,3
"Taj Gibson","WAS",48,480,34,82,20,14,10,6,4,3,11
"Javonte Green","CHI",32,480,23,53,16,7,9,2,5,2,5
"Damian Jones","UTA",41,477,15,39,6,9,4,2,0,0,9
"Isaiah Roby","SAS",42,474,38,87,27,11,17,8,2,3,8
"Stanley Johnson","SAS",30,469,67,158,43,24,29,9,5,4,20
"Svi Mykhailiuk","CHA",32,468,53,127,32,21,22,10,0,9,12
"Evan Fournier","NYK",27,459,36,88,20,16,15,4,1,10,6
"Willy Hernangomez","NOP",37,458,33,83,16,17,12,2,2,3,14
"Kevon Harris","ORL",34,457,16,37,11,5,9,1,1,2,3
"Goga Bitadze","ORL",38,457,39,94,23,16,12,8,3,2,14
