"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Mikal Bridges","BKN",83,2963,273,662,157,116,98,40,19,49,67
"Anthony Edwards","MIN",79,2842,350,861,189,161,128,53,8,52,109
"Zach LaVine","CHI",77,2768,327,769,212,115,120,51,41,42,73
"Nikola Vucevic","CHI",82,2746,265,653,142,123,84,19,39,38,85
"Julius Randle","NYK",77,2737,316,812,136,180,90,42,4,65,115
"Domantas Sabonis","SAC",79,2736,573,1451,268,305,166,67,35,62,243
"Jayson Tatum","BOS",74,2732,342,874,152,190,83,51,18,71,119
"Spencer Dinwiddie","BKN",79,2725,515,1287,258,257,192,43,23,88,169
"Evan Mobley","CLE",79,2715,224,530,142,82,98,38,6,33,49
"Dejounte Murray","ATL",74,2693,448,1042,302,146,140,105,57,49,97
"DeMar DeRozan","CHI",74,2682,377,923,208,169,134,54,20,39,130
"Scottie Barnes","TOR",77,2678,371,888,225,146,143,62,20,51,95
"Harrison Barnes","SAC",82,2662,128,317,67,61,46,16,5,21,40
"Pascal Siakam","TOR",71,2652,415,1026,219,196,147,52,20,64,132
"CJ McCollum","NOP",75,2649,429,1002,285,144,176,80,29,49,95
"Franz Wagner","ORL",80,2609,283,680,169,114,113,35,21,33,81
"Jalen Green","HOU",76,2602,281,644,199,82,135,57,7,20,62
"Bam Adebayo","MIA",75,2598,240,587,133,107,90,28,15,33,74
"Trae Young","ATL",73,2541,741,1685,538,203,404,88,46,88,115
"Fred VanVleet","TOR",69,2535,495,1137,348,147,212,113,23,68,79
"Buddy Hield","IND",80,2482,225,545,130,95,86,39,5,37,58
"RJ Barrett","NYK",73,2475,201,486,117,84,80,28,9,39,45
"Jordan Poole","GSW",82,2458,369,906,201,168,118,69,14,43,125
"Josh Hart","NYK",76,2454,290,717,153,137,114,29,10,40,97
"Jabari Smith Jr.","HOU",79,2451,101,225,78,23,56,19,3,6,17
"Trey Murphy III","NOP",79,2448,112,261,75,37,48,19,8,12,25
"Darius Garland","CLE",69,2447,538,1214,400,138,282,99,19,42,96
"Tobias Harris","PHI",74,2436,186,466,92,94,58,22,12,38,56
"De'Aaron Fox","SAC",73,2435,447,1103,238,209,170,51,17,46,163
"Donovan Mitchell","CLE",68,2432,301,701,202,99,152,40,10,47,52
"Paolo Banchero","ORL",72,2430,269,634,173,96,115,33,25,27,69
"Jaden McDaniels","MIN",79,2416,148,351,93,55,74,17,2,19,36
"Shai Gilgeous-Alexander","OKC",68,2416,371,942,171,200,117,42,12,38,162
"Royce O'Neale","BKN",76,2409,283,690,159,124,107,29,23,52,72
"Jaylen Brown","BOS",67,2405,232,599,97,135,75,19,3,42,93
"Luka Doncic","DAL",66,2391,529,1316,271,258,217,43,11,112,146
"O.G. Anunoby","TOR",67,2386,131,307,86,45,60,19,7,21,24
"Keegan Murray","SAC",80,2382,98,238,56,42,34,17,5,12,30
"Kentavious Caldwell-Pope","DEN",76,2381,183,433,116,67,80,28,8,15,52
"P.J. Washington","CHA",73,2380,175,407,118,57,90,16,12,17,40
"Jalen Brunson","NYK",68,2379,421,1036,227,194,169,47,11,67,127
"Brook Lopez","MIL",78,2373,99,243,54,45,37,13,4,11,34
"Josh Giddey","OKC",76,2367,469,1119,288,181,220,44,24,58,123
"Reggie Bullock","DAL",78,2364,108,272,52,56,34,14,4,21,35
"Immanuel Quickley","NYK",81,2344,279,688,149,130,124,22,3,39,91
"Tyler Herro","MIA",67,2336,280,680,160,120,89,57,14,44,76
"Nikola Jokic","DEN",69,2323,678,1564,470,208,358,53,59,70,138
"Patrick Williams","CHI",82,2323,100,248,52,48,33,10,9,16,32
"Derrick White","BOS",82,2319,321,793,170,151,126,35,9,41,110
"Jaden Ivey","DET",74,2304,387,920,241,146,153,75,13,64,82
"D'Angelo Russell","LAL",71,2304,437,1012,299,138,207,73,19,52,86
"Draymond Green","GSW",73,2297,500,1218,282,218,154,90,38,44,174
"Kenyon Martin Jr.","HOU",82,2292,123,306,63,60,35,20,8,17,43
"Joel Embiid","PHI",66,2284,274,702,120,154,79,28,13,45,109
"Bruce Brown","DEN",80,2280,268,631,173,95,117,37,19,34,61
"Klay Thompson","GSW",69,2279,163,379,110,53,72,36,2,15,38
"Jalen Williams","OKC",75,2276,248,604,140,108,102,30,8,39,69
