"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"Bradley Beal","WAS",82,3028,411,322,12,0.07792207792207792,168,0.10287813839559094,142,0.11332801276935354,0.10741510741510742,89,2,0.011764705882352941,42,0.02704443013522215,45,0.03291880029261156,0.029794520547945205,0.08187134502923976,0.10034013605442177,0.14681440443213298,0.11866125760649088,0.09363295880149813,0.026533996683250415,0.038,0.015555555555555555,0.034318398474737846,0.02830188679245283,34,0.04415584415584416
"James Harden","HOU",78,2867,518,452,59,0.4097222222222222,224,0.14313099041533547,169,0.1515695067264574,0.14664179104477612,66,2,0.0136986301369863,39,0.036619718309859155,25,0.015225334957369063,0.023642408570373107,0.1323024054982818,0.14391691394658754,0.16181229773462782,0.1475,0.1619047619047619,0.032423208191126277,0.05025125628140704,0,0.013968775677896467,0.018823529411764704,34,0.03644158628081458
"Kemba Walker","CHA",82,2863,361,309,10,0.07692307692307693,168,0.11374407582938388,131,0.10290652003142184,0.10872727272727273,52,1,0.008,34,0.021316614420062698,17,0.01327088212334114,0.01773296244784423,0.10743801652892562,0.10299625468164794,0.14201183431952663,0.09763313609467456,0.12355212355212356,0.02702702702702703,0.02072538860103627,0.009584664536741214,0.015444015444015444,0.004081632653061225,17,0.021410579345088162
"Tobias Harris","PHI",82,2848,645,576,46,0.3150684931506849,328,0.18552036199095023,202,0.18181818181818182,0.18409169850642584,69,2,0.014084507042253521,44,0.024390243902439025,23,0.025583982202447165,0.024787273399926008,0.1492109038737446,0.20121951219512196,0.2216867469879518,0.16793893129770993,0.24742268041237114,0.033773861967694566,0.023668639053254437,0.011185682326621925,0.020086083213773313,0.04455445544554455,19,0.03281519861830743
"Paul George","OKC",77,2841,628,523,24,0.1348314606741573,258,0.1620603015075377,241,0.20423728813559322,0.18001443001443002,105,7,0.030837004405286344,64,0.03780271707028943,34,0.028029678483099753,0.03372333103922918,0.14560439560439561,0.16221374045801526,0.19705882352941176,0.21689497716894976,0.16776315789473684,0.04252400548696845,0.033628318584070796,0.03508771929824561,0.024054982817869417,0.03823529411764706,36,0.04472049689440994
"Damian Lillard","POR",80,2838,371,303,5,0.029585798816568046,159,0.08977978543195934,139,0.13587487781036167,0.1066571224051539,68,1,0.007936507936507936,30,0.017996400719856028,37,0.03239929947460595,0.02385190459238163,0.07073509015256588,0.07789855072463768,0.13052208835341367,0.12698412698412698,0.1715686274509804,0.023485784919653894,0.01735357917570499,0.007556675062972292,0.027455121436114043,0.05641025641025641,13,0.0174496644295302
"PJ Tucker","HOU",82,2802,479,358,38,0.25675675675675674,170,0.1134089392928619,150,0.1392757660167131,0.12422360248447205,121,1,0.006666666666666667,41,0.0371713508612874,79,0.04906832298136646,0.04423147806855879,0.09242144177449169,0.11711711711711711,0.14383561643835616,0.13015463917525774,0.16279069767441862,0.033216783216783216,0.034324942791762014,0.07446808510638298,0.04873949579831933,0.05,10,0.033783783783783786
"Kevin Durant","GSW",78,2702,497,464,34,0.20987654320987653,225,0.140361821584529,205,0.16998341625207297,0.15307938768244927,33,1,0.008695652173913044,18,0.014195583596214511,14,0.012131715771230503,0.013212221304706853,0.130859375,0.13019390581717452,0.17344173441734417,0.17423442449841606,0.15444015444015444,0.01507537688442211,0.01839080459770115,0.009195402298850575,0.011840688912809472,0.013333333333333334,8,0.013071895424836602
"Ben Simmons","PHI",79,2700,697,525,47,0.31543624161073824,253,0.15464547677261614,225,0.20604395604395603,0.17521994134897362,172,1,0.005494505494505495,107,0.0713809206137425,64,0.061010486177311724,0.06711145996860282,0.12084592145015106,0.15699658703071673,0.20876288659793815,0.21396396396396397,0.1715686274509804,0.0726950354609929,0.07054673721340388,0.07065217391304347,0.06110458284371328,0.06060606060606061,34,0.09497206703910614
"DeMar DeRozan","SAS",77,2688,462,408,31,0.24603174603174602,207,0.13827655310621242,170,0.1539855072463768,0.14494425221068818,54,1,0.00980392156862745,46,0.025959367945823927,7,0.009497964721845319,0.021123953766440814,0.1042830540037244,0.14165261382799327,0.18256130790190736,0.1511111111111111,0.16666666666666666,0.034739454094292806,0.033660589060308554,0.012195121951219513,0.010101010101010102,0.006993006993006993,18,0.031578947368421054
