"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"James Harden","HOU",82,3125,501,438,67,0.32682926829268294,208,0.11409764125068568,163,0.15703275529865124,0.12967493883257603,63,0,0,41,0.0258349086326402,22,0.01729559748427673,0.022035676810073453,0.09985528219971057,0.10296684118673648,0.14311270125223613,0.14385474860335196,0.18633540372670807,0.01828410689170183,0.045454545454545456,0.009202453987730062,0.01542111506524318,0.02097902097902098,23,0.028858218318695106
"Gordon Hayward","UTA",80,2893,397,336,21,0.12574850299401197,198,0.11123595505617978,117,0.15019255455712452,0.123094958968347,61,5,0.02824858757062147,37,0.021854695806261076,19,0.021714285714285714,0.021806853582554516,0.08125,0.10193321616871705,0.15411558669001751,0.15544041450777202,0.135,0.02555366269165247,0.0224,0.016632016632016633,0.017094017094017096,0.03103448275862069,22,0.03636363636363636
"Kemba Walker","CHA",81,2885,357,301,11,0.07482993197278912,178,0.10039481105470953,112,0.11522633744855967,0.10564663023679417,56,0,0,30,0.018072289156626505,26,0.022968197879858657,0.02005730659025788,0.07954545454545454,0.10131332082551595,0.1201923076923077,0.12005457025920874,0.100418410041841,0.025684931506849314,0.018218623481781375,0.010309278350515464,0.02025586353944563,0.03608247422680412,15,0.02377179080824089
"Trevor Ariza","HOU",81,2859,366,299,24,0.13636363636363635,165,0.10006064281382657,110,0.11853448275862069,0.10671323244082266,67,4,0.015267175572519083,46,0.03144224196855776,17,0.014782608695652174,0.024110218140068886,0.07575757575757576,0.09576427255985268,0.1328125,0.12025316455696203,0.11486486486486487,0.03619909502262444,0.027777777777777776,0.02702702702702703,0.014492753623188406,0.015345268542199489,7,0.015250544662309368
"Marcus Morris","DET",80,2856,404,314,15,0.14285714285714285,217,0.11774281063483451,82,0.10761154855643044,0.11477927063339731,90,4,0.017391304347826087,66,0.03608529250956807,20,0.021929824561403508,0.03137541043414812,0.09466437177280551,0.12878787878787878,0.12790697674418605,0.10912052117263844,0.10135135135135136,0.03650793650793651,0.039509536784741145,0.030107526881720432,0.019548872180451128,0.02834008097165992,20,0.04024144869215292
"Khris Middleton","MIL",79,2852,302,258,11,0.06666666666666667,150,0.09129640900791236,97,0.09958932238193019,0.09438288116163546,44,2,0.011695906432748537,34,0.017364657814096015,8,0.015122873345935728,0.016887816646562123,0.06666666666666667,0.0867579908675799,0.13195876288659794,0.1037463976945245,0.08928571428571429,0.02225130890052356,0.0196078431372549,0.00859106529209622,0.010666666666666666,0.025974025974025976,10,0.01730103806228374
"Kyle Lowry","TOR",77,2851,365,310,2,0.013422818791946308,220,0.12222222222222222,88,0.10666666666666667,0.11733333333333333,55,0,0,38,0.022144522144522144,17,0.02009456264775414,0.02146760343481655,0.10726072607260725,0.10099337748344371,0.15932203389830507,0.10294117647058823,0.11737089201877934,0.025396825396825397,0.01217391304347826,0.029354207436399216,0.02337228714524207,0.012145748987854251,7,0.011764705882352941
"Andrew Wiggins","MIN",81,2845,291,186,5,0.033112582781456956,105,0.06220379146919431,76,0.08287895310796074,0.06948176583493282,105,2,0.011695906432748537,74,0.03802672147995889,29,0.050966608084358524,0.04095427435387674,0.057971014492753624,0.045889101338432124,0.08272058823529412,0.09022556390977443,0.06349206349206349,0.04521739130434783,0.03696498054474708,0.0338389731621937,0.054945054945054944,0.03508771929824561,28,0.04628099173553719
"Giannis Antetokounmpo","MIL",80,2823,612,499,48,0.32653061224489793,256,0.16040100250626566,195,0.2002053388090349,0.17548638132295719,113,4,0.0213903743315508,91,0.0470770822555613,18,0.034026465028355386,0.044272948822095856,0.1366906474820144,0.13901345291479822,0.2175824175824176,0.20674486803519063,0.18493150684931506,0.0650730411686587,0.046052631578947366,0.024475524475524476,0.04032258064516129,0.01910828025477707,17,0.04009433962264151
"Paul George","IND",81,2819,563,484,48,0.2857142857142857,257,0.14694110920526016,179,0.187434554973822,0.16124260355029585,79,4,0.02531645569620253,53,0.029708520179372196,22,0.02480270574971815,0.028079371022089104,0.10046367851622875,0.138,0.20431893687707642,0.20803443328550933,0.13178294573643412,0.04114490161001789,0.03416856492027335,0.019083969465648856,0.02047244094488189,0.03571428571428571,16,0.021220159151193633
"Draymond Green","GSW",81,2808,769,635,60,0.39473684210526316,416,0.20096618357487922,159,0.17588495575221239,0.1933422999327505,134,4,0.02631578947368421,89,0.06573116691285082,41,0.036219081272084806,0.05229283990345937,0.14877300613496933,0.20215633423180593,0.25,0.1733149931224209,0.1864406779661017,0.09212730318257957,0.0665024630541872,0.019943019943019943,0.03360370799536501,0.04460966542750929,46,0.12813370473537605
"DeMar DeRozan","TOR",78,2804,349,285,13,0.08227848101265822,170,0.09826589595375723,102,0.12186379928315412,0.10596026490066225,64,2,0.012195121951219513,55,0.031214528944381384,7,0.009320905459387484,0.024671707122960605,0.09764309764309764,0.08333333333333333,0.11363636363636363,0.12238325281803543,0.12037037037037036,0.03820598006644518,0.03536977491961415,0.01858736059479554,0.007797270955165692,0.012605042016806723,31,0.04889589905362776
