"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"Mikal Bridges","BKN",83,2963,364,285,24,0.13714285714285715,111,0.06920199501246883,150,0.1276595744680851,0.09391867578265563,79,1,0.008771929824561403,37,0.023096129837702872,41,0.03306451612903226,0.02744546094299789,0.06788990825688074,0.06334231805929919,0.08517350157728706,0.1187363834422658,0.15953307392996108,0.022935779816513763,0.01675257731958763,0.035897435897435895,0.028216704288939052,0.04519774011299435,8,0.013050570962479609
"Anthony Edwards","MIN",79,2842,458,411,13,0.07386363636363637,190,0.12726054922973878,208,0.16814874696847212,0.1457875457875458,47,4,0.021621621621621623,19,0.014063656550703183,24,0.019672131147540985,0.016725009723842863,0.11228070175438597,0.1196319018404908,0.17712177121771217,0.16139240506329114,0.1903114186851211,0.017142857142857144,0.01680672268907563,0,0.02074235807860262,0.01644736842105263,16,0.021136063408190225
"Zach LaVine","CHI",77,2768,345,303,12,0.0784313725490196,98,0.07814992025518341,193,0.1450037565740045,0.11257253384912959,42,3,0.027522935779816515,22,0.015395381385584325,17,0.016267942583732056,0.01576394502829426,0.05533596837944664,0.07615230460921844,0.1285140562248996,0.14507772020725387,0.1448087431693989,0.027083333333333334,0.01859504132231405,0,0.011688311688311689,0.02909090909090909,11,0.017432646592709985
"Nikola Vucevic","CHI",82,2746,903,744,72,0.4897959183673469,356,0.289195775792039,316,0.24553224553224554,0.26687847498014294,159,0,0,112,0.08098336948662328,47,0.04519230769230769,0.06562113082955015,0.27139874739039666,0.2963709677419355,0.30859375,0.2579957356076759,0.21203438395415472,0.12837837837837837,0.05307855626326964,0.0641025641025641,0.03800786369593709,0.06498194945848375,27,0.05357142857142857
"Julius Randle","NYK",77,2737,767,626,76,0.5066666666666667,281,0.222486144101346,269,0.20788253477588872,0.21509581540868206,141,3,0.015625,86,0.0642270351008215,52,0.042379788101059496,0.05378020265003897,0.19,0.21868787276341947,0.2923076923076923,0.21480709071949947,0.1880597014925373,0.08481262327416174,0.06132075471698113,0.02040816326530612,0.03691275167785235,0.057057057057057055,24,0.034482758620689655
"Domantas Sabonis","SAC",79,2736,973,722,67,0.5,399,0.29842931937172773,256,0.22857142857142856,0.2665852665852666,251,3,0.020689655172413793,161,0.1406113537117904,87,0.06646294881588999,0.10105949470252648,0.28602620087336245,0.317741935483871,0.27413127413127414,0.2334152334152334,0.21568627450980393,0.17218543046357615,0.13111545988258316,0.08839779005524862,0.06143001007049345,0.08227848101265822,44,0.14965986394557823
"Jayson Tatum","BOS",74,2732,649,571,42,0.30434782608695654,247,0.17394366197183098,282,0.22614274258219727,0.19835020622422198,78,0,0,31,0.02910798122065728,47,0.03219178082191781,0.03089108910891089,0.13317757009345793,0.18722786647314948,0.20132013201320131,0.23015075376884422,0.21031746031746032,0.027777777777777776,0.031185031185031187,0.026595744680851064,0.024955436720142603,0.05621301775147929,25,0.0328515111695138
"Spencer Dinwiddie","BKN",79,2725,270,242,5,0.035211267605633804,119,0.08579668348954578,118,0.11216730038022814,0.0971709717097171,28,0,0,17,0.015496809480401094,11,0.007834757834757835,0.011195521791283487,0.07756813417190776,0.080370942812983,0.11406844106463879,0.11428571428571428,0.10638297872340426,0.011876484560570071,0.018556701030927835,0.015706806282722512,0.004970178926441352,0.01507537688442211,12,0.023166023166023165
"Evan Mobley","CLE",79,2715,711,524,38,0.3247863247863248,279,0.1998567335243553,207,0.1998069498069498,0.19983552631578946,187,4,0.029411764705882353,120,0.08862629246676514,63,0.06182531894013739,0.07711757269279393,0.19230769230769232,0.21333333333333335,0.184,0.185473411154345,0.24150943396226415,0.10580912863070539,0.08358662613981763,0.06542056074766354,0.052489905787348586,0.08695652173913043,32,0.0893854748603352
"Dejounte Murray","ATL",74,2693,389,336,9,0.07258064516129033,155,0.11439114391143912,172,0.1519434628975265,0.13148371531966224,53,0,0,31,0.019030079803560467,22,0.021256038647342997,0.019894894894894894,0.09927797833935018,0.11392405063291139,0.14919354838709678,0.15876777251184834,0.13194444444444445,0.027833001988071572,0.016,0.013297872340425532,0.023936170212765957,0.014134275618374558,13,0.0203125
"DeMar DeRozan","CHI",74,2682,343,309,22,0.13924050632911392,131,0.10925771476230192,156,0.1255028157683025,0.11752661752661753,34,0,0,22,0.01556970983722576,12,0.0125,0.014327855035819638,0.116600790513834,0.09649122807017543,0.11814345991561181,0.1277533039647577,0.11940298507462686,0.01762114537444934,0.015283842794759825,0.013972055888223553,0.00851063829787234,0.023529411764705882,12,0.021164021164021163
"Scottie Barnes","TOR",77,2678,512,333,14,0.11382113821138211,154,0.12664473684210525,165,0.1553672316384181,0.14003511852502196,179,6,0.041379310344827586,107,0.06907682375726275,66,0.06077348066298342,0.06565464895635674,0.1127348643006263,0.1425959780621572,0.11578947368421053,0.15127175368139223,0.16507936507936508,0.07707910750507099,0.07262569832402235,0.05,0.05732484076433121,0.06976744186046512,45,0.09109311740890688
"Harrison Barnes","SAC",82,2662,366,279,19,0.13970588235294118,126,0.09480812641083522,134,0.12039532794249776,0.10647010647010648,87,2,0.012987012987012988,48,0.04155844155844156,37,0.029790660225442835,0.03546099290780142,0.0881057268722467,0.09852216748768473,0.09774436090225563,0.12300123001230012,0.11333333333333333,0.04186046511627907,0.04419889502762431,0.03296703296703297,0.030752916224814422,0.026755852842809364,21,0.05483028720626632
