"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"Kevin Durant","OKC",81,3122,598,540,59,0.2783018867924528,328,0.15961070559610704,153,0.1612223393045311,0.16011984021304926,58,2,0.013245033112582781,39,0.021346469622331693,17,0.018847006651884702,0.020520337119824112,0.12609238451935081,0.17918088737201365,0.18263473053892215,0.15471167369901548,0.18067226890756302,0.03577512776831346,0.020477815699658702,0.009174311926605505,0.01649175412293853,0.02553191489361702,9,0.011538461538461539
"Monta Ellis","DAL",82,3023,295,257,19,0.09844559585492228,134,0.07427937915742794,104,0.11818181818181818,0.08867362146050671,38,0,0,31,0.01683867463335144,7,0.008567931456548347,0.014296463506395787,0.05140961857379768,0.07872696817420435,0.09271523178807947,0.11869918699186992,0.1169811320754717,0.03052064631956912,0.01757188498402556,0.004559270516717325,0.007633587786259542,0.012345679012345678,12,0.018867924528301886
"DeMar DeRozan","TOR",79,3017,343,292,26,0.1368421052631579,195,0.09928716904276985,71,0.09517426273458444,0.0981549815498155,51,2,0.011299435028248588,38,0.01988487702773417,11,0.013317191283292978,0.017902813299232736,0.08160237388724036,0.09574468085106383,0.12183544303797468,0.09269162210338681,0.10270270270270271,0.026119402985074626,0.02694136291600634,0.009408602150537635,0.010067114093959731,0.021739130434782608,23,0.03159340659340659
"Carmelo Anthony","NYK",77,2982,622,477,40,0.23809523809523808,295,0.17281780902167546,142,0.1658878504672897,0.1705033164260632,145,11,0.07913669064748201,101,0.0567734682405846,33,0.03499469777306469,0.04922850844966936,0.10016155088852989,0.18410852713178294,0.24125874125874125,0.16770186335403728,0.16037735849056603,0.08695652173913043,0.05398457583547558,0.03818615751789976,0.03763440860215054,0.02512562814070352,25,0.031210986267166042
"John Wall","WAS",82,2980,333,295,3,0.020134228187919462,204,0.10891617725573946,88,0.10744810744810745,0.10846953937592868,38,0,0,32,0.016359918200409,6,0.007712082262210797,0.013899049012435992,0.10304054054054054,0.09169550173010381,0.12802275960170698,0.09886547811993517,0.13366336633663367,0.02631578947368421,0.015414258188824663,0.011049723756906077,0.007722007722007722,0.007692307692307693,12,0.017830609212481426
"Nicolas Batum","POR",82,2956,611,495,43,0.3028169014084507,327,0.14769647696476965,125,0.18796992481203006,0.1569989579715179,116,5,0.034013605442176874,74,0.0387434554973822,37,0.03969957081545064,0.0390570021111893,0.1018867924528302,0.1586608442503639,0.1871584699453552,0.18809980806142035,0.1875,0.027777777777777776,0.04247787610619469,0.044213263979193757,0.04354136429608128,0.02880658436213992,9,0.021844660194174758
"Damian Lillard","POR",82,2937,288,253,3,0.020833333333333332,187,0.08427219468228932,63,0.09647779479326186,0.08704735376044569,35,2,0.015151515151515152,19,0.010036978341257264,14,0.014598540145985401,0.011570827489481066,0.07170294494238157,0.07142857142857142,0.10975609756097561,0.08858267716535433,0.12413793103448276,0.0049261083743842365,0.011214953271028037,0.01335113484646195,0.015406162464985995,0.012244897959183673,7,0.010703363914373088
"LeBron James","MIA",77,2902,533,452,47,0.27167630057803466,258,0.15532811559301626,147,0.17604790419161676,0.1622596153846154,81,3,0.015873015873015872,57,0.043478260869565216,21,0.024822695035460994,0.03616133518776078,0.09165302782324058,0.15337423312883436,0.22638146167557932,0.175,0.17872340425531916,0.07916666666666666,0.041916167664670656,0.01006036217303823,0.023722627737226276,0.026845637583892617,16,0.030828516377649325
"Paul George","IND",80,2898,542,478,63,0.4012738853503185,303,0.14326241134751774,112,0.15796897038081806,0.14695467422096317,64,2,0.014598540145985401,41,0.021511017838405037,21,0.03206106870229008,0.02420929324482624,0.10164424514200299,0.12985074626865672,0.19072164948453607,0.16964285714285715,0.11409395973154363,0.025878003696857672,0.022091310751104567,0.01749271137026239,0.03333333333333333,0.027586206896551724,11,0.016272189349112426
"DeAndre Jordan","LAC",82,2871,1114,783,65,0.3987730061349693,510,0.25551102204408815,208,0.25552825552825553,0.25551601423487547,331,11,0.04602510460251046,208,0.12455089820359282,112,0.13381123058542413,0.12764260071798963,0.2364217252396166,0.2640449438202247,0.26443768996960487,0.2588996763754045,0.24489795918367346,0.09494949494949495,0.16210045662100456,0.12211668928086838,0.13513513513513514,0.1306122448979592,19,0.14074074074074075
"Klay Thompson","GSW",81,2868,249,211,4,0.022988505747126436,138,0.06628242074927954,69,0.09596662030598054,0.07390217779364512,38,4,0.029411764705882353,25,0.014084507042253521,9,0.01066350710900474,0.012982054219167621,0.07063197026022305,0.048366013071895426,0.08087291399229782,0.09281961471103327,0.10810810810810811,0.024263431542461005,0.011272141706924315,0.006932409012131715,0.011235955056179775,0.00904977375565611,11,0.016975308641975308
"Blake Griffin","LAC",80,2864,757,565,61,0.3407821229050279,357,0.1853582554517134,147,0.18397997496871088,0.18495412844036696,192,8,0.034482758620689655,136,0.08302808302808302,48,0.05790108564535585,0.07458451560599919,0.15206611570247933,0.1975867269984917,0.20364741641337386,0.17892976588628762,0.19900497512437812,0.16666666666666666,0.0763888888888889,0.03168044077134986,0.05792163543441227,0.05785123966942149,57,0.10070671378091872
"Kyle Lowry","TOR",79,2862,369,281,4,0.019138755980861243,179,0.09744148067501361,98,0.14182344428364688,0.10957278481012658,88,5,0.027624309392265192,58,0.03256597417181359,25,0.03026634382566586,0.031837360951285004,0.07907742998352553,0.08603896103896104,0.1270358306188925,0.15369649805447472,0.10734463276836158,0.03501945525291829,0.03898305084745763,0.025110782865583457,0.021630615640599003,0.05333333333333334,9,0.016574585635359115
"Stephen Curry","GSW",78,2846,334,288,2,0.012738853503184714,204,0.09956076134699854,82,0.11598302687411598,0.10377358490566038,46,0,0,31,0.017836593785960874,15,0.017241379310344827,0.01763803680981595,0.0967741935483871,0.09628610729023383,0.10471204188481675,0.12367491166077739,0.0851063829787234,0.017123287671232876,0.02181208053691275,0.014336917562724014,0.015313935681470138,0.02304147465437788,13,0.019345238095238096
