"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"LeBron James","CLE",82,3026,709,612,47,0.29936305732484075,329,0.20134638922888617,236,0.19815281276238456,0.2,97,1,0.006711409395973154,65,0.044765840220385676,31,0.024622716441620333,0.03541128734784212,0.13946117274167988,0.21875,0.2657952069716776,0.19915700737618547,0.19421487603305784,0.06505576208178439,0.04842105263157895,0.015945330296127564,0.0196078431372549,0.03812316715542522,36,0.05625
"Khris Middleton","MIL",82,2982,429,384,30,0.1744186046511628,214,0.1292270531400966,140,0.1407035175879397,0.13353451527725388,45,3,0.018518518518518517,29,0.017693715680292862,13,0.013829787234042552,0.016285381930981,0.10574018126888217,0.14389799635701275,0.14606741573033707,0.15077319587628865,0.1050228310502283,0.018121911037891267,0.022556390977443608,0.012,0.01585014409221902,0.008130081300813009,8,0.013029315960912053
"Andrew Wiggins","MIN",82,2979,358,276,3,0.020689655172413793,145,0.09218054672600128,128,0.11307420494699646,0.10092421441774492,82,0,0,63,0.03257497414684592,19,0.023661270236612703,0.029959810010960906,0.07880910683012259,0.07918968692449356,0.12418300653594772,0.11848341232227488,0.09722222222222222,0.04247787610619469,0.03125,0.024958402662229616,0.025559105431309903,0.01694915254237288,27,0.04128440366972477
"Bradley Beal","WAS",82,2977,363,302,11,0.06832298136645963,169,0.10236220472440945,122,0.10922112802148612,0.10513005780346821,61,1,0.007751937984496124,36,0.020642201834862386,24,0.02481902792140641,0.022132054592401328,0.0859106529209622,0.08576329331046312,0.1419753086419753,0.11672278338945005,0.07964601769911504,0.02,0.0219435736677116,0.019801980198019802,0.02774108322324967,0.014285714285714285,19,0.026352288488210817
"Jrue Holiday","NOP",81,2927,366,304,7,0.058333333333333334,164,0.08991228070175439,133,0.11195286195286196,0.09860557768924302,62,1,0.007874015748031496,37,0.022289156626506025,24,0.023506366307541625,0.022752704214845206,0.08524590163934426,0.0890302066772655,0.09572649572649573,0.11122994652406418,0.11462450592885376,0.036308623298033284,0.017361111111111112,0.0070921985815602835,0.02077922077922078,0.03187250996015936,12,0.021352313167259787
"CJ McCollum","POR",81,2923,321,268,8,0.05194805194805195,159,0.08520900321543408,101,0.10813704496788008,0.09285714285714286,53,0,0,32,0.017534246575342465,21,0.02005730659025788,0.018454038997214484,0.07027027027027027,0.08983050847457627,0.10074626865671642,0.11439588688946016,0.07692307692307693,0.01440922190201729,0.018302828618968387,0.020754716981132074,0.02097902097902098,0.015873015873015872,20,0.027739251040221916
"Karl-Anthony Towns","MIN",82,2918,1012,774,72,0.5179856115107914,410,0.25851197982345525,292,0.2706209453197405,0.2634146341463415,238,3,0.021739130434782608,183,0.10246360582306831,52,0.06318347509113001,0.09007282483710234,0.21390374331550802,0.2896174863387978,0.27521008403361347,0.2688564476885645,0.27626459143968873,0.10416666666666667,0.1168289290681502,0.08163265306122448,0.056338028169014086,0.08695652173913043,29,0.0625
"Russell Westbrook","OKC",80,2914,804,652,75,0.5555555555555556,314,0.20590163934426228,263,0.22849695916594265,0.2156203288490284,152,6,0.02843601895734597,88,0.04905239687848383,58,0.05321100917431193,0.05062413314840499,0.1490787269681742,0.21691176470588236,0.2786458333333333,0.22979214780600463,0.22456140350877193,0.06338028169014084,0.048034934497816595,0.03354632587859425,0.044848484848484846,0.07924528301886792,40,0.047961630695443645
"Paul George","OKC",79,2891,446,375,11,0.088,188,0.12344057780695995,176,0.15898825654923215,0.13840304182509505,71,8,0.04,30,0.017804154302670624,33,0.0296229802513465,0.022508038585209004,0.10696920583468396,0.11284046692607004,0.16326530612244897,0.17216117216117216,0.12152777777777778,0.02276176024279211,0.020737327188940093,0.010135135135135136,0.03385731559854897,0.017421602787456445,23,0.034023668639053255
"Giannis Antetokounmpo","MIL",75,2756,752,596,67,0.43790849673202614,293,0.18915429309231763,236,0.24455958549222798,0.2104216388225935,156,4,0.02564102564102564,112,0.0730593607305936,40,0.04711425206124853,0.06381192275398824,0.16037735849056603,0.18309859154929578,0.2403846153846154,0.24202127659574468,0.2535211267605634,0.10973451327433628,0.06464646464646465,0.03805496828752643,0.04559748427672956,0.051643192488262914,39,0.06989247311827956
