"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"Andrew Wiggins","MIN",82,3048,328,226,9,0.05921052631578947,116,0.0703883495145631,101,0.09730250481695568,0.08078927773641102,102,2,0.012048192771084338,69,0.035240040858018386,31,0.03934010152284264,0.03641660597232338,0.06356589147286822,0.06504065040650407,0.08414872798434442,0.11083743842364532,0.048672566371681415,0.05521472392638037,0.03197158081705151,0.020188425302826378,0.040280210157618214,0.03686635944700461,23,0.03095558546433378
"Karl-Anthony Towns","MIN",82,3030,1007,711,49,0.3475177304964539,413,0.24909529553679133,249,0.24292682926829268,0.2467387253074916,296,5,0.03184713375796178,222,0.1150855365474339,69,0.08603491271820449,0.1065543756865617,0.2118380062305296,0.2901960784313726,0.2549407114624506,0.24004975124378108,0.25339366515837103,0.13719512195121952,0.12478031634446397,0.08664772727272728,0.06722689075630252,0.14009661835748793,39,0.06735751295336788
"James Harden","HOU",81,2947,659,564,64,0.40764331210191085,303,0.17750439367311072,197,0.17909090909090908,0.17812611328820804,95,3,0.01639344262295082,47,0.039729501267962805,45,0.028337531486146095,0.033201010465535905,0.1070811744386874,0.18118466898954705,0.24729241877256317,0.18278301886792453,0.16666666666666666,0.021671826625386997,0.08670520231213873,0.015706806282722512,0.021462639109697933,0.05454545454545454,37,0.04993252361673414
"Giannis Antetokounmpo","MIL",80,2845,700,558,51,0.32903225806451614,273,0.1731135066582118,234,0.23564954682779457,0.19727626459143968,142,3,0.018404907975460124,106,0.06483180428134556,33,0.03832752613240418,0.05568910256410257,0.15226939970717424,0.14692982456140352,0.2328767123287671,0.23994452149791956,0.22426470588235295,0.08739255014326648,0.06551059730250482,0.02631578947368421,0.04173354735152488,0.029411764705882353,37,0.07212475633528265
"John Wall","WAS",78,2836,326,267,1,0.006134969325153374,139,0.08720200752823086,127,0.1263681592039801,0.10234705656021546,59,2,0.0136986301369863,43,0.02488425925925926,14,0.016,0.021897810218978103,0.06451612903225806,0.07644628099173553,0.12284069097888675,0.13434727503168567,0.09722222222222222,0.03338391502276176,0.03024193548387097,0.010471204188481676,0.01461038961038961,0.019305019305019305,21,0.03167420814479638
"Jimmy Butler","CHI",76,2809,470,342,7,0.05223880597014925,205,0.11549295774647887,130,0.14115092290988057,0.12425816023738873,128,2,0.01694915254237288,96,0.048830111902339775,30,0.03901170351105332,0.04606946983546618,0.08827586206896551,0.07736943907156674,0.1894934333958724,0.14265927977839335,0.135678391959799,0.06880733944954129,0.038397328881469114,0.03927068723702665,0.046511627906976744,0.01904761904761905,39,0.06565656565656566
"Harrison Barnes","DAL",79,2804,394,301,16,0.10666666666666667,182,0.11981566820276497,103,0.12335329341317365,0.12107051826677995,93,2,0.022988505747126436,51,0.03294573643410853,40,0.03864734299516908,0.03523035230352303,0.10430839002267574,0.10526315789473684,0.14652014652014653,0.11842105263157894,0.13656387665198239,0.04087193460490463,0.028985507246376812,0.03151862464183381,0.036991368680641186,0.044642857142857144,9,0.014354066985645933
"Russell Westbrook","OKC",81,2802,864,727,98,0.6163522012578616,387,0.21864406779661016,242,0.2604951560818084,0.23304927751018895,137,4,0.021505376344086023,89,0.05138568129330254,44,0.04271844660194175,0.04815351194786387,0.16361071932299012,0.24956369982547993,0.26229508196721313,0.2691771269177127,0.23113207547169812,0.06382978723404255,0.04526748971193416,0.038461538461538464,0.043137254901960784,0.04150943396226415,42,0.041379310344827586
"CJ McCollum","POR",80,2796,289,229,7,0.04430379746835443,137,0.07606885063853415,85,0.10035419126328217,0.08383685800604229,60,2,0.015503875968992248,35,0.020759193357058125,23,0.02465166130760986,0.022145857197403588,0.0611353711790393,0.06386861313868614,0.10600706713780919,0.09878419452887538,0.10582010582010581,0.010279001468428781,0.03253796095444685,0.02389705882352941,0.02606310013717421,0.0196078431372549,29,0.0445468509984639
"LeBron James","CLE",74,2795,639,542,31,0.25833333333333336,325,0.19345238095238096,186,0.18040737148399613,0.1884913316119513,97,3,0.016574585635359115,56,0.04357976653696498,38,0.03114754098360656,0.0375249500998004,0.13696369636963696,0.23415492957746478,0.21541501976284586,0.18865435356200527,0.1575091575091575,0.076171875,0.0325,0.010723860589812333,0.029797377830750895,0.03412073490813648,17,0.031598513011152414
