"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"James Harden","HOU",81,2981,459,384,35,0.20114942528735633,235,0.12519978689397976,114,0.12351029252437704,0.12464285714285714,75,2,0.008928571428571428,36,0.02401601067378252,37,0.02938840349483717,0.026468455402465556,0.10140405616224649,0.12633451957295375,0.14688427299703263,0.13169984686064318,0.1037037037037037,0.023743016759776536,0.026,0.02120141342756184,0.0282021151586369,0.031862745098039214,19,0.027417027417027416
"Andrew Wiggins","MIN",82,2969,374,240,9,0.06,129,0.07367218732153055,102,0.11874272409778813,0.08850574712643679,134,0,0,108,0.047724259832081305,26,0.046511627906976744,0.04748405386250886,0.0706713780918728,0.055133079847908745,0.09104704097116843,0.12995245641838352,0.08771929824561403,0.05555555555555555,0.04700854700854701,0.04271631982475356,0.03686635944700461,0.08,15,0.026501766784452298
"Trevor Ariza","HOU",82,2930,459,382,33,0.2129032258064516,203,0.10661764705882353,146,0.1638608305274972,0.12486583184257603,77,7,0.03225806451612903,42,0.027869940278699403,28,0.02241793434747798,0.02539912917271408,0.07087827426810478,0.09703947368421052,0.15146831530139104,0.1669316375198728,0.15648854961832062,0.04239766081871345,0.014787430683918669,0.01773049645390071,0.022300469483568074,0.022670025188916875,14,0.027833001988071572
"Damian Lillard","POR",82,2925,378,329,7,0.0472972972972973,226,0.10414746543778802,96,0.13675213675213677,0.11211699164345404,49,0,0,34,0.0189520624303233,15,0.014691478942213516,0.017406749555950268,0.09063893016344725,0.07195301027900147,0.14215686274509803,0.1393596986817326,0.1286549707602339,0.022304832713754646,0.02131782945736434,0.014864864864864866,0.014285714285714285,0.01593625498007968,15,0.021834061135371178
"Chris Paul","LAC",82,2858,376,324,4,0.023809523809523808,225,0.12335526315789473,95,0.10957324106113034,0.11891490152359717,52,3,0.013333333333333334,34,0.021518987341772152,15,0.016538037486218304,0.019702452754322478,0.125,0.10068259385665529,0.14285714285714285,0.11094224924012158,0.10526315789473684,0.019438444924406047,0.028423772609819122,0.019178082191780823,0.015552099533437015,0.01893939393939394,19,0.033216783216783216
"John Wall","WAS",79,2837,366,330,0,0,210,0.1122394441475147,120,0.14084507042253522,0.12118986412045538,36,0,0,24,0.012738853503184714,12,0.017964071856287425,0.014106583072100314,0.0657439446366782,0.09930313588850175,0.1599443671766342,0.13725490196078433,0.15343915343915343,0.0111731843575419,0.016194331983805668,0.011723329425556858,0.019823788546255508,0.014018691588785047,15,0.026455026455026454
"DeAndre Jordan","LAC",82,2821,1226,829,79,0.47878787878787876,501,0.2769485903814262,249,0.2950236966824645,0.28269883151149644,397,6,0.02643171806167401,286,0.17763975155279504,105,0.11837655016910936,0.1565879054865839,0.22553897180762852,0.3045774647887324,0.30094043887147337,0.30866141732283464,0.2535885167464115,0.1673728813559322,0.19035532994923857,0.1774193548387097,0.10759493670886076,0.1450980392156863,29,0.2116788321167883
"Eric Bledsoe","PHX",81,2800,423,351,8,0.05128205128205128,238,0.12434691745036573,105,0.13478818998716302,0.1273672484218344,72,0,0,47,0.02732558139534884,25,0.028901734104046242,0.027852998065764023,0.0752212389380531,0.1237785016286645,0.17845659163987138,0.13643926788685523,0.12921348314606743,0.02910958904109589,0.03238095238095238,0.02127659574468085,0.040336134453781515,0.003703703703703704,11,0.021484375
"Joe Johnson","BKN",80,2791,384,331,48,0.2857142857142857,193,0.1142687981053878,90,0.11335012594458438,0.11397503020539669,53,1,0.007194244604316547,41,0.02273987798114254,11,0.014804845222072678,0.0204241948153967,0.06913996627318718,0.10706638115631692,0.16216216216216217,0.12121212121212122,0.09,0.03364485981308411,0.027624309392265192,0.0055147058823529415,0.011428571428571429,0.022935779816513763,28,0.05204460966542751
"Kyrie Irving","CLE",75,2730,237,182,4,0.031007751937984496,101,0.05732122587968218,77,0.09948320413436693,0.07018927444794952,55,0,0,32,0.02106649111257406,23,0.024704618689581095,0.022448979591836733,0.05244755244755245,0.054313099041533544,0.06560283687943262,0.10752688172043011,0.0787037037037037,0.027257240204429302,0.025540275049115914,0.0070921985815602835,0.030395136778115502,0.01098901098901099,15,0.025597269624573378
"Monta Ellis","DAL",80,2699,190,156,8,0.055944055944055944,85,0.04899135446685879,63,0.07420494699646643,0.05727554179566564,34,0,0,23,0.014058679706601468,11,0.012775842044134728,0.013616339607529036,0.03484320557491289,0.048576214405360134,0.06382978723404255,0.07755775577557755,0.06584362139917696,0.0260707635009311,0.013888888888888888,0.004497751124437781,0.008955223880597015,0.02617801047120419,8,0.011461318051575931
"Tyreke Evans","NOP",79,2690,416,334,8,0.06015037593984962,218,0.12528735632183907,108,0.1529745042492918,0.13327882256745707,82,1,0.006493506493506494,61,0.03299080584099513,20,0.03134796238244514,0.032569360675512665,0.10093167701863354,0.104,0.16946308724832215,0.16304347826086957,0.11688311688311688,0.04472477064220184,0.020642201834862386,0.024029574861367836,0.03347280334728033,0.025,23,0.045275590551181105
