"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"DeMar DeRozan","CHI",79,2989,340,297,18,0.12080536912751678,122,0.09814963797264682,157,0.10593792172739541,0.10238532110091743,43,0,0,30,0.01841620626151013,13,0.010851419031719533,0.015210470463388751,0.08571428571428572,0.10020449897750511,0.1222707423580786,0.10366972477064221,0.11224489795918367,0.02337228714524207,0.022508038585209004,0.004901960784313725,0.008244994110718492,0.017191977077363897,11,0.017828200972447326
"Domantas Sabonis","SAC",82,2928,1120,826,59,0.48360655737704916,478,0.32988267770876467,289,0.24023275145469658,0.28921568627450983,294,4,0.024539877300613498,188,0.13732651570489407,102,0.07049067035245335,0.10298295454545454,0.3251121076233184,0.34203296703296704,0.3054545454545455,0.2497096399535424,0.21637426900584794,0.18013856812933027,0.13953488372093023,0.056451612903225805,0.06537753222836096,0.08587257617728532,46,0.1329479768786127
"Coby White","CHI",79,2881,358,314,3,0.02127659574468085,106,0.08774834437086093,205,0.14108740536820372,0.11687335588124766,44,0,0,13,0.008563899868247694,31,0.025919732441471572,0.016212232866617538,0.07751937984496124,0.06567796610169492,0.1590909090909091,0.1369990680335508,0.15263157894736842,0.008680555555555556,0.010238907849829351,0.0056179775280898875,0.023121387283236993,0.03323262839879154,9,0.015358361774744027
"Mikal Bridges","BKN",82,2854,372,304,9,0.07627118644067797,136,0.09090909090909091,159,0.13195020746887967,0.10921880784894483,68,3,0.019736842105263157,25,0.017421602787456445,40,0.028985507246376812,0.023090586145648313,0.08333333333333333,0.07913669064748201,0.14056224899598393,0.13185654008438819,0.13229571984435798,0.020202020202020204,0.014792899408284023,0.01893939393939394,0.03006012024048096,0.02617801047120419,5,0.007598784194528876
"Paolo Banchero","ORL",80,2799,554,472,42,0.3230769230769231,240,0.17543859649122806,190,0.16979445933869527,0.17289907519099315,82,2,0.010869565217391304,52,0.03623693379790941,28,0.024626209322779244,0.03110419906687403,0.15308151093439365,0.1694915254237288,0.2290909090909091,0.17524509803921567,0.1551155115511551,0.05871559633027523,0.020766773162939296,0.026515151515151516,0.02822085889570552,0.015527950310559006,28,0.042105263157894736
"Kevin Durant","PHX",75,2791,495,454,26,0.208,217,0.14642375168690958,211,0.1657501963864886,0.15535390199637023,41,1,0.008695652173913044,18,0.013452914798206279,22,0.019981834695731154,0.016400164001640016,0.12885662431941924,0.15877862595419848,0.15217391304347827,0.15498938428874734,0.19637462235649547,0.02142857142857143,0.010186757215619695,0.00911854103343465,0.019417475728155338,0.021660649819494584,10,0.015873015873015872
"Dejounte Murray","ATL",78,2783,416,354,4,0.03418803418803419,164,0.12247946228528753,186,0.15208503679476695,0.1366120218579235,62,0,0,31,0.020381328073635765,31,0.023682200152788387,0.021908127208480566,0.10314685314685315,0.12062937062937062,0.18461538461538463,0.1440185830429733,0.1712707182320442,0.02280130293159609,0.020260492040520984,0.013888888888888888,0.02854122621564482,0.011019283746556474,20,0.028050490883590462
"Anthony Edwards","MIN",79,2770,430,378,3,0.024390243902439025,173,0.11374095989480605,202,0.1710414902624894,0.13878608438193932,52,1,0.006802721088435374,26,0.01968205904617714,25,0.022851919561243144,0.02111801242236025,0.11220472440944881,0.0896358543417367,0.17391304347826086,0.175054704595186,0.15730337078651685,0.028017241379310345,0.018808777429467086,0.0045662100456621,0.016645326504481434,0.038338658146964855,16,0.021164021164021163
"Nikola Jokic","DEN",79,2737,976,753,34,0.26356589147286824,486,0.3331048663468129,233,0.20384951881014873,0.27632590315142197,223,1,0.007751937984496124,176,0.12856099342585828,46,0.045098039215686274,0.09292591042277103,0.338,0.3466666666666667,0.29225352112676056,0.1981460023174971,0.22142857142857142,0.15055762081784388,0.14473684210526316,0.06020066889632107,0.04576043068640646,0.04332129963898917,81,0.16330645161290322
"Jalen Brunson","NYK",77,2726,278,235,8,0.057971014492753624,119,0.08960843373493976,108,0.09254498714652956,0.09098196392785571,43,2,0.013888888888888888,23,0.016487455197132617,18,0.014790468364831553,0.01569678407350689,0.075,0.09727626459143969,0.1062992125984252,0.0884109916367981,0.10303030303030303,0.015594541910331383,0.01639344262295082,0.018957345971563982,0.01820250284414107,0.005917159763313609,21,0.02702702702702703
"Josh Hart","NYK",81,2707,675,547,29,0.2265625,269,0.20597243491577336,249,0.21048182586644126,0.20811570912012856,128,2,0.017391304347826087,59,0.04312865497076023,67,0.05334394904458599,0.04801829268292683,0.2075812274368231,0.20278330019880716,0.20883534136546184,0.21369539551357733,0.20238095238095238,0.033962264150943396,0.0473186119873817,0.05392156862745098,0.0544069640914037,0.050445103857566766,10,0.03134796238244514
"Anthony Davis","LAL",76,2700,961,722,16,0.16,404,0.27595628415300544,302,0.24296057924376507,0.2608053195419283,239,1,0.008,172,0.12656364974245768,66,0.06327900287631831,0.09908409658617819,0.24507658643326038,0.299860529986053,0.2655172413793103,0.24152106885919836,0.24814814814814815,0.19679633867276888,0.11503067484662577,0.040740740740740744,0.06666666666666667,0.05460750853242321,35,0.07276507276507277
"Fred VanVleet","HOU",73,2684,278,245,1,0.006493506493506494,124,0.09465648854961832,120,0.09592326139088729,0.09527528309254198,33,0,0,15,0.010901162790697675,18,0.0144,0.012566641279512566,0.08275862068965517,0.1,0.10222222222222223,0.08820403825717323,0.11935483870967742,0.013011152416356878,0.006944444444444444,0.015267175572519083,0.015384615384615385,0.009523809523809525,12,0.02214022140221402
"De'Aaron Fox","SAC",74,2659,340,273,12,0.0975609756097561,134,0.10044977511244378,127,0.11390134529147983,0.10657411188240098,67,3,0.018867924528301886,41,0.03266932270916335,23,0.01728024042073629,0.02474864655839134,0.10185185185185185,0.08469539375928678,0.14410480349344978,0.1133250311332503,0.11538461538461539,0.02912621359223301,0.04032258064516129,0.017937219730941704,0.017928286852589643,0.01529051987767584,23,0.03137789904502047
"Pascal Siakam","IND",80,2658,565,426,36,0.2647058823529412,218,0.15244755244755245,172,0.16257088846880907,0.1567524115755627,139,4,0.022857142857142857,94,0.06723891273247497,41,0.03821062441752097,0.05463375151760421,0.12815533980582525,0.17117117117117117,0.15261044176706828,0.16304347826086957,0.1608695652173913,0.11,0.05627705627705628,0,0.036523929471032744,0.043010752688172046,46,0.08598130841121496
"Jayson Tatum","BOS",74,2645,601,534,32,0.3018867924528302,246,0.1717877094972067,256,0.20221169036334913,0.18606375092661231,67,2,0.02040816326530612,38,0.03574788334901223,27,0.01946647440519106,0.026530612244897958,0.14078674948240166,0.17345399698340874,0.2202797202797203,0.2019900497512438,0.20306513409961685,0.0425531914893617,0.041304347826086954,0.013215859030837005,0.022914757103574702,0.006756756756756757,31,0.04585798816568047
"Austin Reaves","LAL",82,2629,352,295,12,0.12371134020618557,120,0.08836524300441827,163,0.1310289389067524,0.10876249039200615,57,1,0.0070921985815602835,33,0.025443330763299923,23,0.022817460317460316,0.024295010845986984,0.0883054892601432,0.0723781388478582,0.1297709923664122,0.1281779661016949,0.14,0.02278481012658228,0.022364217252396165,0.036231884057971016,0.023709902370990237,0.020618556701030927,15,0.03588516746411483
"Tyrese Maxey","PHI",70,2626,258,222,3,0.02564102564102564,108,0.08029739776951673,111,0.09982014388489209,0.08913308913308914,36,0,0,26,0.018335684062059238,10,0.009066183136899365,0.014280047600158666,0.0749063670411985,0.08415841584158416,0.08292682926829269,0.10981308411214953,0.06640625,0.01838235294117647,0.01901743264659271,0.01646090534979424,0.011668611435239206,0,17,0.025110782865583457
"Luka Doncic","DAL",70,2624,647,588,23,0.19827586206896552,295,0.22080838323353294,270,0.225,0.22279179810725552,59,1,0.006329113924050633,29,0.026752767527675275,29,0.02146558105107328,0.02381930184804928,0.1543778801843318,0.23219814241486067,0.3046875,0.21226415094339623,0.2556818181818182,0.043859649122807015,0.021739130434782608,0.012711864406779662,0.016025641025641024,0.033734939759036145,22,0.028169014084507043
"Nikola Vucevic","CHI",76,2610,801,591,33,0.2578125,267,0.24517906336088155,291,0.22247706422018348,0.2327909887359199,210,1,0.010752688172043012,154,0.11257309941520467,55,0.04888888888888889,0.08383473726434015,0.23739495798319327,0.2762836185819071,0.20098039215686275,0.22012578616352202,0.2288135593220339,0.13916500994035785,0.1219047619047619,0.058823529411764705,0.046539379474940336,0.05574912891986063,37,0.0647985989492119
"Jalen Green","HOU",82,2602,423,382,25,0.1773049645390071,150,0.11755485893416928,207,0.17164179104477612,0.14383561643835616,41,1,0.008130081300813009,21,0.015730337078651686,19,0.015612161051766639,0.01567398119122257,0.0871559633027523,0.10900473933649289,0.20772946859903382,0.1795429815016322,0.14634146341463414,0.011494252873563218,0.02527075812274368,0.003861003861003861,0.016536964980544747,0.010582010582010581,14,0.0218408736349454
"Rudy Gobert","MIN",76,2593,982,698,57,0.5428571428571428,358,0.24304141208418195,283,0.25892040256175664,0.24980514419329697,284,2,0.013157894736842105,190,0.15310233682514102,92,0.09435897435897436,0.1272563176895307,0.1864406779661017,0.2521489971346705,0.3102310231023102,0.2712066905615293,0.21875,0.16901408450704225,0.1498371335504886,0.12935323383084577,0.07536231884057971,0.14035087719298245,24,0.16216216216216217
"Keegan Murray","SAC",77,2589,420,314,9,0.08333333333333333,145,0.11310452418096724,160,0.1510859301227573,0.1302862024775737,106,3,0.020689655172413793,40,0.032599837000814993,63,0.050359712230215826,0.041565778853914444,0.09113300492610837,0.11538461538461539,0.14601769911504425,0.13577023498694518,0.19112627986348124,0.03015075376884422,0.03494176372712146,0.03070175438596491,0.05235042735042735,0.044444444444444446,21,0.043478260869565216
