"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Killian Hayes","DET",66,1647,-366,104.59804212399881,115.21610420367081,405,0.1810344827586207,0.3157894736842105,0.3614457831325301,0.21621621621621623,35,34,1,15,17,2,0,1,17,0.4857142857142857,78,36,42,0
"Montrezl Harrell","CHA",71,1640,85,114.15607985480943,111.41649048625793,737,0.375,0.27835051546391754,0.21212121212121213,0.14285714285714285,42,40,2,19,21,0,0,2,26,0.6190476190476191,29,7,22,2
"Lonnie Walker IV","SAS",70,1612,-80,112.04674857656579,114.10218105766359,779,0.1894273127753304,0.43859649122807015,0.34545454545454546,0.15463917525773196,19,16,3,12,2,2,0,3,10,0.5263157894736842,44,14,30,0
"Cory Joseph","DET",65,1600,-205,107.77846919726198,114.40598690364827,477,0.23170731707317074,0.4,0.2826086956521739,0.29411764705882354,17,17,0,4,10,3,0,0,9,0.5294117647058824,42,17,25,0
"Josh Richardson","SAS",65,1600,138,114.81366459627328,110.63102269194901,602,0.23943661971830985,0.375,0.35714285714285715,0.22,29,27,2,16,10,1,0,2,17,0.5862068965517241,56,21,35,0
"Torrey Craig","PHX",78,1596,-185,110.133250697242,114.34250764525993,431,0.20666666666666667,0.6216216216216216,0.35714285714285715,0.1875,36,35,1,15,17,3,1,0,17,0.4722222222222222,46,12,34,0
"Gabe Vincent","MIA",68,1589,99,112.08267090620032,109.21262352566146,545,0.26424870466321243,0.2894736842105263,0.36,0.22580645161290322,12,10,2,7,3,0,1,1,1,0.08333333333333333,62,30,32,0
"Max Strus","MIA",68,1587,171,116.04584527220631,110.7780612244898,638,0.2549019607843137,0.28125,0.5,0.16666666666666666,16,14,2,7,6,1,1,1,8,0.5,28,10,18,0
"Jusuf Nurkic","POR",56,1579,13,111.80512179887569,112.48817407757805,669,0.21951219512195122,0.373134328358209,0.3448275862068966,0.11764705882352941,34,34,0,20,13,1,0,0,19,0.5588235294117647,62,15,47,3
"De'Andre Hunter","ATL",53,1577,28,116.76980198019803,116.51632970451011,662,0.225,0.4482758620689655,0.27380952380952384,0.21052631578947367,21,17,4,7,9,1,1,3,9,0.42857142857142855,36,12,24,0
"Amir Coffey","LAC",69,1567,-48,112.72384542884072,113.200498132005,560,0.2549019607843137,0.39285714285714285,0.3958333333333333,0.23809523809523808,15,14,1,7,6,1,0,1,11,0.7333333333333333,38,9,29,0
"Marcus Morris Sr.","LAC",54,1564,-143,111.06505102040816,115.84664536741214,769,0.19760479041916168,0.4,0.22330097087378642,0.20430107526881722,18,17,1,7,8,2,1,0,10,0.5555555555555556,28,10,18,0
"Oshae Brissett","IND",67,1564,-220,113.87933729290404,119.74581525108495,508,0.1506849315068493,0.39080459770114945,0.4146341463414634,0.21428571428571427,29,26,3,16,10,0,1,2,16,0.5517241379310345,44,6,38,1
"Gordon Hayward","CHA",49,1564,-20,113.31704337202198,113.16747572815534,709,0.23134328358208955,0.39655172413793105,0.18811881188118812,0.125,22,20,2,11,8,1,0,2,15,0.6818181818181818,47,12,35,0
"Tyus Jones","MEM",73,1549,255,116.23581336696091,107.82280867106503,547,0.371900826446281,0.3448275862068966,0.3305785123966942,0.2222222222222222,2,2,0,0,2,0,0,0,2,1,66,15,51,0
"Chris Duarte","IND",55,1541,-53,110.23091725465042,112.36316806181584,656,0.24489795918367346,0.38461538461538464,0.3088235294117647,0.2,10,10,0,5,5,0,0,0,9,0.9,56,16,40,1
"Trey Lyles","SAC",75,1536,-230,109.46764424609499,116.83673469387756,661,0.15942028985507245,0.4153846153846154,0.1232876712328767,0.10526315789473684,32,30,2,23,6,1,0,2,18,0.5625,29,10,19,1
"Javonte Green","CHI",65,1519,20,116.52089407191447,114.57399103139014,389,0.2,0.40350877192982454,0.391304347826087,0,32,31,1,21,9,1,0,1,17,0.53125,67,25,42,0
"Talen Horton-Tucker","LAL",60,1511,-90,110.18637532133675,113.22393822393823,556,0.1746031746031746,0.21794871794871795,0.34782608695652173,0.26666666666666666,29,28,1,13,15,0,0,1,18,0.6206896551724138,59,30,29,1
"Jerami Grant","DET",47,1500,-218,104.7225891677675,112.18139688844754,839,0.23076923076923078,0.3384615384615385,0.38461538461538464,0.23076923076923078,49,44,5,30,11,3,1,4,26,0.5306122448979592,44,17,27,4
"Alperen Sengun","HOU",72,1489,-309,109.085009733939,119.45981125935567,557,0.13157894736842105,0.3942307692307692,0.36,0,68,67,1,39,28,0,0,1,37,0.5441176470588235,59,22,37,5
"Kyle Anderson","MEM",69,1484,59,113.71538956857695,110.71087025820847,443,0.29577464788732394,0.43103448275862066,0.2727272727272727,0.3333333333333333,45,43,2,27,15,1,2,0,33,0.7333333333333333,77,30,47,0
"Kristaps Porzingis","WAS",51,1481,33,113.14538043478261,112.55972696245733,897,0.19411764705882353,0.37735849056603776,0.1864406779661017,0.171875,84,83,1,37,42,4,0,1,56,0.6666666666666666,37,4,33,0
"Austin Rivers","DEN",67,1480,53,116.23902768399729,113.6058981233244,376,0.2185430463576159,0.23809523809523808,0.4,0.4,6,6,0,4,2,0,0,0,3,0.5,51,21,30,0
"Patrick Beverley","MIN",58,1476,112,115.64447359790096,111.78781925343812,446,0.2549019607843137,0.4857142857142857,0.39622641509433965,0.3,52,39,13,17,16,6,1,12,31,0.5961538461538461,67,38,29,0
"Nickeil Alexander-Walker","UTA",65,1466,-112,109.7767253044655,113.14459049544995,622,0.22123893805309736,0.36046511627906974,0.36923076923076925,0.2,23,23,0,10,10,3,0,0,14,0.6086956521739131,46,16,30,0
"Nicolas Batum","LAC",59,1462,-128,107.51173708920187,112.29370158302459,456,0.0949367088607595,0.45454545454545453,0.5,0.08695652173913043,42,35,7,23,12,0,2,5,22,0.5238095238095238,58,12,46,4
"Cedi Osman","CLE",66,1462,-57,110.71793126913916,111.97159283057152,646,0.21266968325791855,0.3269230769230769,0.20588235294117646,0.125,10,10,0,9,1,0,0,0,5,0.5,52,23,29,1
"Norman Powell","LAC",45,1458,-220,112.61776581426649,120.54748225751943,785,0.2127659574468085,0.28735632183908044,0.24528301886792453,0.18421052631578946,21,18,3,11,7,0,0,3,16,0.7619047619047619,42,19,23,0
"Delon Wright","ATL",77,1452,59,115.22790055248619,112.29873244261734,305,0.1323529411764706,0.34375,0.42857142857142855,0,19,18,1,8,8,2,0,1,11,0.5789473684210527,93,24,69,0
"Maxi Kleber","DAL",59,1450,120,112.0774647887324,108.15677966101694,363,0.17261904761904762,0.35714285714285715,0.1875,0.09090909090909091,58,54,4,31,22,1,1,3,32,0.5517241379310345,30,7,23,0
"Terrence Ross","ORL",63,1448,-348,104.0748162992652,116.39784946236558,591,0.23255813953488372,0.5416666666666666,0.30357142857142855,0.19696969696969696,12,10,2,5,4,1,0,2,8,0.6666666666666666,28,8,20,0
"Daniel Gafford","WAS",72,1444,-211,111.40893470790377,118.29393627954778,507,0,0.2753623188405797,0.23404255319148937,0,99,98,1,52,43,3,1,0,57,0.5757575757575758,30,9,21,5
"Bradley Beal","WAS",40,1439,-102,109.05982905982906,112.54700854700855,849,0.1597222222222222,0.42857142857142855,0.2857142857142857,0.2,15,13,2,1,12,0,0,2,5,0.3333333333333333,36,9,27,1
"Landry Shamet","PHX",69,1437,137,110.87103308575287,105.67494963062458,521,0.2318840579710145,0.3333333333333333,0.3939393939393939,0.36363636363636365,9,9,0,5,4,0,0,0,4,0.4444444444444444,28,10,18,0
"Andre Drummond","BKN",73,1437,39,115.36322558220368,112.86992429456298,390,0,0.40310077519379844,0.32653061224489793,0.5,68,67,1,36,28,3,0,1,42,0.6176470588235294,78,29,49,8
"Austin Reaves","LAL",61,1418,54,112.9874533740251,111.68654173764905,405,0.18269230769230768,0.2727272727272727,0.2857142857142857,0.07692307692307693,20,20,0,9,10,1,0,0,11,0.55,29,8,21,0
"Furkan Korkmaz","PHI",67,1414,31,111.8989118989119,110.73307611364433,468,0.24043715846994534,0.53125,0.34782608695652173,0.2857142857142857,9,8,1,3,4,1,0,1,3,0.3333333333333333,33,5,28,0
"Avery Bradley","LAL",62,1406,-181,107.71626297577855,113.312693498452,345,0.23015873015873015,0.2692307692307692,0.2962962962962963,0.19047619047619047,9,7,2,1,5,1,0,2,6,0.6666666666666666,53,23,30,0
"Anthony Davis","LAL",40,1404,-92,107.42759795570699,111.05407255304587,793,0.15789473684210525,0.38235294117647056,0.2608695652173913,0.14285714285714285,90,80,10,47,30,3,1,9,51,0.5666666666666667,49,17,32,1
"R.J. Hampton","ORL",64,1402,-413,101.51671837297484,115.79310344827586,432,0.24561403508771928,0.34285714285714286,0.29333333333333333,0.35294117647058826,13,13,0,5,7,1,0,0,9,0.6923076923076923,42,11,31,3
"Otto Porter Jr.","GSW",63,1401,215,112.63966480446928,106.4333686815129,436,0.23880597014925373,0.4782608695652174,0.35135135135135137,0.19230769230769232,29,29,0,11,18,0,0,0,16,0.5517241379310345,68,18,50,0
"Jaxson Hayes","NOP",70,1398,22,112.92372881355932,111.98871650211566,534,0.030303030303030304,0.37037037037037035,0.38,0.2,55,53,2,33,20,0,1,1,28,0.509090909090909,33,8,25,0
"Caleb Martin","MIA",60,1372,157,115.30314097881666,109.01162790697674,489,0.1839080459770115,0.33962264150943394,0.2564102564102564,0.16666666666666666,30,20,10,14,6,0,6,4,16,0.5333333333333333,58,15,43,0
"Raul Neto","WAS",70,1372,-84,112.65365148228489,115.44011544011545,504,0.21951219512195122,0.35555555555555557,0.4,0.18181818181818182,3,3,0,2,1,0,0,0,0,0,55,18,37,0
"Tre Mann","OKC",60,1367,-278,104.25,114.54675743461125,558,0.19161676646706588,0.25,0.34,0.35294117647058826,12,12,0,8,4,0,0,0,5,0.4166666666666667,47,17,30,1
"Eric Bledsoe","LAC",54,1361,-40,107.79267850670533,109.00542495479205,507,0.2336448598130841,0.38461538461538464,0.288135593220339,0.125,19,17,2,12,5,0,1,1,10,0.5263157894736842,69,16,53,0
"Danny Green","PHI",62,1353,80,114.44894950239588,111.99555720103665,320,0.24390243902439024,0.4,0.36363636363636365,0,37,33,4,16,13,4,0,4,24,0.6486486486486487,60,28,32,1
"Ziaire Williams","MEM",62,1346,122,115.86964222458377,111.03667136812412,420,0.2981366459627329,0.2857142857142857,0.2631578947368421,0.23076923076923078,12,11,1,6,4,1,0,1,8,0.6666666666666666,35,7,28,1
"Josh Christopher","HOU",74,1334,-272,109.65765765765765,119.41642651296829,529,0.2916666666666667,0.3492063492063492,0.28125,0.125,13,13,0,5,7,1,0,0,8,0.6153846153846154,65,24,41,6
"Draymond Green","GSW",46,1329,191,111.61103047895502,104.79476934253542,317,0.12121212121212122,0.35714285714285715,0.37209302325581395,0.2727272727272727,50,37,13,9,25,3,5,8,36,0.72,61,26,35,0
"Bones Hyland","DEN",69,1310,42,116.35267520723437,114.90003772161448,651,0.2557077625570776,0.5,0.3333333333333333,0.4,20,14,6,4,8,2,2,4,10,0.5,41,9,32,0
"Jalen Suggs","ORL",48,1307,-206,103.20324005891017,110.4625550660793,535,0.16666666666666666,0.3815789473684211,0.3950617283950617,0.22857142857142856,19,19,0,13,6,0,0,0,13,0.6842105263157895,59,18,41,2
"John Konchar","MEM",72,1292,92,112.94073518379595,109.24401197604791,259,0.273972602739726,0.5416666666666666,0.4,0.5,22,20,2,10,10,0,1,1,13,0.5909090909090909,45,23,22,0
"Bryn Forbes","DEN",75,1286,25,113.03030303030303,112.76676829268294,609,0.2631578947368421,0.38461538461538464,0.2692307692307692,0.2857142857142857,5,5,0,4,1,0,0,0,2,0.4,25,12,13,0
"Ben McLemore","POR",64,1285,-352,104.44528875379939,118.08834729626808,587,0.21292775665399238,0.2777777777777778,0.2222222222222222,0.20689655172413793,10,10,0,4,6,0,0,0,5,0.5,38,9,29,0
"Chimezie Metu","SAC",60,1279,-155,108.71872630780895,114.29111531190927,492,0.125,0.15789473684210525,0.19672131147540983,0.11764705882352941,32,31,1,20,11,0,1,0,17,0.53125,51,14,37,4
"Cameron Payne","PHX",58,1278,147,112.27805062334718,105.92425946756654,580,0.20149253731343283,0.5161290322580645,0.38524590163934425,0.15,17,15,2,4,11,0,2,0,13,0.7647058823529411,40,20,20,0
"Hamidou Diallo","DET",58,1269,-212,104.94252873563218,113.5,530,0.208955223880597,0.4230769230769231,0.35,0.10810810810810811,17,17,0,8,9,0,0,0,7,0.4117647058823529,71,30,41,3
"Damion Lee","GSW",63,1256,94,111.73489278752437,109.26290894757587,419,0.18032786885245902,0.4666666666666667,0.2727272727272727,0.16666666666666666,6,6,0,4,2,0,0,0,2,0.3333333333333333,39,7,32,0
"George Hill","MIL",54,1253,313,115.48586914440574,104.09356725146199,303,0.3411764705882353,0.25925925925925924,0.38461538461538464,0.3333333333333333,6,6,0,2,4,0,0,0,3,0.5,42,13,29,0
"Brandon Clarke","MEM",64,1246,176,116.57774390243902,108.710407239819,506,0.17647058823529413,0.36065573770491804,0.2328767123287671,0.16666666666666666,68,67,1,46,20,1,0,1,46,0.6764705882352942,39,13,26,1
