"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"James Harden","HOU",81,2981,335,110.77051926298157,105.33557046979865,1991,0.2787878787878788,0.5118483412322274,0.37735849056603776,0.24,60,50,10,28,19,3,5,5,36,0.6,154,57,97,0
"Andrew Wiggins","MIN",82,2969,-553,103.44530577088717,113.22513812154696,1191,0.3058823529411765,0.3194444444444444,0.2727272727272727,0.2631578947368421,50,48,2,18,21,9,0,2,24,0.48,86,33,53,1
"Trevor Ariza","HOU",82,2930,230,107.27989037341555,103.49974266598045,934,0.25,0.4891304347826087,0.15625,0.3508771929824561,17,14,3,10,2,2,0,3,10,0.5882352941176471,152,25,127,0
"Damian Lillard","POR",82,2925,305,110.38508450949642,105.58571178427596,1593,0.2596685082872928,0.43037974683544306,0.35294117647058826,0.24615384615384617,21,18,3,4,3,11,0,3,15,0.7142857142857143,97,45,52,0
"Chris Paul","LAC",82,2858,733,118.33303840028314,105.79246624022743,1433,0.2048780487804878,0.4489795918367347,0.375,0.23963133640552994,15,13,2,10,3,0,0,2,11,0.7333333333333333,156,65,91,0
"John Wall","WAS",79,2837,280,105.9064223447785,101.64845009854864,1299,0.25,0.29850746268656714,0.3,0.23412698412698413,45,39,6,25,9,5,2,4,22,0.4888888888888889,138,67,71,2
"DeAndre Jordan","LAC",82,2821,621,117.73139745916515,106.1335263253121,627,0,0.32592592592592595,0.13333333333333333,0,183,183,0,113,61,9,0,0,116,0.6338797814207651,81,19,62,14
"Eric Bledsoe","PHX",81,2800,35,106.47174184346585,105.62177548478918,1279,0.1864406779661017,0.38666666666666666,0.27710843373493976,0.24503311258278146,45,43,2,29,13,1,0,2,19,0.4222222222222222,127,38,89,5
"Joe Johnson","BKN",80,2791,-121,106.20676762011591,108.6720359617906,1083,0.22596153846153846,0.3508771929824561,0.36,0.24793388429752067,14,14,0,6,6,2,0,0,10,0.7142857142857143,59,17,42,0
"Kyrie Irving","CLE",75,2730,422,114.31809595768796,106.64898655048304,1496,0.27102803738317754,0.42207792207792205,0.423841059602649,0.27692307692307694,20,19,1,7,8,4,1,0,11,0.55,114,61,53,0
"Monta Ellis","DAL",80,2699,213,109.7934341571376,106.43426664194325,1387,0.22279792746113988,0.4228187919463087,0.1984126984126984,0.21132075471698114,25,20,5,14,5,1,1,4,10,0.4,148,58,90,0
"Tyreke Evans","NOP",79,2690,166,110.54169914263446,107.87463271302646,1157,0.2695035460992908,0.4676923076923077,0.40540540540540543,0.275,37,36,1,22,13,1,1,0,19,0.5135135135135135,100,39,61,0
"Marc Gasol","MEM",81,2687,225,108.53967635016572,104.7861906630051,1249,0.25,0.3707865168539326,0.24561403508771928,0.23076923076923078,131,127,4,73,46,8,2,2,81,0.6183206106870229,70,20,50,0
"Pau Gasol","CHI",78,2681,190,107.87311293712976,104.20248328557784,1172,0.16666666666666666,0.4457831325301205,0.16097560975609757,0.17553191489361702,147,145,2,104,33,8,0,2,87,0.5918367346938775,25,9,16,1
