"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Mikal Bridges","NYK",82,3036,334,120.55829228243022,114.5472376593658,1279,0.23655913978494625,0.375,0.3508771929824561,0.29508196721311475,43,37,6,26,11,0,2,4,27,0.627906976744186,75,20,55,1
"Josh Hart","NYK",77,2897,203,120.01725625539257,116.0735774454186,910,0.21935483870967742,0.43,0.2535211267605634,0.21739130434782608,27,26,1,14,12,0,0,1,14,0.5185185185185185,119,48,71,0
"Anthony Edwards","MIN",79,2871,291,117.80113734275375,113.03972366148533,1999,0.23655913978494625,0.3643410852713178,0.26582278481012656,0.2037037037037037,51,47,4,24,20,3,2,2,30,0.5882352941176471,91,39,52,1
"Devin Booker","PHX",75,2795,-177,117.11711711711712,120.77714691270404,1769,0.21487603305785125,0.43548387096774194,0.3037383177570093,0.26495726495726496,16,14,2,8,6,0,0,2,10,0.625,67,28,39,1
"James Harden","LAC",79,2789,344,116.76952918356551,110.89913442854619,1681,0.2632850241545894,0.3950617283950617,0.3640776699029126,0.25,55,41,14,14,26,1,8,6,31,0.5636363636363636,118,43,75,0
"DeMar DeRozan","SAC",77,2768,110,118.70019479369577,117.6061362825544,1573,0.3018867924528302,0.5,0.33495145631067963,0.29056603773584905,32,32,0,11,19,2,0,0,23,0.71875,62,23,39,0
"Trae Young","ATL",76,2739,32,117.59918616480164,117.33514615907545,1681,0.28888888888888886,0.39805825242718446,0.3023255813953488,0.41935483870967744,12,8,4,5,3,0,1,3,7,0.5833333333333334,91,40,51,0
"Tyler Herro","MIA",77,2725,99,115.70202665692896,114.45871559633028,1681,0.21921182266009853,0.38961038961038963,0.2784090909090909,0.19607843137254902,17,15,2,12,2,1,0,2,10,0.5882352941176471,69,19,50,2
"OG Anunoby","NYK",74,2706,301,119.72688687949807,114.2145098763153,1188,0.28113879003558717,0.4318181818181818,0.40298507462686567,0.26666666666666666,65,49,16,28,19,2,6,10,42,0.6461538461538462,110,43,67,0
"Jalen Green","HOU",82,2697,166,115.7751586582049,113.48540145985402,1588,0.3482587064676617,0.4426229508196721,0.42857142857142855,0.23846153846153847,27,26,1,7,18,1,1,0,21,0.7777777777777778,71,27,44,2
"Christian Braun","DEN",79,2675,479,125.40344514959203,116.31731116732924,1112,0.21212121212121213,0.44166666666666665,0.38571428571428573,0.2777777777777778,37,34,3,14,17,3,0,3,26,0.7027027027027027,85,28,57,1
"Bam Adebayo","MIA",78,2674,27,113.26164874551972,112.79486695602944,1232,0.20610687022900764,0.2875,0.22021660649819494,0.2054794520547945,53,52,1,25,24,3,0,1,35,0.660377358490566,98,30,68,12
"Ivica Zubac","LAC",80,2624,514,118.2605421686747,108.85072655217965,1041,0,0.4357142857142857,0.21,0.25,90,87,3,46,40,1,1,2,58,0.6444444444444445,55,21,34,3
"Jayson Tatum","BOS",72,2624,534,121.15094339622641,111.75018982536066,1785,0.25272331154684097,0.358695652173913,0.2890625,0.26,38,30,8,19,11,0,0,8,24,0.631578947368421,76,32,44,2
"Jaden McDaniels","MIN",82,2614,172,115.94341426113553,111.9916381603953,854,0.2828282828282828,0.5277777777777778,0.37037037037037035,0.20833333333333334,74,69,5,44,25,0,2,3,42,0.5675675675675675,110,39,71,7
"Keegan Murray","SAC",76,2610,46,117.07362885048835,115.97000937207123,829,0.18815331010452963,0.4,0.3010752688172043,0.15625,69,66,3,29,35,2,0,3,41,0.5942028985507246,61,21,40,4
"Zach LaVine","SAC",74,2603,-70,117.42915354695313,118.74768432752872,1593,0.1916376306620209,0.35514018691588783,0.2676056338028169,0.23275862068965517,12,9,3,2,7,0,0,3,5,0.4166666666666667,58,17,41,0
"Shai Gilgeous-Alexander","OKC",76,2598,918,124.0580775592722,107.96001480932988,2249,0.2868217054263566,0.35772357723577236,0.2835820895522388,0.18333333333333332,77,72,5,32,37,3,3,2,43,0.5584415584415584,131,59,72,0
"Michael Porter Jr.","DEN",77,2593,265,122.62991246042094,117.65034444237573,1169,0.20701754385964913,0.4,0.2602739726027397,0.1891891891891892,38,35,3,13,20,2,0,3,24,0.631578947368421,50,15,35,5
"Derrick White","BOS",76,2574,540,121.6456921587609,111.622934888241,1128,0.23933649289099526,0.4827586206896552,0.2037037037037037,0.375,80,71,9,30,37,4,2,7,55,0.6875,72,32,40,0
"Dyson Daniels","ATL",76,2571,-65,115.5055768879137,116.22655254052086,946,0.23076923076923078,0.4392523364485981,0.4175257731958763,0.42857142857142855,55,51,4,26,23,2,1,3,28,0.509090909090909,229,93,136,2
"Nikola Jokić","DEN",70,2571,594,127.47680890538034,116.62950575994054,1786,0.17073170731707318,0.5294117647058824,0.4222222222222222,0.24324324324324326,45,43,2,22,20,1,1,1,26,0.5777777777777777,127,26,101,0
"Austin Reaves","LAL",73,2550,195,119.31577935806266,115.39052005373249,1379,0.2168284789644013,0.4666666666666667,0.25547445255474455,0.13793103448275862,22,18,4,6,12,0,1,3,11,0.5,81,25,56,0
"Toumani Camara","POR",78,2548,-114,113.13559322033898,115.26467757459095,739,0.23076923076923078,0.30526315789473685,0.29850746268656714,1,50,47,3,30,15,2,0,3,30,0.6,116,35,81,6
"Pascal Siakam","IND",78,2548,312,117.63248189096454,111.34549600912202,1411,0.19170984455958548,0.3888888888888889,0.31088082901554404,0.13953488372093023,42,41,1,24,17,0,1,0,24,0.5714285714285714,70,42,28,3
"Brook Lopez","MIL",80,2546,134,116.89925444465685,114.90874159462057,903,0.18695652173913044,0.3409090909090909,0.25316455696202533,0,148,144,4,77,66,1,3,1,102,0.6891891891891891,50,23,27,2
"Karl-Anthony Towns","NYK",72,2517,378,121.95026434305855,115.4301499605367,1451,0.18041237113402062,0.3614457831325301,0.281437125748503,0.075,50,50,0,34,15,1,0,0,31,0.62,71,20,51,2
"Bub Carrington","WAS",82,2458,-798,105.54259043173862,120.96774193548387,761,0.20610687022900764,0.30952380952380953,0.3333333333333333,0.28125,21,20,1,13,7,0,1,0,11,0.5238095238095238,54,24,30,0
"Cade Cunningham","DET",70,2452,177,117.18260188087774,114.34200157604414,1719,0.22093023255813954,0.39072847682119205,0.3173431734317343,0.273972602739726,53,52,1,33,19,0,1,0,27,0.5094339622641509,71,38,33,1
"Tyrese Haliburton","IND",73,2451,222,119.61440094432422,116.23015873015873,1272,0.1951219512195122,0.35135135135135137,0.27586206896551724,0.16666666666666666,49,37,12,14,18,5,3,9,32,0.6530612244897959,105,14,91,0
"Coby White","CHI",74,2450,-141,114.28571428571429,116.99732926363983,1388,0.22752808988764045,0.3173076923076923,0.28865979381443296,0.175,16,16,0,10,6,0,0,0,7,0.4375,69,21,48,0
"LeBron James","LAL",70,2444,-54,116.0843373493976,117.09813365442506,1564,0.21721311475409835,0.3541666666666667,0.3254437869822485,0.20388349514563106,39,39,0,20,17,2,0,0,20,0.5128205128205128,70,13,57,1
"Domantas Sabonis","SAC",70,2429,145,118.34069907593411,115.91688521283034,1037,0.1978021978021978,0.375886524822695,0.23232323232323232,0.09375,26,26,0,9,17,0,0,0,17,0.6538461538461539,48,18,30,1
