"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Kevin Durant","OKC",81,3122,510,112.63157894736841,104.63110827211754,2387,0.2638888888888889,0.391304347826087,0.3474576271186441,0.24390243902439024,59,51,8,30,15,6,2,6,37,0.6271186440677966,103,25,78,2
"Monta Ellis","DAL",82,3023,49,110.50767414403778,109.99661705006767,1469,0.296875,0.45977011494252873,0.3221476510067114,0.17903930131004367,23,20,3,10,8,2,0,3,12,0.5217391304347826,141,70,71,0
"DeMar DeRozan","TOR",79,3017,183,109.25666199158485,105.9926406167864,1651,0.27941176470588236,0.40860215053763443,0.3352272727272727,0.2691292875989446,28,26,2,14,10,2,0,2,17,0.6071428571428571,86,25,61,1
"Carmelo Anthony","NYK",77,2982,105,109.7773820124666,108.64263941187018,1783,0.2597402597402597,0.4394904458598726,0.2824427480916031,0.21529745042492918,51,50,1,37,12,1,0,1,24,0.47058823529411764,95,40,55,1
"John Wall","WAS",82,2980,196,107.23281143635127,104.25204918032786,1444,0.2303370786516854,0.366412213740458,0.32954545454545453,0.22935779816513763,40,37,3,28,8,1,0,3,18,0.45,149,71,78,3
"Nicolas Batum","POR",82,2956,329,112.9070758738278,107.59104120362454,925,0.2589641434262948,0.4,0.42105263157894735,0.26373626373626374,57,56,1,32,16,8,0,1,32,0.5614035087719298,75,24,51,6
"Damian Lillard","POR",82,2937,358,113.45659989727787,108.0117160578911,1552,0.2978723404255319,0.3497536945812808,0.34285714285714286,0.3137254901960784,22,16,6,6,5,5,1,5,13,0.5909090909090909,64,36,28,0
"LeBron James","MIA",77,2902,409,113.71171171171171,106.57276995305163,1934,0.17714285714285713,0.3524590163934426,0.2857142857142857,0.09826589595375723,26,24,2,19,3,2,0,2,13,0.5,121,39,82,2
"Paul George","IND",80,2898,371,105.88023736737996,99.29805615550755,1588,0.28421052631578947,0.336,0.3412698412698413,0.18446601941747573,22,22,0,19,2,1,0,0,10,0.45454545454545453,151,68,83,0
"DeAndre Jordan","LAC",82,2871,494,114.81351161154116,105.78744300245528,621,0,0.32558139534883723,0.35135135135135137,0,203,199,4,103,83,13,1,3,121,0.5960591133004927,80,18,62,6
"Klay Thompson","GSW",81,2868,534,111.3434396236278,102.18112022334671,1328,0.237012987012987,0.5,0.3230769230769231,0.19672131147540983,37,37,0,16,18,3,0,0,21,0.5675675675675675,74,24,50,0
"Blake Griffin","LAC",80,2864,572,114.51612903225806,105.02202643171806,1665,0.42857142857142855,0.4032258064516129,0.375,0.2397003745318352,51,51,0,32,18,1,0,0,24,0.47058823529411764,92,31,61,3
"Kyle Lowry","TOR",79,2862,269,110.26472177201512,105.72512190716995,1277,0.2089041095890411,0.45098039215686275,0.40217391304347827,0.2815533980582524,15,15,0,12,2,1,0,0,6,0.4,121,61,60,0
"Stephen Curry","GSW",78,2846,574,112.07376478775227,102.8391167192429,1764,0.19161676646706588,0.3181818181818182,0.34408602150537637,0.20418848167539266,14,13,1,6,6,1,0,1,7,0.5,128,45,83,0
"Joakim Noah","CHI",80,2820,231,104.97814934448033,101.10771581359816,747,0,0.3842364532019704,0.20535714285714285,0.22105263157894736,121,118,3,76,39,3,0,3,76,0.628099173553719,99,49,50,11
"Jeff Green","BOS",82,2805,-355,101.76684881602915,108.25286937511386,1252,0.28225806451612906,0.3865546218487395,0.40625,0.192090395480226,47,45,2,36,7,2,0,2,27,0.574468085106383,57,11,46,0
"Gordon Hayward","UTA",77,2800,-395,104.62633451957295,111.89897100093545,1151,0.26881720430107525,0.42424242424242425,0.39814814814814814,0.17258883248730963,40,38,2,28,9,1,0,2,19,0.475,110,27,83,3
"Kevin Love","MIN",77,2797,356,112.2983521248916,106.25217089267107,1668,0.2247557003257329,0.48175182481751827,0.2840909090909091,0.1956521739130435,35,34,1,22,11,1,0,1,17,0.4857142857142857,59,22,37,2
"Chandler Parsons","HOU",74,2783,323,112.79153211338357,107.18907260963336,1133,0.31363636363636366,0.4342105263157895,0.41379310344827586,0.26666666666666666,29,29,0,18,10,1,0,0,18,0.6206896551724138,88,32,56,2
"Wesley Matthews","POR",82,2780,307,112.81352235550708,107.68388392042344,1197,0.3355263157894737,0.4125,0.4777777777777778,0.2289156626506024,14,14,0,5,7,2,0,0,7,0.5,76,43,33,0
"James Harden","HOU",73,2778,409,113.25473383351198,106.46203554119548,1687,0.2542372881355932,0.3617021276595745,0.45348837209302323,0.2982456140350877,29,17,12,7,7,3,7,5,18,0.6206896551724138,115,41,74,0
"Lance Stephenson","IND",78,2752,282,106.06694560669456,100.43626707132019,941,0.2236842105263158,0.3697478991596639,0.2804878048780488,0.24096385542168675,7,7,0,4,3,0,0,0,4,0.5714285714285714,54,20,34,0
"Josh Smith","DET",77,2730,-195,106.53219837157661,110.0795265396708,1107,0.27225130890052357,0.40869565217391307,0.37373737373737376,0.25,110,108,2,73,29,6,0,2,73,0.6636363636363637,105,25,80,3
"Brandon Jennings","DET",80,2728,-184,107.18099797459031,110.95713229859572,1180,0.2992957746478873,0.48872180451127817,0.41025641025641024,0.3006535947712418,8,7,1,2,1,4,1,0,7,0.875,101,56,45,0
"Trevor Ariza","WAS",77,2723,196,107.14550853749071,103.93216548639583,985,0.28346456692913385,0.34444444444444444,0.3888888888888889,0.17333333333333334,20,16,4,6,7,3,1,3,13,0.65,126,35,91,0
"Thaddeus Young","PHI",79,2718,-652,100.46461758398856,112.0557242364708,1213,0.21105527638190955,0.40271493212669685,0.34615384615384615,0.14754098360655737,36,34,2,29,4,1,1,1,13,0.3611111111111111,167,70,97,1
"Zach Randolph","MEM",79,2705,169,108.43277645186953,105.47015372329805,1089,0.14285714285714285,0.4660633484162896,0.29310344827586204,0.22981366459627328,23,22,1,15,7,0,0,1,11,0.4782608695652174,54,16,38,0
"Greg Monroe","DET",82,2690,-151,107.2867633214084,110.48356630147337,962,0,0.4163265306122449,0.44571428571428573,0.18604651162790697,47,47,0,33,14,0,0,0,26,0.5531914893617021,91,32,59,5
"Goran Dragic","PHX",76,2668,302,112.93851376838929,107.30326476693715,1422,0.29714285714285715,0.44360902255639095,0.3761467889908257,0.26495726495726496,22,22,0,15,7,0,0,0,13,0.5909090909090909,104,39,65,0
"Serge Ibaka","OKC",81,2666,404,111.36321020063754,104.10005642279481,976,0.19444444444444445,0.44545454545454544,0.23232323232323232,0.2097560975609756,219,217,2,187,27,3,1,1,147,0.6712328767123288,39,13,26,30
"Marcin Gortat","WAS",81,2655,292,107.38461538461539,102.45885769603098,862,0,0.28440366972477066,0.24242424242424243,0.16666666666666666,121,120,1,89,31,0,0,1,79,0.6528925619834711,41,13,28,2
"Ricky Rubio","MIN",82,2638,379,112.90976058931861,105.94953030023946,744,0.2619047619047619,0.423841059602649,0.3684210526315789,0.24060150375939848,11,10,1,5,3,2,1,0,7,0.6363636363636364,191,84,107,0
"Dirk Nowitzki","DAL",80,2628,323,112.6045516436491,108.02371541501977,1578,0.24338624338624337,0.21739130434782608,0.22077922077922077,0.24904214559386972,45,45,0,35,10,0,0,0,21,0.4666666666666667,73,34,39,0
"Andre Drummond","DET",81,2619,-233,107.19874804381847,111.58203125,656,0,0.4583333333333333,0.3939393939393939,0,131,131,0,88,41,2,0,0,84,0.6412213740458015,101,28,73,27
