"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Andrew Wiggins","MIN",82,3048,-17,112.8727634194831,113.00463269358042,1727,0.22285714285714286,0.41711229946524064,0.30857142857142855,0.2777777777777778,30,29,1,17,7,5,0,1,18,0.6,82,24,58,0
"Karl-Anthony Towns","MIN",82,3030,-26,113.21260898725687,113.59141947377242,1675,0.21176470588235294,0.37823834196891193,0.2676767676767677,0.24770642201834864,103,99,4,62,32,5,0,4,57,0.5533980582524272,56,13,43,17
"James Harden","HOU",81,2947,424,117.04896697576054,110.65533583918942,2175,0.23255813953488372,0.36619718309859156,0.42758620689655175,0.1111111111111111,38,38,0,25,10,3,0,0,20,0.5263157894736842,121,38,83,0
"Giannis Antetokounmpo","MIL",80,2845,46,110.05034160373967,109.26258992805755,1639,0.17647058823529413,0.3737864077669903,0.373015873015873,0.12307692307692308,151,143,8,106,30,7,4,4,89,0.5894039735099338,131,31,100,6
"John Wall","WAS",78,2836,248,114.1826923076923,110.72293324109305,1668,0.30246913580246915,0.405982905982906,0.34545454545454546,0.21161825726141079,49,41,8,32,6,3,1,7,25,0.5102040816326531,157,85,72,2
"Jimmy Butler","CHI",76,2809,205,109.26986399427344,105.94254937163375,1618,0.2014388489208633,0.4594594594594595,0.29927007299270075,0.25877192982456143,32,29,3,20,9,0,1,2,17,0.53125,143,51,92,0
"Harrison Barnes","DAL",79,2804,-136,105.60312732688013,108.51858770782738,1412,0.12056737588652482,0.2235294117647059,0.17525773195876287,0.12890625,15,15,0,13,1,1,0,0,11,0.7333333333333333,65,24,41,0
"Russell Westbrook","OKC",81,2802,249,111.89488243430152,107.8696481192581,2264,0.24664879356568364,0.4268774703557312,0.3352601156069364,0.24836601307189543,31,31,0,29,2,0,0,0,14,0.45161290322580644,132,43,89,2
"CJ McCollum","POR",80,2796,60,112.13739099483894,111.58591096012873,1677,0.21991701244813278,0.3953488372093023,0.323943661971831,0.1643192488262911,42,40,2,20,16,4,0,2,23,0.5476190476190477,72,24,48,0
"LeBron James","CLE",74,2795,482,118.70840079150926,110.27582477014603,1766,0.2028301886792453,0.41496598639455784,0.28448275862068967,0.16260162601626016,44,44,0,33,10,1,0,0,28,0.6363636363636364,92,16,76,2
"Trevor Ariza","HOU",80,2773,366,116.17926976985638,110.30408340573415,826,0.30919220055710306,0.38571428571428573,0.5,0.21052631578947367,20,19,1,11,6,2,0,1,19,0.95,147,40,107,1
"Rudy Gobert","UTA",81,2744,435,111.84999033442877,103.78200155159037,836,0,0.43902439024390244,0.3,0,214,212,2,152,56,4,0,2,128,0.5981308411214953,49,12,37,5
"Kemba Walker","CHA",79,2739,189,112.54149760236075,109.21684521610639,1687,0.1976401179941003,0.37142857142857144,0.3815789473684211,0.19333333333333333,22,21,1,18,2,1,0,1,12,0.5454545454545454,85,26,59,0
"Devin Booker","PHX",78,2731,-225,109.10679951057507,113.67551415011425,1598,0.25691699604743085,0.42857142857142855,0.3176470588235294,0.232,21,21,0,20,0,1,0,0,14,0.6666666666666666,72,16,56,2
"Anthony Davis","NOP",75,2708,51,106.67272727272727,105.61104049391683,1814,0.10989010989010989,0.2781456953642384,0.19433198380566802,0.10344827586206896,167,156,11,102,48,6,2,9,103,0.6167664670658682,93,32,61,1
"Damian Lillard","POR",75,2693,81,113.34804191947049,112.70841052241572,1902,0.19830028328611898,0.38764044943820225,0.3795620437956204,0.22695035460992907,20,17,3,7,5,5,0,3,17,0.85,68,33,35,0
"Paul George","IND",75,2689,168,111.49767441860465,108.7565347274085,1642,0.1958041958041958,0.2727272727272727,0.23,0.2139917695473251,27,22,5,19,3,0,1,4,15,0.5555555555555556,119,38,81,0
"Bradley Beal","WAS",77,2684,334,114.91228070175438,109.4284138945047,1609,0.25316455696202533,0.3828125,0.3595505617977528,0.203125,21,17,4,13,2,2,2,2,10,0.47619047619047616,83,27,56,1
"Jeff Teague","IND",82,2657,49,110.54402692091979,109.40298507462687,1185,0.2119205298013245,0.3283582089552239,0.32903225806451614,0.16666666666666666,32,26,6,16,9,1,3,3,20,0.625,100,51,49,1
"Gorgui Dieng","MIN",82,2653,33,111.69680646402463,110.97654748173778,684,0.2,0.3516483516483517,0.27848101265822783,0.21705426356589147,95,95,0,73,20,2,0,0,65,0.6842105263157895,88,34,54,7
"Klay Thompson","GSW",78,2649,800,118.82309941520468,104.54712137880455,1566,0.21750663129973474,0.3333333333333333,0.3125,0.14857142857142858,40,39,1,19,17,3,0,1,23,0.575,66,16,50,0
"Stephen Curry","GSW",79,2639,1015,121.5442092154421,104.26599749058971,1829,0.2482598607888631,0.4365079365079365,0.3181818181818182,0.11214953271028037,17,16,1,10,4,2,0,1,7,0.4117647058823529,142,44,98,0
"DeMar DeRozan","TOR",74,2620,147,112.72342879108207,110.36479444122756,1879,0.2857142857142857,0.24509803921568626,0.33613445378151263,0.24468085106382978,13,13,0,7,5,1,0,0,5,0.38461538461538464,78,29,49,3
