"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Mikal Bridges","BKN",83,2963,36,115.65420560747663,114.93831277092364,1514,0.25842696629213485,0.35,0.27699530516431925,0.2169811320754717,61,60,1,34,22,4,0,1,36,0.5901639344262295,91,28,63,1
"Anthony Edwards","MIN",79,2842,97,115.30560700454622,113.9794023299004,1828,0.21367521367521367,0.33516483516483514,0.2564102564102564,0.19047619047619047,58,52,6,29,20,3,1,5,30,0.5172413793103449,125,63,62,2
"Zach LaVine","CHI",77,2768,18,114.06554472984942,113.76683203401844,1801,0.20474777448071216,0.31724137931034485,0.25,0.19424460431654678,18,16,2,14,1,1,0,2,10,0.5555555555555556,69,21,48,0
"Nikola Vucevic","CHI",82,2746,-20,114.03320835565079,114.9237668161435,1250,0.14601769911504425,0.32222222222222224,0.1375,0.056338028169014086,57,57,0,38,19,0,0,0,35,0.6140350877192983,60,15,45,0
"Julius Randle","NYK",77,2737,170,119.85467756584923,117.21371261852661,1648,0.2400990099009901,0.48695652173913045,0.33112582781456956,0.18072289156626506,21,19,2,16,2,1,2,0,10,0.47619047619047616,49,23,26,0
"Domantas Sabonis","SAC",79,2736,212,121.96113074204946,118.86658376265767,1246,0.13725490196078433,0.37735849056603776,0.3055555555555556,0.175,39,37,2,24,12,1,2,0,28,0.717948717948718,65,16,49,0
"Jayson Tatum","BOS",74,2732,470,121.10255951315554,112.87199713158839,2047,0.19817767653758542,0.30597014925373134,0.31176470588235294,0.21052631578947367,51,47,4,22,21,4,1,3,32,0.6274509803921569,78,34,44,4
"Spencer Dinwiddie","BKN",79,2725,-8,116.2595562185344,116.36533084808947,1293,0.18333333333333332,0.31958762886597936,0.24822695035460993,0.125,24,20,4,9,9,2,1,3,8,0.3333333333333333,67,16,51,0
"Evan Mobley","CLE",79,2715,339,117.74223544727542,111.29271916790489,1087,0.2,0.336734693877551,0.27014218009478674,0.25806451612903225,119,117,2,77,39,1,0,2,77,0.6470588235294118,60,15,45,6
"Dejounte Murray","ATL",74,2693,-63,116.1232852307144,117.09964412811388,1436,0.20816326530612245,0.375,0.3076923076923077,0.21341463414634146,19,16,3,7,7,2,0,3,10,0.5263157894736842,112,31,81,0
"DeMar DeRozan","CHI",74,2682,67,114.52913155001832,113.21860124496521,1704,0.20454545454545456,0.2714285714285714,0.2236024844720497,0.1935483870967742,36,36,0,23,12,1,0,0,20,0.5555555555555556,83,27,56,0
"Scottie Barnes","TOR",77,2678,175,117.40018570102136,114.21404682274247,994,0.17105263157894737,0.4608695652173913,0.3487179487179487,0.22077922077922077,61,52,9,25,26,1,3,6,40,0.6557377049180327,83,25,58,3
"Harrison Barnes","SAC",82,2662,255,121.8057307622995,117.80474551711646,1094,0.2922374429223744,0.35802469135802467,0.2830188679245283,0,10,10,0,7,3,0,0,0,7,0.7,57,14,43,0
"Pascal Siakam","TOR",71,2652,123,117.18078145447747,115.18275538894095,1519,0.23497267759562843,0.3626373626373626,0.3423076923076923,0.15037593984962405,36,28,8,18,9,1,2,6,22,0.6111111111111112,65,27,38,1
"CJ McCollum","NOP",75,2649,59,116.46318904920459,115.64991655850176,1451,0.2415902140672783,0.3764705882352941,0.265625,0.18620689655172415,38,38,0,15,23,0,0,0,20,0.5263157894736842,70,21,49,0
"Franz Wagner","ORL",80,2609,50,113.69302325581396,112.84676968907094,1360,0.24434389140271492,0.3897058823529412,0.3111111111111111,0.19230769230769232,17,16,1,8,8,0,1,0,10,0.5882352941176471,77,22,55,0
