"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"DeMar DeRozan","CHI",79,2989,-62,115.96047563222241,117.84750337381917,1742,0.2642857142857143,0.40384615384615385,0.31,0.24390243902439024,45,43,2,25,17,1,1,1,23,0.5111111111111111,90,24,66,1
"Domantas Sabonis","SAC",82,2928,69,117.59120439780109,116.92873870859819,1294,0.09259259259259259,0.36065573770491804,0.21604938271604937,0.06060606060606061,48,48,0,21,25,2,0,0,31,0.6458333333333334,74,22,52,5
"Coby White","CHI",79,2881,-35,117.18260869565218,118.24371508379888,1396,0.2298507462686567,0.42063492063492064,0.39849624060150374,0.29310344827586204,18,18,0,11,7,0,0,0,7,0.3888888888888889,53,15,38,0
"Mikal Bridges","BKN",82,2854,-185,113.24965132496513,116.4545929928534,1453,0.19889502762430938,0.2604166666666667,0.3068181818181818,0.1794871794871795,30,26,4,18,8,0,1,3,13,0.43333333333333335,81,21,60,0
"Paolo Banchero","ORL",80,2799,1,113.3380505926057,113.46085724406659,1624,0.24434389140271492,0.42,0.2791666666666667,0.2446043165467626,47,41,6,20,21,0,2,4,34,0.723404255319149,71,26,45,1
"Kevin Durant","PHX",75,2791,290,120.17099982551038,115.05057551447506,1866,0.2616033755274262,0.375,0.3022222222222222,0.23668639053254437,91,79,12,36,39,4,3,9,53,0.5824175824175825,69,27,42,1
"Dejounte Murray","ATL",78,2783,-154,118.53961677887105,121.44957619788963,1623,0.25217391304347825,0.47244094488188976,0.33488372093023255,0.2978723404255319,24,21,3,18,1,2,1,2,12,0.5,111,25,86,0
"Anthony Edwards","MIN",79,2770,432,117.61862130707252,110.04124081047158,1914,0.18885448916408668,0.3769230769230769,0.32558139534883723,0.2361111111111111,42,40,2,20,16,4,1,1,21,0.5,101,44,57,2
"Nikola Jokic","DEN",79,2737,682,124.03619909502262,112.36343772760378,1774,0.18604651162790697,0.5390070921985816,0.3665158371040724,0.125,68,68,0,36,31,1,0,0,40,0.5882352941176471,108,26,82,0
"Jalen Brunson","NYK",77,2726,512,122.93662490788503,114.53801821899981,2050,0.28524590163934427,0.36283185840707965,0.38461538461538464,0.2740740740740741,13,11,2,6,5,0,1,1,9,0.6923076923076923,70,27,43,0
"Josh Hart","NYK",81,2707,346,119.36945440815556,112.83745516329998,678,0.2914285714285714,0.4578313253012048,0.46153846153846156,0.3333333333333333,23,21,2,16,5,0,2,0,14,0.6086956521739131,75,32,43,1
"Anthony Davis","LAL",76,2700,151,118.10481736368449,115.58303886925795,1532,0.1527777777777778,0.38405797101449274,0.17695473251028807,0.09259259259259259,178,170,8,80,86,4,1,7,114,0.6404494382022472,91,30,61,4
"Fred VanVleet","HOU",73,2684,183,116.73984632272229,113.45414607358593,1157,0.25219941348973607,0.46153846153846156,0.37349397590361444,0.23809523809523808,59,54,5,17,33,4,2,3,31,0.5254237288135594,101,66,35,0
"De'Aaron Fox","SAC",74,2659,233,118.79862493215126,115.73464912280701,1793,0.2627118644067797,0.36904761904761907,0.3448275862068966,0.22772277227722773,31,28,3,10,16,2,3,0,17,0.5483870967741935,150,85,65,1
"Pascal Siakam","IND",80,2658,113,119.24124160464693,117.76723823422108,1510,0.22435897435897437,0.4117647058823529,0.3318777292576419,0.09836065573770492,25,22,3,13,9,0,0,3,18,0.72,63,29,34,2
"Jayson Tatum","BOS",74,2645,608,123.54808590102708,112.65704106506657,1824,0.26287262872628725,0.33035714285714285,0.38620689655172413,0.1926605504587156,43,38,5,16,18,4,1,4,24,0.5581395348837209,75,24,51,2
"Austin Reaves","LAL",82,2629,-41,116.85823754789271,117.82123926156096,1234,0.19047619047619047,0.33962264150943394,0.3333333333333333,0.19230769230769232,25,22,3,8,13,1,1,2,14,0.56,66,23,43,0
"Tyrese Maxey","PHI",70,2626,303,120.24840045163718,115.59058108621345,1704,0.21965317919075145,0.36619718309859156,0.3684210526315789,0.2537313432835821,33,31,2,10,21,0,0,2,23,0.696969696969697,69,26,43,1
"Luka Doncic","DAL",70,2624,319,121.39705882352942,115.91663592770196,2194,0.22247191011235956,0.36507936507936506,0.2561576354679803,0.20833333333333334,38,31,7,10,21,0,2,5,15,0.39473684210526316,99,37,62,0
"Nikola Vucevic","CHI",76,2610,-180,114.13773259159792,118.20285383725415,1171,0.2054794520547945,0.3949579831932773,0.18877551020408162,0.18823529411764706,60,57,3,44,12,1,0,3,33,0.55,50,17,33,0
"Jalen Green","HOU",82,2602,33,116.08614232209739,116.29573745756318,1518,0.24093264248704663,0.2827586206896552,0.3389830508474576,0.22448979591836735,28,24,4,12,11,1,1,3,17,0.6071428571428571,66,27,39,2
