"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Bradley Beal","WAS",82,3028,-112,113.12089971883788,115.37496077816128,1948,0.25196850393700787,0.4,0.42342342342342343,0.15555555555555556,58,51,7,38,11,2,2,5,27,0.46551724137931033,121,45,76,0
"James Harden","HOU",78,2867,357,118.08584285219798,112.19850772167274,2594,0.20253164556962025,0.4182692307692308,0.3391812865497076,0.2903225806451613,58,56,2,26,30,0,0,2,27,0.46551724137931033,158,71,87,0
"Kemba Walker","CHA",82,2863,35,114.00171379605827,113.67462635286033,1964,0.17555555555555555,0.4258373205741627,0.3333333333333333,0.20491803278688525,34,33,1,22,10,1,1,0,19,0.5588235294117647,102,40,62,0
"Tobias Harris","PHI",82,2848,17,112.80887544125062,112.542030934768,1478,0.22844827586206898,0.3383458646616541,0.25146198830409355,0.17647058823529413,37,37,0,25,12,0,0,0,25,0.6756756756756757,51,21,30,3
"Paul George","OKC",77,2841,497,114.17491749174917,106.13121798049909,1936,0.25170068027210885,0.4,0.3153846153846154,0.21518987341772153,34,32,2,28,3,1,2,0,21,0.6176470588235294,170,50,120,0
"Damian Lillard","POR",80,2838,494,117.55841517101253,109.71418849948962,1925,0.23857868020304568,0.386046511627907,0.41935483870967744,0.2824427480916031,34,30,4,15,8,7,0,4,16,0.47058823529411764,88,38,50,0
"PJ Tucker","HOU",82,2802,245,115.89779985805536,111.33345139011865,535,0.23529411764705882,0.29545454545454547,0.5,0,39,37,2,16,16,5,0,2,18,0.46153846153846156,132,42,90,0
"Kevin Durant","GSW",78,2702,658,120.7910395519776,109.02741400384144,1877,0.18106995884773663,0.37662337662337664,0.3353658536585366,0.2,84,76,8,38,30,8,2,6,56,0.6666666666666666,58,23,35,1
"Ben Simmons","PHI",79,2700,116,113.14872866597004,110.89676746611053,1165,0.5,0.3719806763285024,0.34065934065934067,0.13043478260869565,61,43,18,20,19,4,5,13,35,0.5737704918032787,112,36,76,0
"DeMar DeRozan","SAS",77,2688,11,112.75378368401624,112.38481385919647,1529,0.21212121212121213,0.3958333333333333,0.29454545454545455,0.1444866920152091,36,34,2,18,15,1,0,2,26,0.7222222222222222,86,26,60,1
"LaMarcus Aldridge","SAS",81,2687,88,114.38330871491877,112.75849335302807,1444,0.14814814814814814,0.3779527559055118,0.18518518518518517,0.09223300970873786,107,107,0,66,41,0,0,0,63,0.5887850467289719,43,10,33,0
"Steven Adams","OKC",80,2669,389,114.19624217118998,107.8414250785889,823,0,0.4270833333333333,0.25757575757575757,0,76,75,1,57,18,0,0,1,41,0.5394736842105263,117,36,81,1
"Klay Thompson","GSW",78,2652,349,117.27125067677315,110.91269841269842,1568,0.20224719101123595,0.359375,0.24193548387096775,0.19900497512437812,47,43,4,13,27,3,0,4,25,0.5319148936170213,84,24,60,0
"Andre Drummond","DET",79,2647,177,113.27085285848172,110.28388794886257,935,0.05,0.3914590747330961,0.18633540372670807,0,138,135,3,80,50,5,1,2,80,0.5797101449275363,136,34,102,15
"Aaron Gordon","ORL",78,2633,107,109.98498498498498,108.36315690337163,1082,0.2037037037037037,0.4676258992805755,0.34513274336283184,0.2268041237113402,56,55,1,32,17,6,1,0,35,0.625,57,19,38,8
"Russell Westbrook","OKC",73,2630,294,114.06139731827805,109.06680805938494,1476,0.2375886524822695,0.3793103448275862,0.25153374233128833,0.14754098360655737,33,33,0,20,13,0,0,0,17,0.5151515151515151,142,53,89,4
"Blake Griffin","DET",75,2622,37,111.39740455143878,111.18247072157159,1694,0.22712933753943218,0.45098039215686275,0.41935483870967744,0.3333333333333333,28,26,2,16,9,1,0,2,19,0.6785714285714286,52,19,33,1
"Buddy Hield","SAC",82,2615,0,111.52409745687356,112.00214323986425,1518,0.18406593406593408,0.411214953271028,0.25,0.25170068027210885,33,31,2,17,11,3,1,1,18,0.5454545454545454,58,28,30,2
"Jerami Grant","OKC",80,2612,299,112.72532571836516,107.4656188605108,947,0.28160919540229884,0.36507936507936506,0.34146341463414637,0.17857142857142858,100,97,3,69,26,2,2,1,61,0.61,61,17,44,2
"Justin Holiday","MEM",82,2607,-448,104.38314755337238,112.46469591414046,791,0.21548821548821548,0.3829787234042553,0.27586206896551724,0.26865671641791045,36,34,2,23,9,2,0,2,20,0.5555555555555556,121,21,100,0
"Collin Sexton","CLE",82,2605,-672,107.64391917651544,120.15592317931164,1276,0.20710059171597633,0.44171779141104295,0.34965034965034963,0.13227513227513227,6,6,0,3,3,0,0,0,5,0.8333333333333334,44,11,33,0
"Donovan Mitchell","UTA",77,2598,371,112.34499352211733,105.73283858998145,1706,0.16878980891719744,0.4457831325301205,0.3655913978494624,0.1744186046511628,31,30,1,16,14,0,1,0,20,0.6451612903225806,106,25,81,4
"Rudy Gobert","UTA",81,2577,383,112.27578475336323,105.4940933808363,945,0,0.3068181818181818,0.24074074074074073,0,187,184,3,101,79,4,1,2,123,0.6577540106951871,66,12,54,8
"Bojan Bogdanovic","IND",81,2573,177,111.00899865977408,107.97157126392624,1321,0.2237442922374429,0.3225806451612903,0.2689075630252101,0.08196721311475409,1,0,1,0,0,0,1,0,1,1,69,15,54,0
"Joe Ingles","UTA",82,2568,428,112.42469879518073,104.58404074702887,896,0.24295774647887325,0.4461538461538462,0.4603174603174603,0.2777777777777778,20,15,5,4,6,5,3,2,12,0.6,98,35,63,0
"Evan Fournier","ORL",81,2553,95,111.92500966370312,110.62342202369392,1133,0.21875,0.44,0.297029702970297,0.18,12,12,0,5,7,0,0,0,7,0.5833333333333334,71,17,54,0
"Pascal Siakam","TOR",80,2548,593,116.87227177832607,106.1212814645309,1231,0.15267175572519084,0.29545454545454547,0.363013698630137,0.25,52,41,11,26,14,1,8,3,27,0.5192307692307693,73,28,45,3
"De'Aaron Fox","SAC",81,2546,68,111.7572463768116,110.96762459076028,1337,0.20279720279720279,0.42142857142857143,0.25668449197860965,0.23076923076923078,45,40,5,25,13,2,2,3,18,0.4,133,55,78,0
"Karl-Anthony Towns","MIN",77,2545,56,113.79114642451759,113.74308074059935,1529,0.20476190476190476,0.41044776119402987,0.2898550724637681,0.11842105263157894,125,123,2,69,53,1,1,1,74,0.592,67,18,49,12
"Andrew Wiggins","MIN",73,2543,-66,112.82925904870191,113.64923541627337,1200,0.24651162790697675,0.4421768707482993,0.3509933774834437,0.17613636363636365,48,47,1,33,12,2,1,0,27,0.5625,70,23,47,3
"Josh Richardson","MIA",73,2539,68,109.51081660495029,107.93311296908419,1115,0.21107266435986158,0.46808510638297873,0.34545454545454546,0.23958333333333334,34,33,1,16,14,3,0,1,21,0.6176470588235294,79,28,51,3
"Harrison Barnes","SAC",77,2533,-55,109.92840994724943,111.19501604681895,1160,0.21153846153846154,0.30927835051546393,0.34355828220858897,0.15942028985507245,13,12,1,10,1,1,0,1,7,0.5384615384615384,50,22,28,2
"Nikola Vucevic","ORL",80,2510,218,112.21613155833987,108.16006276971362,1403,0.12413793103448276,0.3656716417910448,0.2033898305084746,0.15441176470588236,89,88,1,66,19,3,0,1,56,0.6292134831460674,81,20,61,0
"Nikola Jokic","DEN",80,2504,315,115.18987341772151,109.91620111731844,1298,0.192090395480226,0.45806451612903226,0.3575418994413408,0.24242424242424243,55,52,3,35,14,3,1,2,31,0.5636363636363636,108,20,88,2
"Trae Young","ATL",81,2503,-335,110.96296296296296,117.68973214285715,1432,0.22291021671826625,0.3583815028901734,0.3466666666666667,0.2597402597402597,15,12,3,9,3,0,0,3,7,0.4666666666666667,72,23,49,1
"Thaddeus Young","IND",81,2489,134,111.67471819645733,108.4752554598277,816,0.18681318681318682,0.38311688311688313,0.2564102564102564,0.1935483870967742,36,36,0,20,15,1,0,0,16,0.4444444444444444,123,53,70,1
